published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-25,650.00,650.00,650.00,650.00,0.00,19458.00,12647700.00,0
2021-11-26,650.00,650.00,650.00,650.00,0.00,19458.00,12647700.00,0
2021-12-07,637.00,637.00,637.00,637.00,-2.00,25944.00,16526328.00,-1
2021-12-13,611.90,611.90,611.90,611.90,-1.99,62266.00,38100565.40,-1
2021-12-14,599.70,599.70,599.70,599.70,-1.99,45000.00,26986500.00,-1
2021-12-15,587.80,587.80,587.80,587.80,-1.98,100580.00,59120924.00,-1
2021-12-16,576.10,576.10,576.10,576.10,-1.99,94000.00,54153400.00,-1
2021-12-17,576.10,576.10,576.10,576.10,-1.99,94000.00,54153400.00,-1
2021-12-23,564.60,564.60,564.60,564.60,-2.00,41510.00,23436546.00,-1
2021-12-24,564.60,564.60,564.60,564.60,-2.00,41510.00,23436546.00,-1
2022-05-04,536.10,536.10,536.10,536.10,-5.05,33727.00,18081044.70,-1
2022-05-12,514.90,514.90,514.90,514.90,-2.00,94580.00,48699242.00,-1
2022-05-13,514.90,514.90,514.90,514.90,-2.00,94580.00,48699242.00,-1
2022-05-16,514.90,514.90,514.90,514.90,-2.00,94580.00,48699242.00,-1
2022-05-19,504.70,504.70,504.70,504.70,-1.98,100600.00,50772820.00,-1
2022-05-24,494.70,494.70,494.70,494.70,-1.98,98000.00,48480600.00,-1
2022-08-07,525.00,525.00,525.00,525.00,6.12,83660.00,43921500.00,1
2022-08-09,514.50,514.50,514.50,514.50,-2.00,87780.00,45162810.00,-1
2022-08-14,504.30,504.30,504.30,504.30,-1.98,88000.00,44378400.00,-1
2022-08-23,504.20,504.20,504.20,504.20,-0.02,84720.00,42715824.00,-1
2022-10-12,504.20,504.20,504.20,504.20,0.00,50000.00,18977000.00,0
