published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-22,366.00,366.00,366.00,366.00,0.00,1000.00,366000.00,0
2022-09-28,366.00,366.00,366.00,366.00,0.00,35000.00,11375000.00,0
2022-09-29,366.00,366.00,366.00,366.00,0.00,138000.00,44850000.00,0
2022-10-02,366.00,366.00,366.00,366.00,0.00,138000.00,44850000.00,0
2022-10-03,366.00,366.00,366.00,366.00,0.00,138000.00,44850000.00,0
2022-10-04,366.00,366.00,366.00,366.00,0.00,138000.00,44850000.00,0
2022-10-05,366.00,366.00,366.00,366.00,0.00,138000.00,44850000.00,0
2022-10-06,366.00,366.00,366.00,366.00,0.00,138000.00,44850000.00,0
2022-10-09,366.00,366.00,366.00,366.00,0.00,3100.00,1007500.00,0
2022-10-10,366.00,366.00,366.00,366.00,0.00,186500.00,60612500.00,0
2022-10-23,366.00,366.00,366.00,366.00,0.00,1100.00,357500.00,0
2022-10-24,366.00,366.00,366.00,366.00,0.00,1100.00,357500.00,0
2022-10-25,366.00,366.00,366.00,366.00,0.00,1100.00,357500.00,0
2022-10-26,366.00,366.00,366.00,366.00,0.00,1100.00,357500.00,0
2022-10-27,366.00,366.00,366.00,366.00,0.00,1100.00,357500.00,0
2022-10-30,366.00,366.00,366.00,366.00,0.00,1100.00,357500.00,0
2022-11-15,325.00,325.00,325.00,325.00,0.00,200.00,65000.00,0
2022-11-23,350.00,350.00,350.00,350.00,7.69,140.00,49000.00,1
2022-11-29,366.00,366.00,366.00,366.00,0.00,200.00,65000.00,0
2022-12-12,366.00,366.00,366.00,366.00,0.00,200.00,65000.00,0
2022-12-15,366.00,366.00,366.00,366.00,0.00,100.00,32500.00,0
2023-08-13,300.00,300.00,300.00,300.00,-13.48,1948538.00,584561400.00,-1
2023-11-30,300.00,300.00,300.00,300.00,0.00,389041.00,116712300.00,0
2025-02-10,280.00,280.00,280.00,280.00,-6.67,21133.00,5917240.00,-1
