published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,9.62,9.99,9.62,9.62,-1.84,30870.00,305913.00,-1
2021-11-05,9.62,9.99,9.62,9.62,-1.84,30870.00,305913.00,-1
2021-11-08,9.60,9.94,9.60,9.74,1.25,11500.00,112548.00,1
2021-11-09,9.65,9.95,9.60,9.60,-1.44,7500.00,73336.00,-1
2021-11-10,9.65,9.95,9.60,9.60,-1.44,7500.00,73336.00,-1
2021-11-11,9.60,9.80,9.60,9.60,0.00,23324.00,225708.40,0
2021-11-12,9.60,9.80,9.60,9.60,0.00,23324.00,225708.40,0
2021-11-15,9.35,9.77,9.32,9.58,0.74,12450.00,118724.00,1
2021-11-16,9.50,9.70,9.44,9.70,1.25,11270.00,107988.00,1
2021-11-17,9.53,9.70,9.51,9.55,-1.55,5438.00,51902.72,-1
2021-11-18,9.36,9.68,9.36,9.68,1.36,13362.00,125893.44,1
2021-11-19,9.36,9.68,9.36,9.68,1.36,13362.00,125893.44,1
2021-11-22,9.50,9.69,9.49,9.49,0.00,9950.00,95036.50,0
2021-11-23,9.39,9.50,9.38,9.41,-0.84,17023.00,160584.97,-1
2021-11-24,9.31,9.59,9.26,9.29,-1.28,10600.00,99162.00,-1
2021-11-25,9.29,9.48,9.29,9.31,0.22,21200.00,199338.00,1
2021-11-26,9.29,9.48,9.29,9.31,0.22,21200.00,199338.00,1
2021-11-29,9.15,9.38,9.15,9.20,-0.76,15600.00,143635.00,-1
2021-11-30,9.20,9.38,9.20,9.38,1.96,17300.00,161769.00,1
2021-12-01,9.39,9.50,9.22,9.50,1.28,10320.00,97425.00,1
2021-12-02,9.32,9.32,9.20,9.25,-2.63,4400.00,40622.00,-1
2021-12-03,9.32,9.32,9.20,9.25,-2.63,4400.00,40622.00,-1
2021-12-06,9.25,9.25,9.00,9.06,-0.11,16400.00,149411.50,-1
2021-12-07,8.89,9.20,8.89,9.05,-0.11,5967.00,54476.02,-1
2021-12-08,8.90,9.10,8.90,9.03,-0.22,8860.00,79731.00,-1
2021-12-09,9.00,9.10,8.88,9.00,-0.33,8400.00,75343.30,-1
2021-12-10,9.00,9.10,8.88,9.00,-0.33,8400.00,75343.30,-1
2021-12-13,8.91,9.08,8.75,8.80,-1.23,40439.00,356635.02,-1
2021-12-14,8.80,9.28,8.76,9.28,5.45,4100.00,37018.00,1
2021-12-15,9.10,9.27,8.93,9.27,-0.11,23510.00,213458.00,-1
2021-12-16,9.35,9.44,9.35,9.44,1.83,430.00,4029.50,1
2021-12-17,9.35,9.44,9.35,9.44,1.83,430.00,4029.50,1
2021-12-20,9.26,9.26,8.93,9.00,-4.66,2100.00,19064.00,-1
2021-12-21,8.83,9.04,8.83,8.89,-1.22,9900.00,88807.00,-1
2021-12-22,9.00,9.18,8.82,8.88,-0.11,4100.00,36936.00,-1
2021-12-23,8.80,9.05,8.78,8.95,0.79,3100.00,27799.00,1
2021-12-24,8.80,9.05,8.78,8.95,0.79,3100.00,27799.00,1
2021-12-27,8.85,9.00,8.85,8.90,-1.00,17000.00,151335.00,-1
2021-12-28,8.76,8.95,8.76,8.95,0.56,1800.00,15992.00,1
2021-12-29,8.90,8.98,8.78,8.87,-0.89,9460.00,83520.80,-1
2021-12-30,8.90,8.98,8.78,8.87,-0.89,9460.00,83520.80,-1
2021-12-31,8.90,8.98,8.78,8.87,-0.89,9460.00,83520.80,-1
2022-01-03,8.88,9.12,8.88,9.00,0.00,1950.00,17565.00,0
2022-01-04,9.00,9.18,8.90,9.18,2.00,42050.00,378840.00,1
2022-01-05,9.00,9.19,8.90,8.94,-2.61,5200.00,46751.00,-1
2022-01-06,8.77,9.18,8.77,9.12,2.01,33300.00,296537.50,1
2022-01-07,8.77,9.18,8.77,9.12,2.01,33300.00,296537.50,1
2022-01-10,9.00,9.28,9.00,9.26,1.42,24060.00,220503.80,1
2022-01-11,9.26,9.42,9.09,9.42,1.73,10095.00,94414.40,1
2022-01-12,9.25,9.35,9.25,9.25,-1.80,14700.00,136196.00,-1
2022-01-13,9.25,9.28,9.07,9.12,-1.41,33000.00,302604.00,-1
2022-01-14,9.25,9.28,9.07,9.12,-1.41,33000.00,302604.00,-1
2022-01-17,9.44,9.44,9.20,9.25,-0.11,37340.00,346649.50,-1
2022-01-18,9.27,9.45,9.26,9.37,1.30,38000.00,356312.10,1
2022-01-19,9.19,9.48,9.19,9.35,-0.21,25680.00,241481.72,-1
2022-01-20,9.35,9.40,9.32,9.36,0.11,4440.00,41568.20,1
2022-01-21,9.35,9.40,9.32,9.36,0.11,4440.00,41568.20,1
2022-01-24,9.14,9.25,9.14,9.15,-1.19,25143.00,231237.52,-1
2022-01-25,9.00,9.20,9.00,9.17,0.22,6000.00,54772.00,1
2022-01-26,9.05,9.34,9.05,9.20,0.33,23500.00,217055.00,1
2022-01-27,9.20,9.40,9.05,9.40,2.17,41100.00,382150.61,1
2022-01-28,9.20,9.40,9.05,9.40,2.17,41100.00,382150.61,1
2022-01-31,9.02,9.36,9.02,9.35,1.74,33050.00,307730.50,1
2022-02-01,9.17,9.53,9.02,9.25,-1.07,25875.00,238782.50,-1
2022-02-02,9.17,9.53,9.02,9.25,-1.07,25875.00,238782.50,-1
2022-02-03,9.11,9.25,9.07,9.07,-1.95,81275.00,742373.90,-1
2022-02-04,9.11,9.25,9.07,9.07,-1.95,81275.00,742373.90,-1
2022-02-07,9.10,9.28,9.00,9.12,-1.19,22130.00,202189.00,-1
2022-02-08,9.15,9.22,9.04,9.07,-0.55,11873.00,108502.30,-1
2022-02-09,8.92,9.26,8.92,9.15,0.88,6460.00,59004.50,1
2022-02-10,8.97,9.20,8.97,9.16,0.11,4783.00,43471.64,1
2022-02-11,8.97,9.20,8.97,9.16,0.11,4783.00,43471.64,1
2022-02-14,9.00,9.18,8.92,9.00,-0.88,9230.00,83447.60,-1
2022-02-15,9.00,9.06,8.90,9.06,0.67,10850.00,97739.20,1
2022-02-16,9.06,9.10,8.95,9.10,0.44,3100.00,28026.00,1
2022-02-17,9.00,9.10,8.94,9.10,0.00,12700.00,115292.00,0
2022-02-18,9.00,9.10,8.94,9.10,0.00,12700.00,115292.00,0
2022-02-21,8.83,9.00,8.83,8.93,-0.33,4910.00,44011.30,-1
2022-02-22,8.93,9.10,8.92,9.01,0.90,3100.00,27985.00,1
2022-02-23,9.00,9.12,9.00,9.01,0.00,10250.00,92409.00,0
2022-02-24,8.84,9.05,8.77,8.90,-1.22,41600.00,367139.75,-1
2022-02-25,8.84,9.05,8.77,8.90,-1.22,41600.00,367139.75,-1
2022-02-28,8.65,9.10,8.65,8.75,-0.57,11300.00,100132.20,-1
2022-03-01,8.65,9.10,8.65,8.75,-0.57,11300.00,100132.20,-1
2022-03-02,8.75,8.80,8.65,8.75,0.00,13800.00,120009.00,0
2022-03-03,8.75,8.80,8.65,8.75,0.00,13800.00,120009.00,0
2022-03-04,8.75,8.80,8.65,8.75,0.00,13800.00,120009.00,0
2022-03-07,8.75,8.80,8.72,8.73,-0.23,1200.00,10498.00,-1
2022-03-08,8.75,8.80,8.72,8.73,-0.23,1200.00,10498.00,-1
2022-03-09,8.74,8.74,8.53,8.62,-1.26,13725.00,118882.75,-1
2022-03-10,8.62,8.91,8.45,8.89,3.13,25000.00,213562.00,1
2022-03-11,8.62,8.91,8.45,8.89,3.13,25000.00,213562.00,1
2022-03-14,9.11,9.11,8.84,8.89,-1.11,1200.00,10686.00,-1
2022-03-15,8.73,9.22,8.73,8.86,-0.34,18540.00,167425.60,-1
2022-03-16,8.90,9.07,8.73,8.90,0.45,5100.00,45495.00,1
2022-03-17,8.90,9.07,8.73,8.90,0.45,5100.00,45495.00,1
2022-03-18,8.90,9.07,8.73,8.90,0.45,5100.00,45495.00,1
2022-03-21,8.90,9.06,8.88,8.95,0.56,5000.00,44812.00,1
2022-03-22,9.05,9.12,8.92,9.00,0.56,63500.00,571045.00,1
2022-03-23,8.86,9.10,8.86,8.95,-0.56,8460.00,76355.00,-1
2022-03-24,9.00,9.12,8.85,8.95,0.00,15390.00,137295.10,0
2022-03-25,9.00,9.12,8.85,8.95,0.00,15390.00,137295.10,0
2022-03-28,8.68,9.10,8.68,8.95,1.36,6800.00,60613.00,1
2022-03-29,9.12,9.12,8.69,9.00,0.56,2750.00,24296.00,1
2022-03-30,9.16,9.16,8.82,8.90,-1.11,8070.00,71562.00,-1
2022-03-31,8.76,8.95,8.75,8.95,0.56,16700.00,146389.00,1
2022-04-01,8.76,8.95,8.75,8.95,0.56,16700.00,146389.00,1
2022-04-04,9.07,9.07,8.55,8.72,-2.02,9000.00,78314.00,-1
2022-04-05,8.56,8.75,8.43,8.75,0.34,29000.00,247969.36,1
2022-04-06,8.58,8.75,8.58,8.75,0.00,2000.00,17357.00,0
2022-04-07,8.58,8.80,8.58,8.75,0.00,8575.00,74988.25,0
2022-04-08,8.58,8.80,8.58,8.75,0.00,8575.00,74988.25,0
2022-04-11,8.60,8.60,8.45,8.50,-2.86,10700.00,91154.00,-1
2022-04-12,8.40,8.80,8.40,8.80,3.53,4600.00,38875.00,1
2022-04-13,8.70,8.70,8.63,8.70,-1.14,3275.00,28421.50,-1
2022-04-14,8.70,8.70,8.63,8.70,-1.14,3275.00,28421.50,-1
2022-04-15,8.70,8.70,8.63,8.70,-1.14,3275.00,28421.50,-1
2022-04-18,8.39,8.50,8.23,8.40,-1.87,31942.00,269185.64,-1
2022-04-19,8.28,8.43,8.22,8.31,-1.07,8600.00,71150.00,-1
2022-04-20,8.40,8.50,8.35,8.35,0.48,21600.00,180871.00,1
2022-04-21,8.24,8.34,8.21,8.30,-0.60,2600.00,21530.00,-1
2022-04-22,8.24,8.34,8.21,8.30,-0.60,2600.00,21530.00,-1
2022-04-25,8.43,8.77,8.43,8.77,1.98,3300.00,28511.00,1
2022-04-26,8.60,8.94,8.60,8.94,1.94,30700.00,270031.00,1
2022-04-27,8.77,8.77,8.70,8.70,-2.68,1100.00,9640.00,-1
2022-04-28,8.55,8.70,8.55,8.63,-0.80,3600.00,31092.50,-1
2022-04-29,8.55,8.70,8.55,8.63,-0.80,3600.00,31092.50,-1
2022-05-02,8.48,8.50,8.48,8.50,-1.51,1200.00,10184.00,-1
2022-05-03,8.48,8.50,8.48,8.50,-1.51,1200.00,10184.00,-1
2022-05-04,8.33,8.70,8.33,8.70,2.35,4758.00,40799.21,1
2022-05-05,8.54,8.87,8.50,8.86,1.84,16750.00,143695.75,1
2022-05-06,8.54,8.87,8.50,8.86,1.84,16750.00,143695.75,1
2022-05-09,8.50,8.67,8.50,8.55,0.59,16000.00,138060.50,1
2022-05-10,8.53,8.67,8.53,8.65,1.17,12425.00,106887.75,1
2022-05-11,8.65,8.82,8.61,8.82,1.97,31625.00,277499.25,1
2022-05-12,8.67,8.84,8.67,8.70,-1.36,12050.00,104948.50,-1
2022-05-13,8.67,8.84,8.67,8.70,-1.36,12050.00,104948.50,-1
2022-05-16,8.67,8.84,8.67,8.70,-1.36,12050.00,104948.50,-1
2022-05-17,8.82,8.82,8.65,8.65,-0.57,3700.00,32548.00,-1
2022-05-18,8.50,8.64,8.35,8.47,-2.08,13650.00,116054.50,-1
2022-05-19,8.47,8.66,8.41,8.66,2.24,7400.00,63642.00,1
