published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-15,1000.00,1020.00,1000.00,1001.00,0.00,505119.00,505121925.00,0
2025-07-16,1002.00,1002.00,1000.00,1000.00,-0.10,350.00,350275.00,-1
2025-07-17,980.00,985.00,980.00,984.00,-1.60,50.00,49090.00,-1
2025-07-20,969.20,970.20,969.10,969.40,-1.48,360.00,349068.00,-1
2025-07-21,980.00,980.00,980.00,980.00,1.09,100.00,98000.00,1
2025-07-22,990.00,1014.90,990.00,1014.56,3.53,430.00,434866.00,1
2025-07-23,994.30,996.00,994.30,995.50,-1.88,125.00,124407.50,-1
2025-07-24,1000.00,1000.00,1000.00,1000.00,0.45,30.00,30000.00,1
2025-07-27,990.00,990.00,990.00,990.00,-1.00,25.00,24750.00,-1
2025-07-28,985.00,995.00,985.00,991.87,0.19,200.00,198375.00,1
2025-07-29,990.00,990.00,980.00,980.00,-1.51,150.00,147375.00,-1
2025-07-30,980.00,980.00,980.00,980.00,0.00,150.00,147000.00,0
2025-07-31,980.00,980.00,975.00,975.00,-0.51,75.00,73375.00,-1
2025-08-03,975.00,980.00,975.00,980.00,0.51,103.00,100815.00,1
2025-08-04,981.10,985.00,981.10,983.68,0.38,125.00,122960.00,1
2025-08-07,989.90,990.00,989.90,989.93,0.64,270.00,267283.00,1
2025-08-10,989.90,990.00,989.90,989.93,0.64,270.00,267283.00,1
2025-08-11,985.00,985.00,985.00,985.00,-0.50,50.00,49250.00,-1
2025-08-12,965.30,965.30,965.30,965.30,-2.00,25.00,24132.50,-1
2025-08-13,965.20,965.20,948.00,960.10,-0.54,175.00,166944.00,-1
2025-08-14,970.10,972.10,970.10,972.10,1.25,50.00,48555.00,1
2025-08-17,975.10,975.10,975.10,975.10,0.31,25.00,24377.50,1
2025-08-18,975.20,975.20,975.20,975.20,0.01,100.00,97520.00,1
2025-08-19,966.10,994.50,966.10,994.50,1.98,280.00,276706.00,1
2025-08-20,974.70,974.70,955.00,974.70,-1.99,241.00,232449.60,-1
2025-08-21,974.80,974.80,974.80,974.80,0.01,25.00,24370.00,1
2025-08-24,956.10,999.90,956.10,999.60,2.54,200.00,195950.00,1
2025-08-25,999.00,999.00,999.00,999.00,-0.06,630.00,629370.00,-1
2025-08-26,999.00,1000.00,999.00,1000.00,0.10,550.00,549975.00,1
2025-08-27,1000.00,1020.00,1000.00,1014.37,1.44,250.00,252875.00,1
2025-08-28,1000.00,1010.00,1000.00,1010.00,-0.43,439.00,441640.00,-1
2025-08-31,989.80,989.80,989.80,989.80,-2.00,25.00,24745.00,-1
2025-09-01,989.80,1000.00,989.80,1000.00,1.03,200.00,199235.00,1
2025-09-02,989.00,989.00,989.00,989.00,-1.10,50.00,49450.00,-1
2025-09-03,990.00,1000.00,990.00,991.20,0.22,85.00,84662.00,1
2025-09-04,992.10,992.30,992.10,992.30,0.11,50.00,49610.00,1
2025-09-07,992.30,992.30,992.30,992.30,0.00,75.00,74422.50,0
2025-09-08,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-09,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-10,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-11,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-14,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-15,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-16,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-17,989.00,1000.00,989.00,1000.00,0.78,100.00,99725.00,1
2025-09-23,1000.00,1000.00,1000.00,1000.00,0.00,75.00,75000.00,0
2025-09-24,1005.00,1005.00,1005.00,1005.00,0.50,60.00,60300.00,1
2025-09-25,1000.00,1005.00,1000.00,1005.00,0.00,50.00,50125.00,0
2025-09-28,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-09-29,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-09-30,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-10-01,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-10-02,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-10-05,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-10-06,1010.00,1010.00,1010.00,1010.00,0.50,100.00,101000.00,1
2025-10-07,1005.00,1011.00,1005.00,1011.00,0.10,75.00,75650.00,1
2025-10-08,1020.00,1020.00,1020.00,1020.00,0.89,50.00,51000.00,1
2025-10-12,999.60,999.60,999.60,999.60,-2.00,25.00,24990.00,-1
2025-10-13,999.00,1010.00,999.00,1010.00,1.04,75.00,75200.00,1
2025-10-14,1005.00,1005.00,1005.00,1005.00,-0.50,25.00,25125.00,-1
2025-10-15,1019.50,1019.50,1005.00,1005.00,0.00,60.00,61025.00,0
2025-10-16,1005.00,1005.00,1005.00,1005.00,0.00,25.00,25125.00,0
2025-10-19,1015.00,1015.00,1005.00,1005.00,0.00,110.00,110800.00,0
2025-10-20,1015.00,1015.00,1005.00,1005.00,0.00,110.00,110800.00,0
2025-10-21,1015.00,1015.00,1005.00,1005.00,0.00,110.00,110800.00,0
2025-10-22,1015.00,1015.00,1005.00,1005.00,0.00,110.00,110800.00,0
2025-10-23,1015.00,1015.00,1005.00,1005.00,0.00,110.00,110800.00,0
2025-10-26,1005.00,1005.00,1005.00,1005.00,0.00,15.00,15075.00,0
2025-10-27,1005.00,1005.00,1005.00,1005.00,0.00,15.00,15075.00,0
2025-10-28,1005.00,1005.00,1005.00,1005.00,0.00,25.00,25125.00,0
2025-10-30,1001.00,1005.10,1001.00,1005.10,0.01,50.00,50152.50,1
2025-11-02,1000.00,1006.00,1000.00,1006.00,0.09,105.00,105303.00,1
2025-11-03,1010.00,1010.00,1010.00,1010.00,0.40,25.00,25250.00,1
2025-11-04,1007.00,1007.00,1007.00,1006.00,-0.40,25.00,25170.00,-1
2025-11-05,986.00,1005.00,986.00,1004.20,-0.18,75.00,74880.00,-1
2025-11-06,1000.00,1005.10,1000.00,1005.10,0.09,50.00,50127.50,1
2025-11-09,1005.10,1006.10,1005.10,1023.90,1.87,51.00,51303.90,1
2025-11-10,1015.00,1015.00,1015.00,1015.00,-0.87,50.00,50750.00,-1
2025-11-11,1015.00,1015.50,1015.00,1015.00,0.00,180.00,182725.00,0
2025-11-12,1006.00,1006.00,1006.00,1006.00,-0.89,50.00,50300.00,-1
2025-11-13,1020.00,1020.00,1015.00,1015.00,0.89,156.00,158490.00,1
2025-11-16,1015.00,1015.00,1008.40,1011.00,-0.39,125.00,126358.00,-1
2025-11-17,1017.00,1017.00,1016.00,1016.00,0.49,125.00,127100.00,1
2025-11-18,1010.50,1010.50,1010.50,1010.50,-0.54,25.00,25262.50,-1
2025-11-20,1013.50,1013.50,1013.50,1013.50,0.30,50.00,50675.00,1
2025-11-23,1008.10,1034.30,1008.10,1034.30,2.05,232.00,237886.80,1
2025-11-24,1014.10,1014.10,1014.10,1014.10,-1.95,25.00,25352.50,-1
2025-11-25,1014.10,1014.10,1014.10,1014.10,0.00,25.00,25352.50,0
2025-11-26,1014.40,1014.40,1014.40,1014.40,0.03,100.00,101440.00,1
2025-11-27,1010.20,1014.20,1010.20,1033.90,1.92,77.00,78033.50,1
2025-11-30,1033.90,1033.90,1033.90,1137.20,9.99,5.00,5483.10,1
2025-12-01,1137.20,1137.20,1023.50,1029.00,-9.51,753.00,783398.90,-1
2025-12-02,1048.00,1070.00,1032.10,1070.00,3.98,1313.00,1395231.60,1
2025-12-03,1069.00,1091.40,1063.00,1063.00,-0.65,1557.00,1696392.00,-1
2025-12-04,1069.00,1091.40,1063.00,1063.00,-0.65,1557.00,1696392.00,-1
2025-12-07,1060.00,1099.00,1060.00,1071.10,0.76,361.00,390559.00,1
2025-12-08,1071.10,1073.00,1070.00,1070.00,-0.10,51.00,54667.50,-1
2025-12-09,1054.10,1057.10,1054.10,1057.10,-1.21,65.00,68591.50,-1
2025-12-10,1063.30,1065.30,1063.30,1065.20,0.77,175.00,186370.60,1
2025-12-11,1065.00,1065.00,1065.00,1065.00,-0.02,25.00,26625.00,-1
2025-12-14,1067.20,1067.20,1067.20,1067.20,0.21,75.00,80040.00,1
2025-12-15,1067.18,1094.00,1067.18,1070.00,0.26,3374.00,3686880.00,1
2025-12-16,1050.00,1050.00,1040.00,1040.00,-2.80,65.00,68000.00,-1
2025-12-17,1025.00,1067.90,1025.00,1067.90,2.68,225.00,235122.50,1
2025-12-18,1046.60,1055.00,1046.60,1055.00,-1.21,50.00,52540.00,-1
2025-12-21,1033.90,1046.00,1026.00,1027.00,-2.65,125.00,129072.50,-1
2025-12-22,1017.00,1017.00,1017.00,1017.00,-0.97,25.00,25425.00,-1
2025-12-23,1027.10,1049.00,1027.10,1049.00,3.15,100.00,103800.00,1
2025-12-24,1031.50,1031.50,1031.50,1031.50,-1.67,25.00,25787.50,-1
2025-12-25,1031.50,1031.50,1031.50,1031.50,-1.67,25.00,25787.50,-1
2025-12-28,1031.50,1031.50,1030.40,1030.40,-0.11,55.00,56699.50,-1
2025-12-29,1030.40,1030.40,1030.40,1030.40,0.00,25.00,25760.00,0
2025-12-30,1030.40,1030.40,1030.40,1030.40,0.00,25.00,25760.00,0
2025-12-31,1030.40,1049.00,1030.40,1049.00,1.81,26.00,27255.00,1
2026-01-04,1050.00,1050.00,1050.00,1050.00,0.10,75.00,78750.00,1
2026-01-06,1050.00,1050.00,1050.00,1050.00,0.00,130.00,136500.00,0
2026-01-07,1029.00,1035.30,1029.00,1035.30,-1.40,100.00,103365.00,-1
2026-01-12,1050.00,1050.00,1035.60,1050.00,1.42,180.00,188340.00,1
2026-01-13,1037.10,1040.00,1037.10,1040.00,-0.95,75.00,77855.00,-1
2026-01-14,1040.00,1040.00,1030.00,1030.00,-0.96,50.00,51750.00,-1
2026-01-15,1040.00,1040.00,1030.00,1030.00,-0.96,50.00,51750.00,-1
2026-01-20,1049.90,1059.90,1049.90,1058.90,2.81,300.00,316870.00,1
2026-01-21,1053.00,1053.00,1053.00,1053.00,-0.56,100.00,105300.00,-1
