published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-15,1000.00,1000.00,1000.00,1000.00,0.00,100.00,100000.00,0
2024-04-14,980.00,985.00,980.00,985.00,-1.50,50.00,49100.00,-1
2024-04-15,965.30,965.30,915.00,915.00,-7.11,50.00,46839.00,-1
2024-04-16,900.00,900.00,880.00,880.00,-3.83,100.00,89168.50,-1
2024-04-17,900.00,900.00,880.00,880.00,-3.83,100.00,89168.50,-1
2024-04-18,875.00,875.10,874.00,875.10,-0.56,130.00,113703.00,-1
2024-04-21,875.00,875.00,868.00,868.00,-0.81,55.00,47950.00,-1
2024-04-22,869.60,870.60,857.00,870.60,0.30,100.00,86607.50,1
2024-04-23,869.60,870.60,857.00,870.60,0.30,100.00,86607.50,1
2024-04-25,874.20,874.20,874.20,874.20,0.41,25.00,21855.00,1
2024-05-07,872.20,872.20,872.20,872.20,-0.23,10.00,8722.00,-1
2024-05-12,889.60,889.60,889.60,889.60,1.99,20.00,17792.00,1
2024-05-13,880.00,880.00,877.00,877.00,-1.42,80.00,70255.50,-1
2024-05-15,871.10,871.10,871.10,871.10,-0.67,30.00,26133.00,-1
2024-05-20,880.10,897.70,880.10,897.70,3.05,70.00,62394.00,1
2024-05-27,881.00,881.00,881.00,881.00,-1.86,25.00,22025.00,-1
2024-05-28,881.00,881.00,881.00,881.00,-1.86,25.00,22025.00,-1
2024-06-03,898.60,898.60,898.60,898.60,2.00,25.00,22465.00,1
2024-06-04,885.00,885.00,885.00,885.00,-1.51,25.00,22125.00,-1
2024-06-06,881.10,882.10,881.10,882.10,-0.33,75.00,66107.50,-1
2024-06-09,899.00,899.00,899.00,899.00,1.92,25.00,22475.00,1
2024-06-16,891.00,891.00,891.00,891.00,-0.89,25.00,22275.00,-1
2024-06-17,891.00,891.00,891.00,891.00,-0.89,25.00,22275.00,-1
2024-06-18,908.00,908.80,908.00,908.80,2.00,65.00,59050.00,1
2024-06-19,915.00,917.00,908.00,908.00,-0.09,110.00,100605.00,-1
2024-06-23,908.00,908.00,908.00,908.00,0.00,25.00,22700.00,0
2024-06-25,915.00,915.00,915.00,915.00,0.77,25.00,22875.00,1
2024-06-26,910.00,910.00,910.00,910.00,-0.55,25.00,22750.00,-1
2024-06-30,911.00,911.00,911.00,911.00,0.11,100.00,91100.00,1
2024-07-01,911.10,911.10,911.10,911.10,0.01,25.00,22777.50,1
2024-07-03,910.00,910.00,910.00,910.00,-0.12,25.00,22750.00,-1
2024-07-04,895.00,895.00,895.00,895.00,-1.65,25.00,22375.00,-1
2024-07-08,900.00,900.00,900.00,900.00,0.56,25.00,22500.00,1
2024-07-09,900.00,900.00,900.00,900.00,0.00,15.00,13500.00,0
2024-07-10,901.00,901.00,901.00,901.00,0.11,50.00,45050.00,1
2024-07-11,900.00,900.00,888.60,888.60,-1.38,25.00,22329.00,-1
2024-07-21,870.90,870.90,870.90,870.90,-1.99,25.00,21772.50,-1
2024-07-25,887.00,907.80,887.00,907.80,4.24,140.00,125567.00,1
2024-07-28,908.00,908.00,905.00,905.00,-0.31,75.00,68025.00,-1
2024-07-29,900.00,906.00,900.00,906.00,0.11,100.00,90300.00,1
2024-07-30,906.00,906.00,906.00,906.00,0.00,20.00,18120.00,0
2024-07-31,906.00,906.00,906.00,906.00,0.00,100.00,90600.00,0
2024-08-01,906.00,906.00,906.00,906.00,0.00,125.00,113250.00,0
2024-08-04,906.00,906.00,906.00,906.00,0.00,125.00,113250.00,0
2024-08-05,890.10,890.10,890.10,890.10,-1.75,100.00,89010.00,-1
2024-08-07,890.20,890.20,874.00,874.00,-1.81,50.00,44105.00,-1
2024-08-08,891.40,891.40,891.40,891.40,1.99,75.00,66855.00,1
2024-08-11,879.50,885.00,879.50,885.00,-0.72,85.00,75000.00,-1
2024-08-12,885.00,900.00,885.00,900.00,1.69,75.00,67125.00,1
2024-08-13,885.00,885.00,885.00,885.00,-1.67,25.00,22125.00,-1
2024-08-21,885.10,920.70,885.10,920.70,4.03,340.00,303183.00,1
2024-08-22,934.90,972.00,934.90,972.00,5.57,190.00,180487.50,1
2024-08-25,952.60,952.60,933.60,933.60,-3.95,530.00,497278.00,-1
2024-08-26,952.60,952.60,933.60,933.60,-3.95,530.00,497278.00,-1
2024-09-03,939.00,940.00,939.00,939.20,0.60,75.00,70443.00,1
2024-09-08,920.60,920.60,920.60,920.60,-1.98,25.00,23015.00,-1
2024-09-11,920.50,920.50,920.50,920.50,-0.01,25.00,23012.50,-1
2024-09-22,938.90,938.90,938.90,938.90,2.00,50.00,46945.00,1
2024-09-23,939.00,939.00,939.00,939.00,0.01,25.00,23475.00,1
2024-09-26,924.00,924.00,923.00,923.00,-1.70,50.00,46175.00,-1
2024-10-01,941.40,941.40,941.10,941.10,1.96,55.00,51862.00,1
2024-10-02,979.00,1000.00,979.00,1000.00,4.18,120.00,118770.00,1
2024-10-03,979.00,1000.00,979.00,1000.00,4.18,120.00,118770.00,1
2024-10-06,980.00,980.00,980.00,980.00,-2.00,25.00,24500.00,-1
2024-10-09,985.00,985.00,985.00,985.00,0.51,10.00,9850.00,1
2024-10-10,985.00,985.00,985.00,985.00,0.51,10.00,9850.00,1
2024-10-13,985.00,985.00,985.00,985.00,0.51,10.00,9850.00,1
2024-10-14,985.00,985.00,985.00,985.00,0.51,10.00,9850.00,1
2024-10-15,985.00,985.00,985.00,985.00,0.00,25.00,24625.00,0
2024-10-16,980.00,980.00,980.00,980.00,-0.51,25.00,24500.00,-1
2024-10-17,999.50,999.50,999.50,999.50,1.99,30.00,29985.00,1
2024-10-29,980.00,980.00,980.00,980.00,-1.95,10.00,9800.00,-1
2024-11-10,980.00,980.00,980.00,980.00,0.00,25.00,24500.00,0
2024-11-14,980.00,980.00,980.00,980.00,0.00,50.00,49000.00,0
2024-11-24,975.00,994.50,975.00,994.50,1.48,60.00,59182.50,1
2024-12-02,985.00,985.00,985.00,985.00,-0.96,30.00,29550.00,-1
2024-12-05,985.00,985.00,985.00,985.00,0.00,30.00,29550.00,0
2024-12-11,1004.10,1004.10,1004.10,1004.10,1.94,25.00,25102.50,1
2024-12-17,1004.00,1004.00,1004.00,1004.00,-0.01,25.00,25100.00,-1
2024-12-22,1005.00,1005.00,1005.00,1005.00,0.10,25.00,25125.00,1
2025-01-01,1025.00,1025.00,1025.00,1025.00,1.99,25.00,25625.00,1
2025-01-05,1010.00,1010.00,1010.00,1010.00,-1.46,10.00,10100.00,-1
2025-01-06,1009.00,1009.00,1009.00,1009.00,-0.10,25.00,25225.00,-1
2025-01-12,1000.00,1000.00,1000.00,1000.00,-0.89,50.00,50000.00,-1
2025-01-19,980.00,980.00,975.00,975.00,-2.50,590.00,575775.00,-1
