published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1400.00,1400.00,1348.00,1350.00,-1.82,9060.00,12330333.20,-1
2021-11-05,1400.00,1400.00,1348.00,1350.00,-1.82,9060.00,12330333.20,-1
2021-11-08,1350.00,1350.00,1324.00,1324.00,-1.93,13401.00,17895040.10,-1
2021-11-09,1301.00,1319.90,1275.00,1280.00,-3.32,26492.00,34132381.20,-1
2021-11-10,1301.00,1319.90,1275.00,1280.00,-3.32,26492.00,34132381.20,-1
2021-11-11,1255.00,1281.00,1251.00,1254.00,-2.03,15495.00,19530431.20,-1
2021-11-12,1255.00,1281.00,1251.00,1254.00,-2.03,15495.00,19530431.20,-1
2021-11-15,1269.00,1279.00,1255.00,1263.00,1.45,8397.00,10618145.90,1
2021-11-16,1263.00,1269.00,1240.00,1260.00,-0.24,27664.00,34824312.70,-1
2021-11-17,1260.00,1280.00,1250.00,1250.00,-0.79,18615.00,23388190.50,-1
2021-11-18,1237.00,1251.00,1228.00,1229.00,-1.68,17174.00,21293977.30,-1
2021-11-19,1237.00,1251.00,1228.00,1229.00,-1.68,17174.00,21293977.30,-1
2021-11-22,1225.00,1259.00,1225.00,1244.00,1.14,11981.00,14950505.80,1
2021-11-23,1267.00,1267.00,1212.00,1222.00,-1.77,12616.00,15462269.30,-1
2021-11-24,1212.10,1226.00,1202.00,1217.00,-0.41,17229.00,20884470.30,-1
2021-11-25,1225.00,1239.00,1210.00,1211.00,-0.49,6188.00,7531841.80,-1
2021-11-26,1225.00,1239.00,1210.00,1211.00,-0.49,6188.00,7531841.80,-1
2021-11-29,1157.00,1195.50,1143.00,1155.00,-2.04,15966.00,18558560.40,-1
2021-11-30,1144.00,1164.80,1140.10,1159.00,0.35,13088.00,15046006.20,1
2021-12-01,1182.00,1182.00,1155.00,1161.00,0.17,6560.00,7631466.00,1
2021-12-02,1184.00,1184.00,1119.30,1125.00,-3.10,17598.00,19916367.00,-1
2021-12-03,1184.00,1184.00,1119.30,1125.00,-3.10,17598.00,19916367.00,-1
2021-12-06,1076.00,1095.00,1030.00,1069.90,-0.57,25489.00,27019033.70,-1
2021-12-07,1091.20,1120.00,1065.00,1065.00,-0.46,17758.00,19336730.10,-1
2021-12-08,1075.00,1075.00,1035.00,1037.00,-2.63,13916.00,14629149.40,-1
2021-12-09,1037.00,1053.00,1029.00,1042.00,0.48,8631.00,8949661.30,1
2021-12-10,1037.00,1053.00,1029.00,1042.00,0.48,8631.00,8949661.30,1
2021-12-13,996.00,996.00,955.00,956.00,-4.02,22197.00,21471048.20,-1
2021-12-14,974.00,1017.00,973.10,1017.00,6.38,5622.00,5591622.70,1
2021-12-15,1037.30,1085.10,999.60,1010.00,-0.69,21013.00,21733072.10,-1
2021-12-16,995.00,1009.00,988.00,990.00,-1.98,12462.00,12384234.60,-1
2021-12-17,995.00,1009.00,988.00,990.00,-1.98,12462.00,12384234.60,-1
2021-12-20,979.00,990.00,950.00,969.00,-2.12,12057.00,11685080.30,-1
2021-12-21,988.30,1008.00,975.00,990.00,2.17,8707.00,8593006.50,1
2021-12-22,1009.00,1038.00,1000.00,1023.00,3.33,11229.00,11517735.60,1
2021-12-23,1043.00,1115.00,1027.00,1105.00,8.02,33290.00,35766447.00,1
2021-12-24,1043.00,1115.00,1027.00,1105.00,8.02,33290.00,35766447.00,1
2021-12-27,1236.00,1250.00,1139.00,1142.00,-5.78,46463.00,55231324.10,-1
2021-12-28,1120.00,1141.00,1097.60,1123.00,-1.66,21547.00,24183105.70,-1
2021-12-29,1115.00,1152.60,1115.00,1145.00,1.96,13960.00,15882598.70,1
2021-12-30,1115.00,1152.60,1115.00,1145.00,1.96,13960.00,15882598.70,1
2021-12-31,1115.00,1152.60,1115.00,1145.00,1.96,13960.00,15882598.70,1
2022-01-03,1215.00,1230.00,1172.00,1200.00,0.59,35157.00,42614916.80,1
2022-01-04,1185.00,1220.00,1184.00,1200.00,0.00,12984.00,15552770.60,0
2022-01-05,1180.00,1213.00,1170.00,1175.00,-2.08,17931.00,21248222.50,-1
2022-01-06,1175.00,1205.00,1162.30,1199.00,2.04,20631.00,24577124.10,1
2022-01-07,1175.00,1205.00,1162.30,1199.00,2.04,20631.00,24577124.10,1
2022-01-10,1210.30,1254.60,1210.30,1250.00,2.04,39152.00,48593645.80,1
2022-01-11,1255.00,1294.00,1241.00,1280.00,2.40,34353.00,44093304.40,1
2022-01-12,1281.00,1295.00,1241.00,1241.00,-3.05,38802.00,49139123.40,-1
2022-01-13,1250.00,1340.00,1250.00,1315.00,5.96,47814.00,61518853.60,1
2022-01-14,1250.00,1340.00,1250.00,1315.00,5.96,47814.00,61518853.60,1
2022-01-17,1366.00,1375.00,1314.10,1323.00,-1.27,73084.00,96973299.80,-1
2022-01-18,1340.00,1340.00,1284.00,1290.00,-2.49,48203.00,62916102.90,-1
2022-01-19,1295.00,1308.00,1270.10,1274.00,-1.24,36791.00,47298750.30,-1
2022-01-20,1290.00,1309.00,1270.00,1307.00,2.59,35949.00,46490532.10,1
2022-01-21,1290.00,1309.00,1270.00,1307.00,2.59,35949.00,46490532.10,1
2022-01-24,1309.00,1309.00,1265.00,1275.00,-2.75,47730.00,61086410.60,-1
2022-01-25,1275.00,1294.00,1264.10,1266.00,-0.71,20865.00,26662631.90,-1
2022-01-26,1255.00,1276.00,1231.10,1250.00,-1.26,26513.00,33213320.10,-1
2022-01-27,1249.00,1295.40,1249.00,1272.00,1.76,26877.00,34195673.40,1
2022-01-28,1249.00,1295.40,1249.00,1272.00,1.76,26877.00,34195673.40,1
2022-01-31,1324.00,1324.00,1285.00,1291.00,-1.38,23025.00,29856977.60,-1
2022-02-01,1291.00,1300.00,1280.00,1300.00,0.70,15747.00,20392005.30,1
2022-02-02,1291.00,1300.00,1280.00,1300.00,0.70,15747.00,20392005.30,1
2022-02-03,1326.00,1326.00,1294.00,1299.00,-0.08,39543.00,51611993.50,-1
2022-02-04,1326.00,1326.00,1294.00,1299.00,-0.08,39543.00,51611993.50,-1
