published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-02-23,232.20,232.20,213.20,216.00,0.00,276758.00,60028868.90,0
2023-02-26,212.00,212.00,204.00,207.50,-3.94,129624.00,26760453.20,-1
2023-02-27,207.00,210.60,203.10,206.00,-0.72,88701.00,18158254.80,-1
2023-02-28,206.00,207.00,203.20,203.70,-1.12,62491.00,12738254.90,-1
2023-03-01,205.00,205.90,203.70,204.00,0.15,41099.00,8392332.10,1
2023-03-02,207.80,207.80,200.00,200.50,-1.72,57048.00,11525044.80,-1
2023-03-05,202.00,202.00,197.10,197.50,-1.50,78195.00,15576014.80,-1
2023-03-06,202.00,202.00,197.10,197.50,-1.50,78195.00,15576014.80,-1
2023-03-07,196.10,199.80,196.10,197.00,-0.25,40001.00,7914615.10,-1
2023-03-08,196.10,199.80,196.10,197.00,-0.25,40001.00,7914615.10,-1
2023-03-09,199.50,202.90,199.20,201.20,2.13,67668.00,13592062.70,1
2023-03-12,204.00,204.00,196.00,198.20,-1.49,58923.00,11691012.50,-1
2023-03-13,196.10,198.50,195.10,197.00,-0.61,45952.00,9015160.30,-1
2023-03-14,200.90,200.90,195.00,195.00,-1.02,57432.00,11243144.40,-1
2023-03-15,197.00,197.00,192.60,193.20,-0.92,58388.00,11302234.20,-1
2023-03-16,192.00,193.00,190.60,192.00,-0.62,55926.00,10731353.60,-1
2023-03-19,192.10,193.00,189.70,190.90,-0.57,72137.00,13758464.90,-1
2023-03-20,192.00,194.00,190.20,191.40,0.26,41833.00,8025938.10,1
2023-03-21,192.00,194.00,190.20,191.40,0.26,41833.00,8025938.10,1
2023-03-22,194.50,194.50,190.00,191.50,0.05,51533.00,9849554.60,1
2023-03-23,191.00,193.80,188.50,192.00,0.26,55968.00,10691172.40,1
2023-03-26,193.00,193.00,186.20,187.90,-2.14,85585.00,16079760.10,-1
2023-03-27,189.00,190.70,184.30,188.30,0.21,62229.00,11668533.20,1
2023-03-28,191.00,193.00,187.20,191.00,1.43,39108.00,7467494.60,1
2023-03-29,190.00,191.90,186.00,191.40,0.21,74551.00,14042749.00,1
2023-03-30,189.00,191.00,187.30,187.50,-2.04,74624.00,14052794.50,-1
2023-04-02,191.20,191.20,183.00,184.90,-1.39,74001.00,13755187.80,-1
2023-04-03,184.00,186.00,182.00,184.00,-0.49,98341.00,17978397.30,-1
2023-04-17,185.00,190.00,184.60,185.00,-0.80,42409.00,7876751.60,-1
2023-04-19,183.00,188.00,182.60,185.00,0.00,68139.00,12536848.70,0
