published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-31,1000.00,1020.00,1000.00,1020.00,2.00,30.00,30400.00,1
2024-04-01,999.60,1005.00,999.60,1000.00,-1.96,177.00,177410.00,-1
2024-04-02,1020.00,1065.00,1020.00,1031.00,3.10,56559.00,60227777.50,1
2024-04-03,1030.00,1050.60,1030.00,1050.60,2.00,130.00,135960.00,1
2024-04-07,1050.00,1050.00,1050.00,1050.00,-0.06,15.00,15750.00,-1
2024-04-08,1050.00,1050.00,1050.00,1050.00,-0.06,15.00,15750.00,-1
2024-04-09,1049.00,1049.00,1040.00,1040.00,-0.95,35.00,36490.00,-1
2024-04-10,1020.00,1020.00,1019.20,1019.20,-2.00,75.00,76480.00,-1
2024-04-11,1020.00,1020.00,1019.20,1019.20,-2.00,75.00,76480.00,-1
2024-04-14,1006.00,1006.00,1006.00,1006.00,-1.30,25.00,25150.00,-1
2024-04-15,1020.00,1020.00,1015.50,1015.50,0.94,100.00,101662.50,1
2024-04-16,1035.80,1040.20,1035.80,1040.20,2.43,37.00,38434.60,1
2024-04-17,1035.80,1040.20,1035.80,1040.20,2.43,37.00,38434.60,1
2024-04-18,1057.00,1060.00,1051.00,1060.00,1.90,105.00,110775.00,1
2024-04-21,1060.00,1060.00,1038.80,1060.00,0.00,133.00,140010.00,0
2024-04-24,1040.00,1040.00,1030.00,1030.10,-2.82,100.00,103502.50,-1
2024-04-25,1025.00,1025.50,1025.00,1025.50,-0.45,150.00,153775.00,-1
2024-04-28,1025.50,1028.00,1025.50,1028.00,0.24,50.00,51337.50,1
2024-04-29,1028.00,1028.00,1028.00,1028.00,0.00,2.00,2068.00,0
2024-04-30,1054.60,1069.00,1030.00,1030.00,0.19,237.00,249119.00,1
2024-05-01,1054.60,1069.00,1030.00,1030.00,0.19,237.00,249119.00,1
2024-05-02,1027.00,1050.60,1027.00,1050.60,2.00,150.00,156232.50,1
2024-05-05,1050.60,1050.60,1050.60,1050.60,0.89,2.00,2120.00,1
2024-05-06,1038.80,1038.80,1020.00,1020.00,-3.77,200.00,206017.50,-1
2024-05-07,1025.00,1032.70,1025.00,1032.70,1.25,50.00,51442.50,1
2024-05-12,1052.00,1053.30,1052.00,1052.00,1.87,64.00,67363.50,1
2024-05-13,1052.00,1052.00,1052.00,1052.00,0.00,2.00,2104.00,0
2024-05-14,1073.00,1073.00,1052.70,1052.70,0.07,76.00,80527.30,1
2024-05-15,1060.00,1060.00,1060.00,1060.00,1.98,2.00,2162.00,1
2024-05-16,1081.00,1081.00,1081.00,1081.00,-1.48,4.00,4290.00,-1
2024-05-19,1064.60,1064.60,1064.60,1064.60,-0.04,18.00,19336.40,-1
2024-05-20,1050.00,1050.00,1050.00,1050.00,-1.37,57.00,59880.00,-1
2024-05-21,1050.00,1065.00,1030.10,1030.10,-0.95,78.00,81887.30,-1
2024-05-22,1038.80,1038.80,1038.80,1038.80,0.84,27.00,28090.00,1
2024-05-23,1038.80,1038.80,1038.80,1038.80,0.84,27.00,28090.00,1
2024-05-26,1040.00,1040.00,1040.00,1040.00,0.12,131.00,136240.00,1
2024-05-27,1060.00,1060.80,1055.00,1055.00,1.44,69.00,73065.00,1
2024-05-28,1060.00,1060.80,1055.00,1055.00,1.44,69.00,73065.00,1
2024-05-29,1045.00,1050.00,1045.00,1050.00,-0.47,130.00,136410.00,-1
2024-05-30,1050.00,1050.00,1050.00,1050.00,0.00,4.00,4240.00,0
2024-06-02,1050.00,1050.00,1050.00,1050.00,0.00,106.00,111360.00,0
2024-06-03,1050.00,1050.00,1050.00,1050.00,0.00,56.00,58875.00,0
2024-06-04,1025.30,1060.00,1025.30,1060.00,1.92,204.00,215017.50,1
2024-06-05,1050.00,1060.00,1050.00,1051.00,-0.85,75.00,79025.00,-1
2024-06-06,1051.00,1051.00,1051.00,1051.00,0.00,4.00,4260.00,0
2024-06-09,1044.00,1044.00,1044.00,1044.00,-1.97,29.00,30160.60,-1
2024-06-12,1045.00,1045.00,1045.00,1045.00,0.10,120.00,125558.40,1
2024-06-13,1045.00,1045.00,1045.00,1045.00,0.00,6.00,6360.00,0
2024-06-16,1060.00,1060.00,1060.00,1060.00,0.00,127.00,134640.00,0
2024-06-17,1060.00,1060.00,1060.00,1060.00,0.00,127.00,134640.00,0
2024-06-18,1060.00,1060.00,1060.00,1060.00,0.00,73.00,77420.00,0
2024-06-19,1060.00,1060.00,1045.00,1060.00,0.00,74.00,78065.00,0
2024-06-20,1060.00,1060.00,1060.00,1060.00,0.00,2.00,2122.00,0
2024-06-23,1039.80,1039.80,1039.80,1039.80,-2.00,25.00,26075.80,-1
2024-06-24,1039.80,1039.80,1032.00,1032.00,-0.75,173.00,179105.40,-1
2024-06-25,1050.00,1050.00,1050.00,1050.00,1.74,75.00,78750.00,1
2024-06-26,1033.50,1055.00,1033.50,1052.00,0.19,135.00,141848.50,1
2024-06-27,1035.20,1090.00,1035.20,1090.00,3.61,285.00,308089.00,1
2024-07-01,1092.00,1095.00,1092.00,1092.00,0.18,98.00,107168.00,1
2024-07-02,1103.00,1103.00,1103.00,1103.00,1.01,110.00,121330.00,1
2024-07-03,1115.00,1115.00,1100.00,1103.00,0.00,60.00,66231.00,0
2024-07-10,1096.70,1140.00,1096.70,1140.00,3.35,60.00,67052.50,1
2024-07-16,1140.00,1140.00,1140.00,1140.00,0.00,8.00,8937.60,0
2024-07-17,1083.00,1083.00,1031.00,1031.00,-7.72,110.00,116400.50,-1
2024-07-18,1040.00,1040.00,1019.20,1019.20,-1.14,244.00,252147.30,-1
2024-07-21,1020.00,1020.00,1020.00,1020.00,0.08,158.00,161160.00,1
2024-07-24,1021.00,1021.00,1021.00,1021.00,0.10,30.00,30630.00,1
2024-07-25,1041.00,1041.00,1041.00,1041.00,1.96,23.00,23943.00,1
2024-07-29,1040.00,1041.00,1040.00,1041.00,0.00,62.00,64502.00,0
2024-07-30,1035.00,1045.00,1035.00,1045.00,0.38,525.00,548375.00,1
2024-07-31,1050.00,1050.00,1050.00,1050.00,0.48,81.00,85050.00,1
2024-08-01,1040.00,1040.00,1040.00,1040.00,-0.95,50.00,52000.00,-1
2024-08-04,1040.00,1040.00,1040.00,1040.00,-0.95,50.00,52000.00,-1
2024-08-05,1040.00,1060.80,1040.00,1040.00,0.00,100.00,104520.00,0
2024-08-07,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-08-08,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-08-11,1060.00,1060.00,1040.00,1060.00,1.92,369.00,386890.00,1
2024-08-12,1050.00,1072.00,1045.00,1072.00,1.13,400.00,420075.00,1
2024-08-13,1070.00,1070.00,1070.00,1070.00,0.00,4.00,4288.00,0
2024-08-14,1051.00,1051.00,1051.00,1051.00,-1.96,15.00,15765.00,-1
2024-08-15,1040.00,1040.00,1031.00,1031.00,-1.90,121.00,125615.00,-1
2024-08-18,1045.00,1045.00,1045.00,1045.00,1.36,25.00,26125.00,1
2024-08-19,1045.00,1045.00,1045.00,1045.00,1.36,25.00,26125.00,1
2024-08-20,1045.00,1045.00,1045.00,1045.00,1.36,25.00,26125.00,1
2024-08-21,1054.00,1054.00,1054.00,1054.00,0.86,25.00,26350.00,1
2024-08-25,1050.00,1051.00,1050.00,1050.00,-0.38,125.00,131340.00,-1
2024-08-26,1050.00,1051.00,1050.00,1050.00,-0.38,125.00,131340.00,-1
2024-08-27,1051.00,1051.00,1050.00,1050.00,0.00,130.00,136550.00,0
2024-08-29,1052.00,1052.00,1052.00,1052.00,0.19,100.00,105200.00,1
2024-09-01,1055.00,1055.00,1055.00,1055.00,0.29,225.00,237375.00,1
2024-09-03,1056.10,1056.10,1056.10,1056.10,0.10,25.00,26402.50,1
2024-09-04,1075.00,1075.00,1060.00,1060.00,0.37,45.00,48000.00,1
2024-09-08,1062.50,1062.50,1050.00,1060.00,0.00,340.00,358800.00,0
2024-09-09,1061.50,1061.50,1061.50,1061.50,0.14,25.00,26537.50,1
2024-09-10,1080.00,1080.00,1061.00,1061.00,-0.05,90.00,95965.00,-1
2024-09-16,1082.20,1082.20,1082.20,1082.20,2.00,30.00,32466.00,1
2024-09-17,1082.20,1082.20,1082.20,1082.20,2.00,30.00,32466.00,1
2024-09-18,1080.00,1080.00,1065.20,1065.20,-1.57,75.00,80630.00,-1
2024-09-19,1080.00,1080.00,1065.20,1065.20,-1.57,75.00,80630.00,-1
2024-09-22,1065.19,1065.19,1065.19,1065.19,0.00,75.00,79889.25,0
2024-09-26,1067.00,1067.00,1067.00,1067.00,0.17,30.00,32010.00,1
2024-09-29,1088.00,1088.00,1075.00,1075.00,0.75,60.00,64630.00,1
2024-09-30,1096.50,1096.50,1096.50,1096.50,2.00,500.00,548250.00,1
2024-10-06,1075.00,1075.00,1075.00,1075.00,-1.96,25.00,26875.00,-1
2024-10-08,1080.00,1080.00,1080.00,1080.00,0.47,125.00,135000.00,1
2024-10-09,1080.00,1086.30,1065.00,1086.30,0.58,125.00,135417.00,1
2024-10-10,1080.00,1086.30,1065.00,1086.30,0.58,125.00,135417.00,1
2024-10-13,1080.00,1086.30,1065.00,1086.30,0.58,125.00,135417.00,1
2024-10-14,1080.00,1086.30,1065.00,1086.30,0.58,125.00,135417.00,1
2024-10-16,1152.60,1152.60,1152.60,1152.60,6.10,125.00,143739.00,1
2024-10-17,1130.00,1130.00,1130.00,1130.00,-1.96,30.00,33875.00,-1
2024-10-21,1105.00,1158.00,1105.00,1158.00,2.48,85.00,96040.00,1
2024-10-22,1158.00,1158.00,1158.00,1158.00,0.00,51.00,59058.00,0
2024-10-24,1135.00,1135.00,1135.00,1135.00,-1.99,45.00,51075.00,-1
2024-10-27,1157.70,1157.70,1155.00,1155.00,1.76,50.00,57817.50,1
2024-11-11,1135.00,1135.00,1135.00,1135.00,-1.73,50.00,56750.00,-1
2024-11-13,1140.00,1145.00,1140.00,1145.00,0.88,55.00,62850.00,1
2024-11-14,1157.00,1157.00,1157.00,1157.00,1.05,100.00,115700.00,1
2024-11-17,1156.60,1156.60,1156.60,1156.60,-0.03,156.00,180294.00,-1
2024-11-18,1156.60,1156.60,1156.60,1156.60,-0.03,156.00,180294.00,-1
2024-11-19,1134.00,1134.00,1122.00,1122.00,-2.99,125.00,141450.00,-1
2024-11-20,1118.00,1144.00,1118.00,1144.00,1.96,310.00,350370.00,1
2024-11-24,1122.00,1122.00,1122.00,1122.00,-1.92,25.00,28050.00,-1
2024-12-02,1122.00,1144.00,1122.00,1144.00,1.96,65.00,73810.00,1
2024-12-09,1124.00,1124.00,1124.00,1124.00,-1.75,100.00,112400.00,-1
2024-12-10,1146.00,1150.00,1130.00,1131.00,0.62,165.00,188440.00,1
2024-12-11,1135.00,1135.00,1135.00,1135.00,0.35,25.00,28375.00,1
2024-12-12,1122.00,1125.10,1122.00,1125.00,-0.88,50.00,56176.00,-1
2024-12-15,1122.00,1125.10,1122.00,1125.00,-0.88,50.00,56176.00,-1
2024-12-17,1130.00,1130.00,1130.00,1130.00,0.44,200.00,226000.00,1
2024-12-18,1143.00,1143.00,1143.00,1143.00,1.15,25.00,28575.00,1
2024-12-23,1143.00,1200.00,1143.00,1200.00,4.99,1071.00,1283515.30,1
2024-12-26,1176.00,1176.00,1176.00,1176.00,-2.00,25.00,29400.00,-1
2024-12-29,1153.00,1153.00,1153.00,1153.00,-1.96,25.00,28825.00,-1
2024-12-30,1153.00,1153.00,1153.00,1153.00,-1.96,25.00,28825.00,-1
2024-12-31,1154.00,1154.00,1154.00,1154.00,0.09,25.00,28850.00,1
2025-01-02,1176.50,1177.00,1170.00,1177.00,1.99,180.00,210972.50,1
