published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-20,107.10,111.30,107.10,111.30,6.00,30.00,3276.00,1
2023-03-21,107.10,111.30,107.10,111.30,6.00,30.00,3276.00,1
2023-03-22,113.50,122.40,113.50,122.40,9.97,50.00,5899.00,1
2023-03-23,124.80,134.60,124.80,134.60,9.97,10030.00,1300891.00,1
2023-03-26,137.20,148.00,137.20,148.00,9.96,140.00,20149.00,1
2023-03-27,150.90,162.80,150.90,162.80,10.00,8017.00,1299431.40,1
2023-03-28,166.00,169.00,163.00,166.20,2.09,27095.00,4499126.20,1
2023-03-29,169.50,169.50,163.70,166.00,-0.12,4654.00,768990.00,-1
2023-03-30,163.20,166.80,163.00,163.50,-1.51,3234.00,533244.00,-1
2023-04-02,161.00,163.00,159.00,159.10,-2.69,24649.00,3960901.00,-1
2023-04-03,158.00,163.50,156.00,162.00,1.82,13812.00,2190350.60,1
2023-04-17,180.40,180.40,180.40,180.40,0.00,50.00,9020.00,0
2023-04-19,176.80,180.20,176.80,180.20,3.92,7010.00,1239402.00,1
2023-04-20,180.00,180.00,180.00,180.00,-0.11,300.00,54000.00,-1
2023-04-23,176.40,176.40,166.50,168.00,-6.67,6613.00,1113082.80,-1
2023-04-24,168.00,171.30,168.00,171.30,1.96,4680.00,786834.00,1
2023-04-25,167.90,171.30,167.90,168.10,-1.87,2763.00,470691.20,-1
2023-04-26,168.00,174.80,168.00,172.90,2.86,16578.00,2831572.70,1
2023-04-27,169.50,174.40,169.50,171.00,-1.10,3079.00,523561.10,-1
2023-04-30,171.00,172.60,168.00,168.00,-1.75,11688.00,1998309.80,-1
2023-05-01,171.00,172.60,168.00,168.00,-1.75,11688.00,1998309.80,-1
2023-05-02,168.00,177.30,168.00,170.60,1.55,49414.00,8356838.80,1
2023-05-03,173.90,173.90,168.60,173.90,1.93,6950.00,1197539.60,1
2023-05-04,175.00,175.00,171.60,171.60,-1.32,2011.00,345872.80,-1
2023-05-07,170.00,170.00,170.00,170.00,-0.93,91.00,15470.00,-1
2023-05-08,168.00,176.80,168.00,176.80,4.00,1623.00,278480.40,1
2023-05-09,173.30,173.30,169.90,169.90,-3.90,114.00,19704.00,-1
2023-05-10,171.00,173.00,166.00,166.00,-2.30,7583.00,1278258.40,-1
2023-05-11,169.00,172.60,169.00,172.60,3.98,121.00,20815.60,1
2023-05-15,169.30,169.30,167.00,167.00,-3.24,1697.00,284703.00,-1
2023-05-16,167.00,167.00,167.00,167.00,0.00,524.00,87508.00,0
2023-05-17,168.00,168.00,168.00,168.00,0.60,500.00,84000.00,1
2023-05-18,171.00,184.80,171.00,181.20,7.86,5754.00,1005832.00,1
2023-05-21,177.60,177.60,172.00,172.00,-5.08,1894.00,330783.70,-1
2023-05-22,173.90,173.90,173.90,173.90,1.10,37.00,6434.30,1
2023-05-23,173.90,176.00,173.90,176.00,1.21,3708.00,651227.80,1
2023-05-24,175.50,175.50,173.00,173.00,-1.70,2027.00,350931.00,-1
2023-05-25,175.50,175.50,173.00,173.00,-1.70,2027.00,350931.00,-1
2023-05-28,169.60,176.00,169.00,174.00,0.58,5573.00,957773.30,1
2023-05-29,169.60,176.00,169.00,174.00,0.58,5573.00,957773.30,1
2023-05-30,170.60,173.00,160.80,171.00,-1.72,19738.00,3286295.60,-1
2023-05-31,167.60,167.60,156.40,156.40,-8.54,32803.00,5291162.20,-1
2023-06-01,158.00,164.30,147.10,147.10,-5.95,44297.00,6867755.90,-1
2023-06-04,146.00,161.80,146.00,158.60,7.82,6644.00,1064861.60,1
2023-06-05,161.00,161.60,156.20,156.20,-1.51,3930.00,631986.40,-1
2023-06-06,158.00,159.00,156.00,159.00,1.79,5139.00,807982.00,1
2023-06-07,156.00,159.10,156.00,159.10,0.06,1567.00,248503.00,1
2023-06-08,161.00,161.00,157.00,159.00,-0.06,6948.00,1098182.00,-1
2023-06-11,156.20,160.00,156.20,159.00,0.00,8890.00,1400435.00,0
2023-06-12,159.00,160.00,155.00,156.10,-1.82,9005.00,1409744.50,-1
2023-06-13,155.50,162.90,153.00,162.50,4.10,12001.00,1861820.10,1
2023-06-14,159.30,163.00,156.20,161.00,-0.92,19308.00,3085077.50,-1
2023-06-15,160.00,160.00,154.00,156.00,-3.11,8331.00,1307209.00,-1
2023-06-18,155.10,156.20,155.10,155.10,-0.58,8262.00,1285163.10,-1
2023-06-19,157.90,157.90,155.00,155.20,0.06,7278.00,1141477.60,1
2023-06-20,156.20,156.60,156.20,156.50,0.84,12437.00,1946300.50,1
2023-06-21,156.50,156.50,155.10,155.10,-0.89,2000.00,310934.00,-1
2023-06-22,157.00,157.00,155.00,155.00,-0.06,23723.00,3688922.90,-1
2023-06-25,157.00,164.50,157.00,164.50,6.13,15033.00,2391321.40,1
2023-06-26,165.00,175.00,165.00,171.50,4.26,9457.00,1586358.00,1
2023-06-27,168.10,168.10,160.70,162.50,-5.25,16973.00,2790732.20,-1
2023-06-28,163.00,170.50,157.00,170.50,4.92,30848.00,4996388.50,1
2023-06-29,163.00,170.50,157.00,170.50,4.92,30848.00,4996388.50,1
2023-07-02,172.00,172.00,172.00,172.00,0.88,100.00,17200.00,1
2023-07-04,168.60,168.60,165.30,165.30,-3.90,210.00,34746.00,-1
2023-07-05,162.00,162.00,148.80,161.00,-2.60,38410.00,5814425.30,-1
2023-07-06,157.80,158.90,151.00,153.00,-4.97,54462.00,8240761.00,-1
2023-07-09,153.10,153.10,148.00,149.30,-2.42,65498.00,9806634.20,-1
2023-07-10,150.00,150.30,147.00,150.30,0.67,11439.00,1700656.00,1
2023-07-11,147.30,147.50,147.00,147.10,-2.13,6332.00,931812.20,-1
2023-07-12,150.00,153.00,147.00,147.00,-0.07,12677.00,1878257.20,-1
2023-07-13,149.90,149.90,145.20,148.00,0.68,18947.00,2797611.00,1
2023-07-16,150.90,153.90,148.00,153.90,3.99,335934.00,50241132.50,1
2023-07-17,150.90,154.90,150.00,154.90,0.65,9821.00,1492407.60,1
2023-07-18,156.00,157.90,154.80,156.10,0.77,6842.00,1064665.60,1
2023-07-19,154.20,160.90,153.10,156.00,-0.06,278086.00,42794178.50,-1
2023-07-20,159.10,164.00,158.00,161.10,3.27,19130.00,3054504.00,1
2023-07-23,163.80,169.30,163.80,169.00,4.90,24798.00,4141065.80,1
2023-07-24,165.70,176.60,164.20,174.40,3.20,120685.00,20578309.40,1
2023-07-25,171.00,171.00,161.10,163.00,-6.54,58276.00,9674940.70,-1
2023-07-26,163.00,164.90,162.00,163.00,0.00,5797.00,939852.30,0
2023-07-27,160.30,160.40,158.00,158.00,-3.07,3442.00,550359.20,-1
2023-07-30,155.30,161.10,155.30,157.90,-0.06,1970.00,315214.20,-1
2023-07-31,160.00,163.10,158.00,163.10,3.29,3445.00,548446.50,1
2023-08-01,163.00,163.00,157.00,161.00,-1.29,9109.00,1460942.00,-1
2023-08-02,160.00,161.00,158.00,158.00,-1.86,8500.00,1360008.50,-1
2023-08-03,160.00,163.00,160.00,163.00,3.16,2413.00,387399.00,1
2023-08-06,163.00,163.00,151.90,154.90,-4.97,8975.00,1412170.70,-1
2023-08-07,152.20,152.20,148.00,152.00,-1.87,8693.00,1304089.80,-1
2023-08-09,143.40,147.30,143.10,147.30,0.89,9512.00,1374678.10,1
2023-08-10,148.00,150.20,145.00,145.00,-1.56,10968.00,1619207.60,-1
2023-08-13,146.50,150.80,146.20,147.20,1.52,14006.00,2055559.20,1
2023-08-14,150.00,159.00,150.00,152.80,3.80,3085.00,469216.00,1
2023-08-15,155.00,155.00,147.60,148.00,-3.14,2362.00,351663.60,-1
2023-08-16,150.90,150.90,146.40,148.00,0.00,18101.00,2692774.80,0
2023-08-17,146.20,150.90,146.20,148.80,0.54,4462.00,664648.40,1
2023-08-20,145.90,151.70,145.90,147.20,-1.08,2876.00,432885.20,-1
2023-08-21,150.10,150.10,147.10,147.60,0.27,9860.00,1452634.20,1
2023-08-22,147.00,155.00,147.00,155.00,5.01,3611.00,540056.70,1
2023-08-23,155.90,155.90,147.50,154.00,-0.65,5063.00,761751.40,-1
2023-08-24,151.00,154.00,148.00,148.00,-3.90,520.00,77310.00,-1
2023-08-27,150.90,150.90,147.90,150.80,1.89,1020.00,150917.00,1
2023-08-28,147.80,150.00,147.80,148.00,-1.86,4360.00,649539.00,-1
2023-08-29,148.00,149.00,147.00,147.70,-0.20,4100.00,605373.00,-1
2023-08-30,150.00,150.60,147.60,147.60,-0.07,935.00,138852.00,-1
2023-08-31,150.00,150.60,147.60,147.60,-0.07,935.00,138852.00,-1
2023-09-03,147.00,147.00,147.00,147.00,-0.41,1000.00,147000.00,-1
2023-09-04,148.00,152.80,146.50,146.50,-0.34,4472.00,665353.00,-1
2023-09-05,148.00,148.00,144.10,144.10,-1.64,10527.00,1527999.20,-1
2023-09-06,148.00,148.00,144.10,144.10,-1.64,10527.00,1527999.20,-1
2023-09-07,144.10,149.70,144.10,146.20,1.46,55416.00,8001580.30,1
2023-09-10,149.00,151.90,148.90,151.90,3.90,2872.00,432986.00,1
2023-09-11,152.10,154.00,149.00,154.00,1.38,4400.00,665872.00,1
2023-09-12,151.00,151.00,151.00,151.00,-1.95,100.00,15100.00,-1
2023-09-13,152.90,152.90,149.00,149.00,-1.32,1532.00,230801.20,-1
2023-09-14,152.90,152.90,149.00,149.00,-1.32,1532.00,230801.20,-1
2023-09-17,150.00,150.00,150.00,150.00,0.67,40.00,6000.00,1
2023-09-18,150.00,153.00,145.20,153.00,2.00,11042.00,1642749.80,1
2023-09-19,150.00,153.90,147.10,153.90,0.59,5615.00,835740.70,1
2023-09-20,150.00,153.90,147.10,153.90,0.59,5615.00,835740.70,1
2023-09-21,156.90,156.90,154.00,156.80,1.88,7410.00,1155039.20,1
2023-09-24,153.70,156.00,150.70,156.00,-0.51,175.00,26515.50,-1
2023-09-25,159.00,159.00,152.80,155.70,-0.19,130.00,20020.00,-1
2023-09-26,153.50,153.50,150.00,150.20,-3.53,4349.00,658189.40,-1
2023-09-27,147.50,150.50,145.00,150.30,0.07,75312.00,11072780.80,1
2023-09-28,147.50,150.50,145.00,150.30,0.07,75312.00,11072780.80,1
2023-10-01,148.20,148.20,148.00,148.00,-1.53,1948.00,288424.00,-1
2023-10-02,148.00,150.00,146.00,146.00,-1.35,33452.00,4919889.70,-1
2023-10-03,148.90,148.90,144.00,146.00,0.00,46530.00,6748468.50,0
2023-10-04,147.00,147.90,144.10,147.90,1.30,5435.00,789611.50,1
2023-10-05,146.00,147.50,145.00,145.20,-1.83,4669.00,677585.40,-1
2023-10-08,147.50,147.50,144.30,144.30,-0.62,18147.00,2635597.00,-1
2023-10-09,143.00,145.90,143.00,145.00,0.49,12066.00,1733165.20,1
2023-10-10,145.00,145.00,144.10,144.10,-0.62,11746.00,1698533.60,-1
2023-10-11,144.00,145.80,143.50,145.00,0.62,10851.00,1572426.00,1
2023-10-12,146.90,146.90,143.00,144.00,-0.69,45966.00,6662859.00,-1
2023-10-15,146.90,146.90,143.00,144.00,-0.69,45966.00,6662859.00,-1
2023-10-16,146.50,146.50,141.10,142.50,-1.04,5157.00,742152.50,-1
2023-10-17,145.00,145.00,141.60,144.80,1.61,134693.00,19263693.30,1
2023-10-18,145.20,147.20,145.00,147.20,1.66,16528.00,2401480.60,1
2023-10-19,144.30,146.90,143.10,145.90,-0.88,37749.00,5463633.60,-1
2023-10-22,144.30,146.90,143.10,145.90,-0.88,37749.00,5463633.60,-1
2023-10-23,144.30,146.90,143.10,145.90,-0.88,37749.00,5463633.60,-1
2023-10-24,144.30,146.90,143.10,145.90,-0.88,37749.00,5463633.60,-1
2023-10-25,144.30,146.90,143.10,145.90,-0.88,37749.00,5463633.60,-1
2023-10-26,144.30,146.90,143.10,145.90,-0.88,37749.00,5463633.60,-1
2023-10-29,143.00,143.00,137.50,141.60,-2.95,1299.00,184128.30,-1
2023-10-30,139.10,144.60,139.10,144.60,2.12,1440.00,206972.00,1
2023-10-31,141.90,146.00,141.90,145.90,0.90,3351.00,488044.30,1
2023-11-01,144.00,144.50,144.00,144.50,-0.96,5010.00,723940.00,-1
2023-11-02,142.50,143.00,141.00,142.00,-1.73,13510.00,1927114.00,-1
2023-11-05,139.70,142.40,138.10,138.10,-2.75,54520.00,7634055.10,-1
2023-11-06,140.50,142.00,139.00,142.00,2.82,17108.00,2394625.50,1
2023-11-07,139.20,142.00,139.00,139.00,-2.11,26582.00,3756100.00,-1
2023-11-08,140.10,140.10,138.00,138.30,-0.50,259680.00,36029284.80,-1
2023-11-09,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-12,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-13,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-14,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-15,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-16,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-19,136.10,140.00,136.10,138.80,0.36,8630.00,1199773.00,1
2023-11-20,141.50,143.80,139.10,143.80,3.60,5350.00,758229.40,1
2023-11-21,141.00,143.50,138.50,140.70,-2.16,8568.00,1208743.00,-1
2023-11-22,138.00,140.70,137.90,139.00,-1.21,41352.00,5783454.00,-1
2023-11-23,140.70,142.20,139.00,142.20,2.30,5326.00,754846.50,1
2023-11-26,141.00,143.80,141.00,143.60,0.98,6665.00,950474.00,1
2023-11-27,146.00,146.40,143.50,143.50,-0.07,7130.00,1031490.00,-1
2023-11-28,144.90,150.90,144.90,149.00,3.83,83383.00,12232560.00,1
2023-11-29,151.90,151.90,146.10,146.10,-1.95,3020.00,447619.00,-1
2023-11-30,144.00,144.00,144.00,144.00,-1.44,2500.00,360000.00,-1
2023-12-03,146.80,146.80,143.70,146.50,1.74,371.00,54100.60,1
2023-12-05,148.00,148.00,142.00,142.00,-3.07,3379.00,487018.00,-1
2023-12-06,141.10,141.10,141.00,141.10,-0.63,237.00,33439.70,-1
2023-12-07,143.90,146.70,143.90,146.70,3.97,10100.00,1472272.00,1
2023-12-10,148.00,151.90,148.00,151.90,3.54,1100.00,163990.00,1
2023-12-11,151.90,151.90,143.10,145.00,-4.54,38968.00,5677120.20,-1
2023-12-12,142.30,147.90,142.30,147.90,2.00,8491.00,1240612.00,1
2023-12-13,145.00,148.50,145.00,147.00,-0.61,19971.00,2932581.90,-1
2023-12-14,147.00,147.00,145.00,145.20,-1.22,21621.00,3162743.80,-1
2023-12-17,145.00,145.80,142.30,144.80,-0.28,107623.00,15494370.40,-1
2023-12-18,146.00,156.40,146.00,152.80,5.52,14555.00,2190964.00,1
2023-12-19,153.00,155.70,151.00,152.90,0.07,9584.00,1465171.70,1
2023-12-20,150.30,153.00,150.00,153.00,0.07,74948.00,11309705.60,1
2023-12-21,155.00,155.00,148.00,152.00,-0.65,17951.00,2708040.00,-1
2023-12-24,152.00,152.00,148.00,148.00,-2.63,36366.00,5489810.00,-1
2023-12-25,152.00,152.00,148.00,148.00,-2.63,36366.00,5489810.00,-1
2023-12-26,152.00,152.00,148.00,148.00,-2.63,36366.00,5489810.00,-1
2023-12-27,149.40,150.90,148.00,148.00,0.00,9440.00,1397765.00,0
2023-12-28,149.70,149.70,147.00,148.30,0.20,2028.00,299732.80,1
2023-12-31,149.70,149.70,147.00,148.30,0.20,2028.00,299732.80,1
2024-01-01,146.00,148.70,143.20,143.20,-3.44,13432.00,1970357.40,-1
2024-01-02,142.50,145.30,140.80,140.80,-1.68,10951.00,1555791.50,-1
2024-01-03,143.00,147.80,143.00,144.90,2.91,2666.00,383131.10,1
2024-01-04,144.90,144.90,143.00,143.00,-1.31,13215.00,1913525.50,-1
2024-01-07,140.50,143.00,140.00,142.00,-0.70,6396.00,899805.80,-1
2024-01-08,140.00,143.00,140.00,142.00,0.00,22364.00,3194106.20,0
2024-01-09,143.00,144.80,141.00,144.80,1.97,116851.00,16701980.20,1
2024-01-10,144.80,147.60,142.10,142.10,-1.86,10700.00,1555828.20,-1
2024-01-11,144.90,147.00,141.10,141.10,-0.70,11475.00,1636127.10,-1
2024-01-14,143.90,146.70,140.00,146.00,3.47,26999.00,3796326.10,1
2024-01-15,143.90,146.70,140.00,146.00,3.47,26999.00,3796326.10,1
2024-01-16,143.10,151.70,143.10,150.90,3.36,10721.00,1585544.50,1
2024-01-17,151.00,151.90,148.00,148.00,-1.92,11075.00,1654629.80,-1
2024-01-18,148.00,150.00,147.00,148.00,0.00,7750.00,1155525.80,0
2024-01-21,145.10,150.20,145.10,148.00,0.00,37554.00,5520841.20,0
2024-01-22,148.00,148.00,145.10,145.10,-1.96,32437.00,4789522.40,-1
2024-01-23,142.20,145.00,142.20,142.40,-1.86,2968.00,427967.60,-1
2024-01-24,144.00,148.10,142.60,142.70,0.21,3866.00,558039.90,1
2024-01-25,139.90,145.50,139.90,141.50,-0.84,485592.00,67959558.00,-1
2024-01-28,141.00,142.00,140.50,142.00,0.35,2941.00,415871.50,1
2024-01-29,139.30,142.00,139.30,140.00,-1.41,1931.00,273074.00,-1
2024-01-30,138.60,142.80,138.60,142.80,2.00,2283.00,323740.00,1
2024-01-31,143.00,143.00,141.50,141.60,-0.84,701.00,100100.60,-1
2024-02-01,142.00,142.00,139.10,140.00,-1.13,8075.00,1136008.50,-1
2024-02-04,140.00,141.50,138.10,138.10,-1.36,5260.00,731101.80,-1
2024-02-05,138.00,140.00,137.30,139.20,0.80,5697.00,795164.60,1
2024-02-06,139.10,141.10,139.00,140.00,0.57,3466.00,482855.80,1
2024-02-07,140.00,140.00,139.10,139.20,-0.57,2326.00,323724.20,-1
2024-02-08,141.00,141.00,138.10,138.50,-0.50,54381.00,7653298.20,-1
2024-02-11,138.10,139.00,138.00,139.00,0.36,12078.00,1670284.90,1
2024-02-12,137.50,141.80,137.30,141.80,2.01,1191.00,164504.50,1
2024-02-13,140.90,141.00,139.00,141.00,-0.56,951.00,132680.50,-1
2024-02-14,143.00,143.80,138.30,141.00,0.00,10514.00,1487205.80,0
2024-02-18,141.00,141.00,139.00,141.00,0.00,3271.00,456397.00,0
2024-02-19,141.00,141.00,139.00,141.00,0.00,3271.00,456397.00,0
2024-02-20,138.30,138.30,138.30,138.30,-1.91,10.00,1383.00,-1
2024-02-21,136.60,143.80,136.60,143.80,3.98,530.00,74714.00,1
2024-02-22,141.00,141.00,138.50,138.50,-3.69,2283.00,316220.50,-1
2024-02-25,136.30,137.00,135.80,135.80,-1.95,10873.00,1481296.90,-1
2024-02-26,136.00,136.00,135.90,135.90,0.07,155.00,21069.50,1
2024-02-27,135.90,136.00,134.50,134.70,-0.88,10983.00,1485718.40,-1
2024-02-28,135.40,137.30,135.20,135.20,0.37,1935.00,262154.50,1
2024-02-29,137.90,137.90,135.20,137.90,2.00,7545.00,1027314.50,1
