published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,1015.00,1020.00,1015.00,1020.00,-0.97,177.00,179705.00,-1
2021-11-09,1000.00,1000.00,1000.00,1000.00,-1.96,25.00,25000.00,-1
2021-11-10,1000.00,1000.00,1000.00,1000.00,-1.96,25.00,25000.00,-1
2021-11-11,1010.00,1010.00,1010.00,1010.00,1.00,50.00,50500.00,1
2021-11-12,1010.00,1010.00,1010.00,1010.00,1.00,50.00,50500.00,1
2021-11-16,999.00,999.00,999.00,999.00,-0.20,25.00,24975.00,-1
2021-11-18,1000.00,1000.50,999.60,1000.50,0.15,100.00,100015.00,1
2021-11-19,1000.00,1000.50,999.60,1000.50,0.15,100.00,100015.00,1
2021-11-23,1000.00,1000.00,999.10,999.10,0.24,50.00,49971.20,1
2021-11-24,1017.90,1018.00,1015.00,1018.00,1.89,75.00,76304.00,1
2021-12-15,1010.00,1018.00,1010.00,1018.00,0.00,125.00,127050.00,0
2021-12-21,1000.00,1000.00,992.50,992.50,-2.50,25.00,24887.50,-1
2021-12-22,993.50,993.50,993.50,993.50,0.10,25.00,24837.50,1
2021-12-27,1000.00,1000.00,1000.00,1000.00,0.65,200.00,200000.00,1
2022-01-03,1020.00,1025.00,1020.00,1025.00,1.99,60.00,61250.00,1
2022-01-05,1025.00,1025.00,1025.00,1025.00,0.00,25.00,25625.00,0
2022-01-10,1025.00,1025.00,1025.00,1025.00,0.00,25.00,25625.00,0
2022-01-11,1025.00,1030.00,1025.00,1030.00,0.49,75.00,77000.00,1
2022-01-17,1009.40,1009.40,989.30,989.30,-3.95,50.00,49967.50,-1
2022-01-26,985.00,985.00,985.00,985.00,1.55,300.00,295500.00,1
2022-02-01,990.00,990.00,990.00,990.00,0.51,200.00,198000.00,1
2022-02-02,990.00,990.00,990.00,990.00,0.51,200.00,198000.00,1
2022-07-05,931.00,931.00,931.00,931.00,-0.09,25.00,23275.00,-1
2022-07-19,914.00,914.00,914.00,914.00,-1.83,235.00,214790.00,-1
2022-07-24,900.10,900.10,900.10,900.10,-1.52,25.00,22502.50,-1
2022-07-28,900.10,900.10,896.00,896.00,-0.46,227.00,203597.00,-1
2022-08-01,896.00,896.00,896.00,896.00,0.00,25.00,22400.00,0
2022-08-31,913.90,913.90,903.00,903.00,0.78,160.00,144589.00,1
2022-09-08,921.00,921.00,921.00,921.00,1.99,327.00,301167.00,1
2022-09-09,921.00,921.00,921.00,921.00,1.99,327.00,301167.00,1
2022-09-14,932.50,932.50,932.50,932.50,1.25,53.00,49422.50,1
2022-09-18,930.00,930.00,930.00,930.00,-0.27,27.00,25110.00,-1
2022-09-19,930.00,930.00,930.00,930.00,-0.27,27.00,25110.00,-1
2022-10-09,930.00,930.00,930.00,930.00,0.00,21.00,19530.00,0
2023-01-05,911.40,911.40,911.40,911.40,-2.00,20.00,18228.00,-1
2023-03-09,929.50,929.50,929.50,929.50,1.99,30.00,27885.00,1
2023-03-22,912.00,912.00,912.00,912.00,-1.88,25.00,22800.00,-1
2023-05-15,893.80,893.80,893.80,893.80,-2.00,25.00,22345.00,-1
2023-06-06,878.00,878.00,878.00,878.00,-1.77,25.00,21950.00,-1
2023-06-14,880.10,880.10,880.10,880.10,0.24,10.00,8801.00,1
2023-07-12,897.70,897.70,897.70,897.70,2.00,25.00,22442.50,1
2023-07-13,915.60,987.40,915.60,987.40,9.99,50.00,47609.00,1
2023-07-16,1001.00,1001.00,1001.00,1001.00,1.38,10.00,10010.00,1
2023-07-18,981.00,981.00,981.00,981.00,-2.00,10.00,9810.00,-1
2023-08-14,961.40,961.40,961.40,961.40,-2.00,25.00,24035.00,-1
2023-08-27,975.00,980.60,975.00,980.60,2.00,49.00,47909.40,1
2023-11-05,961.00,961.00,961.00,961.00,-2.00,10.00,9610.00,-1
2023-11-26,961.10,961.10,961.10,961.10,0.01,25.00,24027.50,1
2023-11-27,943.00,943.00,943.00,943.00,-1.88,25.00,23575.00,-1
2023-12-07,961.80,961.80,961.80,961.80,1.99,49.00,47128.20,1
2023-12-11,965.00,984.00,965.00,984.00,2.31,90.00,87635.00,1
2023-12-13,990.00,995.00,990.00,995.00,1.12,100.00,99250.00,1
2023-12-14,976.00,976.00,976.00,976.00,-1.91,25.00,24400.00,-1
2023-12-18,965.00,994.00,965.00,994.00,1.84,1000.00,975450.00,1
2024-01-01,998.00,998.00,998.00,998.00,0.40,50.00,49900.00,1
2024-01-09,982.00,982.00,982.00,982.00,-1.60,50.00,49100.00,-1
2024-01-16,979.00,979.00,979.00,979.00,-0.31,300.00,293700.00,-1
2024-01-18,960.00,960.00,960.00,960.00,-1.94,19.00,18240.00,-1
2024-01-24,955.00,955.00,955.00,955.00,-0.52,25.00,23875.00,-1
2024-01-25,970.00,970.00,970.00,970.00,1.57,25.00,24250.00,1
2024-01-29,980.00,980.00,980.00,980.00,1.03,999.00,979020.00,1
2024-01-31,999.60,999.60,999.60,999.60,2.00,100.00,99960.00,1
2024-02-06,999.00,999.00,999.00,999.00,-0.06,20.00,19980.00,-1
2024-02-11,999.00,999.00,999.00,999.00,0.00,25.00,24975.00,0
2024-02-29,999.00,999.00,999.00,999.00,0.00,25.00,24975.00,0
2024-04-03,1000.00,1000.00,1000.00,1000.00,0.10,100.00,100000.00,1
2024-04-16,1020.00,1020.00,1020.00,1020.00,2.00,50.00,51000.00,1
2024-04-17,1020.00,1020.00,1020.00,1020.00,2.00,50.00,51000.00,1
2024-05-13,1022.50,1022.50,1022.50,1022.50,0.25,25.00,25562.50,1
2024-05-14,1040.00,1040.00,1040.00,1040.00,1.71,25.00,26000.00,1
2024-05-22,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-05-23,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-05-29,1045.00,1045.00,1045.00,1045.00,0.48,25.00,26125.00,1
2024-06-02,1050.00,1050.00,1050.00,1050.00,0.48,50.00,52500.00,1
2024-06-04,1035.00,1035.00,1035.00,1035.00,-1.43,25.00,25875.00,-1
2024-06-27,1076.00,1076.00,1076.00,1076.00,3.96,25.00,26795.00,1
2024-07-02,1055.10,1061.00,1055.10,1061.00,-1.39,2050.00,2163250.00,-1
2024-07-07,1060.00,1060.00,1060.00,1060.00,-0.09,2000.00,2120000.00,-1
2024-07-15,1045.10,1045.10,1045.10,1045.10,-1.41,25.00,26127.50,-1
2024-07-31,1025.10,1025.20,1025.10,1025.20,-1.90,50.00,51257.50,-1
2024-08-01,1030.00,1030.00,1030.00,1030.00,0.47,25.00,25750.00,1
2024-08-04,1030.00,1030.00,1030.00,1030.00,0.47,25.00,25750.00,1
2024-08-07,1030.00,1030.00,1030.00,1030.00,0.00,25.00,25750.00,0
2024-08-12,1030.10,1030.10,1030.10,1030.10,0.01,25.00,25752.50,1
2024-08-13,1027.00,1027.00,1027.00,1027.00,-0.30,25.00,25675.00,-1
2024-08-14,1035.00,1035.00,1035.00,1035.00,0.78,85.00,87975.00,1
2024-08-18,1035.10,1035.10,1030.00,1030.00,-0.48,50.00,51627.50,-1
2024-08-19,1035.10,1035.10,1030.00,1030.00,-0.48,50.00,51627.50,-1
2024-08-20,1035.10,1035.10,1030.00,1030.00,-0.48,50.00,51627.50,-1
2024-08-21,1030.10,1030.10,1030.10,1030.10,0.01,25.00,25752.50,1
2024-08-22,1031.00,1031.00,1030.30,1030.30,0.02,75.00,77290.00,1
2024-08-27,1032.40,1033.10,1032.40,1033.10,0.27,50.00,51637.50,1
2024-08-29,1040.00,1040.00,1040.00,1040.00,0.67,50.00,52000.00,1
2024-09-03,1050.00,1050.00,1050.00,1050.00,0.96,25.00,26250.00,1
