published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-11-30,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2023-01-29,980.00,980.00,980.00,980.00,-2.00,25.00,24500.00,-1
2023-04-27,960.40,960.40,886.60,886.60,-9.53,85.00,79115.00,-1
2023-05-04,869.00,869.00,834.70,834.70,-5.85,55.00,46421.50,-1
2023-05-07,818.10,818.10,755.00,761.00,-8.83,155.00,118779.00,-1
2023-05-08,756.10,762.00,747.10,756.30,-0.62,215.00,162668.70,-1
2023-05-09,771.40,780.00,771.20,772.00,2.08,166.00,128272.00,1
2023-05-10,760.00,821.90,760.00,776.00,0.52,120.00,93829.00,1
2023-05-14,763.20,763.20,762.10,762.10,-1.79,70.00,53404.20,-1
2023-05-17,763.50,763.50,763.50,763.50,0.18,70.00,53445.00,1
2023-05-23,763.90,763.90,763.90,763.90,0.05,50.00,38195.00,1
2023-05-24,765.00,765.00,765.00,765.00,0.14,25.00,19125.00,1
2023-05-25,765.00,765.00,765.00,765.00,0.14,25.00,19125.00,1
2023-05-28,765.00,827.00,765.00,811.00,6.01,100.00,79271.00,1
2023-05-29,765.00,827.00,765.00,811.00,6.01,100.00,79271.00,1
2023-05-30,810.00,810.00,810.00,810.00,-0.12,10.00,8100.00,-1
2023-06-06,809.00,809.00,805.00,805.00,-0.62,25.00,20185.00,-1
2023-06-07,790.00,790.00,780.00,780.00,-3.11,50.00,39250.00,-1
2023-06-08,780.00,780.00,765.10,765.10,-1.91,50.00,38701.00,-1
2023-06-14,780.40,780.40,765.10,765.10,0.00,40.00,30833.50,0
2023-06-15,775.00,775.00,775.00,775.00,1.29,25.00,19375.00,1
2023-06-18,790.50,790.50,790.50,790.50,2.00,20.00,15810.00,1
2023-06-19,790.00,790.00,790.00,790.00,-0.06,25.00,19750.00,-1
2023-06-27,785.10,800.00,785.00,800.00,1.27,200.00,159101.50,1
2023-07-06,800.00,800.00,800.00,800.00,0.00,75.00,60000.00,0
2023-07-11,795.00,795.00,790.10,790.10,-1.24,62.00,49157.70,-1
2023-07-12,790.10,790.10,790.10,790.10,0.00,25.00,19752.50,0
2023-07-13,805.90,805.90,805.90,805.90,2.00,15.00,12088.50,1
2023-07-17,789.80,789.80,789.80,789.80,-2.00,15.00,11847.00,-1
2023-07-18,789.80,837.50,789.80,837.50,6.04,110.00,89272.50,1
2023-07-19,820.80,820.80,820.80,820.80,-1.99,15.00,12312.00,-1
2023-07-23,815.00,815.00,815.00,815.00,-0.71,25.00,20375.00,-1
2023-07-24,810.00,810.00,810.00,810.00,-0.61,25.00,20250.00,-1
2023-07-30,823.00,823.00,823.00,823.00,1.60,25.00,20575.00,1
2023-08-23,807.00,807.00,790.00,790.00,-4.01,90.00,71658.50,-1
2023-08-24,775.00,775.00,775.00,775.00,-1.90,10.00,7750.00,-1
2023-08-27,760.00,760.00,760.00,760.00,-1.94,15.00,11400.00,-1
2023-08-28,775.20,775.20,762.60,762.60,0.34,50.00,38445.00,1
2023-09-03,777.80,777.80,770.50,770.50,1.04,100.00,77395.00,1
2023-09-10,760.30,763.10,760.30,763.10,-0.96,50.00,38085.00,-1
2023-09-11,778.30,778.30,768.10,768.10,0.66,65.00,50195.00,1
2023-09-12,783.40,783.40,783.40,783.40,1.99,10.00,7834.00,1
2023-09-18,783.40,783.40,783.40,783.40,0.00,25.00,19585.00,0
2023-09-27,799.00,799.00,799.00,799.00,1.99,40.00,31960.00,1
2023-09-28,799.00,799.00,799.00,799.00,1.99,40.00,31960.00,1
2023-10-03,786.00,786.00,786.00,786.00,-1.63,25.00,19650.00,-1
2023-10-16,770.50,770.50,770.50,770.50,-1.97,25.00,19262.50,-1
2023-10-17,775.00,775.00,770.20,770.20,-0.04,25.00,19303.00,-1
2023-10-30,780.00,780.00,780.00,780.00,1.27,25.00,19500.00,1
2023-11-01,795.60,795.60,795.60,795.60,2.00,50.00,39780.00,1
2023-11-26,780.20,795.80,780.20,795.80,0.03,50.00,39400.00,1
2023-11-27,784.20,784.20,784.20,784.20,-1.46,50.00,39210.00,-1
2023-12-04,799.00,831.10,799.00,831.10,5.98,30.00,24450.00,1
2023-12-06,845.00,847.00,845.00,847.00,1.91,50.00,42300.00,1
2023-12-11,847.00,855.00,847.00,855.00,0.94,50.00,42550.00,1
2023-12-12,862.00,887.50,862.00,887.50,3.80,115.00,100412.50,1
2023-12-14,870.10,885.00,870.10,885.00,-0.28,55.00,48247.50,-1
2023-12-18,885.00,900.00,885.00,900.00,1.69,300.00,269020.00,1
2023-12-19,882.00,882.00,882.00,882.00,-2.00,60.00,52920.00,-1
2023-12-20,899.60,899.60,899.60,899.60,2.00,50.00,44980.00,1
2023-12-24,882.00,882.00,882.00,882.00,-1.96,105.00,92610.00,-1
2023-12-25,882.00,882.00,882.00,882.00,-1.96,105.00,92610.00,-1
2023-12-26,882.00,882.00,882.00,882.00,-1.96,105.00,92610.00,-1
2023-12-27,899.60,899.60,882.00,882.00,0.00,75.00,66854.00,0
2023-12-28,882.00,882.00,882.00,882.00,0.00,85.00,74970.00,0
2023-12-31,882.00,882.00,882.00,882.00,0.00,85.00,74970.00,0
2024-01-07,880.00,880.00,880.00,880.00,-0.23,25.00,22000.00,-1
2024-01-08,862.50,862.50,851.10,851.10,-3.28,55.00,47152.50,-1
2024-01-14,851.00,851.00,851.00,851.00,-0.01,25.00,21275.00,-1
2024-01-15,851.00,851.00,851.00,851.00,-0.01,25.00,21275.00,-1
2024-01-17,834.00,834.00,834.00,834.00,-2.00,10.00,8340.00,-1
2024-01-18,850.60,850.60,834.00,834.00,0.00,55.00,46368.00,0
2024-01-21,818.10,825.00,818.00,825.00,-1.08,130.00,106712.50,-1
2024-01-22,825.00,835.00,825.00,835.00,1.21,20.00,16600.00,1
2024-01-23,851.70,851.70,851.70,851.70,2.00,100.00,85170.00,1
2024-02-04,849.00,850.00,849.00,850.00,-0.20,95.00,80730.00,-1
2024-02-05,860.00,867.00,850.00,851.00,0.12,206.00,176595.00,1
2024-02-06,844.00,868.00,840.00,868.00,2.00,160.00,135377.50,1
2024-02-07,855.00,855.00,855.00,855.00,-1.50,30.00,25650.00,-1
2024-02-08,846.00,872.00,846.00,872.00,1.99,60.00,51660.00,1
2024-02-12,858.00,858.00,858.00,858.00,-1.61,75.00,64350.00,-1
2024-02-13,858.00,867.00,850.00,867.00,1.05,500.00,426992.50,1
2024-02-14,868.90,868.90,868.90,868.90,0.22,25.00,21722.50,1
2024-02-15,854.00,869.00,851.00,869.00,0.01,430.00,367415.00,1
2024-02-18,886.30,895.00,885.00,890.00,2.42,232.00,206035.00,1
2024-02-19,886.30,895.00,885.00,890.00,2.42,232.00,206035.00,1
2024-02-20,895.00,900.00,895.00,900.00,1.12,75.00,67375.00,1
2024-02-21,900.00,900.00,900.00,900.00,0.00,25.00,22500.00,0
2024-02-25,900.00,900.00,900.00,900.00,0.00,275.00,247500.00,0
2024-02-26,900.00,900.00,900.00,900.00,0.00,50.00,45000.00,0
2024-02-27,900.00,900.00,900.00,900.00,0.00,220.00,198000.00,0
2024-02-28,900.20,900.20,900.20,900.20,0.02,30.00,27006.00,1
2024-03-05,905.10,905.10,905.10,905.10,0.54,25.00,22627.50,1
2024-03-07,909.90,918.00,909.90,918.00,1.43,75.00,68622.50,1
2024-03-14,920.00,920.00,920.00,920.00,0.22,50.00,46000.00,1
