published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,11.68,11.76,11.68,11.76,0.09,300.00,3519.00,1
2021-11-05,11.68,11.76,11.68,11.76,0.09,300.00,3519.00,1
2021-11-08,11.75,11.98,11.75,11.98,1.87,50000.00,596669.58,1
2021-11-09,11.80,11.81,11.55,11.55,-3.59,164768.00,1931095.40,-1
2021-11-10,11.80,11.81,11.55,11.55,-3.59,164768.00,1931095.40,-1
2021-11-11,11.60,11.65,11.55,11.59,0.35,34600.00,400520.00,1
2021-11-12,11.60,11.65,11.55,11.59,0.35,34600.00,400520.00,1
2021-11-15,11.55,11.60,11.55,11.56,0.09,8639.00,99943.21,1
2021-11-16,11.60,11.71,11.58,11.67,0.95,75354.00,881038.42,1
2021-11-17,11.89,11.89,11.63,11.63,-0.34,46150.00,539817.50,-1
2021-11-18,11.63,11.65,11.63,11.65,0.17,21002.00,244342.06,1
2021-11-19,11.63,11.65,11.63,11.65,0.17,21002.00,244342.06,1
2021-11-22,11.70,11.70,11.65,11.67,0.17,16139.00,188358.99,1
2021-11-23,11.62,11.75,11.62,11.63,-0.34,6286.00,73114.02,-1
2021-11-24,11.64,11.70,11.62,11.70,0.60,48140.00,560342.40,1
2021-11-25,11.62,11.63,11.62,11.62,-0.68,3992.00,46388.04,-1
2021-11-26,11.62,11.63,11.62,11.62,-0.68,3992.00,46388.04,-1
2021-11-29,11.24,11.50,11.24,11.42,-0.35,13667.00,156487.08,-1
2021-11-30,11.44,11.47,11.44,11.47,0.44,4072.00,46667.58,1
2021-12-01,11.47,11.50,11.40,11.45,-0.17,60262.00,691249.90,-1
2021-12-02,11.66,11.66,11.10,11.23,-1.92,173989.00,1969233.78,-1
2021-12-03,11.66,11.66,11.10,11.23,-1.92,173989.00,1969233.78,-1
2021-12-06,11.01,11.09,11.00,11.09,0.82,32766.00,360904.40,1
2021-12-07,11.09,11.23,11.09,11.14,0.45,43242.00,481306.06,1
2021-12-08,11.14,11.14,11.10,11.11,-0.27,19225.00,213689.75,-1
2021-12-09,11.10,11.11,11.10,11.11,0.00,30409.00,337548.22,0
2021-12-10,11.10,11.11,11.10,11.11,0.00,30409.00,337548.22,0
2021-12-13,10.90,11.00,10.69,10.69,-2.82,81600.00,885270.55,-1
2021-12-14,10.72,10.90,10.69,10.90,1.96,50416.00,539114.40,1
2021-12-15,10.91,10.91,10.69,10.82,-0.73,51748.00,562863.36,-1
2021-12-16,10.69,10.99,10.69,10.99,1.57,10825.00,117415.64,1
2021-12-17,10.69,10.99,10.69,10.99,1.57,10825.00,117415.64,1
2021-12-20,10.79,10.79,10.79,10.79,-1.82,2948.00,31808.92,-1
2021-12-21,10.71,10.92,10.71,10.92,1.20,8986.00,97558.15,1
2021-12-23,10.98,11.09,10.72,11.00,0.73,17500.00,189653.36,1
2021-12-24,10.98,11.09,10.72,11.00,0.73,17500.00,189653.36,1
2021-12-27,11.01,11.20,11.01,11.20,0.00,10016.00,110390.16,0
2021-12-28,11.42,11.42,11.30,11.30,0.89,25114.00,284301.88,1
2021-12-29,11.20,11.20,11.16,11.16,-1.24,16413.00,183209.08,-1
2021-12-30,11.20,11.20,11.16,11.16,-1.24,16413.00,183209.08,-1
2021-12-31,11.20,11.20,11.16,11.16,-1.24,16413.00,183209.08,-1
2022-01-03,11.15,11.27,11.15,11.25,1.81,1700.00,19143.00,1
2022-01-04,11.47,11.47,11.25,11.46,1.87,17680.00,201954.89,1
2022-01-05,11.30,11.35,11.30,11.35,-0.96,15054.00,170318.25,-1
2022-01-06,11.54,11.57,11.35,11.35,0.00,62556.00,714221.20,0
2022-01-07,11.54,11.57,11.35,11.35,0.00,62556.00,714221.20,0
2022-01-10,11.60,11.93,11.60,11.93,3.20,93384.00,1095453.96,1
2022-01-11,11.93,12.16,11.93,11.95,0.17,20955.00,253793.98,1
2022-01-12,11.95,11.96,11.95,11.95,0.00,430918.00,5153720.10,0
2022-01-13,12.17,12.17,11.93,12.14,1.59,19997.00,240293.95,1
2022-01-14,12.17,12.17,11.93,12.14,1.59,19997.00,240293.95,1
2022-01-17,12.15,12.50,12.15,12.50,0.97,28845.00,354440.67,1
2022-01-18,12.49,13.00,12.49,12.70,1.60,28524.00,361281.00,1
2022-01-19,12.47,12.47,12.45,12.45,-1.97,18511.00,230581.95,-1
2022-01-20,12.45,12.45,12.22,12.25,-1.61,2248.00,27725.52,-1
2022-01-21,12.45,12.45,12.22,12.25,-1.61,2248.00,27725.52,-1
2022-01-24,12.16,12.19,11.92,12.10,-2.42,42041.00,510057.08,-1
2022-01-25,12.10,12.10,12.00,12.00,-0.83,59329.00,713148.00,-1
2022-01-26,11.85,12.00,11.78,11.79,-1.75,184909.00,2196988.92,-1
2022-01-27,12.01,12.01,11.62,11.62,-1.44,58022.00,676208.00,-1
2022-01-28,12.01,12.01,11.62,11.62,-1.44,58022.00,676208.00,-1
2022-01-31,11.70,11.92,11.67,11.71,-1.60,202018.00,2373943.93,-1
2022-02-01,11.66,12.24,11.66,12.24,4.53,31640.00,373795.44,1
2022-02-02,11.66,12.24,11.66,12.24,4.53,31640.00,373795.44,1
2022-02-03,12.00,12.20,11.90,11.90,-2.78,45444.00,544981.92,-1
2022-02-04,12.00,12.20,11.90,11.90,-2.78,45444.00,544981.92,-1
2022-02-07,11.88,12.00,11.87,11.91,0.34,25644.00,306175.48,1
2022-02-08,11.99,12.19,11.99,12.18,2.27,20925.00,251994.04,1
2022-02-09,11.95,11.98,11.95,11.97,-1.72,7073.00,84661.33,-1
2022-02-10,12.00,12.00,11.96,11.96,-0.08,12347.00,147755.38,-1
2022-02-11,12.00,12.00,11.96,11.96,-0.08,12347.00,147755.38,-1
2022-02-14,12.10,12.10,11.87,11.87,-0.50,8960.00,106461.56,-1
2022-02-15,11.86,11.86,11.86,11.86,-0.08,831.00,9855.66,-1
2022-02-16,11.77,11.79,11.77,11.79,-0.59,1664.00,19601.92,-1
2022-02-17,11.77,11.90,11.77,11.77,-0.17,4654.00,55143.55,-1
2022-02-18,11.77,11.90,11.77,11.77,-0.17,4654.00,55143.55,-1
2022-02-21,11.66,11.66,11.61,11.61,0.00,6240.00,72651.40,0
2022-02-22,11.64,11.64,11.64,11.64,0.26,1000.00,11640.00,1
2022-02-23,11.64,11.85,11.64,11.85,1.80,7572.00,88405.21,1
2022-02-24,11.65,11.65,11.65,11.65,-1.69,5577.00,64972.05,-1
2022-02-25,11.65,11.65,11.65,11.65,-1.69,5577.00,64972.05,-1
2022-02-28,11.70,11.78,11.55,11.78,0.86,44397.00,516245.25,1
2022-03-01,11.70,11.78,11.55,11.78,0.86,44397.00,516245.25,1
2022-03-02,11.58,11.58,11.56,11.56,-1.87,38308.00,443165.15,-1
2022-03-03,11.58,11.58,11.56,11.56,-1.87,38308.00,443165.15,-1
2022-03-04,11.58,11.58,11.56,11.56,-1.87,38308.00,443165.15,-1
2022-03-07,11.37,11.39,11.35,11.35,-0.26,30926.00,351523.50,-1
2022-03-08,11.37,11.39,11.35,11.35,-0.26,30926.00,351523.50,-1
2022-03-09,11.36,11.36,11.35,11.35,0.00,12080.00,137208.00,0
2022-03-10,11.40,11.50,11.40,11.50,1.32,982.00,11209.80,1
2022-03-11,11.40,11.50,11.40,11.50,1.32,982.00,11209.80,1
2022-03-14,11.43,11.43,11.43,11.43,-0.87,1184.00,13533.12,-1
2022-03-15,11.65,11.65,11.65,11.65,1.92,1832.00,21342.80,1
2022-03-21,11.53,11.80,11.53,11.58,0.52,15973.00,187792.11,1
2022-03-22,11.80,11.90,11.80,11.90,2.76,1415.00,16796.90,1
2022-03-23,12.12,12.12,11.91,11.94,0.34,11000.00,131370.00,1
2022-03-24,11.74,11.78,11.74,11.78,-1.34,4576.00,53838.72,-1
2022-03-25,11.74,11.78,11.74,11.78,-1.34,4576.00,53838.72,-1
2022-03-28,11.57,11.59,11.57,11.59,-1.19,13296.00,153996.81,-1
2022-03-29,11.36,11.60,11.36,11.59,0.00,4232.00,49042.55,0
2022-03-30,11.81,11.99,11.81,11.99,3.45,5100.00,60249.00,1
2022-03-31,11.85,11.88,11.85,11.86,-1.08,15991.00,189834.92,-1
2022-04-01,11.85,11.88,11.85,11.86,-1.08,15991.00,189834.92,-1
2022-04-04,11.80,11.98,11.80,11.98,1.01,10370.00,122480.84,1
2022-04-05,11.85,11.85,11.62,11.62,-3.01,4317.00,50186.77,-1
2022-04-06,11.64,11.64,11.62,11.62,0.00,8190.00,95297.80,0
2022-04-11,11.60,11.60,11.60,11.60,-0.17,4410.00,51156.00,-1
2022-04-12,11.55,11.55,11.45,11.45,-1.29,53050.00,607677.50,-1
2022-04-13,11.45,11.45,11.45,11.45,0.00,4161.00,47643.45,0
2022-04-14,11.45,11.45,11.45,11.45,0.00,4161.00,47643.45,0
2022-04-15,11.45,11.45,11.45,11.45,0.00,4161.00,47643.45,0
2022-04-18,11.45,11.45,11.31,11.33,-1.05,15348.00,174042.60,-1
2022-04-19,11.33,11.37,11.33,11.35,0.18,8216.00,93325.60,1
2022-04-21,11.17,11.39,11.17,11.21,-1.23,85134.00,956085.10,-1
2022-04-22,11.17,11.39,11.17,11.21,-1.23,85134.00,956085.10,-1
2022-04-25,11.50,11.72,11.50,11.72,1.91,6664.00,77704.00,1
2022-04-26,11.73,11.95,11.73,11.95,1.96,117634.00,1390120.06,1
2022-04-27,11.72,12.00,11.63,11.99,0.33,13988.00,166407.96,1
2022-04-28,11.97,12.22,11.92,11.96,-0.25,119742.00,1450453.90,-1
2022-04-29,11.97,12.22,11.92,11.96,-0.25,119742.00,1450453.90,-1
2022-05-02,11.73,11.86,11.73,11.86,-0.84,17496.00,206836.24,-1
2022-05-03,11.73,11.86,11.73,11.86,-0.84,17496.00,206836.24,-1
2022-05-04,11.70,11.80,11.70,11.80,-0.51,48057.00,567049.40,-1
2022-05-05,11.83,11.83,11.76,11.76,-0.34,140309.00,1657131.56,-1
2022-05-06,11.83,11.83,11.76,11.76,-0.34,140309.00,1657131.56,-1
2022-05-09,11.90,12.00,11.90,12.00,0.08,1832.00,21900.80,1
2022-05-11,12.00,12.24,12.00,12.05,0.42,12461.00,150798.10,1
2022-05-12,12.10,12.10,11.81,11.81,-1.99,14300.00,172581.00,-1
2022-05-13,12.10,12.10,11.81,11.81,-1.99,14300.00,172581.00,-1
2022-05-16,12.10,12.10,11.81,11.81,-1.99,14300.00,172581.00,-1
2022-05-17,11.81,11.81,11.48,11.48,-2.79,14261.00,167557.21,-1
2022-05-18,11.35,11.40,11.30,11.40,-0.70,29000.00,329805.17,-1
2022-05-19,11.52,11.66,11.52,11.66,2.28,21238.00,245932.41,1
2022-05-20,11.43,11.89,11.43,11.89,1.97,10827.00,128425.58,1
2022-05-23,11.66,11.66,11.60,11.65,-2.02,39325.00,458238.52,-1
2022-05-24,11.70,11.70,11.60,11.60,-0.43,12025.00,139730.00,-1
2022-05-25,11.71,11.80,11.69,11.69,0.78,16171.00,190162.41,1
2022-05-26,11.70,11.85,11.70,11.85,1.37,10161.00,119033.70,1
2022-05-27,11.85,11.85,11.85,11.85,0.00,2000.00,23700.00,0
2022-05-30,11.62,11.62,11.39,11.39,-3.88,2830.00,32291.20,-1
2022-05-31,11.40,11.50,11.40,11.50,0.97,18483.00,212212.89,1
2022-06-01,11.40,11.40,11.40,11.40,-0.87,12074.00,137643.60,-1
2022-06-02,11.41,11.59,11.40,11.59,1.67,2084.00,23869.56,1
2022-06-03,11.40,11.40,11.37,11.37,-1.90,5000.00,56895.78,-1
2022-06-06,11.31,11.31,11.29,11.29,-0.70,12496.00,141256.18,-1
2022-06-07,11.29,11.33,11.21,11.21,-0.71,29913.00,336044.81,-1
2022-06-08,11.21,11.40,11.20,11.40,1.69,26248.00,296177.36,1
2022-06-09,11.59,11.62,11.18,11.18,-1.93,8681.00,99207.67,-1
2022-06-10,11.13,11.13,11.12,11.12,-0.54,14483.00,161070.96,-1
2022-06-13,11.34,11.34,11.12,11.12,0.00,6892.00,77959.04,0
2022-06-14,10.94,11.00,10.94,11.00,-1.08,5159.00,56694.11,-1
2022-06-15,10.84,10.84,10.84,10.84,-1.45,416.00,4509.44,-1
2022-06-16,10.86,11.03,10.82,11.03,1.75,19914.00,216364.70,1
2022-06-19,10.81,10.81,10.40,10.42,-5.53,48489.00,510688.66,-1
2022-06-20,10.42,10.43,10.00,10.19,-2.21,175557.00,1789450.48,-1
2022-06-21,10.35,11.01,10.35,11.01,8.05,29348.00,306644.50,1
2022-06-22,10.81,10.81,10.66,10.66,-3.18,46000.00,495360.00,-1
2022-06-23,10.45,10.45,10.42,10.42,-2.25,27338.00,285641.96,-1
2022-07-05,11.30,11.30,11.25,11.25,-1.92,32150.00,362397.50,-1
2022-07-06,11.24,11.25,11.03,11.10,-1.33,35679.00,397683.37,-1
2022-07-07,11.32,11.46,11.24,11.30,1.80,43700.00,493693.60,1
2022-07-08,11.15,11.15,11.08,11.08,-1.95,17800.00,197295.00,-1
2022-07-10,11.15,11.15,11.08,11.08,-1.95,17800.00,197295.00,-1
2022-07-11,10.90,11.10,10.90,10.91,-1.53,23830.00,260699.48,-1
2022-07-12,10.90,10.90,10.88,10.88,-0.27,8322.00,90645.88,-1
2022-07-13,10.81,11.42,10.81,11.42,4.96,27748.00,315000.60,1
2022-07-14,11.20,11.20,11.20,11.20,-1.93,832.00,9318.40,-1
2022-07-17,11.30,11.30,11.30,11.30,0.89,2000.00,22600.00,1
2022-07-18,11.13,11.34,11.13,11.34,0.35,38163.00,430248.87,1
2022-07-19,11.40,11.55,11.40,11.40,0.53,69664.00,798394.60,1
2022-07-20,11.60,11.60,11.60,11.60,1.75,2000.00,23200.00,1
2022-07-21,11.63,11.63,11.62,11.62,0.17,3944.00,45863.72,1
2022-07-22,11.55,11.55,11.36,11.36,-2.24,22758.00,260675.02,-1
2022-07-24,11.40,11.55,11.40,11.55,1.67,8790.00,101400.92,1
2022-07-25,11.69,11.69,11.69,11.69,1.21,11000.00,128590.00,1
2022-07-26,11.60,11.69,11.46,11.46,-1.97,33598.00,386655.80,-1
2022-07-27,11.30,11.58,11.27,11.57,0.96,47680.00,538498.60,1
2022-07-28,11.34,11.75,11.34,11.69,1.04,20796.00,240165.64,1
2022-07-29,11.86,11.86,11.46,11.46,-1.97,1016.00,11768.36,-1
2022-07-31,11.34,11.64,11.33,11.62,1.40,50399.00,582240.42,1
2022-08-01,11.68,11.68,11.41,11.50,-1.03,31757.00,365482.32,-1
2022-08-02,11.68,11.68,11.55,11.62,1.04,291214.00,3390376.79,1
2022-08-03,11.84,11.84,11.54,11.68,0.52,6282.00,72855.78,1
2022-08-04,11.55,11.66,11.52,11.66,-0.17,22348.00,257770.40,-1
2022-08-05,11.89,12.25,11.77,11.95,2.49,412724.00,4936196.57,1
2022-08-07,11.99,12.00,11.84,11.94,-0.08,132685.00,1582708.04,-1
2022-08-08,11.94,12.00,11.87,11.95,0.08,89499.00,1070208.52,1
2022-08-09,11.99,11.99,11.86,11.92,-0.25,157897.00,1879587.58,-1
2022-08-10,11.77,11.95,11.77,11.87,-0.42,69411.00,826118.18,-1
2022-08-11,11.95,11.98,11.84,11.94,0.59,104724.00,1249130.17,1
2022-08-12,11.95,11.98,11.84,11.94,0.59,104724.00,1249130.17,1
2022-08-14,11.94,11.97,11.80,11.80,-1.17,83599.00,995723.35,-1
2022-08-15,11.90,11.94,11.83,11.89,0.76,328201.00,3898379.66,1
2022-08-16,9.59,10.16,9.59,9.65,-1.38,35274.00,345913.22,-1
2022-08-17,9.50,9.84,8.99,9.80,1.55,36461.00,341375.54,1
2022-08-18,9.98,9.98,9.73,9.85,0.51,22272.00,219595.60,1
2022-08-19,9.98,9.98,9.73,9.85,0.51,22272.00,219595.60,1
2022-08-21,9.83,9.83,9.78,9.78,-0.71,29161.00,285941.48,-1
2022-08-22,9.78,9.89,9.70,9.89,1.12,23526.00,232204.12,1
2022-08-23,10.00,10.00,9.72,9.84,-0.51,85100.00,838747.00,-1
2022-08-24,9.80,9.83,9.61,9.83,-0.10,26021.00,254646.93,-1
2022-08-25,9.67,9.83,9.67,9.75,-0.81,26091.00,254679.98,-1
2022-08-26,9.84,9.88,9.71,9.80,0.51,57430.00,562399.00,1
2022-08-28,9.70,10.18,9.70,10.18,3.88,167107.00,1665892.67,1
2022-08-29,9.99,9.99,9.73,9.80,-3.73,25905.00,253900.22,-1
2022-08-30,9.88,9.88,9.78,9.87,0.71,16607.00,162872.38,1
2022-08-31,9.82,9.87,9.80,9.80,-0.71,7327.00,72044.60,-1
2022-09-01,9.87,9.87,9.75,9.75,-0.51,15000.00,146850.00,-1
2022-09-02,9.85,9.85,9.85,9.85,1.03,280.00,2758.00,1
2022-09-04,9.70,9.73,9.70,9.73,-1.22,2661.00,25856.70,-1
