published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1459.00,1459.00,1425.10,1428.60,-1.41,3077.00,4409066.50,-1
2021-11-05,1459.00,1459.00,1425.10,1428.60,-1.41,3077.00,4409066.50,-1
2021-11-08,1414.00,1423.00,1400.00,1400.00,-2.00,3634.00,5124423.10,-1
2021-11-09,1390.00,1402.00,1350.00,1364.00,-2.57,5671.00,7748925.50,-1
2021-11-10,1390.00,1402.00,1350.00,1364.00,-2.57,5671.00,7748925.50,-1
2021-11-11,1382.00,1382.00,1337.00,1351.00,-0.95,1775.00,2403365.60,-1
2021-11-12,1382.00,1382.00,1337.00,1351.00,-0.95,1775.00,2403365.60,-1
2021-11-15,1390.00,1410.00,1375.00,1381.00,1.17,2785.00,3873046.50,1
2021-11-16,1398.90,1407.10,1381.00,1405.00,1.74,3966.00,5547201.50,1
2021-11-17,1405.00,1415.00,1385.00,1390.00,-1.07,4189.00,5839199.40,-1
2021-11-18,1417.80,1417.80,1377.00,1377.00,-0.94,2096.00,2901460.20,-1
2021-11-19,1417.80,1417.80,1377.00,1377.00,-0.94,2096.00,2901460.20,-1
2021-11-22,1385.00,1394.50,1376.00,1376.00,-1.01,1836.00,2533181.00,-1
2021-11-23,1368.20,1371.00,1350.00,1355.00,-1.53,3881.00,5275708.60,-1
2021-11-24,1346.00,1360.00,1330.00,1351.00,-0.30,4711.00,6341876.00,-1
2021-11-25,1351.00,1369.00,1333.20,1333.20,-1.32,3039.00,4078221.40,-1
2021-11-26,1351.00,1369.00,1333.20,1333.20,-1.32,3039.00,4078221.40,-1
2021-11-29,1319.50,1320.00,1300.00,1302.00,-1.29,2026.00,2644202.00,-1
2021-11-30,1302.00,1325.00,1277.00,1282.00,-1.54,4837.00,6222722.00,-1
2021-12-01,1300.00,1300.00,1279.00,1279.00,-0.23,1156.00,1490708.00,-1
2021-12-02,1275.00,1279.00,1250.00,1255.00,-1.88,6833.00,8604021.60,-1
2021-12-03,1275.00,1279.00,1250.00,1255.00,-1.88,6833.00,8604021.60,-1
2021-12-06,1178.00,1224.00,1177.00,1205.00,0.42,4886.00,5810528.60,1
2021-12-07,1229.10,1244.40,1201.10,1201.50,-0.29,3263.00,3968270.70,-1
2021-12-08,1215.00,1215.00,1176.00,1180.00,-1.79,1948.00,2313318.50,-1
2021-12-09,1180.00,1198.90,1158.00,1194.80,1.25,941.00,1102492.00,1
