published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,3265.00,3300.00,3229.00,3249.00,1.03,4042.00,13201308.10,1
2021-11-05,3265.00,3300.00,3229.00,3249.00,1.03,4042.00,13201308.10,1
2021-11-08,3200.00,3306.80,3200.00,3300.00,1.57,8638.00,28138693.20,1
2021-11-09,3249.00,3295.00,3166.00,3262.00,-1.15,8547.00,27424431.70,-1
2021-11-10,3249.00,3295.00,3166.00,3262.00,-1.15,8547.00,27424431.70,-1
2021-11-11,3197.00,3209.00,3135.00,3180.00,-2.51,8896.00,28224512.50,-1
2021-11-12,3197.00,3209.00,3135.00,3180.00,-2.51,8896.00,28224512.50,-1
2021-11-15,3335.40,3488.00,3335.00,3401.00,4.01,14575.00,49376261.30,1
2021-11-16,3401.00,3610.00,3371.30,3596.00,5.73,18255.00,64222677.70,1
2021-11-17,3650.00,3650.00,3545.00,3588.80,-0.20,8514.00,30500746.20,-1
2021-11-18,3660.50,3876.00,3640.00,3660.00,1.98,27421.00,101898370.40,1
2021-11-19,3660.50,3876.00,3640.00,3660.00,1.98,27421.00,101898370.40,1
2021-11-22,3540.00,3570.00,3470.00,3525.00,-0.42,7006.00,24663620.50,-1
2021-11-23,3467.00,3524.00,3420.00,3459.00,-1.87,3795.00,13126431.00,-1
2021-11-24,3396.00,3465.00,3390.10,3445.00,-0.40,5566.00,19017826.40,-1
2021-11-25,3499.00,3499.00,3402.00,3410.10,-1.01,2827.00,9751175.00,-1
2021-11-26,3499.00,3499.00,3402.00,3410.10,-1.01,2827.00,9751175.00,-1
2021-11-29,3250.00,3300.00,3176.00,3199.00,-1.57,7696.00,24698782.00,-1
2021-11-30,3250.00,3250.00,3161.00,3190.00,-0.28,4372.00,13975418.70,-1
2021-12-01,3200.00,3218.00,3170.00,3175.00,-0.47,6666.00,21264246.00,-1
2021-12-02,3180.00,3210.00,3141.00,3170.00,-0.16,14870.00,47108692.40,-1
2021-12-03,3180.00,3210.00,3141.00,3170.00,-0.16,14870.00,47108692.40,-1
2021-12-06,3100.00,3149.00,3040.00,3120.00,0.10,7887.00,24386645.10,1
2021-12-07,3130.00,3181.00,3088.00,3088.20,-1.02,4291.00,13381221.90,-1
2021-12-08,3040.00,3070.00,2990.00,2996.00,-2.99,5664.00,17111094.90,-1
2021-12-09,2941.00,3024.30,2903.00,2990.00,-0.20,6100.00,18024857.50,-1
2021-12-10,2941.00,3024.30,2903.00,2990.00,-0.20,6100.00,18024857.50,-1
2021-12-13,2801.00,2835.00,2696.00,2745.00,-3.68,8877.00,24318324.40,-1
2021-12-14,2799.00,3019.00,2751.00,2989.00,8.89,2435.00,7088211.00,1
2021-12-15,3048.00,3150.00,2887.00,2938.00,-1.71,5867.00,17531481.40,-1
