published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-04-08,302.30,332.50,302.30,332.50,9.99,210.00,68624.00,1
2025-04-09,332.60,365.70,332.60,365.70,9.98,170.00,60856.00,1
2025-04-10,373.00,402.20,373.00,402.20,9.98,277.00,110382.90,1
2025-04-13,410.20,442.40,410.20,442.40,10.00,210.00,91147.00,1
2025-04-14,410.20,442.40,410.20,442.40,10.00,210.00,91147.00,1
2025-04-15,449.70,486.60,449.70,486.60,9.99,230.00,110614.00,1
2025-04-16,496.30,535.20,496.30,535.20,9.99,330.00,175662.00,1
2025-04-17,536.30,588.70,536.30,588.70,10.00,370.00,216289.00,1
2025-04-20,600.40,647.50,600.40,647.50,9.99,440.00,283744.00,1
2025-04-21,660.40,712.20,660.40,712.20,9.99,530.00,376195.00,1
2025-04-22,712.20,783.40,712.20,783.40,10.00,590.00,459384.00,1
2025-04-23,799.00,861.70,799.00,861.70,9.99,650.00,558564.00,1
2025-04-24,878.90,947.80,878.90,947.80,9.99,530.00,500643.00,1
2025-04-27,966.70,1042.50,966.70,1042.50,9.99,940.00,978092.00,1
2025-04-28,1042.00,1146.70,1042.00,1146.70,10.00,850.00,971581.00,1
2025-04-29,1169.60,1261.30,1169.60,1261.30,9.99,840.00,1057242.00,1
2025-04-30,1238.50,1387.40,1238.50,1387.40,10.00,810.00,1118666.00,1
2025-05-01,1238.50,1387.40,1238.50,1387.40,10.00,810.00,1118666.00,1
2025-05-04,1387.60,1526.10,1387.60,1526.10,10.00,1410.00,2147703.00,1
2025-05-05,1556.60,1678.70,1556.60,1678.70,10.00,1500.00,2510172.00,1
2025-05-06,1712.00,1846.50,1712.00,1846.50,10.00,1540.00,2840310.00,1
2025-05-07,1883.40,2031.10,1883.40,2031.10,10.00,4840.00,9823949.00,1
2025-05-08,2071.70,2234.20,2071.70,2234.20,10.00,15950.00,35623382.00,1
2025-05-11,2278.80,2457.60,2278.80,2457.60,10.00,29180.00,71697241.00,1
2025-05-12,2278.80,2457.60,2278.80,2457.60,10.00,29180.00,71697241.00,1
2025-05-13,2506.70,2703.30,2274.00,2304.70,-6.22,217680.00,512531348.20,-1
2025-05-14,2305.00,2310.00,2080.10,2081.02,-9.71,145890.00,310363492.00,-1
2025-05-15,2050.00,2255.00,1960.00,2190.06,5.24,59233.00,125400472.50,1
2025-05-18,2146.30,2180.00,2018.00,2025.07,-7.53,51818.00,107261698.00,-1
2025-05-19,2020.00,2060.00,1939.00,1955.69,-3.43,59401.00,117971125.50,-1
2025-05-20,1956.00,1990.00,1891.00,1965.58,0.51,45780.00,88140469.50,1
2025-05-21,2000.00,2040.00,1907.00,1913.70,-2.64,27915.00,54128686.50,-1
2025-05-22,1890.00,2055.00,1872.00,1988.55,3.91,74610.00,147968103.00,1
2025-05-25,1985.00,2023.00,1933.60,1992.70,0.21,35397.00,70140995.30,1
2025-05-26,2032.50,2073.00,1936.50,1952.32,-2.03,20489.00,40318242.10,-1
2025-05-27,1920.00,1940.00,1896.70,1899.79,-2.69,22118.00,42404383.60,-1
2025-05-28,1900.00,1900.00,1805.00,1822.27,-4.08,34583.00,63717963.50,-1
2025-05-29,1900.00,1900.00,1805.00,1822.27,-4.08,34583.00,63717963.50,-1
2025-06-01,1900.00,1900.00,1805.00,1822.27,-4.08,34583.00,63717963.50,-1
2025-06-02,1822.00,1854.00,1766.00,1823.42,0.06,67547.00,122350614.60,1
2025-06-03,1823.00,1890.00,1800.00,1808.45,-0.82,29581.00,54539213.40,-1
2025-06-04,1801.00,1835.00,1801.00,1822.85,0.80,23969.00,43655099.40,1
2025-06-05,1820.10,1831.00,1766.30,1769.73,-2.91,27046.00,48452119.90,-1
2025-06-08,1755.00,1755.00,1592.80,1595.79,-9.83,57804.00,95728132.00,-1
2025-06-09,1595.00,1720.00,1536.00,1711.76,7.27,46686.00,76547474.10,1
2025-06-10,1680.00,1820.00,1680.00,1794.47,4.83,35039.00,62835627.80,1
2025-06-11,1830.00,1830.00,1725.00,1776.05,-1.03,37091.00,65774292.70,-1
2025-06-12,1777.00,1795.50,1656.30,1676.88,-5.58,29692.00,50961454.30,-1
2025-06-15,1650.10,1800.00,1650.10,1721.91,2.69,32045.00,56088741.20,1
2025-06-16,1756.00,1756.00,1680.00,1680.71,-2.39,13065.00,22190594.80,-1
2025-06-17,1680.00,1700.00,1646.70,1650.29,-1.81,14120.00,23442685.00,-1
2025-06-18,1650.00,1703.40,1636.00,1651.26,0.06,16159.00,26832291.80,1
2025-06-19,1630.10,1664.00,1578.00,1583.13,-4.13,19737.00,31656926.10,-1
2025-06-22,1580.00,1640.00,1565.00,1610.02,1.70,35602.00,57493418.00,1
2025-06-23,1607.00,1669.00,1576.00,1588.29,-1.35,15124.00,24180286.80,-1
2025-06-24,1580.00,1614.00,1560.00,1566.31,-1.38,13256.00,21018535.60,-1
2025-06-25,1570.00,1646.00,1561.30,1599.75,2.13,25556.00,41222425.70,1
2025-06-26,1600.00,1621.00,1545.50,1562.40,-2.33,15548.00,24482280.70,-1
2025-06-29,1593.60,1593.60,1535.00,1539.80,-1.45,12591.00,19520906.60,-1
2025-06-30,1510.00,1649.90,1510.00,1613.24,4.77,25055.00,39895851.30,1
2025-07-01,1613.00,1634.00,1585.00,1589.27,-1.49,11319.00,18125037.50,-1
2025-07-02,1585.00,1620.00,1572.90,1579.88,-0.59,12221.00,19456123.30,-1
2025-07-03,1560.00,1620.00,1560.00,1585.18,0.34,17321.00,27655561.90,1
2025-07-06,1570.00,1625.00,1570.00,1573.58,-0.73,14120.00,22509141.80,-1
2025-07-07,1600.00,1630.00,1578.10,1586.46,0.82,18218.00,29217877.90,1
2025-07-08,1571.50,1601.00,1571.50,1582.28,-0.26,6222.00,9890946.00,-1
2025-07-09,1582.00,1590.00,1570.00,1577.98,-0.27,12345.00,19482366.20,-1
2025-07-10,1575.00,1590.00,1561.10,1566.66,-0.72,12347.00,19397320.10,-1
2025-07-13,1597.90,1611.00,1555.00,1562.20,-0.28,12136.00,19026327.30,-1
2025-07-14,1570.00,1570.00,1543.00,1544.88,-1.11,10437.00,16182372.70,-1
2025-07-15,1546.00,1560.00,1525.10,1552.39,0.49,13423.00,20637156.40,1
2025-07-16,1542.10,1575.00,1542.10,1559.40,0.45,15166.00,23683016.70,1
2025-07-17,1545.00,1624.00,1545.00,1612.91,3.43,20790.00,33203335.20,1
2025-07-20,1605.00,1750.00,1601.00,1732.81,7.43,55287.00,94039235.10,1
2025-07-21,1730.00,1770.00,1682.10,1759.08,1.52,36273.00,62920133.00,1
2025-07-22,1732.00,1762.00,1723.00,1755.71,-0.19,19093.00,33255671.70,-1
2025-07-23,1725.10,1745.00,1725.10,1735.45,-1.15,16219.00,28157634.90,-1
2025-07-24,1711.10,1744.00,1711.00,1718.72,-0.96,22432.00,38674997.10,-1
2025-07-27,1708.00,1744.00,1688.00,1696.39,-1.30,25569.00,43910187.10,-1
2025-07-28,1706.90,1707.00,1670.10,1684.07,-0.73,15451.00,26020671.20,-1
2025-07-29,1687.00,1724.60,1656.00,1700.91,0.81,21645.00,36916363.50,1
2025-07-30,1705.00,1720.00,1651.00,1670.64,-1.78,14102.00,23739621.40,-1
2025-07-31,1660.00,1669.00,1640.00,1649.06,-1.29,13709.00,22667228.90,-1
2025-08-03,1625.00,1639.00,1590.00,1593.31,-3.38,16154.00,25942779.90,-1
2025-08-04,1600.00,1625.00,1565.00,1586.95,-0.40,10841.00,17133138.90,-1
2025-08-05,1558.10,1589.00,1555.00,1561.61,-1.60,13463.00,21073329.20,-1
2025-08-06,1542.00,1581.00,1541.60,1562.28,0.04,8557.00,13373798.90,1
2025-08-07,1555.00,1589.90,1550.00,1563.64,0.09,6140.00,9614199.20,1
2025-08-10,1555.00,1589.90,1550.00,1563.64,0.09,6140.00,9614199.20,1
2025-08-11,1545.00,1570.00,1540.50,1544.21,-1.24,8007.00,12435294.10,-1
2025-08-12,1540.10,1555.00,1525.00,1530.28,-0.90,7915.00,12141367.50,-1
2025-08-13,1520.00,1560.00,1520.00,1545.47,0.99,13868.00,21226197.60,1
2025-08-14,1514.60,1555.00,1507.10,1514.59,-2.00,9882.00,15046818.20,-1
2025-08-17,1512.00,1519.00,1476.00,1480.45,-2.25,12339.00,18428288.80,-1
2025-08-18,1480.00,1482.00,1439.70,1443.05,-2.53,10713.00,15629307.40,-1
2025-08-19,1445.00,1465.00,1435.00,1442.17,-0.06,8594.00,12417545.00,-1
2025-08-20,1436.00,1450.00,1416.20,1420.90,-1.47,7580.00,10863492.30,-1
2025-08-21,1400.00,1430.00,1382.00,1396.26,-1.73,14599.00,20458373.20,-1
2025-08-24,1396.00,1420.00,1350.00,1364.30,-2.29,14832.00,20293320.50,-1
2025-08-25,1390.00,1390.00,1338.40,1380.89,1.22,12715.00,17259058.00,1
2025-08-26,1355.00,1379.90,1352.00,1374.83,-0.44,11015.00,15004672.00,-1
2025-08-27,1351.00,1460.00,1351.00,1450.85,5.53,19628.00,28057058.30,1
2025-08-28,1422.00,1460.60,1400.00,1403.88,-3.24,13440.00,19193678.00,-1
2025-08-31,1410.00,1410.00,1360.00,1362.46,-2.95,12836.00,17568161.00,-1
2025-09-01,1350.00,1380.00,1340.00,1355.93,-0.48,7116.00,9623360.00,-1
2025-09-02,1355.00,1365.00,1339.00,1340.42,-1.14,5278.00,7098350.90,-1
2025-09-03,1335.10,1350.00,1290.20,1300.85,-2.95,12664.00,16663860.90,-1
2025-09-04,1286.10,1300.00,1277.00,1286.27,-1.12,8463.00,10893475.80,-1
2025-09-07,1285.00,1285.00,1250.00,1255.73,-2.37,8870.00,11195900.20,-1
2025-09-08,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-09,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-10,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-11,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-14,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-15,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-16,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-17,1235.00,1240.00,1190.00,1199.97,-4.44,29023.00,35050564.50,-1
2025-09-18,1180.10,1180.10,1080.00,1080.00,-10.00,2716.00,2996134.00,-1
2025-09-21,1058.40,1140.00,1036.00,1131.00,4.72,16809.00,18534522.70,1
2025-09-22,1058.40,1140.00,1036.00,1131.00,4.72,16809.00,18534522.70,1
2025-09-23,1131.00,1191.30,1109.00,1191.30,5.33,10937.00,12676454.70,1
2025-09-24,1199.00,1199.00,1150.00,1159.00,-2.71,7365.00,8545686.50,-1
2025-09-25,1141.10,1155.00,1141.10,1146.00,-1.12,6054.00,6945147.00,-1
2025-09-28,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-09-29,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-09-30,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-10-01,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-10-02,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-10-05,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-10-06,1165.00,1168.00,1130.10,1145.00,-0.09,3322.00,3802230.90,-1
2025-10-07,1145.00,1188.00,1125.00,1130.00,-1.31,10754.00,12304220.80,-1
2025-10-08,1108.00,1130.00,1080.00,1100.00,-2.65,7672.00,8462461.50,-1
2025-10-09,1122.00,1165.00,1113.40,1115.00,1.36,10618.00,12004571.40,1
2025-10-12,1130.00,1182.00,1080.10,1182.00,6.01,75415.00,83809467.70,1
2025-10-13,1200.00,1300.20,1158.10,1300.20,10.00,41237.00,51679359.90,1
2025-10-14,1300.50,1377.00,1300.50,1354.00,4.14,34826.00,46767984.80,1
2025-10-15,1353.00,1379.00,1301.00,1355.00,0.07,32940.00,44379875.60,1
2025-10-16,1327.90,1375.90,1250.00,1375.90,1.54,21789.00,28328987.60,1
2025-10-19,1403.40,1403.40,1310.00,1325.00,-3.70,13678.00,18088282.90,-1
2025-10-20,1403.40,1403.40,1310.00,1325.00,-3.70,13678.00,18088282.90,-1
2025-10-21,1403.40,1403.40,1310.00,1325.00,-3.70,13678.00,18088282.90,-1
2025-10-22,1403.40,1403.40,1310.00,1325.00,-3.70,13678.00,18088282.90,-1
2025-10-23,1403.40,1403.40,1310.00,1325.00,-3.70,13678.00,18088282.90,-1
2025-10-26,1298.50,1347.00,1254.40,1316.00,-0.68,6094.00,7865896.60,-1
2025-10-27,1298.50,1347.00,1254.40,1316.00,-0.68,6094.00,7865896.60,-1
2025-10-28,1340.00,1386.90,1291.00,1373.00,4.33,18567.00,25057746.30,1
2025-10-29,1380.00,1416.70,1340.00,1348.00,-1.82,13066.00,18019252.40,-1
2025-10-30,1370.00,1458.00,1326.50,1458.00,8.16,24969.00,33694040.90,1
2025-11-02,1428.90,1438.00,1373.00,1405.00,-3.64,57947.00,81549962.70,-1
2025-11-03,1405.00,1418.90,1345.00,1364.00,-2.92,16840.00,23118816.10,-1
2025-11-04,1390.00,1476.00,1327.10,1335.00,-2.13,11461.00,15670188.20,-1
2025-11-05,1360.00,1361.70,1335.10,1355.00,1.50,4865.00,6549399.10,1
2025-11-06,1335.00,1369.70,1325.00,1337.00,-1.33,5358.00,7163209.20,-1
2025-11-09,1313.00,1356.60,1275.00,1356.60,1.47,13620.00,17665478.80,1
2025-11-10,1329.50,1347.00,1285.10,1296.50,-4.43,6585.00,8543737.00,-1
2025-11-11,1270.60,1321.00,1270.60,1280.00,-1.27,2257.00,2901499.50,-1
