published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-05-19,599.60,646.60,599.60,646.60,9.99,864.00,557461.60,1
2024-05-20,659.50,711.20,659.50,711.20,9.99,4504.00,3200390.80,1
2024-05-21,725.40,782.30,725.40,782.30,10.00,45318.00,35434502.40,1
2024-05-22,797.90,860.50,782.10,790.00,0.98,302424.00,244280413.70,1
2024-05-23,797.90,860.50,782.10,790.00,0.98,302424.00,244280413.70,1
2024-05-26,790.00,790.00,750.00,751.00,-4.94,66898.00,51259280.80,-1
2024-05-27,746.90,759.00,736.10,746.00,-0.67,28805.00,21602144.90,-1
2024-05-28,746.90,759.00,736.10,746.00,-0.67,28805.00,21602144.90,-1
2024-05-29,757.00,757.00,714.60,717.90,-3.77,41973.00,30527261.70,-1
2024-05-30,732.20,732.20,689.00,689.00,-4.03,34156.00,24014128.00,-1
2024-06-02,700.00,727.00,691.00,710.10,3.06,24091.00,17003758.30,1
2024-06-03,724.30,759.00,706.20,733.00,3.22,25396.00,18518029.90,1
2024-06-04,747.00,747.60,726.00,729.00,-0.55,27975.00,20556895.00,-1
2024-06-05,735.00,741.00,720.10,729.80,0.11,20251.00,14747920.70,1
2024-06-06,739.00,739.00,721.00,723.70,-0.84,34501.00,25075204.40,-1
2024-06-09,725.00,735.00,710.00,710.00,-1.89,21502.00,15510924.60,-1
2024-06-10,710.00,719.00,705.00,712.00,0.28,27636.00,19668197.30,1
2024-06-11,708.20,717.00,703.00,708.00,-0.56,22691.00,16130568.90,-1
2024-06-12,710.00,724.00,710.00,719.00,1.55,26382.00,18875699.40,1
2024-06-13,728.00,729.00,709.00,709.00,-1.39,30497.00,21789755.50,-1
2024-06-16,717.00,717.00,688.90,694.00,-2.12,45306.00,31602662.30,-1
2024-06-17,717.00,717.00,688.90,694.00,-2.12,45306.00,31602662.30,-1
2024-06-18,686.20,698.90,686.00,690.00,-0.58,11911.00,8236940.20,-1
2024-06-19,690.00,700.00,681.00,690.00,0.00,20335.00,14083524.60,0
2024-06-20,693.40,700.00,685.00,687.00,-0.43,10374.00,7162775.80,-1
2024-06-23,688.00,690.00,678.00,679.00,-1.16,12840.00,8753044.70,-1
2024-06-24,680.00,690.00,676.00,683.00,0.59,16379.00,11194561.80,1
2024-06-25,696.00,696.00,680.00,684.50,0.22,10789.00,7402877.90,1
2024-06-26,693.00,694.00,670.00,674.00,-1.53,16848.00,11500694.30,-1
2024-06-27,686.80,694.00,667.40,667.40,-0.98,12464.00,8429353.90,-1
2024-06-30,665.00,673.00,661.00,661.00,-0.96,8064.00,5361435.10,-1
2024-07-01,673.00,673.00,660.00,663.00,0.30,6071.00,4022863.00,1
2024-07-02,676.20,703.40,664.60,670.00,1.06,21736.00,14690509.40,1
2024-07-03,681.00,681.00,665.70,671.20,0.18,10352.00,6936285.60,1
2024-07-04,675.00,690.00,671.00,675.00,0.57,15117.00,10271485.50,1
2024-07-07,688.50,693.00,680.00,683.00,1.19,29961.00,20468277.90,1
2024-07-08,685.00,694.00,685.00,689.00,0.88,17860.00,12302950.10,1
2024-07-09,688.00,727.00,688.00,717.00,4.06,63311.00,44914289.70,1
2024-07-10,725.00,748.90,725.00,742.50,3.56,50750.00,37393874.20,1
2024-07-11,754.00,754.00,722.10,727.10,-2.07,31884.00,23081695.60,-1
2024-07-14,741.60,771.00,726.80,738.00,1.50,29390.00,21624840.10,1
2024-07-15,732.00,743.00,718.10,720.20,-2.41,27095.00,19721776.00,-1
2024-07-16,732.80,739.90,718.00,735.00,2.05,27151.00,19823889.60,1
2024-07-17,748.00,749.00,731.10,745.00,1.36,29609.00,21962842.00,1
2024-07-18,749.00,808.00,745.00,789.00,5.91,117794.00,93253078.60,1
2024-07-21,790.00,818.00,777.10,804.50,1.96,59640.00,48028734.00,1
2024-07-22,815.00,815.00,785.00,795.00,-1.18,44495.00,35453579.20,-1
2024-07-23,788.00,824.00,788.00,820.00,3.14,36574.00,29749928.00,1
2024-07-24,820.00,835.00,795.00,800.00,-2.44,34855.00,28332725.30,-1
2024-07-25,800.00,875.00,800.00,871.00,8.88,121125.00,102371600.60,1
2024-07-28,888.40,897.00,839.00,875.00,0.46,69494.00,60387321.00,1
2024-07-29,865.00,873.00,845.00,845.00,-3.43,75029.00,64040905.20,-1
2024-07-30,836.10,861.00,832.00,849.00,0.47,58275.00,49267509.20,1
2024-07-31,865.90,883.20,849.00,856.00,0.82,51722.00,44349933.30,1
2024-08-01,870.00,877.00,845.10,848.20,-0.91,57961.00,49889830.30,-1
2024-08-04,870.00,877.00,845.10,848.20,-0.91,57961.00,49889830.30,-1
