published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1533.00,1590.00,1499.40,1508.00,0.33,122001.00,186372229.20,1
2021-11-05,1533.00,1590.00,1499.40,1508.00,0.33,122001.00,186372229.20,1
2021-11-08,1533.00,1533.00,1461.00,1468.00,-2.65,74083.00,109714360.30,-1
2021-11-09,1460.00,1460.00,1380.00,1399.00,-4.70,118610.00,166849089.10,-1
2021-11-10,1460.00,1460.00,1380.00,1399.00,-4.70,118610.00,166849089.10,-1
2021-11-11,1397.00,1397.00,1350.00,1355.00,-3.15,58383.00,79747207.40,-1
2021-11-12,1397.00,1397.00,1350.00,1355.00,-3.15,58383.00,79747207.40,-1
2021-11-15,1372.00,1398.00,1371.00,1389.00,2.13,27114.00,37491543.30,1
2021-11-16,1389.00,1410.00,1377.00,1401.00,0.86,34228.00,47841375.50,1
2021-11-17,1429.00,1445.00,1401.00,1407.00,0.43,54722.00,77907040.10,1
2021-11-18,1400.00,1420.00,1378.00,1379.00,-1.99,33011.00,46133327.00,-1
2021-11-19,1400.00,1420.00,1378.00,1379.00,-1.99,33011.00,46133327.00,-1
2021-11-22,1389.00,1405.00,1380.00,1387.00,0.65,19785.00,27501655.20,1
2021-11-23,1387.00,1388.00,1355.10,1365.00,-1.59,29613.00,40632632.70,-1
2021-11-24,1350.00,1382.00,1350.00,1362.00,-0.22,29142.00,39663586.60,-1
2021-11-25,1370.00,1390.00,1312.00,1366.00,0.29,45384.00,61474118.00,1
2021-11-26,1370.00,1390.00,1312.00,1366.00,0.29,45384.00,61474118.00,1
2021-11-29,1365.00,1388.00,1333.00,1340.00,-1.83,54821.00,74543382.40,-1
2021-11-30,1343.00,1366.00,1320.00,1344.00,0.30,33510.00,44917650.50,1
2021-12-01,1350.00,1363.00,1336.00,1336.10,-0.59,19890.00,26715233.10,-1
2021-12-02,1354.00,1354.00,1280.00,1299.70,-2.72,63038.00,82379039.40,-1
2021-12-03,1354.00,1354.00,1280.00,1299.70,-2.72,63038.00,82379039.40,-1
