published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1544.00,1544.00,1469.50,1500.00,-1.06,2962.00,4397057.20,-1
2021-11-05,1544.00,1544.00,1469.50,1500.00,-1.06,2962.00,4397057.20,-1
2021-11-08,1526.90,1526.90,1473.00,1489.90,-0.67,1450.00,2145680.00,-1
2021-11-09,1475.00,1475.00,1440.00,1440.00,-3.35,1265.00,1845618.00,-1
2021-11-10,1475.00,1475.00,1440.00,1440.00,-3.35,1265.00,1845618.00,-1
2021-11-11,1425.00,1425.00,1391.00,1406.00,-2.36,2063.00,2907092.00,-1
2021-11-12,1425.00,1425.00,1391.00,1406.00,-2.36,2063.00,2907092.00,-1
2021-11-15,1386.90,1386.90,1350.00,1373.00,0.95,1764.00,2398185.10,1
2021-11-16,1370.00,1428.40,1370.00,1373.00,0.00,1530.00,2124112.00,0
2021-11-17,1398.90,1455.00,1391.00,1391.00,1.31,1537.00,2164889.00,1
2021-11-18,1380.00,1400.00,1369.00,1390.00,-0.07,2030.00,2808346.00,-1
2021-11-19,1380.00,1400.00,1369.00,1390.00,-0.07,2030.00,2808346.00,-1
2021-11-22,1376.00,1376.00,1353.00,1361.00,-0.92,575.00,782738.00,-1
2021-11-23,1361.00,1387.80,1351.00,1353.00,-0.59,1184.00,1617181.50,-1
2021-11-24,1331.00,1385.00,1331.00,1385.00,2.37,388.00,529565.00,1
2021-11-25,1360.00,1378.00,1358.10,1378.00,-0.51,359.00,490880.30,-1
2021-11-26,1360.00,1378.00,1358.10,1378.00,-0.51,359.00,490880.30,-1
2021-11-29,1331.00,1356.60,1315.50,1315.50,-1.09,932.00,1251188.40,-1
2021-11-30,1315.50,1325.00,1306.10,1325.00,0.72,620.00,811831.00,1
2021-12-01,1315.10,1315.10,1315.00,1315.00,-0.75,352.00,462890.00,-1
2021-12-02,1315.00,1315.00,1289.00,1291.00,-1.83,810.00,1046372.00,-1
2021-12-03,1315.00,1315.00,1289.00,1291.00,-1.83,810.00,1046372.00,-1
2021-12-06,1345.00,1345.00,1294.00,1320.90,-1.65,316.00,414236.00,-1
2021-12-07,1339.00,1339.00,1339.00,1339.00,1.37,100.00,133900.00,1
2021-12-08,1313.00,1313.00,1240.00,1240.00,-7.39,1285.00,1616714.00,-1
2021-12-09,1222.00,1249.00,1200.10,1235.00,-0.40,2691.00,3251069.90,-1
2021-12-10,1222.00,1249.00,1200.10,1235.00,-0.40,2691.00,3251069.90,-1
2021-12-13,1089.30,1089.30,1026.10,1081.00,-2.74,1390.00,1456178.30,-1
2021-12-14,1102.00,1162.00,1102.00,1162.00,7.49,230.00,264340.00,1
2021-12-15,1151.00,1169.90,1078.20,1100.00,-5.34,1307.00,1466565.00,-1
2021-12-16,1078.00,1078.00,1056.60,1075.00,-2.27,1097.00,1180136.00,-1
