published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-17,10.00,10.19,9.43,10.15,1.50,40890.00,396551.20,1
2026-03-18,10.00,10.19,9.43,10.15,1.50,40890.00,396551.20,1
2026-03-19,9.95,9.95,9.50,9.63,-5.12,29470.00,283924.90,-1
2026-03-22,9.55,9.80,9.46,9.75,1.25,35620.00,341587.00,1
2026-03-23,9.57,10.02,9.35,10.02,2.77,41060.00,396097.80,1
2026-03-24,10.02,10.02,9.60,9.87,-1.50,21500.00,210289.16,-1
2026-03-25,9.80,9.85,9.61,9.71,-1.62,18980.00,185295.00,-1
2026-03-26,9.70,9.90,9.62,9.89,1.85,8000.00,77973.00,1
2026-03-29,9.70,9.87,9.57,9.85,-0.40,21740.00,212816.80,-1
2026-03-30,9.66,10.00,9.47,9.61,-2.44,12330.00,118741.00,-1
2026-03-31,9.42,9.80,9.24,9.51,-1.04,19350.00,183744.00,-1
2026-04-01,9.40,9.72,9.35,9.55,0.42,24800.00,236731.00,1
2026-04-02,9.40,9.74,9.40,9.50,-0.52,6600.00,62617.00,-1
2026-04-05,9.32,9.50,9.32,9.41,-0.95,21200.00,200461.00,-1
2026-04-06,9.25,9.66,9.25,9.66,2.66,22100.00,209406.00,1
2026-04-07,9.80,9.99,9.55,9.58,-0.83,16300.00,159352.00,-1
2026-04-08,9.40,9.70,9.40,9.50,-0.84,5400.00,51429.00,-1
2026-04-09,9.50,9.91,9.40,9.91,4.32,13800.00,132657.00,1
2026-04-10,9.72,9.73,9.62,9.72,-1.92,6930.00,67003.50,-1
2026-04-13,9.53,9.88,9.35,9.88,1.65,16800.00,161260.00,1
2026-04-14,9.53,9.88,9.35,9.88,1.65,16800.00,161260.00,1
2026-04-15,9.70,9.80,9.51,9.71,-1.72,24470.00,237438.80,-1
2026-04-16,9.53,9.79,9.53,9.67,-0.41,4800.00,46320.00,-1
2026-04-17,9.57,9.75,9.57,9.75,0.83,4800.00,46063.00,1
2026-04-20,9.50,9.81,9.50,9.60,-1.54,13900.00,133446.00,-1
2026-04-21,9.32,9.70,9.32,9.70,1.04,15630.00,147828.00,1
2026-04-22,9.50,9.78,9.45,9.78,0.82,6600.00,63156.00,1
2026-04-23,9.49,9.77,9.32,9.60,-1.84,8300.00,78636.00,-1
2026-04-24,9.32,9.83,9.06,9.62,0.21,4900.00,46262.00,1
2026-04-27,9.62,9.70,9.18,9.50,-1.25,12700.00,120591.00,-1
2026-04-28,9.50,9.50,9.27,9.31,-2.00,13300.00,124544.00,-1
2026-04-29,9.31,9.68,9.25,9.67,3.87,18600.00,176142.50,1
2026-04-30,9.38,9.66,9.31,9.44,-2.38,5350.00,50381.00,-1
2026-05-01,9.38,9.66,9.31,9.44,-2.38,5350.00,50381.00,-1
2026-05-04,9.25,9.50,9.13,9.28,-1.69,8750.00,80820.00,-1
2026-05-05,9.28,9.55,9.13,9.55,2.91,51900.00,492593.00,1
2026-05-06,9.28,9.60,9.28,9.50,-0.52,14638.00,138756.80,-1
2026-05-07,9.26,9.73,9.26,9.73,2.42,6850.00,64774.00,1
2026-05-08,9.50,9.68,9.25,9.53,-2.06,9565.00,90846.20,-1
2026-05-11,9.50,9.57,9.26,9.45,-0.84,9920.00,93621.10,-1
2026-05-12,9.18,9.60,9.18,9.45,0.00,153990.00,1456841.26,0
2026-05-13,9.28,9.60,9.28,9.50,0.53,10810.00,102785.00,1
2026-05-14,9.50,9.62,9.25,9.62,1.26,8670.00,81967.40,1
2026-05-15,9.46,9.59,9.46,9.50,-1.25,9700.00,92403.00,-1
2026-05-18,9.43,9.75,9.43,9.50,0.00,55400.00,535974.00,0
2026-05-19,9.43,9.50,9.43,9.50,0.00,6200.00,58630.00,0
2026-05-20,9.43,9.60,9.43,9.60,1.05,3300.00,31248.00,1
2026-05-21,9.44,9.60,9.43,9.60,0.00,8612.00,81792.12,0
2026-05-22,9.45,9.68,9.43,9.68,0.83,5100.00,48552.00,1
2026-05-25,9.44,9.63,9.35,9.53,-1.55,8470.00,81209.00,-1
2026-05-27,9.46,9.70,9.46,9.69,1.68,5000.00,47876.00,1
2026-05-28,9.46,9.70,9.46,9.69,1.68,5000.00,47876.00,1
2026-05-29,9.46,9.70,9.46,9.69,1.68,5000.00,47876.00,1
2026-06-01,9.69,9.69,9.44,9.65,-0.41,14500.00,139187.00,-1
2026-06-02,9.44,9.70,9.44,9.70,0.52,6200.00,59070.00,1
2026-06-03,9.42,9.50,9.40,9.47,-2.37,4600.00,43498.00,-1
2026-06-04,9.33,9.60,9.33,9.51,0.42,19550.00,185455.00,1
2026-06-05,9.79,9.79,9.41,9.69,1.89,13865.00,132824.55,1
2026-06-08,9.41,9.79,9.41,9.52,-1.75,5700.00,54408.00,-1
2026-06-09,9.52,9.52,9.32,9.50,-0.21,5700.00,53847.00,-1
2026-06-10,9.22,9.59,9.22,9.59,0.95,22600.00,212662.00,1
2026-06-11,9.36,9.58,9.36,9.45,-1.46,12200.00,116576.00,-1
2026-06-12,9.43,9.55,9.35,9.51,0.63,8650.00,82022.50,1
