published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1580.00,1644.00,1580.00,1630.00,3.49,57625.00,92419112.90,1
2021-11-05,1580.00,1644.00,1580.00,1630.00,3.49,57625.00,92419112.90,1
2021-11-08,1630.00,1645.00,1596.00,1616.00,-0.86,28687.00,46357283.80,-1
2021-11-09,1620.00,1620.00,1540.00,1560.00,-3.47,33307.00,52512729.30,-1
2021-11-10,1620.00,1620.00,1540.00,1560.00,-3.47,33307.00,52512729.30,-1
2021-11-11,1540.00,1555.00,1516.00,1520.50,-2.53,17414.00,26695222.70,-1
2021-11-12,1540.00,1555.00,1516.00,1520.50,-2.53,17414.00,26695222.70,-1
2021-11-15,1530.00,1540.00,1509.00,1536.00,2.40,13856.00,21173657.70,1
2021-11-16,1536.00,1545.00,1520.00,1539.00,0.20,15938.00,24355119.10,1
2021-11-17,1550.00,1560.00,1523.00,1523.00,-1.04,12034.00,18611003.60,-1
2021-11-18,1530.00,1554.00,1502.00,1523.00,0.00,22089.00,34089022.90,0
2021-11-19,1530.00,1554.00,1502.00,1523.00,0.00,22089.00,34089022.90,0
2021-11-22,1530.00,1532.90,1525.00,1532.00,0.13,5373.00,8217854.50,1
2021-11-23,1513.00,1530.00,1495.00,1500.10,-2.08,13435.00,20262424.40,-1
2021-11-24,1496.00,1496.00,1460.00,1480.00,-1.34,17021.00,25073850.60,-1
2021-11-25,1509.00,1509.00,1471.00,1488.00,0.54,14266.00,21098406.20,1
2021-11-26,1509.00,1509.00,1471.00,1488.00,0.54,14266.00,21098406.20,1
2021-11-29,1540.00,1561.00,1527.00,1530.00,-0.58,28319.00,43565870.60,-1
2021-11-30,1540.00,1549.90,1500.00,1520.00,-0.65,25179.00,38141904.80,-1
2021-12-01,1530.00,1550.00,1510.00,1514.00,-0.39,12153.00,18487759.60,-1
2021-12-02,1520.00,1520.00,1498.00,1500.00,-0.92,14448.00,21739712.20,-1
2021-12-03,1520.00,1520.00,1498.00,1500.00,-0.92,14448.00,21739712.20,-1
2021-12-06,1473.00,1497.00,1441.00,1487.00,0.95,16612.00,24324297.60,1
