published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-29,282.30,310.50,282.30,310.50,9.99,194.00,57717.70,1
2021-11-30,316.70,341.50,316.70,341.50,9.98,171.00,57762.70,1
2021-12-01,348.30,375.60,348.30,375.60,9.99,150.00,55348.00,1
2021-12-02,383.10,413.10,383.10,413.10,9.98,390.00,159850.00,1
2021-12-03,383.10,413.10,383.10,413.10,9.98,390.00,159850.00,1
2021-12-06,463.40,499.80,409.00,433.00,-4.71,81212.00,35157169.30,-1
2021-12-07,441.00,459.00,414.00,416.00,-3.93,30287.00,13054412.00,-1
2021-12-08,408.00,410.00,400.00,408.00,-1.92,10795.00,4365534.00,-1
2021-12-09,399.90,404.00,385.00,393.00,-3.68,12424.00,4881113.00,-1
2021-12-10,399.90,404.00,385.00,393.00,-3.68,12424.00,4881113.00,-1
2021-12-13,358.00,386.00,332.00,347.00,-4.93,10591.00,3666838.10,-1
2021-12-14,350.00,381.70,350.00,381.70,10.00,4849.00,1786201.50,1
2021-12-15,389.30,412.00,363.00,372.00,-2.54,17495.00,6820720.50,-1
2021-12-16,365.00,385.50,360.00,363.00,-2.42,5854.00,2139034.10,-1
2021-12-17,365.00,385.50,360.00,363.00,-2.42,5854.00,2139034.10,-1
2021-12-20,362.00,362.00,343.00,347.00,-4.41,4850.00,1693137.50,-1
2021-12-21,349.00,356.90,344.00,356.90,2.85,5216.00,1819310.00,1
2021-12-22,357.00,378.00,357.00,378.00,5.91,7385.00,2739578.50,1
2021-12-23,378.10,380.00,365.10,371.00,-1.85,8049.00,2996923.70,-1
2021-12-24,378.10,380.00,365.10,371.00,-1.85,8049.00,2996923.70,-1
2021-12-27,375.00,375.00,358.00,360.00,-4.00,11881.00,4337568.60,-1
2021-12-28,355.00,362.40,351.00,358.00,-0.56,4065.00,1445544.00,-1
2021-12-29,351.20,372.00,351.20,364.00,1.68,4050.00,1453923.00,1
2021-12-30,351.20,372.00,351.20,364.00,1.68,4050.00,1453923.00,1
2021-12-31,351.20,372.00,351.20,364.00,1.68,4050.00,1453923.00,1
2022-01-03,375.40,390.00,362.00,379.00,-1.04,13813.00,5284335.00,-1
2022-01-04,371.50,388.00,367.10,384.00,1.32,7729.00,2930709.50,1
2022-01-05,384.00,397.80,371.00,382.00,-0.52,14924.00,5784544.60,-1
2022-01-06,375.00,393.00,369.10,393.00,2.88,11525.00,4478146.20,1
2022-01-07,375.00,393.00,369.10,393.00,2.88,11525.00,4478146.20,1
2022-01-10,430.00,439.90,420.00,439.00,2.09,20907.00,8944679.00,1
2022-01-11,431.00,482.00,431.00,482.00,9.79,31728.00,14442356.70,1
2022-01-12,482.00,486.00,460.00,482.00,0.00,25627.00,12149344.50,0
2022-01-13,472.40,485.00,463.00,481.00,-0.21,20163.00,9595904.30,-1
2022-01-14,472.40,485.00,463.00,481.00,-0.21,20163.00,9595904.30,-1
2022-01-17,463.00,492.00,460.00,492.00,4.66,28599.00,13648695.90,1
2022-01-18,492.00,505.00,490.00,499.00,1.42,30733.00,15266600.00,1
2022-01-19,499.00,499.00,481.00,484.10,-2.99,13433.00,6529765.10,-1
2022-01-20,475.00,529.00,474.60,527.00,8.86,34689.00,17495226.50,1
2022-01-21,475.00,529.00,474.60,527.00,8.86,34689.00,17495226.50,1
2022-01-24,517.00,520.00,480.00,492.00,-4.84,37075.00,18122049.10,-1
2022-01-25,486.00,503.00,472.00,485.10,-1.40,18223.00,8991627.20,-1
2022-01-26,477.00,485.00,463.00,473.00,-2.49,11451.00,5413079.90,-1
2022-01-27,473.00,481.00,465.00,475.00,0.42,9620.00,4552178.80,1
2022-01-28,473.00,481.00,465.00,475.00,0.42,9620.00,4552178.80,1
2022-01-31,505.00,505.00,488.00,489.00,-3.17,9895.00,4891869.50,-1
2022-02-01,495.00,524.00,481.00,509.00,4.09,21831.00,10987045.00,1
2022-02-02,495.00,524.00,481.00,509.00,4.09,21831.00,10987045.00,1
2022-02-03,509.00,530.20,503.00,530.00,4.13,56373.00,29323342.00,1
2022-02-04,509.00,530.20,503.00,530.00,4.13,56373.00,29323342.00,1
2022-02-07,504.80,515.00,499.10,509.00,-1.17,11704.00,5959093.00,-1
2022-02-08,509.00,529.20,495.10,498.00,-2.16,18203.00,9254004.00,-1
2022-02-09,490.00,500.00,480.20,489.90,-1.63,13550.00,6609771.00,-1
2022-02-10,480.20,499.80,475.00,478.00,-2.43,13357.00,6438595.20,-1
2022-02-11,480.20,499.80,475.00,478.00,-2.43,13357.00,6438595.20,-1
2022-02-14,451.00,459.00,444.00,445.00,-1.33,7201.00,3241223.00,-1
2022-02-15,445.00,489.50,437.00,489.50,10.00,11328.00,5316850.00,1
2022-02-16,490.00,490.00,457.70,475.00,-2.96,17166.00,8091256.50,-1
2022-02-17,465.50,483.00,460.00,483.00,1.68,7677.00,3643993.20,1
2022-02-18,465.50,483.00,460.00,483.00,1.68,7677.00,3643993.20,1
2022-02-21,482.00,516.00,482.00,511.00,3.95,28319.00,14233938.00,1
2022-02-22,520.00,555.00,512.00,535.00,4.70,68842.00,36891538.00,1
2022-02-23,545.70,566.00,530.00,550.00,2.80,44722.00,24521558.50,1
2022-02-24,550.00,550.80,518.00,520.00,-5.45,37596.00,19839208.70,-1
2022-02-25,550.00,550.80,518.00,520.00,-5.45,37596.00,19839208.70,-1
2022-02-28,535.00,545.00,490.00,490.00,-6.67,25258.00,12905808.40,-1
2022-03-01,535.00,545.00,490.00,490.00,-6.67,25258.00,12905808.40,-1
2022-03-02,481.00,490.00,472.60,475.00,-3.06,11964.00,5720681.40,-1
2022-03-03,481.00,490.00,472.60,475.00,-3.06,11964.00,5720681.40,-1
2022-03-04,481.00,490.00,472.60,475.00,-3.06,11964.00,5720681.40,-1
2022-03-07,497.50,497.50,478.30,486.00,-0.41,8970.00,4355912.50,-1
2022-03-08,497.50,497.50,478.30,486.00,-0.41,8970.00,4355912.50,-1
2022-03-09,494.70,494.70,464.00,470.00,-3.29,10317.00,4842919.20,-1
2022-03-10,470.00,517.00,447.00,503.00,7.02,16084.00,7795460.60,1
2022-03-11,470.00,517.00,447.00,503.00,7.02,16084.00,7795460.60,1
2022-03-14,495.00,504.90,486.10,490.40,-2.89,6148.00,3048396.50,-1
2022-03-15,483.20,499.70,467.00,476.00,-2.94,19314.00,9256266.00,-1
2022-03-16,485.50,489.20,470.50,483.50,1.58,8788.00,4211278.90,1
2022-03-17,485.50,489.20,470.50,483.50,1.58,8788.00,4211278.90,1
2022-03-18,485.50,489.20,470.50,483.50,1.58,8788.00,4211278.90,1
2022-03-21,490.00,496.00,475.10,489.00,1.03,9304.00,4522389.20,1
2022-03-22,498.60,498.60,478.00,484.00,-1.02,7378.00,3577886.70,-1
2022-03-23,483.00,483.00,470.00,471.00,-2.69,12633.00,5978453.60,-1
2022-03-24,471.00,475.00,467.00,469.00,-0.42,7182.00,3370278.00,-1
2022-03-25,471.00,475.00,467.00,469.00,-0.42,7182.00,3370278.00,-1
2022-03-28,460.00,469.10,442.00,444.00,-1.99,5974.00,2678260.20,-1
2022-03-29,436.00,459.00,436.00,449.70,1.28,9089.00,4031648.60,1
2022-03-30,440.80,464.20,440.80,463.00,2.96,7335.00,3318402.00,1
2022-03-31,458.00,470.00,451.10,451.10,-2.57,8375.00,3847562.40,-1
2022-04-01,458.00,470.00,451.10,451.10,-2.57,8375.00,3847562.40,-1
2022-04-04,445.90,450.00,439.00,450.00,-1.08,4533.00,2016615.60,-1
2022-04-05,441.00,441.00,425.00,438.00,-2.67,10520.00,4555948.70,-1
2022-04-06,429.30,441.00,419.90,436.00,-0.46,6185.00,2640722.00,-1
2022-04-07,444.00,444.00,425.00,429.10,-1.58,10979.00,4747367.00,-1
2022-04-08,444.00,444.00,425.00,429.10,-1.58,10979.00,4747367.00,-1
2022-04-11,435.00,443.70,421.50,427.00,-0.49,11615.00,4996935.20,-1
2022-04-12,420.00,422.00,397.10,401.10,-6.07,9734.00,3942640.00,-1
2022-04-13,394.00,411.90,394.00,410.00,2.22,5670.00,2303697.30,1
2022-04-14,394.00,411.90,394.00,410.00,2.22,5670.00,2303697.30,1
2022-04-15,394.00,411.90,394.00,410.00,2.22,5670.00,2303697.30,1
2022-04-18,392.00,400.00,381.00,381.00,-4.75,4772.00,1864591.70,-1
2022-04-19,380.00,390.00,361.20,387.00,1.57,7350.00,2769282.40,1
2022-04-20,382.00,401.00,368.00,375.00,-3.10,5304.00,2024717.50,-1
2022-04-21,370.00,399.80,360.00,390.00,4.00,5538.00,2035572.20,1
2022-04-22,370.00,399.80,360.00,390.00,4.00,5538.00,2035572.20,1
2022-04-25,412.00,424.30,398.00,400.00,-4.72,11852.00,4846413.20,-1
2022-04-26,392.10,408.00,390.30,396.00,-1.00,5881.00,2353913.00,-1
2022-04-27,389.00,403.90,386.10,395.00,-0.25,3525.00,1394515.10,-1
2022-04-28,387.10,402.90,387.10,393.30,-0.43,8301.00,3266910.80,-1
2022-04-29,387.10,402.90,387.10,393.30,-0.43,8301.00,3266910.80,-1
2022-05-02,386.00,393.00,374.10,375.00,-4.65,5895.00,2232464.20,-1
2022-05-03,386.00,393.00,374.10,375.00,-4.65,5895.00,2232464.20,-1
2022-05-04,368.00,380.00,361.00,363.00,-3.20,4666.00,1705218.60,-1
2022-05-05,363.00,363.00,344.20,353.00,-2.75,7144.00,2503240.00,-1
2022-05-06,363.00,363.00,344.20,353.00,-2.75,7144.00,2503240.00,-1
2022-05-09,349.00,362.00,349.00,351.00,-0.96,4450.00,1587069.50,-1
2022-05-10,346.00,367.20,346.00,366.00,4.27,5366.00,1929272.80,1
2022-05-11,373.10,388.00,360.00,384.00,4.92,11876.00,4494749.50,1
2022-05-12,391.60,401.80,377.00,389.70,1.48,15321.00,6019153.40,1
2022-05-13,391.60,401.80,377.00,389.70,1.48,15321.00,6019153.40,1
2022-05-16,391.60,401.80,377.00,389.70,1.48,15321.00,6019153.40,1
2022-05-17,382.00,382.00,365.60,369.00,-5.31,5725.00,2119910.60,-1
2022-05-18,370.00,384.00,351.30,380.00,2.98,4429.00,1613196.20,1
2022-05-19,372.50,381.00,366.10,366.10,-3.66,3372.00,1256599.90,-1
2022-05-20,358.80,373.40,352.30,361.50,-1.26,2658.00,959498.80,-1
2022-05-23,354.30,360.00,341.40,353.00,-2.35,4555.00,1587306.90,-1
2022-05-24,353.00,367.20,347.10,349.00,-1.13,6181.00,2203206.50,-1
2022-05-25,343.00,362.10,343.00,355.00,1.72,1894.00,677344.70,1
2022-05-26,360.00,370.00,355.10,360.00,1.41,3079.00,1106427.90,1
2022-05-27,360.00,360.00,348.00,360.00,0.00,2946.00,1036422.60,0
2022-05-30,357.00,357.00,343.00,346.00,-3.89,4890.00,1685835.00,-1
2022-05-31,340.00,347.80,336.00,336.20,-2.83,2850.00,966297.20,-1
2022-06-01,330.00,341.00,330.00,332.00,-1.25,5330.00,1774988.50,-1
2022-06-02,335.00,340.00,330.00,330.00,-0.60,1522.00,506785.00,-1
2022-06-03,325.50,331.00,321.00,323.00,-2.12,3295.00,1068763.20,-1
2022-06-06,317.00,331.50,315.10,325.00,0.62,2100.00,672187.00,1
2022-06-07,318.80,322.00,313.70,314.00,-3.38,2213.00,702437.60,-1
2022-06-08,311.00,332.40,311.00,323.10,2.90,2595.00,843550.50,1
2022-06-09,323.10,340.00,317.00,318.00,-1.58,3320.00,1079079.00,-1
2022-06-10,324.30,324.30,313.20,317.00,-0.31,927.00,293527.00,-1
2022-06-13,310.80,321.40,310.80,315.00,-0.63,1581.00,500281.00,-1
2022-06-14,311.00,316.00,308.80,309.00,-1.90,3340.00,1038257.50,-1
2022-06-15,303.00,303.00,291.10,300.00,-2.91,2194.00,654554.40,-1
2022-06-16,294.00,317.00,294.00,300.00,0.00,1385.00,416373.20,0
2022-06-17,294.00,306.00,290.00,298.00,-0.67,400.00,118753.00,-1
2022-06-19,292.20,303.80,284.00,284.00,-4.70,3548.00,1026671.50,-1
2022-06-20,279.00,279.00,261.50,268.00,-5.63,5226.00,1390055.30,-1
2022-06-21,262.70,277.00,258.00,275.00,2.61,5135.00,1379956.50,1
2022-06-22,269.50,269.50,262.10,263.00,-4.36,1280.00,337323.00,-1
2022-06-23,263.00,263.00,248.10,248.10,-5.67,3047.00,774008.00,-1
2022-07-05,342.10,350.00,325.40,330.00,-5.44,9287.00,3120877.60,-1
2022-07-06,336.00,337.00,315.00,335.00,1.52,7078.00,2300753.60,1
2022-07-07,335.00,336.00,322.00,325.00,-2.99,6975.00,2282461.10,-1
2022-07-08,323.00,328.00,319.10,321.00,-1.23,2335.00,753957.00,-1
2022-07-10,323.00,328.00,319.10,321.00,-1.23,2335.00,753957.00,-1
2022-07-11,314.60,314.60,300.00,301.10,-6.20,7583.00,2295037.30,-1
2022-07-12,300.00,323.30,289.20,301.00,-0.03,4050.00,1222052.50,-1
2022-07-13,298.00,325.00,298.00,325.00,7.97,2842.00,891985.70,1
2022-07-14,328.00,334.00,309.20,323.00,-0.62,4405.00,1414488.00,-1
2022-07-15,316.60,321.00,315.00,316.00,-2.17,2255.00,716119.40,-1
2022-07-17,316.00,322.00,312.00,315.00,-0.32,2144.00,677941.50,-1
2022-07-18,310.00,320.00,310.00,319.00,1.27,1777.00,562100.00,1
2022-07-19,325.30,328.00,315.00,320.00,0.31,3899.00,1252511.00,1
2022-07-20,326.00,326.00,315.10,320.00,0.00,2931.00,929069.50,0
2022-07-21,314.00,321.30,311.10,320.00,0.00,2000.00,635631.00,0
2022-07-22,320.00,320.00,309.00,312.30,-2.41,2288.00,714988.00,-1
2022-07-24,318.40,320.00,310.00,320.00,2.47,4296.00,1353665.40,1
2022-07-25,326.00,342.00,320.20,334.00,4.38,8907.00,2990132.70,1
2022-07-26,328.00,345.00,321.50,326.10,-2.37,5942.00,1970571.50,-1
2022-07-27,320.00,340.00,314.00,338.00,3.65,6115.00,2023618.70,1
2022-07-28,344.00,365.00,340.10,340.10,0.62,21062.00,7407620.50,1
2022-07-29,340.00,353.70,336.00,348.00,2.32,6063.00,2076116.00,1
2022-07-31,348.00,354.00,345.00,346.00,-0.57,6360.00,2213103.00,-1
2022-08-01,346.00,355.90,339.10,344.00,-0.58,17346.00,6064173.20,-1
2022-08-02,346.00,350.80,339.20,344.00,0.00,8740.00,3013670.60,0
2022-08-03,350.00,367.20,346.00,366.00,6.40,17995.00,6477752.00,1
2022-08-04,373.30,387.00,370.00,375.00,2.46,46516.00,17605440.20,1
2022-08-05,367.60,373.00,367.60,369.00,-1.60,15312.00,5666986.70,-1
2022-08-07,375.00,382.50,367.00,381.00,3.25,10575.00,3937260.10,1
2022-08-08,387.00,400.00,378.00,379.50,-0.39,16549.00,6385106.90,-1
2022-08-09,372.00,375.00,355.20,355.20,-6.40,15007.00,5448741.40,-1
2022-08-10,350.00,356.00,344.00,345.40,-2.76,10644.00,3713635.90,-1
2022-08-11,339.00,362.10,338.30,340.00,-1.56,4503.00,1571078.80,-1
2022-08-12,339.00,362.10,338.30,340.00,-1.56,4503.00,1571078.80,-1
2022-08-14,333.20,347.00,327.00,327.00,-3.82,3790.00,1262951.60,-1
2022-08-15,320.50,351.00,320.00,350.00,7.03,2595.00,883612.50,1
2022-08-16,343.10,357.00,336.20,338.00,-3.43,8183.00,2781335.40,-1
2022-08-17,332.10,353.00,332.10,340.00,0.59,2557.00,873058.30,1
2022-08-18,335.00,355.00,335.00,351.00,3.24,3110.00,1083440.00,1
2022-08-19,335.00,355.00,335.00,351.00,3.24,3110.00,1083440.00,1
2022-08-21,351.00,355.00,340.10,346.90,-1.17,2165.00,751784.50,-1
2022-08-22,340.00,347.00,338.00,343.90,-0.86,3029.00,1031390.50,-1
