published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-04,270.00,297.00,270.00,297.00,10.00,160.00,45910.00,1
2025-05-05,293.30,326.70,293.30,326.70,10.00,80.00,25028.00,1
2025-05-06,326.60,359.30,326.60,359.30,9.98,120.00,42142.00,1
2025-05-07,359.00,395.20,359.00,395.20,9.99,150.00,57835.00,1
2025-05-08,399.70,434.70,399.70,434.70,9.99,190.00,81302.00,1
2025-05-11,443.30,478.10,443.30,478.10,9.98,220.00,104326.00,1
2025-05-12,443.30,478.10,443.30,478.10,9.98,220.00,104326.00,1
2025-05-13,477.50,525.90,477.50,525.90,10.00,300.00,156320.00,1
2025-05-14,525.80,578.40,525.80,578.40,9.98,390.00,223490.00,1
2025-05-15,578.30,636.20,578.30,636.20,9.99,460.00,290351.00,1
2025-05-18,647.90,699.80,647.90,699.80,10.00,460.00,320098.00,1
2025-05-19,713.70,769.70,713.70,769.70,9.99,350.00,268019.00,1
2025-05-20,769.60,846.60,769.60,846.60,9.99,420.00,352515.00,1
2025-05-21,831.50,931.20,831.50,931.20,9.99,590.00,544985.00,1
2025-05-22,931.10,1024.30,931.10,1024.30,10.00,1250.00,1277609.00,1
2025-05-25,1044.70,1126.70,1044.70,1126.70,10.00,1140.00,1282425.00,1
2025-05-26,1149.20,1239.30,1149.20,1239.30,9.99,950.00,1175125.00,1
2025-05-27,1264.00,1363.20,1264.00,1363.20,10.00,1180.00,1606140.00,1
2025-05-28,1390.40,1499.50,1390.40,1499.50,10.00,4169.00,6248740.50,1
2025-05-29,1390.40,1499.50,1390.40,1499.50,10.00,4169.00,6248740.50,1
2025-06-01,1390.40,1499.50,1390.40,1499.50,10.00,4169.00,6248740.50,1
2025-06-02,1529.40,1649.40,1529.40,1649.40,10.00,4370.00,7192933.00,1
2025-06-03,1649.40,1814.30,1649.40,1813.43,9.94,160034.00,283395122.20,1
2025-06-04,1849.00,1994.70,1750.00,1994.70,10.00,55110.00,105383988.60,1
2025-06-05,2034.50,2167.20,1796.00,1809.24,-9.30,91850.00,176017126.70,-1
