published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-06-25,1000.00,1050.00,1000.00,1041.00,4.10,175.00,181930.00,1
2024-06-26,1040.10,1045.00,1040.10,1040.10,-0.09,75.00,78130.00,-1
2024-06-27,1040.00,1040.50,1040.00,1040.50,0.04,50.00,52012.50,1
2024-06-30,1046.00,1046.00,1046.00,1046.00,0.53,25.00,26150.00,1
2024-07-01,1048.10,1105.00,1048.10,1105.00,5.64,210.00,226105.00,1
2024-07-08,1082.90,1082.90,1070.00,1070.00,-3.17,45.00,48280.00,-1
2024-07-09,1051.60,1052.10,1051.50,1052.10,-1.67,175.00,184045.50,-1
2024-07-10,1052.00,1060.00,1051.70,1053.40,0.12,105.00,110595.50,1
2024-07-11,1071.00,1090.00,1071.00,1090.00,3.47,150.00,162550.00,1
2024-07-14,1069.00,1069.00,1045.20,1045.20,-4.11,75.00,79104.50,-1
2024-07-15,1045.00,1045.00,1041.00,1041.00,-0.40,75.00,78175.00,-1
2024-07-17,1020.20,1020.20,1020.20,1020.20,-2.00,25.00,25505.00,-1
2024-07-18,1030.00,1030.00,1015.00,1015.00,-0.51,225.00,231375.00,-1
2024-07-21,1015.00,1015.10,1015.00,1015.10,0.01,50.00,50752.50,1
2024-07-22,1015.00,1015.00,1015.00,1015.00,-0.01,25.00,25375.00,-1
2024-07-23,1010.00,1040.40,1010.00,1011.60,-0.33,200.00,204519.50,-1
2024-07-25,1020.00,1020.00,1020.00,1020.00,0.83,25.00,25500.00,1
2024-07-28,1020.00,1025.00,1020.00,1025.00,0.49,115.00,117375.00,1
2024-07-30,1045.50,1045.50,1025.00,1025.00,0.00,75.00,77387.50,0
2024-07-31,1030.00,1030.10,1030.00,1030.10,0.50,50.00,51502.50,1
2024-08-01,1036.00,1036.00,1035.00,1035.00,0.48,150.00,155350.00,1
2024-08-04,1036.00,1036.00,1035.00,1035.00,0.48,150.00,155350.00,1
2024-08-05,1040.10,1040.10,1040.10,1040.10,0.49,25.00,26002.00,1
2024-08-06,1040.00,1050.00,1040.00,1050.00,0.96,75.00,78250.00,1
2024-08-07,1045.00,1046.60,1045.00,1046.50,-0.33,125.00,130777.00,-1
2024-08-08,1045.00,1045.00,1040.00,1040.00,-0.62,50.00,52126.00,-1
2024-08-11,1040.10,1040.10,1040.10,1040.10,0.01,30.00,31202.50,1
2024-08-12,1040.10,1040.10,1040.00,1040.00,-0.01,25.00,26001.50,-1
2024-08-13,1045.00,1045.00,1045.00,1045.00,0.48,50.00,52250.00,1
2024-08-14,1045.00,1045.00,1045.00,1045.00,0.00,25.00,26125.00,0
2024-08-15,1045.00,1045.00,1045.00,1045.00,0.00,50.00,52250.00,0
2024-08-18,1045.00,1047.00,1045.00,1047.00,0.19,75.00,78425.00,1
2024-08-19,1045.00,1047.00,1045.00,1047.00,0.19,75.00,78425.00,1
2024-08-20,1045.00,1047.00,1045.00,1047.00,0.19,75.00,78425.00,1
2024-08-21,1028.00,1045.00,1025.00,1045.00,-0.19,250.00,260325.00,-1
2024-08-22,1046.00,1046.00,1046.00,1046.00,0.10,25.00,26150.00,1
2024-08-25,1045.00,1045.00,1045.00,1045.00,-0.10,25.00,26125.00,-1
2024-08-26,1045.00,1045.00,1045.00,1045.00,-0.10,25.00,26125.00,-1
2024-08-28,1065.90,1065.90,1052.00,1052.00,0.67,50.00,52947.50,1
2024-08-29,1050.00,1051.00,1050.00,1051.00,-0.10,125.00,131275.00,-1
2024-09-01,1053.00,1053.00,1052.00,1052.00,0.10,150.00,157875.00,1
2024-09-02,1053.00,1053.00,1053.00,1053.00,0.10,25.00,26325.00,1
2024-09-03,1053.50,1053.50,1053.50,1053.50,0.05,50.00,52675.00,1
2024-09-08,1054.10,1054.10,1054.10,1054.10,0.06,25.00,26352.50,1
2024-09-09,1054.00,1056.00,1054.00,1056.00,0.18,75.00,79100.00,1
2024-09-10,1056.10,1056.10,1056.10,1056.10,0.01,25.00,26402.50,1
2024-09-11,1060.00,1060.00,1060.00,1060.00,0.37,25.00,26500.00,1
2024-09-15,1062.30,1062.30,1062.30,1062.30,0.22,25.00,26557.50,1
2024-09-16,1062.10,1062.10,1060.00,1060.00,-0.22,125.00,132655.00,-1
2024-09-17,1062.10,1062.10,1060.00,1060.00,-0.22,125.00,132655.00,-1
2024-09-18,1058.00,1058.00,1058.00,1058.00,-0.19,10.00,10580.00,-1
2024-09-19,1058.00,1058.00,1058.00,1058.00,-0.19,10.00,10580.00,-1
2024-09-22,1079.00,1079.00,1060.10,1060.10,0.20,43.00,45924.50,1
2024-09-23,1075.00,1075.00,1075.00,1075.00,1.41,200.00,215000.00,1
2024-09-25,1057.10,1057.10,1057.00,1057.00,-1.67,25.00,26426.50,-1
2024-09-29,1059.20,1078.10,1059.20,1059.50,0.24,64.00,68060.90,1
2024-09-30,1075.00,1075.00,1075.00,1075.00,1.46,10.00,10750.00,1
2024-10-06,1059.10,1062.00,1059.00,1062.00,-1.21,125.00,132452.50,-1
2024-10-09,1083.00,1083.00,1083.00,1083.00,1.98,50.00,54150.00,1
2024-10-10,1083.00,1083.00,1083.00,1083.00,1.98,50.00,54150.00,1
2024-10-13,1083.00,1083.00,1083.00,1083.00,1.98,50.00,54150.00,1
2024-10-14,1083.00,1083.00,1083.00,1083.00,1.98,50.00,54150.00,1
2024-10-16,1075.00,1075.00,1075.00,1075.00,-0.74,100.00,107500.00,-1
2024-10-20,1095.00,1096.50,1095.00,1096.50,2.00,103.00,112900.00,1
2024-10-21,1075.00,1075.00,1075.00,1075.00,-1.96,25.00,26875.00,-1
2024-10-22,1063.30,1063.30,1063.30,1063.30,-1.09,25.00,26582.50,-1
2024-10-23,1065.00,1065.00,1065.00,1065.00,0.16,25.00,26625.00,1
2024-10-24,1086.30,1086.30,1086.30,1086.30,2.00,50.00,54315.00,1
2024-11-06,1100.00,1108.00,1086.00,1086.00,-0.03,80.00,87890.00,-1
2024-11-07,1100.00,1108.00,1086.00,1086.00,-0.03,80.00,87890.00,-1
2024-11-10,1070.00,1070.00,1070.00,1070.00,-1.47,30.00,32100.00,-1
2024-11-12,1075.10,1075.10,1075.10,1075.10,0.48,25.00,26877.50,1
2024-11-13,1080.00,1080.00,1080.00,1080.00,0.46,25.00,27000.00,1
2024-11-17,1079.10,1088.00,1079.10,1087.00,0.65,155.00,168247.50,1
2024-11-18,1079.10,1088.00,1079.10,1087.00,0.65,155.00,168247.50,1
2024-11-19,1080.30,1080.30,1080.30,1080.30,-0.62,25.00,27007.50,-1
2024-11-20,1087.00,1108.00,1087.00,1108.00,2.56,55.00,60520.00,1
2024-11-21,1100.00,1100.00,1100.00,1100.00,-0.72,25.00,27500.00,-1
2024-11-26,1100.00,1100.00,1100.00,1100.00,0.00,100.00,110000.00,0
2024-11-28,1100.00,1100.00,1100.00,1100.00,0.00,25.00,27500.00,0
2024-12-04,1101.00,1101.00,1101.00,1101.00,0.09,25.00,27525.00,1
2024-12-08,1101.00,1101.00,1101.00,1101.00,0.00,25.00,27525.00,0
2024-12-09,1101.00,1101.00,1101.00,1101.00,0.00,25.00,27525.00,0
2024-12-17,1122.50,1123.00,1122.50,1123.00,2.00,35.00,39300.00,1
2024-12-19,1102.00,1104.00,1102.00,1104.00,-1.69,55.00,60670.00,-1
2024-12-22,1088.50,1104.00,1088.50,1104.00,0.00,50.00,54812.50,0
2024-12-23,1104.00,1104.00,1104.00,1104.00,0.00,25.00,27600.00,0
2024-12-29,1104.00,1104.00,1104.00,1104.00,0.00,25.00,27600.00,0
2024-12-30,1104.00,1104.00,1104.00,1104.00,0.00,25.00,27600.00,0
2025-01-01,1096.00,1096.00,1096.00,1096.00,-0.72,25.00,27400.00,-1
2025-01-06,1117.90,1117.90,1100.20,1100.20,0.38,35.00,38684.00,1
2025-01-08,1101.00,1121.20,1099.30,1121.20,1.91,95.00,104956.50,1
2025-01-15,1098.80,1098.80,1098.80,1098.80,-2.00,50.00,54940.00,-1
2025-01-19,1098.00,1120.00,1098.00,1120.00,1.93,200.00,222323.50,1
2025-01-20,1098.00,1098.00,1098.00,1098.00,-1.98,25.00,27462.50,-1
2025-01-26,1100.00,1100.00,1100.00,1100.00,0.14,225.00,247500.00,1
2025-01-28,1100.00,1100.00,1081.00,1081.00,-1.73,125.00,136550.00,-1
2025-01-29,1100.00,1100.00,1081.00,1081.00,-1.73,125.00,136550.00,-1
2025-01-30,1100.00,1100.00,1081.00,1081.00,-1.73,125.00,136550.00,-1
2025-02-02,1081.00,1081.00,1061.60,1061.60,-1.79,50.00,53936.60,-1
2025-02-03,1082.80,1082.80,1082.80,1082.80,2.00,25.00,27070.00,1
2025-02-04,1063.20,1063.20,1063.00,1063.00,-1.83,25.00,26578.00,-1
2025-02-09,1060.00,1060.00,1060.00,1060.00,-0.28,25.00,26580.00,-1
2025-02-11,1081.20,1081.20,1081.20,1081.20,2.00,10.00,10811.80,1
2025-02-12,1102.00,1102.80,1081.10,1081.10,-0.01,65.00,71304.50,-1
2025-02-24,1080.00,1081.00,1080.00,1080.00,-0.10,80.00,86430.00,-1
2025-02-25,1061.50,1061.50,1060.60,1060.60,-1.80,30.00,31831.50,-1
2025-02-26,1061.50,1061.50,1060.60,1060.60,-1.80,30.00,31831.50,-1
2025-03-04,1060.50,1060.50,1059.00,1059.00,-0.15,25.00,26497.50,-1
2025-03-09,1075.00,1075.00,1064.50,1064.50,0.52,225.00,240575.00,1
2025-03-10,1070.00,1070.00,1066.00,1066.00,0.14,100.00,106660.00,1
2025-03-12,1064.50,1066.00,1064.50,1064.50,-0.14,1.00,1064.50,-1
2025-03-13,1064.50,1066.00,1064.50,1064.50,-0.14,1.00,1064.50,-1
2025-03-16,1058.50,1094.40,1052.00,1094.40,2.81,120.00,127241.00,1
2025-03-18,1075.10,1075.10,1075.10,1075.10,-1.76,2.00,2150.20,-1
2025-03-19,1065.20,1067.09,1065.20,1067.09,-0.74,12.00,12786.20,-1
2025-03-20,1067.10,1067.10,1067.10,1070.00,0.27,1.00,1070.00,1
2025-03-24,1060.60,1070.00,1060.50,1070.00,0.00,77.00,81917.50,0
2025-03-26,1070.00,1070.00,1070.00,1070.00,0.00,26.00,27820.00,0
2025-03-30,1070.00,1070.00,1070.00,1070.00,0.00,25.00,26750.00,0
2025-03-31,1070.00,1070.00,1070.00,1070.00,0.00,25.00,26750.00,0
2025-04-03,1075.00,1075.00,1075.00,1076.10,0.57,27.00,29027.20,1
2025-04-06,1075.00,1075.00,1075.00,1076.10,0.57,27.00,29027.20,1
