published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,1017.00,1035.00,1017.00,1030.00,1.38,275.00,282725.00,1
2021-11-09,1035.00,1035.00,1035.00,1035.00,0.49,100.00,103500.00,1
2021-11-10,1035.00,1035.00,1035.00,1035.00,0.49,100.00,103500.00,1
2021-11-11,1035.00,1035.00,1035.00,1035.00,0.00,200.00,207000.00,0
2021-11-12,1035.00,1035.00,1035.00,1035.00,0.00,200.00,207000.00,0
2021-11-22,1035.00,1035.00,1035.00,1035.00,0.00,100.00,103500.00,0
2021-11-24,1045.00,1045.00,1045.00,1045.00,0.97,25.00,26125.00,1
2021-12-01,1025.00,1025.00,1025.00,1025.00,-1.91,50.00,51250.00,-1
2022-03-21,980.00,980.00,980.00,980.00,0.00,200.00,196000.00,0
2022-03-29,950.00,950.00,950.00,950.00,-0.06,300.00,285000.00,-1
2022-04-21,943.50,943.50,940.00,940.00,-1.05,100.00,94167.50,-1
2022-04-22,943.50,943.50,940.00,940.00,-1.05,100.00,94167.50,-1
2022-05-25,939.00,939.00,939.00,939.00,-0.11,25.00,23475.00,-1
2022-07-21,938.90,938.90,938.90,938.90,-0.01,50.00,46945.00,-1
2022-07-22,921.00,921.00,920.50,920.50,-1.96,100.00,92080.00,-1
2022-07-24,920.50,920.50,920.50,920.50,0.00,300.00,276150.00,0
2022-07-28,903.00,903.00,902.10,902.10,-2.00,75.00,67711.50,-1
2022-08-14,900.10,900.10,900.10,900.10,-0.22,25.00,22502.50,-1
2022-08-21,918.10,918.10,918.10,918.10,2.00,10.00,9181.00,1
2022-08-28,936.30,936.40,936.30,936.40,1.99,65.00,60862.00,1
2022-08-29,920.00,920.00,920.00,920.00,-1.75,100.00,92000.00,-1
2022-08-30,938.40,938.40,938.40,938.40,2.00,225.00,211140.00,1
2022-09-08,940.00,940.00,940.00,940.00,0.17,300.00,282000.00,1
2022-09-09,940.00,940.00,940.00,940.00,0.17,300.00,282000.00,1
2022-09-12,925.50,925.50,925.50,925.50,-1.54,165.00,152707.50,-1
2022-11-24,925.00,925.00,925.00,925.00,-0.05,50.00,46250.00,-1
2023-01-10,925.00,925.00,925.00,925.00,0.00,50.00,46250.00,0
2023-01-11,925.00,925.00,925.00,925.00,0.00,50.00,46250.00,0
2023-02-05,906.50,906.50,870.70,880.00,-4.86,400.00,352815.00,-1
2023-02-06,870.00,870.00,870.00,870.00,-1.14,25.00,21750.00,-1
2023-03-01,853.00,853.00,853.00,853.00,-1.95,100.00,85300.00,-1
2023-04-19,887.40,887.40,887.40,887.40,2.00,25.00,22185.00,1
2023-04-24,905.00,905.00,905.00,905.00,1.98,100.00,90500.00,1
2023-04-27,905.00,905.00,905.00,905.00,0.00,25.00,22625.00,0
