published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,188.00,188.00,188.00,188.00,0.00,83322.00,15664536.00,0
2021-11-05,188.00,188.00,188.00,188.00,0.00,83322.00,15664536.00,0
2021-11-22,188.00,188.00,188.00,188.00,0.00,7840.00,1473920.00,0
2021-11-23,188.00,188.00,188.00,188.00,0.00,90000.00,16920000.00,0
2021-11-24,188.00,188.00,188.00,188.00,0.00,38540.00,7245520.00,0
2021-11-30,188.00,188.00,188.00,188.00,0.00,101325.00,21347840.00,0
2021-12-06,188.00,195.00,188.00,195.00,3.72,98325.00,19112600.00,1
2021-12-07,195.00,195.00,195.00,195.00,0.00,5000.00,975000.00,0
2021-12-28,209.00,209.00,209.00,209.00,0.00,2000.00,418000.00,0
2022-01-05,205.00,205.00,205.00,205.00,-1.91,350000.00,71750000.00,-1
2022-01-12,205.00,205.00,205.00,205.00,0.00,50000.00,10250000.00,0
2022-03-21,205.00,205.00,205.00,205.00,0.00,14629.00,2998945.00,0
2022-04-05,191.00,202.00,190.05,202.00,-1.46,60675.00,11574344.55,-1
2022-05-04,205.00,205.00,205.00,205.00,0.00,42055.00,8621275.00,0
2022-07-07,140.00,140.00,140.00,140.00,0.00,3480.00,487200.00,0
2022-07-24,140.00,140.00,140.00,140.00,0.00,4500.00,630000.00,0
2022-08-14,140.00,142.80,140.00,142.80,2.00,159249.00,22578357.20,1
2022-08-24,142.80,142.80,142.80,142.80,0.00,640.00,64000.00,0
2022-08-30,145.60,145.60,145.60,145.60,1.96,8000.00,1164800.00,1
2022-09-06,145.60,145.60,145.60,145.60,0.00,320.00,32000.00,0
2022-09-13,145.60,145.60,145.60,145.60,0.00,25000.00,3640000.00,0
2022-09-21,146.00,146.00,146.00,146.00,0.27,13527.00,1974942.00,1
2022-10-12,146.00,146.00,146.00,146.00,0.00,600.00,87600.00,0
2022-11-01,146.00,146.00,146.00,146.00,0.00,60000.00,8760000.00,0
2022-11-02,146.00,146.00,146.00,146.00,0.00,18290.00,2670340.00,0
2022-11-10,146.00,146.00,146.00,146.00,0.00,6885.00,1005210.00,0
2022-11-16,146.00,146.00,146.00,146.00,0.00,40000.00,5840000.00,0
2022-12-20,147.00,147.00,147.00,147.00,0.68,8035.00,1181145.00,1
2023-01-03,147.00,147.00,147.00,147.00,0.00,313019.00,46013793.00,0
2023-01-12,147.00,147.00,147.00,147.00,0.00,63500.00,9334500.00,0
2023-01-15,147.00,147.00,147.00,147.00,0.00,63500.00,9334500.00,0
2023-01-16,147.00,147.00,147.00,147.00,0.00,63500.00,9334500.00,0
2023-03-09,145.00,145.00,145.00,145.00,-1.36,34684.00,5029180.00,-1
2023-04-02,145.00,145.00,145.00,145.00,0.00,8840.00,1281800.00,0
2023-04-24,147.00,147.00,147.00,147.00,1.38,23200.00,3410400.00,1
2023-05-03,147.00,147.00,147.00,147.00,0.00,21000.00,3087000.00,0
2023-07-10,130.10,130.10,130.00,130.00,0.00,1915000.00,248950500.00,0
2023-07-13,147.00,147.00,147.00,147.00,0.00,25000.00,3675000.00,0
2023-08-02,130.00,147.00,130.00,147.00,0.00,362817.00,47353210.00,0
2023-08-09,147.00,147.00,147.00,147.00,0.00,8000.00,1176000.00,0
2023-08-10,147.00,147.00,147.00,147.00,0.00,38048.00,5593056.00,0
2023-08-30,147.00,147.00,147.00,147.00,0.00,3825.00,562275.00,0
2023-08-31,147.00,147.00,147.00,147.00,0.00,3825.00,562275.00,0
2023-09-13,147.00,147.00,147.00,147.00,0.00,23200.00,3410400.00,0
2023-09-14,147.00,147.00,147.00,147.00,0.00,23200.00,3410400.00,0
2023-10-31,147.00,147.00,147.00,147.00,0.00,10241.00,1505427.00,0
2023-11-02,120.00,144.10,120.00,144.10,-1.97,531593.00,64552551.30,-1
2023-11-22,120.00,122.00,120.00,122.00,0.00,850010.00,102009200.00,0
2023-12-06,144.10,144.10,144.10,144.10,0.00,180105.00,25953130.50,0
2023-12-11,144.10,144.10,144.10,144.10,0.00,80205.00,11557540.50,0
2024-01-09,144.10,144.10,144.00,144.00,-0.07,43133.00,6213965.30,-1
2024-02-08,115.50,115.50,115.50,115.50,0.00,10000.00,1155000.00,0
2024-02-14,144.00,144.00,144.00,144.00,0.00,808520.00,116426880.00,0
2024-02-20,110.00,110.00,110.00,110.00,0.00,39717.00,4368870.00,0
2024-02-26,141.20,141.20,138.40,139.00,-3.47,100527.00,13914390.40,-1
2024-02-27,139.00,139.00,139.00,139.00,0.00,19023.00,2644197.00,0
