published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-06-18,98.0,97.0,96.0,96.0,nan,20.0,1930.0,0
2013-07-01,96.0,95.0,92.0,92.0,-4.17,132.0,12316.0,0
2013-07-17,92.0,91.0,91.0,91.0,-1.09,60.0,5460.0,0
2013-08-01,91.0,92.0,92.0,92.0,1.10,50.0,4600.0,0
2013-08-07,92.0,93.0,93.0,93.0,1.09,202.0,18786.0,0
2013-08-14,93.0,94.0,94.0,94.0,1.08,30.0,2820.0,0
2013-09-09,94.0,97.0,95.0,97.0,3.19,60.0,5760.0,0
2013-09-10,97.0,100.0,98.0,100.0,3.09,86.0,8514.0,0
2013-09-11,100.0,106.0,100.0,106.0,6.00,140.0,14360.0,0
2013-09-12,106.0,108.0,108.0,108.0,1.89,20.0,2160.0,0
2013-09-15,108.0,107.0,107.0,107.0,-0.93,100.0,10700.0,0
2013-09-16,107.0,109.0,107.0,107.0,0.0,190.0,20530.0,0
2013-09-17,107.0,111.0,109.0,111.0,3.74,40.0,4400.0,0
2013-10-27,111.0,113.0,113.0,113.0,1.80,20.0,2260.0,0
2013-10-30,113.0,111.0,111.0,111.0,-1.77,20.0,2220.0,0
2013-12-03,111.0,121.0,111.0,121.0,9.01,1984.0,228484.0,0
2013-12-04,121.0,127.0,123.0,127.0,4.96,471.0,58053.0,0
2013-12-05,127.0,129.0,127.0,129.0,1.57,3000.0,384000.0,0
2013-12-08,129.0,127.0,125.0,125.0,-3.10,2500.0,316500.0,0
2013-12-10,125.0,123.0,121.0,121.0,-3.20,312.0,38016.0,0
2014-01-05,121.0,119.0,119.0,119.0,-1.65,500.0,59500.0,0
2014-01-09,119.0,117.0,117.0,117.0,-1.68,52.0,6084.0,0
2014-01-14,117.0,115.0,115.0,115.0,-1.71,100.0,11500.0,0
2014-01-16,115.0,113.0,113.0,113.0,-1.74,240.0,27120.0,0
2014-01-20,113.0,111.0,111.0,111.0,-1.77,602.0,66822.0,0
2014-01-23,111.0,112.0,110.0,112.0,0.90,12227.0,1369144.0,0
2014-02-02,112.0,117.0,112.0,117.0,4.46,1800.0,205300.0,0
2014-02-04,117.0,119.0,119.0,119.0,1.71,150.0,17850.0,0
2014-02-06,130.0,143.0,132.0,143.0,20.17,1110.0,158280.0,0
2014-02-09,143.0,157.0,145.0,157.0,9.79,6395.0,933033.0,0
2014-02-10,157.0,172.0,160.0,170.0,8.28,940.0,158740.0,0
2014-02-11,170.0,187.0,173.0,187.0,10.00,864.0,156728.0,0
2014-02-12,187.0,202.0,190.0,202.0,8.02,200.0,38900.0,0
2014-02-13,202.0,198.0,198.0,198.0,-1.98,100.0,19800.0,0
2014-02-16,198.0,195.0,195.0,195.0,-1.52,40.0,7800.0,0
2014-02-17,195.0,192.0,189.0,189.0,-3.08,80.0,15240.0,0
2014-02-18,189.0,189.0,186.0,186.0,-1.59,100.0,18660.0,0
2014-02-20,186.0,189.0,189.0,189.0,1.61,20.0,3780.0,0
2014-02-23,189.0,0.0,0.0,189.0,0.0,2770.0,277000.0,0
2014-02-25,185.0,185.0,176.0,176.0,-6.88,671.0,121305.0,0
2014-02-26,176.0,173.0,167.0,167.0,-5.11,1460.0,247720.0,0
2014-03-03,167.0,164.0,158.0,161.0,-3.59,3681.0,591141.0,0
2014-03-04,161.0,158.0,158.0,158.0,-1.86,30.0,4740.0,0
2014-03-05,158.0,164.0,157.0,162.0,2.53,1579.0,253676.0,0
2014-03-06,162.0,159.0,159.0,159.0,-1.85,100.0,15900.0,0
2014-03-10,159.0,159.0,156.0,159.0,0.0,2065.0,326390.0,0
2014-03-11,159.0,164.0,161.0,161.0,1.26,1173.0,189743.0,0
2014-03-12,161.0,159.0,159.0,159.0,-1.24,20.0,3180.0,0
2014-03-17,159.0,156.0,153.0,153.0,-3.77,1469.0,227106.0,0
2014-03-23,153.0,150.0,150.0,150.0,-1.96,4860.0,729000.0,0
2014-03-24,150.0,156.0,153.0,156.0,4.00,1060.0,162780.0,0
2014-03-25,156.0,171.0,159.0,171.0,9.62,620.0,105420.0,0
2014-03-26,171.0,188.0,174.0,188.0,9.94,120.0,21760.0,0
2014-03-27,188.0,191.0,188.0,191.0,1.60,60.0,11340.0,0
2014-03-31,191.0,194.0,194.0,194.0,1.57,336.0,65184.0,0
2014-04-01,194.0,191.0,191.0,191.0,-1.55,40.0,7640.0,0
2014-04-02,191.0,188.0,188.0,188.0,-1.57,312.0,58656.0,0
2014-04-06,188.0,185.0,185.0,185.0,-1.60,200.0,37000.0,0
2014-04-07,185.0,182.0,182.0,182.0,-1.62,200.0,36400.0,0
2014-04-09,182.0,179.0,176.0,176.0,-3.30,512.0,91048.0,0
2014-04-10,176.0,185.0,173.0,185.0,5.11,5326.0,968566.0,0
2014-04-15,185.0,191.0,188.0,191.0,3.24,126.0,23766.0,0
2014-04-16,191.0,197.0,194.0,197.0,3.14,60.0,11700.0,0
2014-04-17,197.0,194.0,188.0,188.0,-4.57,560.0,107080.0,0
2014-04-21,188.0,185.0,182.0,182.0,-3.19,400.0,73400.0,0
2014-04-22,182.0,179.0,179.0,179.0,-1.65,324.0,57996.0,0
2014-04-23,179.0,178.0,176.0,177.0,-1.12,1804.0,319764.0,0
2014-04-27,177.0,183.0,180.0,183.0,3.39,3100.0,567000.0,0
2014-04-30,183.0,186.0,186.0,186.0,1.64,500.0,93000.0,0
2014-05-06,186.0,204.0,189.0,204.0,9.68,1038.0,197694.0,0
2014-05-07,204.0,212.0,208.0,212.0,3.92,980.0,207560.0,0
2014-05-08,212.0,219.0,215.0,219.0,3.30,2536.0,546860.0,0
2014-05-11,219.0,227.0,223.0,224.0,2.28,4166.0,941006.0,0
2014-05-13,224.0,246.0,228.0,246.0,9.82,1728.0,419088.0,0
2014-05-20,246.0,242.0,242.0,242.0,-1.63,60.0,14520.0,0
2014-05-21,242.0,246.0,246.0,246.0,1.65,395.0,97170.0,0
2014-05-25,246.0,250.0,250.0,250.0,1.63,50.0,12500.0,0
2014-05-28,250.0,250.0,250.0,250.0,0.0,2660.0,665000.0,0
2014-06-02,250.0,250.0,245.0,245.0,-2.00,3046.0,748270.0,0
2014-06-03,245.0,241.0,238.0,238.0,-2.86,180.0,43140.0,0
2014-06-05,238.0,238.0,234.0,234.0,-1.68,1020.0,242680.0,0
2014-06-08,234.0,230.0,230.0,230.0,-1.71,1000.0,230000.0,0
2014-06-16,230.0,238.0,234.0,238.0,3.48,40.0,9440.0,0
2014-06-18,238.0,234.0,230.0,230.0,-3.36,600.0,139080.0,0
2014-06-19,230.0,226.0,214.0,218.0,-5.22,18975.0,4279262.0,0
2014-06-25,218.0,216.0,216.0,216.0,-0.92,40.0,8640.0,0
2014-06-30,216.0,220.0,216.0,216.0,0.0,1240.0,268800.0,0
2014-07-01,216.0,215.0,215.0,215.0,-0.46,756.0,162540.0,0
2014-07-02,215.0,216.0,216.0,216.0,0.47,200.0,43200.0,0
2014-07-03,216.0,212.0,212.0,212.0,-1.85,1000.0,212000.0,0
2014-07-06,212.0,216.0,216.0,216.0,1.89,198.0,42768.0,0
2014-07-07,216.0,216.0,209.0,213.0,-1.39,2180.0,461370.0,0
2014-07-08,213.0,216.0,216.0,216.0,1.41,966.0,208656.0,0
2014-07-10,216.0,214.0,210.0,214.0,-0.93,1512.0,322404.0,0
2014-07-21,214.0,226.0,218.0,222.0,3.74,470.0,103900.0,0
2014-07-22,222.0,238.0,214.0,238.0,7.21,1355.0,302478.0,0
2014-07-23,238.0,261.0,242.0,261.0,9.66,1212.0,306710.0,0
2014-07-24,261.0,281.0,266.0,280.0,7.28,5700.0,1572700.0,0
2014-07-27,280.0,285.0,285.0,285.0,1.79,100.0,28500.0,0
2014-07-30,285.0,305.0,290.0,299.0,4.91,1599.0,478361.0,0
2014-08-03,299.0,303.0,295.0,295.0,-1.34,4076.0,1219540.0,0
2014-08-04,295.0,290.0,290.0,290.0,-1.69,69.0,20010.0,0
2014-08-05,290.0,285.0,285.0,285.0,-1.72,100.0,28500.0,0
2014-08-06,285.0,285.0,285.0,285.0,0.0,2500.0,712500.0,0
2014-08-07,285.0,280.0,280.0,280.0,-1.75,490.0,137200.0,0
2014-08-13,280.0,285.0,285.0,285.0,1.79,20.0,5700.0,0
2014-08-14,285.0,280.0,280.0,280.0,-1.75,100.0,28000.0,0
2014-08-19,280.0,275.0,270.0,270.0,-3.57,20487.0,5534675.0,0
2014-08-25,270.0,265.0,265.0,265.0,-1.85,30.0,7950.0,0
2014-08-26,265.0,270.0,270.0,270.0,1.89,100.0,27000.0,0
2014-09-09,270.0,270.0,270.0,270.0,0.0,1000.0,270000.0,0
2014-09-10,270.0,265.0,265.0,265.0,-1.85,1130.0,299450.0,0
2014-09-30,265.0,260.0,255.0,255.0,-3.77,1258.0,320890.0,0
2014-10-13,255.0,255.0,255.0,255.0,0.0,810.0,206550.0,0
2014-10-21,255.0,255.0,238.0,238.0,-6.67,574.0,140250.0,0
2014-10-22,238.0,234.0,234.0,234.0,-1.68,720.0,168480.0,0
2014-10-28,234.0,238.0,238.0,238.0,1.71,150.0,35700.0,0
2014-10-30,238.0,242.0,236.0,240.0,0.84,8270.0,1958200.0,0
2014-11-13,226.0,222.0,222.0,222.0,-7.50,20.0,4440.0,0
2014-11-23,222.0,218.0,200.0,200.0,-9.91,981.0,199440.0,0
2014-11-24,200.0,200.0,180.0,195.0,-2.50,116265.0,21290928.0,0
2015-01-04,195.0,198.0,198.0,198.0,1.54,50.0,9900.0,0
2015-01-06,198.0,201.0,201.0,201.0,1.52,50.0,10050.0,0
2015-01-12,201.0,205.0,205.0,205.0,1.99,50.0,10250.0,0
2015-01-13,205.0,209.0,209.0,209.0,1.95,50.0,10450.0,0
2015-01-20,209.0,213.0,213.0,213.0,1.91,100.0,21300.0,0
2015-01-27,213.0,217.0,217.0,217.0,1.88,50.0,10850.0,0
2015-02-04,217.0,221.0,221.0,221.0,1.84,50.0,11050.0,0
2015-02-05,221.0,217.0,217.0,217.0,-1.81,100.0,21700.0,0
2015-02-11,217.0,228.0,220.0,228.0,5.07,2998.0,660360.0,0
2015-02-12,228.0,248.0,232.0,248.0,8.77,684.0,163496.0,0
2015-02-15,248.0,272.0,252.0,272.0,9.68,500.0,131000.0,0
2015-02-16,272.0,277.0,272.0,272.0,0.0,1937.0,531527.0,0
2015-02-18,272.0,272.0,267.0,267.0,-1.84,396.0,106152.0,0
2015-02-22,267.0,267.0,267.0,267.0,0.0,216.0,57672.0,0
2015-03-19,267.0,272.0,272.0,272.0,1.87,50.0,13600.0,0
2015-03-31,272.0,277.0,277.0,277.0,1.84,4630.0,1282510.0,0
2015-04-02,277.0,282.0,282.0,282.0,1.81,50.0,14100.0,0
2015-04-05,282.0,292.0,287.0,289.0,2.48,412.0,119104.0,0
2015-04-08,289.0,289.0,289.0,289.0,0.0,15.0,4335.0,0
2015-04-09,289.0,290.0,290.0,290.0,0.35,216.0,62640.0,0
2015-04-12,290.0,285.0,285.0,285.0,-1.72,1552.0,442320.0,0
2015-04-16,285.0,295.0,290.0,295.0,3.51,1282.0,372280.0,0
2015-05-26,295.0,295.0,290.0,295.0,0.0,260.0,75900.0,0
2015-05-27,295.0,300.0,294.0,294.0,-0.34,436.0,128868.0,0
2015-06-02,294.0,299.0,299.0,299.0,1.70,216.0,64584.0,0
2015-06-03,299.0,310.0,304.0,310.0,3.68,1010.0,313040.0,0
2015-06-04,310.0,316.0,310.0,313.0,0.97,4994.0,1551500.0,0
2015-06-07,313.0,311.0,310.0,311.0,-0.64,130.0,40330.0,0
2015-06-08,311.0,315.0,315.0,315.0,0.0,60.0,18900.0,0
2015-06-09,315.0,337.0,321.0,330.0,4.76,2171.0,722386.0,0
2015-06-10,330.0,335.0,335.0,335.0,1.52,37.0,12395.0,0
2015-06-14,335.0,330.0,312.0,312.0,-6.87,2770.0,866400.0,0
2015-06-15,312.0,307.0,296.0,296.0,-5.13,2072.0,623701.0,0
2015-06-16,296.0,296.0,291.0,296.0,0.0,935.0,274060.0,0
2015-06-17,296.0,292.0,291.0,292.0,-1.35,1935.0,563584.0,0
2015-06-22,292.0,302.0,297.0,302.0,3.42,500.0,150000.0,0
2015-06-24,302.0,302.0,297.0,302.0,0.0,55.0,16385.0,0
2015-07-05,302.0,300.0,300.0,300.0,-0.66,220.0,66000.0,0
2015-07-06,300.0,306.0,306.0,306.0,2.00,180.0,55080.0,0
2015-07-07,306.0,300.0,300.0,300.0,-1.96,232.0,69600.0,0
2015-07-08,300.0,300.0,300.0,300.0,0.0,643.0,192900.0,0
2015-07-09,300.0,306.0,300.0,300.0,0.0,144.0,43548.0,0
2015-07-13,300.0,301.0,301.0,301.0,0.33,10.0,3010.0,0
2015-07-15,301.0,331.0,307.0,331.0,9.97,7671.0,2484243.0,0
2015-07-16,331.0,340.0,337.0,338.0,2.11,2492.0,843894.0,0
2015-07-22,338.0,344.0,340.0,344.0,1.78,2991.0,1028484.0,0
2015-07-23,344.0,357.0,350.0,357.0,3.78,1132.0,396354.0,0
2015-07-26,357.0,364.0,364.0,364.0,1.96,25.0,9100.0,0
2015-07-27,364.0,378.0,370.0,374.0,2.75,7225.0,2692849.0,0
2015-07-28,374.0,370.0,356.0,356.0,-4.81,1495.0,542650.0,0
2015-07-29,356.0,355.0,348.0,354.0,-0.56,1282.0,448848.0,0
2015-07-30,354.0,370.0,361.0,370.0,4.52,1466.0,538189.0,0
2015-08-03,370.0,363.0,363.0,363.0,-1.89,673.0,244299.0,0
2015-08-04,363.0,357.0,355.0,357.0,-1.65,845.0,301227.0,0
2015-08-05,357.0,364.0,364.0,364.0,1.96,315.0,114660.0,0
2015-08-06,364.0,367.0,360.0,367.0,0.82,1570.0,572566.0,0
2015-08-10,367.0,370.0,365.0,370.0,0.82,1585.0,585016.0,0
2015-08-11,370.0,391.0,363.0,364.0,-1.62,6466.0,2389033.0,0
2015-08-12,364.0,366.0,364.0,366.0,0.55,2875.0,1049775.0,0
2015-08-13,366.0,368.0,366.0,366.0,0.0,2047.0,751202.0,0
2015-08-16,366.0,366.0,360.0,360.0,-1.64,320.0,115800.0,0
2015-08-17,360.0,367.0,367.0,367.0,1.94,500.0,183500.0,0
2015-08-18,367.0,370.0,360.0,364.0,0.0,1331.0,483705.0,0
2015-08-19,364.0,400.0,367.0,392.0,7.69,15933.0,6231304.0,0
2015-08-20,392.0,418.0,399.0,406.0,3.57,6456.0,2635856.0,0
2015-08-23,406.0,414.0,406.0,407.0,0.25,1148.0,468319.0,0
2015-08-24,407.0,415.0,400.0,400.0,-1.72,740.0,299603.0,0
2015-08-25,400.0,405.0,400.0,400.0,0.0,1592.0,641760.0,0
2015-08-26,400.0,408.0,400.0,400.0,0.0,1986.0,802738.0,0
2015-08-27,400.0,401.0,398.0,401.0,0.25,1448.0,577840.0,0
2015-08-31,401.0,409.0,400.0,402.0,0.25,18652.0,7522299.0,0
2015-09-01,402.0,405.0,400.0,405.0,0.75,3656.0,1473980.0,0
