published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-12-14,300.00,300.00,270.00,270.00,-10.00,13121.00,3559832.10,-1
2022-12-15,264.60,264.60,243.00,243.00,-10.00,6205.00,1511562.00,-1
2022-12-18,238.20,238.20,218.70,218.70,-10.00,6609.00,1446098.30,-1
2022-12-19,214.40,214.40,196.90,205.50,-6.04,163559.00,32818434.20,-1
2022-12-20,201.40,209.20,198.50,205.80,0.15,55571.00,11332632.40,1
2022-12-21,202.00,205.50,200.50,204.90,-0.44,29210.00,5952650.00,-1
2022-12-22,204.00,204.00,197.10,199.00,-2.88,38684.00,7725879.80,-1
2022-12-25,204.00,204.00,197.10,199.00,-2.88,38684.00,7725879.80,-1
2022-12-26,202.90,210.10,197.00,205.00,3.02,48390.00,9820817.00,1
2022-12-27,202.00,215.00,202.00,210.00,2.44,70046.00,14760081.20,1
2022-12-28,207.00,213.90,203.50,208.00,-0.95,37641.00,7880651.90,-1
2022-12-29,208.00,219.00,205.10,214.10,2.93,33748.00,7209104.30,1
2023-01-01,214.10,225.40,213.90,218.00,1.82,89702.00,19795547.40,1
2023-01-02,213.80,229.90,213.70,228.00,4.59,74947.00,16736897.20,1
2023-01-03,228.00,239.30,225.00,234.00,2.63,43536.00,10053290.10,1
2023-01-04,229.40,252.90,229.40,250.00,6.84,69470.00,16583247.40,1
2023-01-05,250.00,258.00,238.10,249.00,-0.40,68130.00,16825083.20,-1
2023-01-08,253.90,268.00,240.30,253.80,1.93,90591.00,22956423.80,1
2023-01-09,249.00,279.10,249.00,279.10,9.97,94077.00,25401267.20,1
2023-01-10,281.00,300.00,267.00,275.00,-1.47,83862.00,24059548.40,-1
2023-01-11,281.00,300.00,267.00,275.00,-1.47,83862.00,24059548.40,-1
2023-01-12,277.00,288.00,270.00,270.00,-1.82,78962.00,21940980.50,-1
2023-01-15,277.00,288.00,270.00,270.00,-1.82,78962.00,21940980.50,-1
2023-01-16,277.00,288.00,270.00,270.00,-1.82,78962.00,21940980.50,-1
2023-01-17,270.00,297.00,270.00,297.00,10.00,83296.00,24277578.50,1
2023-01-18,302.00,326.70,302.00,326.70,10.00,53835.00,17585093.50,1
2023-01-19,333.20,359.30,316.00,345.00,5.60,301371.00,104058502.20,1
2023-01-22,333.20,359.30,316.00,345.00,5.60,301371.00,104058502.20,1
2023-01-23,345.00,379.50,339.00,374.50,8.55,127279.00,46908726.60,1
2023-01-24,370.00,402.00,353.00,390.00,4.14,76695.00,28293009.40,1
2023-01-25,391.60,405.00,372.50,377.00,-3.33,157234.00,59439642.50,-1
2023-01-26,372.00,384.40,365.00,370.00,-1.86,94783.00,35219250.70,-1
2023-01-29,362.60,374.00,355.40,361.80,-2.22,57465.00,21041302.20,-1
2023-01-30,357.20,394.00,357.20,380.00,5.03,252453.00,95629697.20,1
2023-01-31,378.00,416.10,376.10,397.60,4.63,116340.00,46025010.30,1
2023-02-01,397.00,405.00,385.00,399.00,0.35,98335.00,39184414.00,1
2023-02-02,392.00,403.90,377.30,383.00,-4.01,82932.00,32208679.90,-1
2023-02-05,376.00,400.00,370.20,377.00,-1.57,58573.00,22233297.20,-1
2023-02-06,376.00,384.50,371.20,379.90,0.77,47053.00,17775160.20,1
2023-02-07,380.00,398.40,375.00,390.50,2.79,94538.00,36937417.50,1
2023-02-08,383.00,399.00,383.00,384.90,-1.43,52431.00,20417180.70,-1
2023-02-09,384.00,397.50,380.00,394.80,2.57,53795.00,20888937.60,1
2023-02-12,387.00,387.00,371.80,375.00,-5.02,94119.00,35617999.80,-1
2023-02-13,387.00,387.00,371.80,375.00,-5.02,94119.00,35617999.80,-1
2023-02-14,368.00,375.00,362.00,375.00,0.00,30264.00,11202819.50,0
2023-02-15,368.00,377.00,362.00,370.00,-1.33,36445.00,13411945.00,-1
2023-02-16,362.70,373.00,359.00,364.00,-1.62,22780.00,8289075.20,-1
2023-02-19,362.70,373.00,359.00,364.00,-1.62,22780.00,8289075.20,-1
2023-02-20,360.00,363.00,353.00,356.00,-2.20,35845.00,12814195.40,-1
2023-02-21,360.00,363.00,353.00,356.00,-2.20,35845.00,12814195.40,-1
2023-02-22,356.00,376.90,355.00,367.10,3.12,34212.00,12591715.00,1
2023-02-23,360.00,367.00,354.10,362.00,-1.39,29931.00,10740106.00,-1
2023-02-26,354.80,366.00,342.70,364.90,0.80,48860.00,17367005.70,1
2023-02-27,358.00,365.10,343.00,360.00,-1.34,36146.00,12881693.50,-1
2023-02-28,355.00,374.00,355.00,368.00,2.22,42240.00,15566999.50,1
2023-03-01,368.00,368.00,357.00,358.10,-2.69,11233.00,4054387.00,-1
2023-03-02,351.00,355.00,350.00,350.10,-2.23,25310.00,8910087.00,-1
2023-03-05,345.50,350.50,335.10,337.50,-3.60,26048.00,8862582.90,-1
2023-03-06,345.50,350.50,335.10,337.50,-3.60,26048.00,8862582.90,-1
2023-03-07,334.00,349.00,334.00,343.00,1.63,18887.00,6503070.80,1
2023-03-08,334.00,349.00,334.00,343.00,1.63,18887.00,6503070.80,1
2023-03-09,336.50,377.00,336.50,364.10,6.15,39404.00,14189988.10,1
2023-03-12,365.00,371.30,359.00,360.10,-1.10,39279.00,14248424.00,-1
2023-03-13,360.00,369.90,353.00,363.10,0.83,32231.00,11667604.90,1
2023-03-14,356.30,378.40,356.30,365.10,0.55,55495.00,20521440.80,1
2023-03-15,365.00,367.90,358.10,362.90,-0.60,18737.00,6781283.00,-1
2023-03-16,356.10,370.00,356.10,359.10,-1.05,45526.00,16438665.00,-1
2023-03-19,353.00,386.00,353.00,362.70,1.00,32157.00,11700777.50,1
2023-03-20,357.00,370.00,357.00,364.30,0.44,19240.00,7012641.50,1
2023-03-21,357.00,370.00,357.00,364.30,0.44,19240.00,7012641.50,1
2023-03-22,364.00,371.00,359.00,359.00,-1.45,21200.00,7709712.00,-1
2023-03-23,352.10,357.00,349.00,351.30,-2.14,25563.00,9023692.50,-1
2023-03-26,346.00,355.90,346.00,350.00,-0.37,33085.00,11615046.00,-1
2023-03-27,344.00,361.00,338.00,361.00,3.14,18085.00,6369350.50,1
2023-03-28,356.00,369.80,356.00,362.00,0.28,19252.00,6963553.30,1
2023-03-29,355.10,365.10,355.10,361.20,-0.22,19680.00,7106621.00,-1
2023-03-30,360.00,367.00,353.20,354.00,-1.99,18861.00,6736034.70,-1
2023-04-02,361.00,361.00,343.00,344.90,-2.57,20169.00,7045151.20,-1
2023-04-03,338.20,347.00,335.30,336.40,-2.46,25781.00,8781925.20,-1
2023-04-17,330.00,340.00,325.50,325.50,-2.54,10926.00,3607536.50,-1
2023-04-19,325.50,337.00,325.50,335.00,1.52,9720.00,3226644.00,1
2023-04-20,330.00,332.00,324.50,325.00,-2.99,7891.00,2590264.00,-1
2023-04-23,320.00,323.00,319.30,319.60,-1.66,9302.00,2981233.80,-1
2023-04-24,315.30,324.90,315.30,323.00,1.06,6783.00,2175751.50,1
2023-04-25,316.70,340.00,316.70,326.00,0.93,14073.00,4594053.30,1
2023-04-26,319.50,332.00,319.50,322.10,-1.20,7355.00,2388461.00,-1
2023-04-27,317.00,328.00,317.00,319.10,-0.93,12176.00,3897586.00,-1
