published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1108.00,1130.00,1093.00,1093.00,-3.19,13107.00,14544024.00,-1
2021-11-05,1108.00,1130.00,1093.00,1093.00,-3.19,13107.00,14544024.00,-1
2021-11-08,1113.00,1116.00,1085.00,1098.00,0.46,9886.00,10891297.50,1
2021-11-09,1105.00,1105.00,1030.00,1040.00,-5.28,10499.00,11046292.10,-1
2021-11-10,1105.00,1105.00,1030.00,1040.00,-5.28,10499.00,11046292.10,-1
2021-11-11,1020.00,1042.90,1012.00,1015.00,-2.40,11787.00,12068701.00,-1
2021-11-12,1020.00,1042.90,1012.00,1015.00,-2.40,11787.00,12068701.00,-1
2021-11-15,1025.00,1090.00,1023.00,1030.00,0.00,13727.00,14233488.00,0
2021-11-16,1028.00,1048.00,1021.00,1046.00,1.55,10315.00,10739821.90,1
2021-11-17,1066.00,1081.00,1044.80,1067.00,2.01,11464.00,12278879.40,1
2021-11-18,1069.00,1080.00,1045.00,1045.70,-2.00,8455.00,8893316.30,-1
2021-11-19,1069.00,1080.00,1045.00,1045.70,-2.00,8455.00,8893316.30,-1
2021-11-22,995.00,1024.00,995.00,1014.00,0.60,15449.00,15611809.70,1
2021-11-23,1004.00,1010.00,1000.00,1000.00,-1.38,13077.00,13151117.20,-1
2021-11-24,985.00,1003.00,985.00,1002.00,0.20,6695.00,6673524.60,1
2021-11-25,1000.00,1004.70,980.10,991.00,-1.10,8615.00,8539260.50,-1
2021-11-26,1000.00,1004.70,980.10,991.00,-1.10,8615.00,8539260.50,-1
2021-11-29,933.00,955.00,932.00,945.00,-0.53,8489.00,8030149.50,-1
2021-11-30,945.00,948.00,930.00,944.00,-0.11,5923.00,5567131.00,-1
2021-12-01,944.00,960.00,944.00,945.00,0.11,3399.00,3218486.00,1
2021-12-02,957.90,957.90,920.00,920.00,-2.65,7335.00,6827153.50,-1
2021-12-03,957.90,957.90,920.00,920.00,-2.65,7335.00,6827153.50,-1
2021-12-06,890.00,908.00,863.00,905.00,0.44,7530.00,6680064.10,1
2021-12-07,905.00,923.50,885.00,886.00,-2.10,5301.00,4829008.60,-1
2021-12-08,869.10,902.00,869.00,876.00,-1.13,6517.00,5733357.90,-1
2021-12-09,865.00,879.00,860.00,876.00,0.00,7643.00,6625630.60,0
2021-12-10,865.00,879.00,860.00,876.00,0.00,7643.00,6625630.60,0
2021-12-13,833.00,850.00,817.00,830.50,-2.29,11975.00,10042731.00,-1
2021-12-14,832.00,884.90,832.00,874.90,5.35,1980.00,1700072.10,1
2021-12-15,892.00,900.00,848.00,850.00,-2.85,8471.00,7286119.40,-1
2021-12-16,845.00,845.00,828.10,832.00,-2.12,10395.00,8665641.40,-1
2021-12-17,845.00,845.00,828.10,832.00,-2.12,10395.00,8665641.40,-1
2021-12-20,830.00,856.00,830.00,834.10,0.25,3530.00,2959332.10,1
2021-12-21,835.00,851.00,830.00,849.00,1.79,5082.00,4280143.30,1
2021-12-22,865.00,905.70,865.00,882.00,3.89,3367.00,2998545.40,1
2021-12-23,899.00,934.00,878.00,917.00,3.97,7429.00,6707099.90,1
2021-12-24,899.00,934.00,878.00,917.00,3.97,7429.00,6707099.90,1
2021-12-27,1028.00,1048.00,954.00,956.00,-5.22,27845.00,27421131.70,-1
2021-12-28,937.00,959.00,936.00,943.80,-1.28,4883.00,4619437.10,-1
2021-12-29,927.00,1006.00,925.00,1006.00,6.59,8020.00,7663193.20,1
2021-12-30,927.00,1006.00,925.00,1006.00,6.59,8020.00,7663193.20,1
2021-12-31,927.00,1006.00,925.00,1006.00,6.59,8020.00,7663193.20,1
2022-01-03,1002.00,1022.00,988.00,995.00,-0.70,15089.00,15247320.90,-1
2022-01-04,980.00,1010.00,980.00,1010.00,1.51,5787.00,5779653.60,1
2022-01-05,1010.00,1018.90,978.00,990.00,-1.98,7176.00,7108611.00,-1
2022-01-06,971.00,1009.00,970.20,1009.00,1.92,8853.00,8837002.80,1
2022-01-07,971.00,1009.00,970.20,1009.00,1.92,8853.00,8837002.80,1
2022-01-10,1050.00,1090.00,1050.00,1090.00,3.91,48800.00,52598730.80,1
2022-01-11,1075.00,1130.00,1075.00,1112.00,2.02,37720.00,42102053.30,1
2022-01-12,1090.00,1132.00,1076.00,1086.00,-2.34,24015.00,26516784.10,-1
2022-01-13,1100.00,1151.00,1092.00,1135.00,4.51,41523.00,46656958.90,1
2022-01-14,1100.00,1151.00,1092.00,1135.00,4.51,41523.00,46656958.90,1
2022-01-17,1210.00,1210.00,1176.00,1186.00,-1.41,36341.00,43323795.90,-1
2022-01-18,1205.00,1225.00,1185.00,1213.00,2.28,113310.00,137017718.20,1
2022-01-19,1061.71,1102.00,1051.00,1056.10,-0.53,24125.00,25846608.60,-1
2022-01-20,1050.90,1082.00,1050.00,1071.00,1.41,20379.00,21732792.50,1
2022-01-21,1050.90,1082.00,1050.00,1071.00,1.41,20379.00,21732792.50,1
2022-01-24,1036.00,1040.00,975.10,999.00,-4.13,19387.00,19460388.20,-1
2022-01-25,985.00,1019.00,985.00,991.00,-0.80,17494.00,17599663.70,-1
2022-01-26,993.00,1008.00,970.00,980.00,-1.11,11359.00,11124646.00,-1
2022-01-27,997.00,998.00,966.00,980.00,0.00,7763.00,7567205.50,0
2022-01-28,997.00,998.00,966.00,980.00,0.00,7763.00,7567205.50,0
2022-01-31,1010.00,1019.00,990.00,1006.00,-0.40,19458.00,19377197.40,-1
2022-02-01,986.10,1004.00,986.10,1000.00,-0.60,4567.00,4561191.80,-1
2022-02-02,986.10,1004.00,986.10,1000.00,-0.60,4567.00,4561191.80,-1
2022-02-03,1020.00,1020.00,995.00,995.00,-0.50,13642.00,13712512.20,-1
2022-02-04,1020.00,1020.00,995.00,995.00,-0.50,13642.00,13712512.20,-1
2022-02-07,994.10,1009.00,990.00,1000.00,-1.38,14701.00,14668043.50,-1
2022-02-08,1010.00,1019.00,985.00,987.10,-1.29,7956.00,7898887.50,-1
2022-02-09,987.00,987.20,975.00,980.00,-0.72,2063.00,2019160.00,-1
2022-02-10,970.00,981.00,958.00,973.00,-0.71,6716.00,6482076.80,-1
2022-02-11,970.00,981.00,958.00,973.00,-0.71,6716.00,6482076.80,-1
2022-02-14,943.80,951.00,930.00,939.00,-2.49,7106.00,6692523.80,-1
2022-02-15,939.00,955.00,930.00,939.00,0.00,8120.00,7616599.00,0
2022-02-16,949.60,956.70,919.30,938.00,-0.11,11208.00,10452816.50,-1
