published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,760.00,761.00,749.70,750.00,-1.96,11014.00,8319727.70,-1
2021-11-05,760.00,761.00,749.70,750.00,-1.96,11014.00,8319727.70,-1
2021-11-08,765.00,779.00,735.00,750.00,0.00,5088.00,3827003.90,0
2021-11-09,735.00,736.00,706.00,715.00,-4.67,10552.00,7568630.80,-1
2021-11-10,735.00,736.00,706.00,715.00,-4.67,10552.00,7568630.80,-1
2021-11-11,701.00,713.00,682.00,685.00,-4.20,14590.00,10157717.50,-1
2021-11-12,701.00,713.00,682.00,685.00,-4.20,14590.00,10157717.50,-1
2021-11-15,698.00,717.00,691.20,706.00,2.32,8236.00,5799100.60,1
2021-11-16,700.00,729.00,700.00,723.00,2.41,8655.00,6194952.90,1
2021-11-17,737.00,737.00,715.00,724.00,0.14,17489.00,12698943.00,1
2021-11-18,726.00,726.00,704.00,705.50,-2.56,13125.00,9378612.00,-1
2021-11-19,726.00,726.00,704.00,705.50,-2.56,13125.00,9378612.00,-1
2021-11-22,715.00,734.00,715.00,723.00,2.55,24355.00,17599969.40,1
2021-11-23,717.00,717.00,700.00,704.00,-2.63,8784.00,6209448.00,-1
2021-11-24,690.00,706.00,690.00,703.90,-0.01,8983.00,6280564.50,-1
2021-11-25,690.00,703.00,690.00,695.00,-1.26,11610.00,8106617.80,-1
2021-11-26,690.00,703.00,690.00,695.00,-1.26,11610.00,8106617.80,-1
2021-11-29,690.00,690.00,669.00,679.50,-0.51,5597.00,3779818.20,-1
2021-11-30,666.00,690.00,653.00,687.00,1.10,7617.00,5050344.50,1
2021-12-01,678.00,690.00,664.50,668.10,-2.75,4079.00,2753406.50,-1
2021-12-02,679.00,679.00,645.00,655.00,-1.96,6518.00,4258670.10,-1
2021-12-03,679.00,679.00,645.00,655.00,-1.96,6518.00,4258670.10,-1
2021-12-06,624.00,635.00,611.00,633.00,0.32,8867.00,5524256.50,1
2021-12-07,645.60,657.00,613.00,613.00,-3.16,8521.00,5391653.80,-1
2021-12-08,605.00,625.00,601.00,604.00,-1.47,6980.00,4238189.70,-1
2021-12-09,593.00,612.00,590.00,604.00,0.00,9935.00,5959141.80,0
2021-12-10,593.00,612.00,590.00,604.00,0.00,9935.00,5959141.80,0
2021-12-13,571.40,572.00,543.00,543.00,-6.86,11685.00,6465934.50,-1
2021-12-14,553.00,583.00,553.00,583.00,7.37,7582.00,4257430.50,1
2021-12-15,594.60,608.00,562.00,575.00,-1.37,8318.00,4884829.90,-1
2021-12-16,565.00,572.00,553.00,555.00,-3.48,10020.00,5593641.70,-1
2021-12-17,565.00,572.00,553.00,555.00,-3.48,10020.00,5593641.70,-1
2021-12-20,560.00,560.00,548.90,554.00,-0.18,9027.00,5011756.00,-1
2021-12-21,565.00,572.00,553.00,569.00,2.71,10116.00,5708328.00,1
2021-12-22,580.00,596.00,576.00,594.00,4.39,15514.00,9114194.10,1
2021-12-23,600.00,621.00,588.00,615.00,3.54,19170.00,11657190.40,1
2021-12-24,600.00,621.00,588.00,615.00,3.54,19170.00,11657190.40,1
2021-12-27,690.00,703.00,629.00,640.00,-5.40,31072.00,20810573.10,-1
2021-12-28,628.00,643.60,616.00,640.00,0.00,8006.00,5053420.00,0
2021-12-29,647.00,662.00,645.00,654.00,2.19,19429.00,12704561.00,1
2021-12-30,647.00,662.00,645.00,654.00,2.19,19429.00,12704561.00,1
2021-12-31,647.00,662.00,645.00,654.00,2.19,19429.00,12704561.00,1
