published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-12-11,120.0,120.0,117.0,117.0,-4.1,540.0,64320.0,-1
2018-12-12,115.0,120.0,113.0,120.0,2.56,420.0,48710.0,1
2018-12-13,118.0,122.0,116.0,116.0,-3.33,670.0,81090.0,-1
2018-12-16,116.0,120.0,116.0,120.0,3.45,390.0,45840.0,1
2018-12-17,118.0,120.0,117.0,120.0,0.0,160.0,18900.0,0
2018-12-18,117.0,120.0,116.0,118.0,-1.67,1350.0,160960.0,-1
2018-12-19,116.0,119.0,116.0,116.0,-1.69,1411.0,164788.0,-1
2018-12-20,114.0,117.0,113.0,115.0,-0.86,1010.0,117100.0,-1
2018-12-23,117.0,119.0,114.0,115.0,0.0,1440.0,165380.0,0
2018-12-24,113.0,113.0,110.0,113.0,-1.74,2140.0,239350.0,-1
2018-12-25,111.0,112.0,109.0,110.0,-2.65,590.0,65300.0,-1
2018-12-26,110.0,115.0,110.0,114.0,3.64,1680.0,189600.0,1
2018-12-27,112.0,114.0,111.0,112.0,-1.75,740.0,82900.0,-1
2018-12-30,110.0,112.0,109.0,112.0,0.0,440.0,49080.0,0
2018-12-31,112.0,115.0,112.0,113.0,0.89,450.0,50870.0,1
2019-01-01,113.0,115.0,112.0,114.0,0.88,550.0,62300.0,1
2019-01-02,113.0,115.0,113.0,114.0,0.0,200.0,22720.0,0
2019-01-03,112.0,116.0,112.0,116.0,1.75,430.0,49050.0,1
2019-01-06,114.0,115.0,114.0,115.0,-0.86,360.0,41130.0,-1
2019-01-07,113.0,118.0,113.0,115.0,0.0,460.0,53180.0,0
2019-01-08,114.0,117.0,114.0,115.0,0.0,590.0,68070.0,0
2019-01-09,113.0,119.0,113.0,118.0,2.61,1010.0,117170.0,1
2019-01-10,118.0,118.0,114.0,115.0,-2.54,480.0,55390.0,-1
2019-01-13,113.0,115.0,109.0,113.0,-1.74,1740.0,194060.0,-1
2019-01-14,111.0,116.0,111.0,116.0,2.65,130.0,14730.0,1
2019-01-15,116.0,118.0,113.0,118.0,1.72,894.0,102769.0,1
2019-01-16,118.0,120.0,115.0,115.0,-2.54,1110.0,128170.0,-1
2019-01-17,113.0,116.0,111.0,113.0,-1.74,1370.0,156110.0,-1
2019-01-20,111.0,111.0,108.0,110.0,-2.65,830.0,90620.0,-1
2019-01-21,108.0,110.0,106.0,108.0,-1.82,1450.0,156190.0,-1
2019-01-22,106.0,112.0,106.0,108.0,0.0,1300.0,141380.0,0
2019-01-23,108.0,110.0,104.0,104.0,-3.7,2960.0,316300.0,-1
2019-01-24,104.0,109.0,104.0,105.0,0.96,2010.0,210870.0,1
2019-01-27,103.0,109.0,103.0,105.0,0.0,1560.0,165530.0,0
2019-01-28,103.0,107.0,103.0,105.0,0.0,2600.0,273110.0,0
2019-01-29,105.0,107.0,104.0,106.0,0.95,1240.0,131490.0,1
2019-01-30,106.0,110.0,105.0,109.0,2.83,1720.0,185310.0,1
2019-01-31,107.0,110.0,105.0,107.0,-1.83,1020.0,109260.0,-1
2019-02-03,105.0,109.0,105.0,109.0,1.87,950.0,100860.0,1
2019-02-04,107.0,108.0,103.0,108.0,-0.92,2042.0,215250.0,-1
2019-02-05,106.0,108.0,106.0,106.0,-1.85,3550.0,380650.0,-1
2019-02-06,105.0,109.0,105.0,108.0,1.89,3210.0,345800.0,1
2019-02-07,106.0,109.0,104.0,109.0,0.93,2390.0,254080.0,1
2019-02-10,107.0,107.0,106.0,107.0,-1.83,960.0,102260.0,-1
2019-02-11,106.0,109.0,106.0,108.0,0.93,1590.0,171910.0,1
2019-02-12,108.0,109.0,107.0,108.0,0.0,860.0,92790.0,0
2019-02-13,107.0,109.0,107.0,108.0,0.0,1070.0,115040.0,0
2019-02-14,106.0,107.0,104.0,105.0,-2.78,3110.0,328590.0,-1
2019-02-17,105.0,110.0,105.0,110.0,4.76,11100.0,1195590.0,1
2019-02-18,109.0,109.0,105.0,107.0,-2.73,770.0,81320.0,-1
2019-02-19,106.0,108.0,105.0,107.0,0.0,5120.0,542630.0,0
2019-02-20,105.0,108.0,105.0,106.0,-0.93,550.0,58600.0,-1
2019-02-21,105.0,108.0,105.0,106.0,0.0,800.0,84430.0,0
2019-02-24,105.0,107.0,105.0,105.0,-0.94,1080.0,113700.0,-1
2019-02-25,105.0,107.0,105.0,106.0,0.95,3340.0,356640.0,1
2019-02-26,105.0,109.0,105.0,108.0,1.89,550.0,58960.0,1
2019-02-27,107.0,109.0,107.0,107.0,-0.93,310.0,33280.0,-1
2019-03-03,106.0,109.0,106.0,108.0,0.93,1150.0,123140.0,1
2019-03-05,106.0,109.0,106.0,108.0,0.0,457.0,48959.0,0
2019-03-06,107.0,110.0,107.0,110.0,1.85,4420.0,485380.0,1
2019-03-07,108.0,114.0,108.0,112.0,1.82,1270.0,141650.0,1
2019-03-10,110.0,110.0,109.0,109.0,-2.68,380.0,41630.0,-1
2019-03-11,109.0,112.0,109.0,111.0,1.83,1250.0,137840.0,1
2019-03-12,111.0,114.0,111.0,112.0,0.9,770.0,85630.0,1
2019-03-13,110.0,112.0,110.0,112.0,0.0,451.0,50092.0,0
2019-03-14,110.0,113.0,110.0,112.0,0.0,610.0,68000.0,0
2019-03-17,111.0,116.0,111.0,114.0,1.79,520.0,58960.0,1
2019-03-18,112.0,116.0,112.0,113.0,-0.88,2010.0,230140.0,-1
2019-03-19,113.0,113.0,111.0,112.0,-0.88,390.0,43510.0,-1
2019-03-21,110.0,113.0,110.0,112.0,0.0,560.0,62440.0,0
2019-03-24,112.0,114.0,111.0,112.0,0.0,1730.0,195040.0,0
2019-03-25,110.0,113.0,110.0,112.0,0.0,1150.0,129030.0,0
2019-03-26,111.0,113.0,111.0,113.0,0.89,1520.0,170890.0,1
2019-03-27,111.0,115.0,111.0,113.0,0.0,1130.0,128290.0,0
2019-03-28,113.0,115.0,112.0,113.0,0.0,1070.0,120870.0,0
2019-03-31,111.0,112.0,110.0,111.0,-1.77,1100.0,122100.0,-1
2019-04-01,110.0,113.0,109.0,111.0,0.0,1160.0,127520.0,0
2019-04-02,110.0,112.0,109.0,110.0,-0.9,1250.0,137510.0,-1
2019-04-03,111.0,111.0,108.0,111.0,0.91,700.0,76360.0,1
2019-04-04,109.0,112.0,108.0,110.0,-0.9,850.0,93180.0,-1
2019-04-07,108.0,110.0,106.0,110.0,0.0,1510.0,163780.0,0
2019-04-08,108.0,116.0,108.0,116.0,5.45,1460.0,161120.0,1
2019-04-09,114.0,114.0,108.0,109.0,-6.03,360.0,39590.0,-1
2019-04-10,109.0,113.0,109.0,112.0,2.75,600.0,66040.0,1
2019-04-11,110.0,112.0,108.0,111.0,-0.89,1330.0,147050.0,-1
2019-04-15,110.0,111.0,109.0,109.0,-1.8,810.0,88880.0,-1
2019-04-16,109.0,113.0,109.0,111.0,1.83,770.0,85990.0,1
2019-04-17,110.0,112.0,110.0,111.0,0.0,570.0,62960.0,0
2019-04-18,110.0,112.0,110.0,110.0,-0.9,530.0,58370.0,-1
2019-04-21,108.0,113.0,108.0,111.0,0.91,1120.0,123890.0,1
2019-04-22,110.0,113.0,110.0,111.0,0.0,6531.0,732002.0,0
2019-04-23,109.0,112.0,109.0,111.0,0.0,690.0,76390.0,0
