published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-19,598.00,598.00,542.00,589.00,0.00,81779.00,46328067.80,0
2023-12-20,589.00,647.80,515.00,613.90,4.23,58536.00,35432619.50,1
2023-12-21,615.00,617.00,585.00,601.80,-1.97,23695.00,14135698.20,-1
2023-12-24,610.00,620.00,573.00,590.00,-1.96,66610.00,39962240.50,-1
2023-12-25,610.00,620.00,573.00,590.00,-1.96,66610.00,39962240.50,-1
2023-12-26,610.00,620.00,573.00,590.00,-1.96,66610.00,39962240.50,-1
2023-12-27,590.00,617.00,588.30,601.00,1.86,48433.00,29242889.10,1
2023-12-28,590.00,623.70,590.00,623.70,3.78,47088.00,28614414.50,1
2023-12-31,590.00,623.70,590.00,623.70,3.78,47088.00,28614414.50,1
2024-01-01,612.00,624.00,596.10,598.00,-4.12,38801.00,23476972.80,-1
2024-01-02,598.00,598.00,575.00,575.90,-3.70,11352.00,6605156.10,-1
2024-01-03,587.00,587.00,557.30,577.00,0.19,14011.00,7953395.70,1
2024-01-04,582.40,597.00,565.00,579.00,0.35,18865.00,10824921.40,1
2024-01-07,567.50,579.00,556.70,557.00,-3.80,13668.00,7709400.60,-1
2024-01-08,557.00,588.80,556.00,578.30,3.82,13638.00,7789478.00,1
2024-01-09,580.00,596.00,565.00,569.00,-1.61,16183.00,9319918.20,-1
2024-01-10,558.00,600.00,558.00,565.00,-0.70,8167.00,4649795.30,-1
2024-01-11,555.00,577.40,553.70,568.00,0.53,17710.00,9999809.70,1
2024-01-14,565.00,575.00,560.00,564.00,-0.70,10130.00,5741639.70,-1
2024-01-15,565.00,575.00,560.00,564.00,-0.70,10130.00,5741639.70,-1
2024-01-16,575.00,575.20,565.00,571.00,1.24,20930.00,11913878.30,1
2024-01-17,579.50,580.00,561.20,569.00,-0.35,20555.00,11720546.70,-1
2024-01-18,558.00,580.30,558.00,568.00,-0.18,22940.00,13000376.10,-1
2024-01-21,560.00,571.00,557.60,557.60,-1.83,22047.00,12464603.80,-1
2024-01-22,547.00,568.70,547.00,547.50,-1.81,11332.00,6275144.90,-1
2024-01-23,542.00,558.40,535.00,540.00,-1.37,11015.00,5961191.60,-1
2024-01-24,530.10,561.00,529.00,529.00,-2.04,13505.00,7258711.40,-1
2024-01-25,539.00,539.50,525.00,530.00,0.19,12910.00,6821789.20,1
2024-01-28,530.00,539.50,526.00,534.00,0.75,5933.00,3151789.30,1
2024-01-29,526.20,545.00,526.20,544.00,1.87,10469.00,5614887.00,1
2024-01-30,541.00,561.80,541.00,554.00,1.84,15896.00,8793620.00,1
2024-01-31,550.00,554.00,531.00,538.00,-2.89,11111.00,6029756.00,-1
2024-02-01,528.10,535.00,525.00,525.00,-2.42,14113.00,7463508.00,-1
2024-02-04,525.00,525.00,516.10,516.10,-1.70,10730.00,5570828.20,-1
2024-02-05,510.10,535.00,510.00,524.00,1.53,8817.00,4594534.30,1
2024-02-06,530.00,534.40,515.00,525.00,0.19,9077.00,4767455.00,1
2024-02-07,533.00,535.40,525.00,529.90,0.93,11985.00,6336830.50,1
2024-02-08,521.30,535.00,521.30,526.00,-0.74,9429.00,4976215.20,-1
2024-02-11,525.00,534.00,518.00,526.00,0.00,9878.00,5192605.70,0
2024-02-12,526.00,530.00,523.00,528.10,0.40,8757.00,4612472.40,1
2024-02-13,520.00,529.00,518.00,525.00,-0.59,11201.00,5840294.80,-1
2024-02-14,514.50,528.00,514.50,523.00,-0.38,5802.00,3027037.10,-1
2024-02-15,517.20,523.00,511.00,518.00,-0.96,6932.00,3588826.90,-1
2024-02-18,508.90,530.00,508.90,514.00,-0.77,9705.00,4967724.30,-1
2024-02-19,508.90,530.00,508.90,514.00,-0.77,9705.00,4967724.30,-1
2024-02-20,510.00,515.00,510.00,514.00,0.00,6900.00,3535517.60,0
2024-02-21,515.00,524.00,508.00,514.00,0.00,8831.00,4544948.00,0
2024-02-22,506.50,520.00,505.00,510.00,-0.78,6806.00,3467436.40,-1
2024-02-25,508.00,519.80,499.00,501.50,-1.67,12596.00,6331039.10,-1
2024-02-26,511.50,511.50,493.00,500.00,-0.30,5715.00,2863761.70,-1
2024-02-27,490.20,510.00,490.20,492.00,-1.60,5407.00,2681505.70,-1
2024-02-28,501.00,503.00,493.20,495.00,0.61,4967.00,2458835.10,1
2024-02-29,497.20,497.20,489.00,493.00,-0.40,6715.00,3305553.60,-1
2024-03-03,493.00,496.00,480.50,491.50,-0.30,5753.00,2806814.40,-1
2024-03-04,500.00,530.60,500.00,530.60,7.96,240.00,124458.00,1
2024-03-05,540.20,540.20,498.00,507.00,-4.45,11605.00,5900130.40,-1
2024-03-06,517.10,517.10,490.00,499.00,-1.58,13104.00,6557831.00,-1
2024-03-07,499.00,510.00,494.00,506.00,1.40,5241.00,2638026.00,1
2024-03-10,512.00,515.00,503.00,513.00,1.38,10951.00,5584953.20,1
2024-03-11,512.00,515.00,503.00,513.00,1.38,10951.00,5584953.20,1
2024-03-12,520.00,555.00,520.00,550.00,7.21,37203.00,20071094.10,1
2024-03-13,555.00,566.00,545.00,550.00,0.00,21282.00,11754794.40,0
2024-03-14,550.00,553.00,529.10,531.00,-3.45,21099.00,11331253.60,-1
2024-03-17,531.00,535.00,520.50,529.00,-0.38,14765.00,7794855.80,-1
2024-03-18,528.00,530.00,520.00,526.10,-0.55,6473.00,3392099.50,-1
2024-03-19,526.00,550.00,520.60,544.00,3.40,36876.00,19882082.40,1
2024-03-20,550.00,550.00,533.00,533.00,-2.02,7493.00,4031593.70,-1
2024-03-21,524.10,538.90,524.10,532.00,-0.19,5452.00,2880307.50,-1
2024-03-24,524.10,538.90,524.10,532.00,-0.19,5452.00,2880307.50,-1
2024-03-25,527.00,529.00,521.10,526.00,-1.13,7041.00,3690738.70,-1
2024-03-26,525.00,536.00,518.00,523.00,-0.57,8240.00,4308441.30,-1
2024-03-27,512.90,523.00,512.90,517.90,-0.98,9426.00,4873761.60,-1
2024-03-28,510.10,528.00,510.00,517.90,0.00,6909.00,3538862.20,0
2024-03-31,510.00,518.00,508.00,509.00,-1.72,8992.00,4604259.90,-1
2024-04-01,504.00,517.00,504.00,514.00,0.98,6350.00,3227533.60,1
2024-04-02,505.40,515.90,500.10,512.00,-0.39,8781.00,4446027.60,-1
2024-04-03,512.00,519.00,510.00,515.00,0.59,5702.00,2933468.00,1
2024-04-04,510.00,515.00,508.10,511.00,-0.78,7877.00,4019795.20,-1
2024-04-07,508.00,538.00,504.00,525.00,2.74,13476.00,7005857.20,1
2024-04-08,508.00,538.00,504.00,525.00,2.74,13476.00,7005857.20,1
2024-04-09,525.00,533.00,516.00,516.00,-1.71,22833.00,11931976.90,-1
