published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-10-16,284.10,305.80,255.70,255.70,-10.00,23578.00,6326271.50,-1
2022-10-17,256.00,256.00,230.20,230.20,-9.97,7417.00,1710688.40,-1
2022-10-18,256.00,256.00,230.20,230.20,-9.97,7417.00,1710688.40,-1
2022-10-19,225.60,225.60,207.30,213.00,-7.47,46633.00,9830954.50,-1
2022-10-20,208.80,225.00,205.00,217.00,1.88,14121.00,3055821.10,1
2022-10-23,213.00,217.80,207.10,216.00,-0.46,7780.00,1660922.50,-1
2022-10-24,213.00,217.80,207.10,216.00,-0.46,7780.00,1660922.50,-1
2022-10-25,213.00,217.80,207.10,216.00,-0.46,7780.00,1660922.50,-1
2022-10-26,213.00,217.80,207.10,216.00,-0.46,7780.00,1660922.50,-1
2022-10-27,213.00,217.80,207.10,216.00,-0.46,7780.00,1660922.50,-1
2022-10-30,213.00,217.80,207.10,216.00,-0.46,7780.00,1660922.50,-1
2022-10-31,213.00,214.90,209.00,210.00,-2.78,11450.00,2427566.00,-1
2022-11-01,205.80,221.20,204.10,220.80,5.14,20105.00,4237046.90,1
2022-11-02,225.20,225.20,213.00,219.80,-0.45,19520.00,4280323.00,-1
2022-11-03,215.50,221.00,211.50,213.00,-3.09,8393.00,1807773.00,-1
2022-11-06,210.00,219.00,210.00,217.50,2.11,7350.00,1585612.00,1
2022-11-07,221.00,222.60,213.00,213.00,-2.07,27195.00,5938953.00,-1
2022-11-08,208.80,216.50,208.80,213.00,0.00,5581.00,1196512.50,0
2022-11-09,213.00,215.00,207.00,207.00,-2.82,7623.00,1606438.60,-1
2022-11-10,207.00,209.00,202.00,203.00,-1.93,12388.00,2528795.70,-1
2022-11-13,203.00,203.00,199.80,203.00,0.00,5337.00,1074898.80,0
2022-11-14,202.10,207.00,200.00,206.90,1.92,4600.00,934663.00,1
2022-11-15,203.00,206.50,200.00,202.00,-2.37,7171.00,1459286.10,-1
2022-11-16,202.00,209.00,200.90,203.00,0.50,8432.00,1715703.00,1
2022-11-17,203.00,212.80,203.00,206.00,1.48,11306.00,2364587.00,1
2022-11-20,203.00,212.80,203.00,206.00,1.48,11306.00,2364587.00,1
2022-11-21,203.00,212.80,203.00,206.00,1.48,11306.00,2364587.00,1
2022-11-22,202.10,211.00,202.10,204.20,-0.87,6585.00,1357139.30,-1
2022-11-23,201.30,214.50,201.30,214.40,5.00,7472.00,1526255.60,1
2022-11-24,211.00,215.00,205.00,211.00,-1.59,7005.00,1471709.50,-1
2022-11-27,207.00,215.20,207.00,212.00,0.47,7568.00,1584431.40,1
2022-11-28,208.00,216.20,208.00,211.80,-0.09,6509.00,1372940.00,-1
2022-11-29,207.80,212.00,205.20,210.00,-0.85,7070.00,1478290.50,-1
