published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,896.50,896.50,866.00,870.00,-1.14,5016.00,4411064.50,-1
2021-11-05,896.50,896.50,866.00,870.00,-1.14,5016.00,4411064.50,-1
2021-11-08,886.80,887.00,840.10,843.00,-3.10,5228.00,4492276.90,-1
2021-11-09,845.00,845.00,810.00,822.00,-2.49,8363.00,6850631.00,-1
2021-11-10,845.00,845.00,810.00,822.00,-2.49,8363.00,6850631.00,-1
2021-11-11,806.00,815.00,790.00,798.50,-2.86,7251.00,5793033.50,-1
2021-11-12,806.00,815.00,790.00,798.50,-2.86,7251.00,5793033.50,-1
2021-11-15,800.00,814.00,795.00,808.00,2.02,6562.00,5263498.00,1
2021-11-16,816.00,885.00,811.00,885.00,9.53,13261.00,11264528.40,1
2021-11-17,894.00,894.00,860.00,867.00,-2.03,12010.00,10465541.40,-1
2021-11-18,849.70,862.00,836.00,840.00,-3.11,8521.00,7207831.80,-1
2021-11-19,849.70,862.00,836.00,840.00,-3.11,8521.00,7207831.80,-1
2021-11-22,826.30,892.50,826.30,848.00,0.71,7184.00,6135722.60,1
2021-11-23,855.00,855.00,810.00,824.00,-2.83,5090.00,4197098.30,-1
2021-11-24,811.00,840.00,811.00,835.00,1.33,3946.00,3249939.00,1
2021-11-25,822.10,837.00,820.00,821.00,-1.68,4702.00,3868308.80,-1
2021-11-26,822.10,837.00,820.00,821.00,-1.68,4702.00,3868308.80,-1
2021-11-29,780.00,800.00,779.50,784.00,-1.13,7389.00,5824859.30,-1
2021-11-30,798.00,798.00,770.00,794.00,1.28,5454.00,4226426.40,1
2021-12-01,798.00,798.00,785.00,786.00,-1.01,2037.00,1606160.00,-1
2021-12-02,771.00,790.00,765.00,768.20,-2.26,8363.00,6458909.30,-1
2021-12-03,771.00,790.00,765.00,768.20,-2.26,8363.00,6458909.30,-1
2021-12-06,728.00,750.00,711.00,748.00,1.22,6917.00,5013522.70,1
2021-12-07,734.00,777.90,734.00,740.00,-1.07,2853.00,2161815.50,-1
2021-12-08,728.50,743.80,715.00,720.00,-2.70,3243.00,2367285.50,-1
2021-12-09,720.00,730.00,711.50,729.00,1.25,2746.00,1978248.00,1
2021-12-10,720.00,730.00,711.50,729.00,1.25,2746.00,1978248.00,1
2021-12-13,676.30,683.00,653.90,656.00,-4.93,17033.00,11270622.30,-1
2021-12-14,669.00,698.00,669.00,690.00,5.18,2379.00,1629774.50,1
2021-12-15,703.00,731.30,683.00,686.00,-0.58,7517.00,5266967.30,-1
2021-12-16,680.00,680.00,656.60,668.90,-2.49,7113.00,4731643.60,-1
2021-12-17,680.00,680.00,656.60,668.90,-2.49,7113.00,4731643.60,-1
2021-12-20,655.60,693.00,655.60,670.00,0.16,1651.00,1111818.30,1
2021-12-21,683.30,692.00,676.00,685.00,2.24,3776.00,2579939.00,1
2021-12-22,698.70,734.00,696.00,716.00,4.53,4168.00,2961566.00,1
2021-12-23,730.00,748.80,701.70,738.00,3.07,13880.00,10177975.00,1
2021-12-24,730.00,748.80,701.70,738.00,3.07,13880.00,10177975.00,1
2021-12-27,827.00,828.00,760.00,772.00,-4.90,28777.00,22718978.80,-1
2021-12-28,757.00,787.00,750.00,770.20,-0.23,5792.00,4446895.90,-1
2021-12-29,755.00,793.50,751.00,780.00,1.27,11770.00,9011605.20,1
2021-12-30,755.00,793.50,751.00,780.00,1.27,11770.00,9011605.20,1
2021-12-31,755.00,793.50,751.00,780.00,1.27,11770.00,9011605.20,1
2022-01-03,835.00,835.00,805.00,806.00,-1.59,18694.00,15300865.30,-1
2022-01-04,821.90,821.90,806.00,811.00,0.62,6340.00,5137086.30,1
2022-01-05,819.90,819.90,784.00,804.00,-0.86,13931.00,11079845.60,-1
2022-01-06,807.00,807.00,790.00,798.10,-0.73,4858.00,3878006.60,-1
2022-01-07,807.00,807.00,790.00,798.10,-0.73,4858.00,3878006.60,-1
2022-01-10,822.00,837.00,820.00,837.00,1.95,31995.00,26431977.40,1
2022-01-11,850.00,879.00,837.30,869.90,3.93,29129.00,25262947.80,1
2022-01-12,878.00,880.00,835.00,847.00,-2.63,35054.00,30321561.50,-1
2022-01-13,830.10,884.00,820.00,878.30,3.70,31392.00,26990306.50,1
2022-01-14,830.10,884.00,820.00,878.30,3.70,31392.00,26990306.50,1
2022-01-17,924.00,942.00,888.00,905.00,-0.11,22035.00,19835029.10,-1
