published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-13,119.00,119.00,119.00,119.00,0.00,19161.00,2280159.00,0
2022-07-14,119.00,119.00,119.00,119.00,0.00,111042.00,13213998.00,0
2022-07-20,119.00,119.00,119.00,119.00,0.00,15069.00,1793211.00,0
2022-07-21,119.00,119.00,119.00,119.00,0.00,3239.00,385441.00,0
2022-07-22,119.00,119.00,119.00,119.00,0.00,3239.00,385441.00,0
2022-09-06,119.00,119.00,119.00,119.00,0.00,35720.00,4250680.00,0
2022-10-13,119.00,119.00,119.00,119.00,0.00,166209.00,19778871.00,0
2022-10-16,119.00,119.00,119.00,119.00,0.00,54019.00,6428261.00,0
2023-07-25,235.00,235.00,235.00,235.00,0.00,3024.00,710640.00,0
2023-07-26,231.00,231.00,227.00,227.00,-3.40,3723.00,845645.00,-1
2023-08-01,223.00,223.00,205.00,205.00,-9.69,38373.00,7952201.00,-1
2023-08-02,201.00,201.00,185.00,185.00,-9.76,64277.00,12048040.00,-1
2023-10-01,182.00,182.00,173.00,173.00,-6.49,19086.00,3371670.00,-1
2023-10-05,170.00,170.00,161.00,161.00,-6.94,11243.00,1853146.00,-1
2024-02-05,179.00,179.00,179.00,179.00,0.00,3451.00,617729.00,0
2024-02-07,176.00,176.00,167.00,167.00,-6.70,36029.00,6130342.00,-1
2024-06-02,182.00,182.00,182.00,182.00,0.00,10299.00,1874418.00,0
2024-06-24,178.40,178.40,166.00,166.00,-8.79,13558.00,2298788.80,-1
2024-06-27,163.00,163.00,154.00,154.00,-7.23,10309.00,1622734.00,-1
2024-06-30,151.00,151.00,142.20,142.20,-7.66,30701.00,4450125.50,-1
2024-07-29,139.40,139.40,139.40,139.40,-1.97,3433.00,478560.20,-1
2024-08-01,136.70,136.70,136.70,136.70,-1.94,3433.00,469291.10,-1
2024-08-04,136.70,136.70,136.70,136.70,-1.94,3433.00,469291.10,-1
2024-08-12,134.00,134.00,134.00,134.00,-1.98,3433.00,460022.00,-1
2024-09-12,132.00,132.00,132.00,132.00,-1.49,3433.00,453156.00,-1
2024-09-29,130.00,130.00,130.00,130.00,-1.52,3433.00,446290.00,-1
2024-10-20,128.00,128.00,128.00,128.00,-1.54,1060.00,135680.00,-1
2024-11-13,126.00,126.00,126.00,126.00,-1.56,15000.00,1890000.00,-1
2024-11-20,124.00,124.00,124.00,124.00,-1.59,3723.00,461652.00,-1
2024-12-18,122.00,122.00,122.00,122.00,-1.61,3433.00,418826.00,-1
2025-01-15,120.00,120.00,120.00,120.00,-1.64,1716.00,205920.00,-1
2025-02-13,118.00,118.00,118.00,118.00,-1.67,3539.00,417602.00,-1
2025-04-01,118.00,118.00,118.00,118.00,0.00,100.00,11800.00,0
2025-05-26,118.00,118.00,118.00,118.00,0.00,3433.00,405094.00,0
2025-06-19,118.00,118.00,118.00,118.00,0.00,3933.00,464094.00,0
2025-07-29,118.00,118.00,118.00,118.00,0.00,1028.00,121304.00,0
2025-08-19,118.00,118.00,118.00,118.00,0.00,3933.00,464094.00,0
2025-09-28,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2025-09-29,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2025-09-30,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2025-10-01,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2025-10-02,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2025-10-05,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2025-10-06,118.00,118.00,118.00,118.00,0.00,14566.00,1718788.00,0
2026-02-08,255.80,255.80,255.80,255.80,-1.99,4492.00,1149053.60,-1
2026-04-01,255.80,255.80,255.80,255.80,0.00,19671.00,5031841.80,0
2026-04-23,255.80,255.80,255.80,255.80,0.00,40513.00,10363225.40,0
