published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-02-15,311.0,315.0,310.0,315.0,nan,44909.0,14076560.0,0
2015-02-16,315.0,323.0,310.0,323.0,0.0,88333.0,27933052.0,0
2015-02-18,323.0,335.0,321.0,335.0,3.72,134332.0,43771556.0,0
2015-02-22,335.0,343.0,327.0,330.0,-1.49,94575.0,31618408.0,0
2015-02-23,330.0,331.0,315.0,330.0,0.0,77796.0,25048496.0,0
2015-02-24,330.0,335.0,323.0,332.0,0.61,48684.0,16028004.0,0
2015-02-25,332.0,335.0,328.0,335.0,0.90,37210.0,12354472.0,0
2015-02-26,335.0,349.0,335.0,349.0,4.18,88605.0,30273288.0,0
2015-03-01,349.0,360.0,346.0,350.0,0.29,92783.0,32765338.0,0
2015-03-02,350.0,350.0,345.0,349.0,-0.29,30148.0,10468146.0,0
2015-03-03,349.0,348.0,342.0,343.0,-1.72,25611.0,8791288.0,0
2015-03-04,343.0,354.0,338.0,341.0,-0.58,42694.0,14624279.0,0
2015-03-09,341.0,353.0,344.0,347.0,1.76,73654.0,25607496.0,0
2015-03-10,347.0,348.0,339.0,340.0,-2.02,79413.0,27124192.0,0
2015-03-11,340.0,345.0,341.0,342.0,0.59,20898.0,7149190.0,0
2015-03-12,342.0,348.0,340.0,342.0,0.0,26536.0,9088691.0,0
2015-03-15,342.0,342.0,335.0,340.0,-0.58,13347.0,4507861.0,0
2015-03-16,340.0,340.0,332.0,334.0,-1.76,7644.0,2567965.0,0
2015-03-17,334.0,341.0,329.0,340.0,1.80,14725.0,4954955.0,0
2015-03-18,340.0,340.0,335.0,336.0,-1.18,5868.0,1975058.0,0
2015-03-19,336.0,344.0,338.0,339.0,0.89,14209.0,4824263.0,0
2015-03-22,339.0,346.0,332.0,332.0,-2.06,8570.0,2899171.0,0
2015-03-23,332.0,340.0,329.0,330.0,-0.60,20269.0,6719187.0,0
2015-03-24,330.0,330.0,326.0,328.0,-0.61,67872.0,22282178.0,0
2015-03-25,328.0,330.0,325.0,329.0,0.30,9668.0,3159312.0,0
2015-03-26,329.0,331.0,324.0,331.0,0.61,43881.0,14334381.0,0
2015-03-29,331.0,333.0,325.0,330.0,-0.30,9720.0,3186054.0,0
2015-03-30,330.0,335.0,325.0,328.0,-0.61,13795.0,4498999.0,0
2015-03-31,328.0,336.0,325.0,332.0,1.22,21375.0,7001642.0,0
2015-04-01,332.0,333.0,327.0,328.0,-1.20,7796.0,2560031.0,0
2015-04-02,328.0,336.0,328.0,331.0,0.91,82404.0,27301042.0,0
2015-04-05,331.0,336.0,329.0,335.0,1.21,9048.0,2988966.0,0
2015-04-06,335.0,335.0,330.0,334.0,-0.30,8859.0,2931198.0,0
2015-04-07,334.0,340.0,331.0,336.0,0.60,12508.0,4201760.0,0
2015-04-08,336.0,343.0,332.0,342.0,1.79,22579.0,7619658.0,0
2015-04-09,342.0,352.0,339.0,352.0,2.92,35860.0,12274761.0,0
2015-04-12,352.0,362.0,348.0,361.0,2.56,34519.0,12279064.0,0
2015-04-13,361.0,357.0,347.0,353.0,-2.22,18412.0,6476365.0,0
2015-04-15,353.0,360.0,347.0,348.0,-1.42,5182.0,1803443.0,0
2015-04-16,348.0,351.0,345.0,350.0,0.57,5886.0,2055027.0,0
2015-04-19,350.0,358.0,344.0,344.0,-1.71,15309.0,5307373.0,0
2015-04-20,344.0,350.0,344.0,348.0,1.16,25947.0,8976454.0,0
2015-04-21,348.0,357.0,346.0,350.0,0.57,69861.0,24494004.0,0
2015-04-22,350.0,356.0,346.0,352.0,0.57,10275.0,3591752.0,0
2015-04-23,352.0,355.0,345.0,345.0,-1.99,15828.0,5535152.0,0
