published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-24,193.00,193.00,193.00,193.00,0.00,45401.00,8762393.00,0
2021-11-29,195.00,195.00,195.00,195.00,1.04,13847.00,2700165.00,1
2021-12-16,191.10,191.10,191.10,191.10,0.00,6968.00,1331584.80,0
2021-12-17,191.10,191.10,191.10,191.10,0.00,6968.00,1331584.80,0
2022-05-19,141.70,145.00,141.70,145.00,4.32,884000.00,128179962.00,1
2022-05-27,145.00,145.00,145.00,145.00,0.00,880375.00,176075000.00,0
2022-06-20,145.00,145.00,145.00,145.00,0.00,816000.00,118320000.00,0
2022-07-14,145.00,145.00,145.00,145.00,0.00,9568.00,1387360.00,0
2022-08-10,145.00,145.00,145.00,145.00,0.00,32000.00,4640000.00,0
2022-08-14,145.00,145.00,145.00,145.00,0.00,68039.00,9865655.00,0
2022-08-24,145.00,145.00,145.00,145.00,0.00,8000.00,1550000.00,0
2022-09-18,145.00,147.00,145.00,147.00,1.38,1350000.00,195845848.00,1
2022-09-19,145.00,147.00,145.00,147.00,1.38,1350000.00,195845848.00,1
2022-09-22,144.10,144.10,141.30,141.30,-3.88,23993.00,3430718.50,-1
2023-02-07,105.00,105.00,105.00,105.00,0.00,300000.00,31500000.00,0
2023-02-08,105.00,105.00,105.00,105.00,0.00,309310.00,32477550.00,0
2023-05-14,102.00,102.00,102.00,102.00,0.00,119518.00,12190836.00,0
2023-05-31,102.00,102.00,102.00,102.00,0.00,2787123.00,342816129.00,0
2023-06-01,102.00,102.00,102.00,102.00,0.00,1887273.00,232134579.00,0
2023-06-19,102.00,102.00,100.00,100.00,-1.96,103018.00,10367836.00,-1
2023-06-20,102.00,102.00,102.00,102.00,2.00,13305.00,1357110.00,1
2023-06-21,100.00,100.00,100.00,100.00,-1.96,64218.00,6421800.00,-1
2023-06-22,100.00,100.00,100.00,100.00,0.00,29000.00,2900000.00,0
2023-06-25,100.00,100.00,100.00,100.00,0.00,86468.00,8646800.00,0
2023-07-06,100.00,100.00,100.00,100.00,0.00,1697526.00,169752600.00,0
2023-07-10,100.00,100.00,100.00,100.00,0.00,6791.00,679100.00,0
2023-07-11,100.00,100.00,100.00,100.00,0.00,18960.00,1896000.00,0
2023-07-12,102.00,110.00,102.00,110.00,10.00,200040.00,20404280.00,1
2023-07-13,112.00,115.00,112.00,115.00,4.55,156490.00,17996310.00,1
2023-07-16,115.00,115.00,113.00,113.00,-1.74,137900.00,15599822.00,-1
2023-07-19,115.00,115.00,115.00,115.00,1.77,47168.00,5424320.00,1
2023-07-20,115.00,115.00,115.00,115.00,0.00,200000.00,23000000.00,0
2023-08-13,115.00,115.00,115.00,115.00,0.00,33921.00,3900915.00,0
2023-08-27,113.00,113.00,111.00,111.00,-3.48,22000.00,2462000.00,-1
2023-08-28,111.00,111.00,111.00,111.00,0.00,54695.00,6071145.00,0
2023-09-12,105.00,105.00,105.00,105.00,-5.41,89456.00,9392880.00,-1
2023-09-13,109.00,109.00,109.00,109.00,3.81,14474.00,1577666.00,1
2023-09-14,109.00,109.00,109.00,109.00,3.81,14474.00,1577666.00,1
2023-09-19,109.00,109.00,109.00,109.00,0.00,68366.00,7451894.00,0
2023-09-20,109.00,109.00,109.00,109.00,0.00,68366.00,7451894.00,0
2023-10-03,115.00,115.00,115.00,115.00,5.50,128381.00,14763815.00,1
2023-10-12,109.00,109.00,109.00,109.00,-5.22,9555.00,1041495.00,-1
2023-10-15,109.00,109.00,109.00,109.00,-5.22,9555.00,1041495.00,-1
2023-10-16,109.00,109.00,108.00,108.00,-0.92,578094.00,62476893.00,-1
2023-10-17,108.00,108.00,108.00,108.00,0.00,32000.00,3456000.00,0
2023-10-19,108.00,108.00,108.00,108.00,0.00,477200.00,51537600.00,0
2023-10-22,108.00,108.00,108.00,108.00,0.00,477200.00,51537600.00,0
2023-10-23,108.00,108.00,108.00,108.00,0.00,477200.00,51537600.00,0
2023-10-24,108.00,108.00,108.00,108.00,0.00,477200.00,51537600.00,0
2023-10-25,108.00,108.00,108.00,108.00,0.00,477200.00,51537600.00,0
2023-10-26,108.00,108.00,108.00,108.00,0.00,477200.00,51537600.00,0
2023-11-01,100.00,100.00,100.00,100.00,-7.41,28374.00,2837400.00,-1
2023-11-23,105.90,105.90,105.90,105.90,5.90,15069.00,1595807.10,1
2023-11-26,105.90,105.90,105.90,105.90,0.00,21370.00,2263083.00,0
2023-11-27,105.90,105.90,105.90,105.90,0.00,497369.00,52671377.10,0
2023-11-28,105.90,105.90,105.90,105.90,0.00,10935.00,1158016.50,0
2023-11-29,104.00,104.00,104.00,104.00,-1.79,736984.00,76646336.00,-1
2023-11-30,104.00,104.00,104.00,104.00,0.00,27000.00,2808000.00,0
2023-12-03,104.00,104.00,104.00,104.00,0.00,39409.00,4098536.00,0
2023-12-11,104.00,104.00,104.00,104.00,0.00,4267.00,443768.00,0
2023-12-19,104.00,104.00,102.00,102.00,-1.92,906413.00,92464126.00,-1
2024-03-21,102.00,102.00,102.00,102.00,0.00,294875.00,30077250.00,0
2024-03-24,102.00,102.00,102.00,102.00,0.00,294875.00,30077250.00,0
2024-03-31,102.00,102.00,102.00,102.00,0.00,25830.00,2634660.00,0
2024-04-03,102.00,102.00,102.00,102.00,0.00,241674.00,24650748.00,0
2024-04-16,102.00,102.00,102.00,102.00,0.00,1000.00,102000.00,0
2024-04-17,102.00,102.00,102.00,102.00,0.00,1000.00,102000.00,0
2024-04-18,102.00,102.00,102.00,102.00,0.00,1000.00,102000.00,0
2024-04-22,102.00,102.00,102.00,102.00,0.00,50792.00,5180784.00,0
