published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,9.54,9.85,9.54,9.70,0.10,32422.00,314651.84,1
2021-11-05,9.54,9.85,9.54,9.70,0.10,32422.00,314651.84,1
2021-11-08,9.58,9.85,9.58,9.80,1.03,24330.00,236770.40,1
2021-11-09,9.80,9.99,9.50,9.69,-1.12,30272.00,291404.68,-1
2021-11-10,9.80,9.99,9.50,9.69,-1.12,30272.00,291404.68,-1
2021-11-11,9.50,9.60,9.42,9.50,-1.96,22604.00,214513.00,-1
2021-11-12,9.50,9.60,9.42,9.50,-1.96,22604.00,214513.00,-1
2021-11-15,9.41,9.59,9.40,9.52,-0.83,22536.00,213103.74,-1
2021-11-16,9.33,9.71,9.33,9.67,1.58,22248.00,210813.58,1
2021-11-17,9.49,9.50,9.42,9.47,-2.07,32500.00,308348.20,-1
2021-11-18,9.50,9.50,9.32,9.50,0.32,11950.00,112735.50,1
2021-11-19,9.50,9.50,9.32,9.50,0.32,11950.00,112735.50,1
2021-11-22,9.34,9.61,9.34,9.51,0.85,24900.00,237602.00,1
2021-11-23,9.45,9.60,9.41,9.44,-0.74,15700.00,148714.00,-1
2021-11-24,9.29,9.50,9.29,9.40,-0.42,10805.00,101470.75,-1
2021-11-25,9.52,9.52,9.33,9.41,0.11,11780.00,111074.90,1
2021-11-26,9.52,9.52,9.33,9.41,0.11,11780.00,111074.90,1
2021-11-29,9.22,9.35,9.22,9.28,2.20,20500.00,190181.00,1
2021-11-30,9.12,9.30,9.12,9.22,-0.65,9625.00,88822.10,-1
2021-12-01,9.35,9.35,9.17,9.30,0.87,14000.00,129238.00,1
2021-12-02,9.13,9.25,9.13,9.20,-1.08,36999.00,340675.79,-1
2021-12-03,9.13,9.25,9.13,9.20,-1.08,36999.00,340675.79,-1
2021-12-06,9.12,9.16,8.95,9.16,0.66,25700.00,233505.00,1
2021-12-07,9.02,9.25,9.02,9.14,-0.22,11495.00,105203.20,-1
2021-12-08,9.32,10.05,9.00,9.10,-0.44,564200.00,5622745.00,-1
2021-12-09,8.98,9.09,8.98,9.02,-0.88,10910.00,98587.20,-1
2021-12-10,8.98,9.09,8.98,9.02,-0.88,10910.00,98587.20,-1
2021-12-13,8.75,8.90,8.75,8.78,-1.35,30399.00,267826.25,-1
2021-12-14,8.80,9.12,8.80,9.12,3.87,14130.00,126445.60,1
2021-12-15,9.00,9.18,8.96,8.96,-1.75,14420.00,130295.60,-1
2021-12-16,8.80,9.07,8.80,8.95,-0.11,21350.00,189220.00,-1
2021-12-17,8.80,9.07,8.80,8.95,-0.11,21350.00,189220.00,-1
2021-12-20,9.10,9.12,8.91,9.00,0.56,33160.00,296412.70,1
2021-12-21,8.84,9.36,8.82,9.23,2.56,74900.00,668409.00,1
2021-12-22,9.05,9.13,8.91,9.00,-2.49,30291.00,275253.10,-1
2021-12-23,8.90,9.18,8.90,8.96,-0.44,48380.00,441843.60,-1
2021-12-24,8.90,9.18,8.90,8.96,-0.44,48380.00,441843.60,-1
2021-12-27,8.99,9.26,8.99,9.26,0.98,6300.00,57196.00,1
2021-12-28,9.08,9.08,8.91,8.91,-3.78,1950.00,17585.00,-1
2021-12-29,9.07,9.17,8.85,9.10,2.13,6700.00,60331.80,1
2021-12-30,9.07,9.17,8.85,9.10,2.13,6700.00,60331.80,1
2021-12-31,9.07,9.17,8.85,9.10,2.13,6700.00,60331.80,1
2022-01-03,8.93,9.13,8.93,9.13,0.33,7600.00,68765.00,1
2022-01-04,8.97,9.31,8.97,9.30,1.86,40300.00,367390.50,1
2022-01-05,9.16,9.36,9.00,9.02,-3.01,64700.00,584700.00,-1
2022-01-06,8.90,9.46,8.90,9.03,0.11,9700.00,89076.00,1
2022-01-07,8.90,9.46,8.90,9.03,0.11,9700.00,89076.00,1
2022-01-10,9.30,9.47,9.11,9.17,-3.17,68545.00,633630.27,-1
2022-01-11,9.03,9.35,9.03,9.15,-0.22,22702.00,208618.80,-1
2022-01-12,9.30,9.48,9.18,9.18,0.33,32905.00,305273.60,1
2022-01-13,9.10,9.36,9.10,9.13,-0.54,62295.00,573083.80,-1
2022-01-14,9.10,9.36,9.10,9.13,-0.54,62295.00,573083.80,-1
2022-01-17,9.27,9.51,9.27,9.45,0.11,72605.00,686596.75,1
2022-01-18,9.33,9.44,9.32,9.36,-0.95,42800.00,401174.00,-1
2022-01-19,9.36,9.54,9.34,9.40,0.43,48550.00,458842.00,1
