published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-05,249.30,274.20,249.30,274.20,9.99,1610.00,440365.60,1
2023-07-06,279.60,301.60,279.60,301.60,9.99,24638.00,7428062.80,1
2023-07-09,307.60,331.70,307.60,331.70,9.98,16525.00,5478942.10,1
2023-07-10,338.30,364.80,332.50,364.80,9.98,32047.00,11550826.10,1
2023-07-11,372.00,401.20,365.00,401.20,9.98,10100.00,4016220.00,1
2023-07-12,401.00,415.00,361.10,361.10,-10.00,38727.00,14186587.30,-1
2023-07-13,360.00,363.00,333.20,357.00,-1.14,18418.00,6528373.10,-1
2023-07-16,357.00,364.00,350.10,353.20,-1.06,11229.00,3961376.50,-1
2023-07-17,346.20,358.00,346.20,354.00,0.23,8094.00,2864496.00,1
2023-07-18,361.00,361.00,351.00,355.90,0.54,6348.00,2246927.00,1
2023-07-19,351.00,360.00,345.10,356.00,0.03,9470.00,3380191.40,1
2023-07-20,349.00,373.00,348.90,370.00,3.93,8862.00,3216819.00,1
2023-07-23,377.40,394.00,364.00,393.00,6.22,19522.00,7562376.60,1
2023-07-24,394.00,410.00,387.00,387.10,-1.50,14517.00,5774490.20,-1
2023-07-25,387.10,396.70,382.50,392.00,1.27,7470.00,2930691.00,1
2023-07-26,388.10,414.00,385.10,399.10,1.81,28481.00,11525108.30,1
2023-07-27,393.00,407.00,393.00,399.00,-0.03,8170.00,3266926.00,-1
2023-07-30,393.00,399.00,375.00,379.00,-5.01,11435.00,4404189.00,-1
2023-07-31,379.00,389.60,370.00,370.00,-2.37,7720.00,2917521.50,-1
2023-08-01,364.20,377.40,363.00,369.00,-0.27,6236.00,2295201.40,-1
2023-08-02,370.00,376.00,356.00,368.90,-0.03,4650.00,1692880.00,-1
2023-08-03,366.00,387.00,363.00,364.00,-1.33,6635.00,2439168.70,-1
2023-08-06,370.00,370.00,348.60,360.00,-1.10,12912.00,4622432.20,-1
2023-08-07,352.80,369.00,352.80,363.80,1.06,6726.00,2435925.80,1
2023-08-09,350.60,361.90,342.10,360.00,0.64,4207.00,1468118.80,1
2023-08-10,353.00,360.00,346.20,355.00,-1.39,6112.00,2145246.80,-1
2023-08-13,348.00,357.00,348.00,357.00,0.56,8525.00,2985533.00,1
2023-08-14,351.00,355.00,345.20,348.00,-2.52,2112.00,740709.00,-1
2023-08-15,345.00,350.80,331.00,336.00,-3.45,5590.00,1902883.20,-1
2023-08-16,330.10,345.00,330.00,339.00,0.89,5525.00,1845754.50,1
2023-08-17,332.40,345.70,332.40,344.00,1.47,2902.00,980610.50,1
2023-08-20,337.20,340.00,326.00,327.10,-4.91,4500.00,1486155.00,-1
2023-08-21,322.00,328.00,316.20,322.00,-1.56,5200.00,1662882.60,-1
2023-08-22,315.60,326.40,310.20,325.00,0.93,3427.00,1075250.40,1
2023-08-23,318.50,336.00,312.20,336.00,3.38,2529.00,822921.80,1
2023-08-24,334.00,340.00,307.40,310.00,-7.74,11928.00,3779191.00,-1
2023-08-27,304.10,316.20,296.20,316.20,2.00,9355.00,2805571.40,1
2023-08-28,310.00,326.00,297.80,315.00,-0.38,2010.00,625616.00,-1
2023-08-29,308.70,321.00,303.50,310.00,-1.59,1425.00,437409.00,-1
2023-08-30,315.00,315.00,298.00,300.00,-3.23,3166.00,953793.00,-1
2023-08-31,315.00,315.00,298.00,300.00,-3.23,3166.00,953793.00,-1
2023-09-03,300.00,310.00,290.30,305.00,1.67,1730.00,514995.00,1
2023-09-04,299.00,308.00,295.00,308.00,0.98,4992.00,1500470.00,1
2023-09-05,301.90,306.00,296.10,306.00,-0.65,1680.00,506004.00,-1
2023-09-06,301.90,306.00,296.10,306.00,-0.65,1680.00,506004.00,-1
2023-09-07,299.90,301.00,294.10,298.20,-2.55,630.00,187622.00,-1
2023-09-10,298.20,312.00,295.10,305.00,2.28,1616.00,490720.60,1
2023-09-11,305.00,316.20,303.50,312.30,2.39,4324.00,1351644.00,1
2023-09-12,312.20,314.20,302.00,310.00,-0.74,1729.00,532789.00,-1
2023-09-13,303.80,324.00,303.80,324.00,4.52,4234.00,1336635.60,1
2023-09-14,303.80,324.00,303.80,324.00,4.52,4234.00,1336635.60,1
2023-09-17,317.60,319.00,306.00,312.00,-3.70,4946.00,1546154.80,-1
2023-09-18,305.90,318.40,305.90,317.90,1.89,1830.00,575603.00,1
2023-09-19,324.00,333.00,308.30,329.90,3.77,2855.00,923471.00,1
2023-09-20,324.00,333.00,308.30,329.90,3.77,2855.00,923471.00,1
2023-09-21,336.40,358.00,324.00,344.90,4.55,6367.00,2175155.30,1
2023-09-24,345.00,364.00,332.10,349.00,1.19,9444.00,3284312.80,1
2023-09-25,342.10,371.00,338.00,367.00,5.16,12733.00,4576246.60,1
2023-09-26,374.00,380.00,360.40,374.80,2.13,9825.00,3622675.40,1
2023-09-27,372.00,378.00,347.20,365.00,-2.61,5521.00,1985468.30,-1
2023-09-28,372.00,378.00,347.20,365.00,-2.61,5521.00,1985468.30,-1
2023-10-01,365.00,371.90,342.00,349.00,-4.38,8086.00,2821026.10,-1
2023-10-02,342.20,360.00,330.10,356.00,2.01,6471.00,2256515.60,1
2023-10-03,354.00,379.00,343.00,369.90,3.90,17451.00,6440763.90,1
2023-10-04,366.00,386.90,366.00,384.60,3.97,15114.00,5734567.90,1
2023-10-05,391.90,392.20,372.90,375.00,-2.50,4215.00,1591244.50,-1
