published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-20,950.00,950.00,950.00,950.00,0.00,10927.00,10380650.00,0
2024-04-02,1000.00,1000.00,1000.00,1000.00,0.00,7285.00,7285000.00,0
2024-04-15,980.10,980.10,980.10,980.10,-1.99,30.00,29403.00,-1
2024-04-16,962.50,981.00,952.60,971.00,-0.93,250.00,242455.00,-1
2024-04-17,962.50,981.00,952.60,971.00,-0.93,250.00,242455.00,-1
2024-04-18,968.10,985.00,968.10,985.00,1.44,100.00,97327.50,1
2024-04-22,991.10,991.10,991.10,991.10,0.62,75.00,74332.50,1
2024-04-23,991.10,991.10,991.10,991.10,0.62,75.00,74332.50,1
2024-04-24,991.00,991.00,991.00,991.00,-0.01,100.00,99100.00,-1
2024-04-25,992.00,992.10,992.00,992.10,0.11,225.00,223202.50,1
2024-04-28,992.30,992.30,992.30,992.30,0.02,100.00,99230.00,1
2024-04-29,1000.00,1000.00,1000.00,1000.00,0.78,325.00,325000.00,1
2024-04-30,986.00,986.00,986.00,986.00,-1.40,100.00,98600.00,-1
2024-05-01,986.00,986.00,986.00,986.00,-1.40,100.00,98600.00,-1
2024-05-02,986.20,986.30,986.20,986.30,0.03,100.00,98625.00,1
2024-05-06,985.00,985.00,985.00,985.00,-0.13,25.00,24625.00,-1
2024-05-07,985.50,990.00,985.50,990.00,0.51,480.00,473175.00,1
2024-05-08,985.10,990.00,985.10,986.10,-0.39,130.00,128350.00,-1
2024-05-13,971.10,1000.00,971.10,1000.00,1.41,210.00,208460.00,1
2024-05-14,1005.00,1005.00,1005.00,1005.00,0.50,50.00,50250.00,1
2024-05-19,1000.00,1000.00,1000.00,1000.00,-0.50,205.00,205000.00,-1
2024-05-20,980.00,980.00,980.00,980.00,-2.00,25.00,24500.00,-1
2024-05-22,990.00,999.00,990.00,999.00,1.94,76.00,75579.00,1
2024-05-23,990.00,999.00,990.00,999.00,1.94,76.00,75579.00,1
2024-05-30,979.10,979.10,979.10,979.10,-1.99,25.00,24477.50,-1
2024-06-02,973.60,993.00,973.60,993.00,1.42,550.00,545180.00,1
2024-06-03,980.00,980.00,980.00,980.00,-1.31,25.00,24500.00,-1
2024-06-16,982.00,982.00,982.00,982.00,0.20,40.00,39280.00,1
2024-06-17,982.00,982.00,982.00,982.00,0.20,40.00,39280.00,1
2024-06-18,983.00,983.00,983.00,983.00,0.10,100.00,98300.00,1
2024-06-20,985.00,985.00,985.00,985.00,0.20,25.00,24625.00,1
2024-06-23,995.00,1000.00,995.00,1000.00,1.52,150.00,149500.00,1
2024-06-27,1005.00,1005.00,1005.00,1005.00,0.50,65.00,65325.00,1
2024-07-02,995.00,995.00,995.00,995.00,-1.00,25.00,24875.00,-1
2024-07-03,999.00,999.00,999.00,999.00,0.40,25.00,24975.00,1
2024-07-08,982.00,982.00,982.00,982.00,-1.70,25.00,24550.00,-1
2024-07-15,965.10,965.10,965.10,965.10,-1.72,30.00,28952.50,-1
2024-07-16,965.00,965.00,965.00,965.00,-0.01,200.00,193000.00,-1
2024-07-18,950.00,950.00,946.50,946.50,-1.92,50.00,47395.00,-1
2024-07-21,946.50,965.00,946.50,965.00,1.95,125.00,120162.50,1
2024-07-22,960.00,960.00,960.00,960.00,-0.52,25.00,24000.00,-1
2024-07-23,961.00,961.00,960.00,960.00,0.00,75.00,72027.50,0
2024-07-25,960.00,979.00,960.00,979.00,1.98,45.00,43675.00,1
2024-07-28,980.00,985.00,965.00,965.00,-1.43,225.00,219125.00,-1
