published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,14501.00,14502.00,14500.00,14500.00,-1.89,78.00,1131058.00,-1
2021-11-05,14501.00,14502.00,14500.00,14500.00,-1.89,78.00,1131058.00,-1
2021-11-08,14500.00,14500.00,14500.00,14500.00,0.00,12.00,174000.00,0
2021-11-09,14421.00,14421.00,13929.00,14000.00,-3.45,100.00,1417750.00,-1
2021-11-10,14421.00,14421.00,13929.00,14000.00,-3.45,100.00,1417750.00,-1
2021-11-11,14000.00,14000.00,13260.00,13260.00,-5.29,220.00,2960860.00,-1
2021-11-12,14000.00,14000.00,13260.00,13260.00,-5.29,220.00,2960860.00,-1
2021-11-15,13437.00,13756.00,13430.00,13755.00,4.40,500.00,6781840.00,1
2021-11-16,13800.00,13800.00,13530.00,13755.00,0.00,735.00,10055555.50,0
2021-11-17,13900.00,13900.00,13540.00,13540.00,-1.56,230.00,3132495.00,-1
2021-11-18,13700.00,13700.00,13428.00,13428.00,-0.83,245.00,3317120.00,-1
2021-11-19,13700.00,13700.00,13428.00,13428.00,-0.83,245.00,3317120.00,-1
2021-11-22,14100.00,14150.00,13700.00,13700.00,-1.93,590.00,8126825.00,-1
2021-11-23,13973.00,14001.00,13600.00,13800.00,0.73,875.00,12029201.00,1
2021-11-24,13560.00,13605.00,13550.00,13600.00,-1.45,250.00,3390532.00,-1
2021-11-25,13701.00,13701.00,13328.00,13558.00,-0.31,940.00,12666040.00,-1
2021-11-26,13701.00,13701.00,13328.00,13558.00,-0.31,940.00,12666040.00,-1
2021-11-29,13056.00,13317.10,13050.80,13050.80,1.96,1150.00,15277848.00,1
2021-11-30,13300.00,13500.00,13300.00,13499.00,3.43,370.00,4931340.00,1
2021-12-01,13350.00,13400.00,13300.00,13300.00,-1.47,490.00,6533902.00,-1
2021-12-02,13557.00,13566.00,13200.00,13250.00,-0.38,565.00,7542155.00,-1
2021-12-03,13557.00,13566.00,13200.00,13250.00,-0.38,565.00,7542155.00,-1
2021-12-06,12751.00,13249.00,12510.00,12615.00,-2.97,610.00,7772700.00,-1
2021-12-07,12867.30,13386.00,12706.00,13000.00,3.05,604.00,7865715.00,1
2021-12-08,12742.50,12800.00,12605.00,12800.00,-1.54,395.00,5025478.00,-1
2021-12-09,12555.00,12579.00,12500.00,12500.00,-2.34,390.00,4885585.00,-1
2021-12-10,12555.00,12579.00,12500.00,12500.00,-2.34,390.00,4885585.00,-1
2021-12-13,12010.00,12240.00,11310.00,11321.00,-7.58,1034.00,12200184.00,-1
2021-12-14,11546.00,12012.00,11546.00,12012.00,6.10,90.00,1055345.00,1
2021-12-15,12252.20,12252.20,12007.20,12007.20,-0.04,30.00,362666.00,-1
2021-12-16,12000.00,12000.00,11760.00,11943.00,-0.53,145.00,1723007.00,-1
2021-12-17,12000.00,12000.00,11760.00,11943.00,-0.53,145.00,1723007.00,-1
2021-12-20,11900.00,11900.00,11710.00,11725.00,-1.83,70.00,824100.00,-1
2021-12-21,11950.50,12399.00,11950.50,12240.00,4.39,226.00,2750580.00,1
2021-12-22,12483.90,13100.00,12483.90,13000.00,6.21,395.00,5074195.00,1
2021-12-23,12740.00,12994.00,12600.00,12994.00,-0.05,130.00,1677270.00,-1
2021-12-24,12740.00,12994.00,12600.00,12994.00,-0.05,130.00,1677270.00,-1
2021-12-27,13525.10,14357.50,13525.10,13605.00,-1.41,1382.00,19234696.00,-1
2021-12-28,13333.00,13599.00,13300.00,13598.00,-0.05,723.00,9658998.00,-1
2021-12-29,13797.00,14950.00,13797.00,14504.00,6.66,1965.00,28632858.70,1
2021-12-30,13797.00,14950.00,13797.00,14504.00,6.66,1965.00,28632858.70,1
2021-12-31,13797.00,14950.00,13797.00,14504.00,6.66,1965.00,28632858.70,1
2022-01-03,15839.90,16160.00,15400.00,16160.00,2.02,2747.00,43615045.00,1
2022-01-04,16000.00,16811.00,15660.00,15660.00,-3.09,1211.00,19459072.60,-1
2022-01-05,15500.00,15910.00,15500.00,15893.00,1.49,395.00,6201370.00,1
2022-01-06,15960.00,17120.00,15900.00,16990.00,6.90,2254.00,37609854.00,1
2022-01-07,15960.00,17120.00,15900.00,16990.00,6.90,2254.00,37609854.00,1
2022-01-10,17150.00,17780.00,16807.00,17780.00,1.60,768.00,13145198.00,1
2022-01-11,17425.00,18100.00,17080.00,17939.00,0.89,1875.00,33646773.50,1
2022-01-12,17939.00,17939.00,17000.00,17000.00,-5.23,1954.00,33882271.00,-1
2022-01-13,17000.00,17499.00,17000.00,17499.00,2.94,760.00,13187230.00,1
2022-01-14,17000.00,17499.00,17000.00,17499.00,2.94,760.00,13187230.00,1
