published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-31,319.00,350.90,319.00,322.10,0.97,97653.00,32789341.30,1
2022-09-01,322.00,322.00,298.10,308.00,-4.38,31303.00,9534637.60,-1
2022-09-02,308.00,313.00,298.40,308.90,0.29,8910.00,2709357.00,1
2022-09-04,310.00,322.00,302.70,310.00,0.36,15867.00,4885445.30,1
2022-09-05,305.10,312.00,304.00,307.00,-0.97,13743.00,4227495.10,-1
2022-09-06,303.00,307.00,299.00,299.00,-2.61,12826.00,3870205.10,-1
2022-09-07,293.20,296.00,287.30,296.00,-1.00,9955.00,2901040.80,-1
2022-09-08,296.00,310.00,287.00,303.00,2.36,13203.00,3946593.50,1
2022-09-09,296.00,310.00,287.00,303.00,2.36,13203.00,3946593.50,1
2022-09-11,297.00,309.00,293.00,298.00,-1.65,8300.00,2469996.00,-1
2022-09-12,297.00,297.00,284.20,291.00,-2.35,11426.00,3330455.00,-1
2022-09-13,291.00,299.80,285.00,295.10,1.41,6500.00,1902710.00,1
2022-09-14,289.20,304.00,289.20,300.00,1.66,14405.00,4309966.00,1
2022-09-15,294.00,302.10,279.00,284.00,-5.33,16379.00,4690389.20,-1
2022-09-16,278.40,278.40,263.70,274.00,-3.52,10641.00,2860098.10,-1
2022-09-18,268.60,278.00,249.90,254.00,-7.30,22806.00,5872715.50,-1
2022-09-19,268.60,278.00,249.90,254.00,-7.30,22806.00,5872715.50,-1
2022-09-20,249.00,249.00,235.00,239.90,-5.55,8516.00,2033806.20,-1
2022-09-21,244.60,244.60,232.40,232.40,-3.13,5731.00,1359473.90,-1
2022-09-22,232.40,232.50,225.20,230.00,-1.03,8612.00,1960000.70,-1
2022-09-25,225.40,225.40,217.00,224.00,-2.61,6236.00,1366947.60,-1
2022-09-26,225.40,225.40,217.00,224.00,-2.61,6236.00,1366947.60,-1
2022-09-27,224.00,242.00,216.70,231.00,3.13,4490.00,1016435.00,1
2022-09-28,226.40,240.30,209.00,217.00,-6.06,5269.00,1162605.00,-1
2022-09-29,215.10,225.70,215.10,220.90,1.80,1820.00,401408.00,1
2022-10-02,215.10,225.70,215.10,220.90,1.80,1820.00,401408.00,1
2022-10-03,215.10,225.70,215.10,220.90,1.80,1820.00,401408.00,1
2022-10-04,215.10,225.70,215.10,220.90,1.80,1820.00,401408.00,1
2022-10-05,215.10,225.70,215.10,220.90,1.80,1820.00,401408.00,1
2022-10-06,215.10,225.70,215.10,220.90,1.80,1820.00,401408.00,1
2022-10-09,220.00,229.00,216.00,226.00,2.31,3347.00,749813.20,1
2022-10-10,221.50,225.00,216.00,216.10,-4.38,5525.00,1211820.50,-1
2022-10-11,216.00,224.00,212.10,224.00,3.66,2855.00,609047.50,1
2022-10-12,219.60,224.00,209.00,220.50,-1.56,3706.00,804073.10,-1
2022-10-13,216.10,224.00,212.80,215.20,-2.40,4501.00,974384.10,-1
2022-10-16,212.00,222.00,212.00,222.00,3.16,5782.00,1247468.60,1
2022-10-17,218.00,222.30,214.00,218.00,-1.80,3480.00,754879.00,-1
2022-10-18,218.00,222.30,214.00,218.00,-1.80,3480.00,754879.00,-1
2022-10-19,213.70,216.00,210.00,210.40,-3.49,5745.00,1219205.30,-1
2022-10-20,206.20,214.00,203.10,210.00,-0.19,4795.00,992030.00,-1
2022-10-23,206.00,211.10,204.00,210.00,0.00,2980.00,619044.00,0
2022-10-24,206.00,211.10,204.00,210.00,0.00,2980.00,619044.00,0
2022-10-25,206.00,211.10,204.00,210.00,0.00,2980.00,619044.00,0
2022-10-26,206.00,211.10,204.00,210.00,0.00,2980.00,619044.00,0
2022-10-27,206.00,211.10,204.00,210.00,0.00,2980.00,619044.00,0
2022-10-30,206.00,211.10,204.00,210.00,0.00,2980.00,619044.00,0
2022-10-31,206.00,211.10,206.00,207.00,-1.43,3090.00,640014.00,-1
2022-11-01,203.30,219.90,203.30,217.10,4.88,7940.00,1682310.00,1
2022-11-02,215.00,221.40,211.50,220.00,1.34,4035.00,877813.00,1
2022-11-03,220.00,227.60,215.00,219.00,-0.45,9907.00,2186959.40,-1
2022-11-06,223.00,227.00,211.00,227.00,3.65,6887.00,1517877.70,1
2022-11-07,222.50,234.00,219.00,223.00,-1.76,13987.00,3149150.00,-1
2022-11-08,220.00,223.90,218.00,223.00,0.00,5053.00,1111271.40,0
2022-11-09,220.00,220.00,211.80,213.00,-4.48,3187.00,686072.50,-1
2022-11-10,210.00,210.50,205.00,206.00,-3.29,5084.00,1052469.50,-1
2022-11-13,206.00,210.00,203.10,206.00,0.00,3170.00,650835.00,0
2022-11-14,202.00,214.90,202.00,214.90,4.32,4634.00,955833.00,1
2022-11-15,210.70,213.00,200.00,207.00,-3.68,12238.00,2518272.10,-1
2022-11-16,205.00,215.00,203.00,214.00,3.38,4122.00,862838.40,1
2022-11-17,210.00,218.00,210.00,217.00,1.40,7249.00,1554747.30,1
2022-11-20,210.00,218.00,210.00,217.00,1.40,7249.00,1554747.30,1
2022-11-21,210.00,218.00,210.00,217.00,1.40,7249.00,1554747.30,1
2022-11-22,213.00,221.00,205.00,214.00,-1.38,11898.00,2493710.30,-1
2022-11-23,209.80,210.00,206.00,209.90,-1.92,1615.00,335218.00,-1
2022-11-24,206.00,212.00,206.00,209.00,-0.43,2511.00,523622.30,-1
2022-11-27,205.10,215.20,205.10,213.00,1.91,11132.00,2341293.50,1
2022-11-28,212.00,217.20,207.30,213.00,0.00,5350.00,1125409.00,0
2022-11-29,208.80,211.90,208.00,211.80,-0.56,4270.00,895215.00,-1
2022-11-30,207.70,213.00,207.70,212.00,0.09,2200.00,462677.00,1
2022-12-01,216.20,217.20,208.30,211.00,-0.47,6485.00,1382876.00,-1
2022-12-04,210.00,217.00,208.10,214.00,1.42,11536.00,2463065.70,1
2022-12-05,210.00,217.90,208.00,211.80,-1.03,4759.00,1004003.00,-1
2022-12-06,210.00,212.90,207.70,212.90,0.52,5597.00,1173195.60,1
2022-12-07,217.10,217.10,206.20,208.00,-2.30,2910.00,603818.60,-1
2022-12-08,217.10,217.10,206.20,208.00,-2.30,2910.00,603818.60,-1
2022-12-11,204.10,208.00,201.20,205.00,-1.44,9442.00,1917874.40,-1
2022-12-12,201.20,210.00,201.20,207.00,0.98,4140.00,851535.00,1
2022-12-13,210.90,211.00,203.00,207.90,0.43,1130.00,232889.00,1
2022-12-14,207.90,208.00,204.00,205.00,-1.39,5389.00,1107641.70,-1
2022-12-15,202.00,205.00,202.00,205.00,0.00,4137.00,845035.90,0
2022-12-18,201.00,202.50,197.20,200.00,-2.44,6020.00,1202132.00,-1
2022-12-19,198.00,200.00,194.10,200.00,0.00,4260.00,840369.00,0
2022-12-20,196.00,204.00,196.00,200.80,0.40,5670.00,1136353.00,1
2022-12-21,196.90,200.30,193.20,198.00,-1.39,3170.00,624268.00,-1
2022-12-22,198.50,199.80,191.60,199.80,0.91,2490.00,487196.00,1
2022-12-25,198.50,199.80,191.60,199.80,0.91,2490.00,487196.00,1
2022-12-26,196.00,208.80,196.00,207.00,3.60,7353.00,1508760.00,1
2022-12-27,208.00,222.30,208.00,220.00,6.28,33037.00,7084442.10,1
2022-12-28,224.40,224.40,212.10,218.90,-0.50,11505.00,2483099.00,-1
2022-12-29,223.20,237.60,210.30,237.60,8.54,17926.00,3971564.60,1
2023-01-01,238.00,241.40,223.60,230.00,-3.20,38315.00,8818721.10,-1
2023-01-02,226.00,235.60,221.00,235.60,2.43,13861.00,3172755.20,1
2023-01-03,240.30,240.30,226.40,231.00,-1.95,14031.00,3238102.50,-1
2023-01-04,231.00,247.00,224.50,247.00,6.93,28218.00,6745244.90,1
2023-01-05,250.00,262.80,238.50,254.90,3.20,29875.00,7455276.20,1
2023-01-08,259.90,273.00,249.90,255.00,0.04,34356.00,8919176.70,1
2023-01-09,255.00,280.50,255.00,274.90,7.80,22850.00,6167913.60,1
2023-01-10,272.10,302.00,257.00,274.90,0.00,45311.00,12568468.30,0
2023-01-11,272.10,302.00,257.00,274.90,0.00,45311.00,12568468.30,0
2023-01-12,279.00,280.00,247.50,270.00,-1.78,32776.00,8647347.80,-1
2023-01-15,279.00,280.00,247.50,270.00,-1.78,32776.00,8647347.80,-1
2023-01-16,279.00,280.00,247.50,270.00,-1.78,32776.00,8647347.80,-1
2023-01-17,264.60,292.00,256.10,284.00,5.19,25994.00,7193153.00,1
2023-01-18,284.00,298.00,279.00,285.00,0.35,27024.00,7754520.50,1
2023-01-19,279.30,289.90,271.10,285.00,0.00,27546.00,7815134.60,0
2023-01-22,279.30,289.90,271.10,285.00,0.00,27546.00,7815134.60,0
2023-01-23,285.00,295.00,277.90,287.00,0.70,33360.00,9477420.30,1
2023-01-24,281.30,285.60,270.00,285.60,-0.49,32363.00,8954552.60,-1
2023-01-25,285.00,300.00,276.10,290.80,1.82,35292.00,10331733.50,1
2023-01-26,295.00,315.00,290.00,313.00,7.63,40662.00,12472086.60,1
2023-01-29,319.20,319.20,300.10,310.00,-0.96,37323.00,11545976.60,-1
2023-01-30,307.00,310.00,288.00,295.00,-4.84,47991.00,14462486.10,-1
2023-01-31,289.30,313.00,289.30,299.00,1.36,38093.00,11390637.30,1
2023-02-01,295.00,317.00,295.00,317.00,6.02,32470.00,10009745.90,1
2023-02-02,318.00,323.20,302.20,303.40,-4.29,26506.00,8270497.90,-1
2023-02-05,301.10,314.90,298.20,300.00,-1.12,20402.00,6200327.70,-1
2023-02-06,300.00,305.00,298.50,301.00,0.33,14081.00,4238584.50,1
2023-02-07,301.00,319.90,301.00,316.20,5.05,25863.00,8086950.80,1
2023-02-08,313.00,322.00,306.20,310.00,-1.96,19304.00,6060629.90,-1
2023-02-09,304.00,314.00,304.00,313.50,1.13,15393.00,4760585.20,1
2023-02-12,307.30,307.30,295.00,302.20,-3.60,31789.00,9596886.00,-1
2023-02-13,307.30,307.30,295.00,302.20,-3.60,31789.00,9596886.00,-1
2023-02-14,296.20,318.50,296.20,318.00,5.23,55503.00,17316156.50,1
2023-02-15,311.70,337.00,311.70,325.00,2.20,43382.00,14274405.90,1
2023-02-16,331.50,356.80,321.60,342.00,5.23,76794.00,25761186.80,1
2023-02-19,331.50,356.80,321.60,342.00,5.23,76794.00,25761186.80,1
2023-02-20,348.80,376.20,342.00,376.20,10.00,77662.00,28255521.70,1
2023-02-21,348.80,376.20,342.00,376.20,10.00,77662.00,28255521.70,1
2023-02-22,383.70,406.00,368.10,395.90,5.24,73373.00,28524125.10,1
2023-02-23,403.80,403.80,362.10,382.50,-3.38,26080.00,9751166.70,-1
2023-02-26,374.90,390.10,349.00,390.10,1.99,44049.00,15953686.90,1
2023-02-27,382.30,382.30,351.10,365.00,-6.43,58922.00,21158252.50,-1
2023-02-28,365.00,365.00,349.00,351.00,-3.84,21605.00,7675884.00,-1
2023-03-01,351.00,358.00,341.00,348.60,-0.68,28192.00,9834398.20,-1
2023-03-02,344.00,367.00,344.00,358.00,2.70,37675.00,13428608.30,1
2023-03-05,359.00,359.00,341.40,343.20,-4.13,22495.00,7783571.00,-1
2023-03-06,359.00,359.00,341.40,343.20,-4.13,22495.00,7783571.00,-1
2023-03-07,343.00,350.50,338.00,340.00,-0.93,7255.00,2507282.00,-1
2023-03-08,343.00,350.50,338.00,340.00,-0.93,7255.00,2507282.00,-1
2023-03-09,346.80,355.80,336.30,350.50,3.09,35269.00,12271811.70,1
2023-03-12,350.00,364.80,346.00,346.00,-1.28,20952.00,7365884.00,-1
2023-03-13,342.00,348.70,336.20,341.50,-1.30,14970.00,5083127.00,-1
2023-03-14,336.20,353.20,336.20,342.00,0.15,12033.00,4178566.70,1
2023-03-15,342.00,346.80,337.20,342.00,0.00,12958.00,4408674.40,0
2023-03-16,338.00,347.90,337.00,338.30,-1.08,10473.00,3562628.90,-1
2023-03-19,336.00,345.00,335.20,344.00,1.68,37457.00,12821021.10,1
2023-03-20,338.00,347.30,338.00,347.30,0.96,21798.00,7439845.00,1
2023-03-21,338.00,347.30,338.00,347.30,0.96,21798.00,7439845.00,1
2023-03-22,342.00,344.00,334.10,335.00,-3.54,19138.00,6465100.40,-1
2023-03-23,335.00,337.00,320.00,333.00,-0.60,28747.00,9349665.60,-1
2023-03-26,339.00,339.00,313.00,319.00,-4.20,15825.00,5025935.00,-1
2023-03-27,312.90,333.00,307.30,332.00,4.08,14232.00,4536913.60,1
2023-03-28,325.60,338.50,320.40,327.00,-1.51,17780.00,5844938.70,-1
2023-03-29,321.00,330.00,318.00,327.00,0.00,9306.00,3013061.50,0
