published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-15,694.50,694.50,637.80,637.80,0.00,9881.00,6332414.30,0
2022-08-16,625.10,658.90,580.00,628.00,-1.54,658249.00,408247888.90,-1
2022-08-17,615.50,659.00,615.50,644.00,2.55,286860.00,184311898.00,1
2022-08-18,650.00,650.00,629.00,632.00,-1.86,163459.00,104358855.60,-1
2022-08-19,650.00,650.00,629.00,632.00,-1.86,163459.00,104358855.60,-1
2022-08-21,632.00,632.00,611.00,612.00,-3.16,199022.00,122850968.20,-1
2022-08-22,612.00,618.90,603.00,609.80,-0.36,139622.00,85035696.00,-1
2022-08-23,600.00,625.00,600.00,615.00,0.85,124029.00,76597740.40,1
2022-08-24,610.00,630.00,610.00,616.00,0.16,91124.00,56467680.60,1
2022-08-25,616.00,622.00,596.00,600.00,-2.60,155520.00,94128992.00,-1
2022-08-26,594.00,599.70,587.00,591.00,-1.50,99335.00,58713287.80,-1
2022-08-28,588.00,598.00,575.10,575.10,-2.69,102012.00,59429134.50,-1
2022-08-29,563.60,584.00,563.60,578.80,0.64,61415.00,35460656.90,1
2022-08-30,567.30,589.50,567.30,575.00,-0.66,51489.00,29906610.60,-1
2022-08-31,572.00,580.00,559.00,579.00,0.70,113471.00,64024318.50,1
2022-09-01,570.00,581.00,566.20,579.00,0.00,72644.00,41663797.40,0
2022-09-02,570.00,581.00,562.00,564.00,-2.59,39637.00,22617714.50,-1
2022-09-04,574.90,597.90,568.00,588.00,4.26,152736.00,89100864.90,1
2022-09-05,591.10,614.00,591.10,607.00,3.23,164610.00,99694721.60,1
2022-09-06,619.00,619.00,581.00,584.00,-3.79,152914.00,91170147.00,-1
2022-09-07,595.60,595.60,573.00,573.50,-1.80,52789.00,30454236.50,-1
2022-09-08,581.90,585.40,570.00,576.00,0.44,76993.00,44481419.40,1
2022-09-09,581.90,585.40,570.00,576.00,0.44,76993.00,44481419.40,1
2022-09-11,587.50,587.50,563.00,566.00,-1.74,48347.00,27564129.00,-1
2022-09-12,577.30,577.30,558.00,560.40,-0.99,49812.00,27958957.50,-1
2022-09-13,567.00,577.00,560.00,564.00,0.64,99180.00,56310673.70,1
2022-09-14,575.20,580.00,566.00,577.00,2.30,64873.00,37217910.80,1
2022-09-15,568.00,576.80,544.00,550.00,-4.68,209781.00,116489654.60,-1
2022-09-16,539.00,540.10,522.20,537.00,-2.36,79516.00,42332677.00,-1
2022-09-18,531.00,541.00,515.00,516.00,-3.91,70375.00,36862359.90,-1
2022-09-19,531.00,541.00,515.00,516.00,-3.91,70375.00,36862359.90,-1
2022-09-20,515.00,515.00,505.00,506.00,-1.94,105117.00,53513749.60,-1
2022-09-21,506.00,518.00,505.00,509.10,0.61,47176.00,24148743.30,1
2022-09-22,509.00,514.00,499.80,501.00,-1.59,31428.00,15796398.40,-1
2022-09-25,500.00,500.00,484.00,484.00,-3.39,71307.00,34982000.70,-1
2022-09-26,500.00,500.00,484.00,484.00,-3.39,71307.00,34982000.70,-1
2022-09-27,493.00,498.00,481.70,486.00,0.41,58438.00,28531447.50,1
2022-09-28,490.00,495.70,478.00,480.90,-1.05,42076.00,20415319.60,-1
2022-09-29,476.00,495.00,476.00,479.90,-0.21,45853.00,22088175.20,-1
2022-10-02,476.00,495.00,476.00,479.90,-0.21,45853.00,22088175.20,-1
2022-10-03,476.00,495.00,476.00,479.90,-0.21,45853.00,22088175.20,-1
2022-10-04,476.00,495.00,476.00,479.90,-0.21,45853.00,22088175.20,-1
2022-10-05,476.00,495.00,476.00,479.90,-0.21,45853.00,22088175.20,-1
2022-10-06,476.00,495.00,476.00,479.90,-0.21,45853.00,22088175.20,-1
2022-10-09,489.00,489.00,480.00,487.00,1.48,23702.00,11505789.50,1
2022-10-10,490.00,496.00,471.50,474.70,-2.53,33002.00,15840354.80,-1
2022-10-11,474.00,474.00,460.50,462.00,-2.68,44518.00,20703872.40,-1
2022-10-12,471.00,471.00,457.00,460.00,-0.43,43841.00,20263986.30,-1
2022-10-13,461.00,470.00,461.00,464.00,0.87,61098.00,28366863.30,1
2022-10-16,473.20,473.20,457.10,458.00,-1.29,60380.00,27814171.70,-1
2022-10-17,455.00,466.90,455.00,459.80,0.39,49256.00,22699803.70,1
2022-10-18,455.00,466.90,455.00,459.80,0.39,49256.00,22699803.70,1
2022-10-19,456.00,458.00,445.20,446.00,-3.00,51769.00,23319857.30,-1
2022-10-20,446.00,452.30,439.50,443.00,-0.67,23599.00,10473131.50,-1
2022-10-23,451.80,451.80,437.00,443.50,0.11,32802.00,14499218.20,1
2022-10-24,451.80,451.80,437.00,443.50,0.11,32802.00,14499218.20,1
2022-10-25,451.80,451.80,437.00,443.50,0.11,32802.00,14499218.20,1
2022-10-26,451.80,451.80,437.00,443.50,0.11,32802.00,14499218.20,1
2022-10-27,451.80,451.80,437.00,443.50,0.11,32802.00,14499218.20,1
2022-10-30,451.80,451.80,437.00,443.50,0.11,32802.00,14499218.20,1
2022-10-31,450.00,450.00,432.20,437.00,-1.47,26273.00,11485045.30,-1
2022-11-01,445.70,468.00,427.40,458.80,4.99,110101.00,50039290.50,1
2022-11-02,467.90,470.00,453.00,458.50,-0.07,112547.00,51995858.70,-1
2022-11-03,450.00,465.00,445.00,445.10,-2.92,57287.00,25936002.00,-1
2022-11-06,453.90,465.90,445.00,464.00,4.25,67835.00,31143508.20,1
2022-11-07,468.90,499.00,464.00,479.00,3.23,198293.00,96004355.00,1
2022-11-08,481.00,492.00,481.00,483.00,0.84,90122.00,43782562.80,1
2022-11-09,492.60,492.60,468.00,470.00,-2.69,102291.00,48569281.20,-1
2022-11-10,470.00,475.00,454.00,458.00,-2.55,71691.00,33097594.20,-1
2022-11-13,455.40,465.00,450.10,454.10,-0.85,39744.00,18220876.60,-1
2022-11-14,453.00,470.00,453.00,469.00,3.28,48455.00,22536454.40,1
2022-11-15,478.00,479.00,456.00,458.00,-2.35,40267.00,18661143.90,-1
2022-11-16,450.10,488.00,450.10,482.90,5.44,127015.00,60338630.00,1
2022-11-17,486.00,522.20,486.00,512.00,6.03,282016.00,143915972.30,1
2022-11-20,486.00,522.20,486.00,512.00,6.03,282016.00,143915972.30,1
2022-11-21,486.00,522.20,486.00,512.00,6.03,282016.00,143915972.30,1
2022-11-22,515.00,526.00,511.20,513.00,0.20,167496.00,86763934.10,1
2022-12-05,523.20,538.00,494.80,497.90,-2.94,599465.00,308357044.60,-1
2022-12-06,495.00,505.00,484.30,498.00,0.02,101349.00,50207274.40,1
2022-12-07,507.90,507.90,493.20,494.10,-0.78,66788.00,33275505.90,-1
2022-12-08,507.90,507.90,493.20,494.10,-0.78,66788.00,33275505.90,-1
2022-12-11,500.00,500.00,483.00,484.20,-2.00,65916.00,32028038.70,-1
2022-12-12,490.00,491.90,480.20,490.00,1.20,71118.00,34667764.70,1
2022-12-13,490.00,493.00,480.20,490.00,0.00,49287.00,24082189.50,0
2022-12-14,490.10,490.10,479.00,479.30,-2.18,52314.00,25272409.20,-1
