published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-03-29,300.00,330.00,300.00,330.00,10.00,190.00,61210.00,1
2026-03-30,335.50,363.00,335.50,363.00,10.00,150.00,53481.00,1
2026-03-31,370.00,399.30,370.00,399.30,10.00,170.00,66864.00,1
2026-04-01,400.50,439.20,400.50,439.20,9.99,150.00,64371.00,1
2026-04-02,445.00,483.10,445.00,483.10,10.00,270.00,129055.00,1
2026-04-05,492.70,531.40,492.70,531.40,10.00,440.00,232864.00,1
2026-04-06,542.00,584.50,542.00,584.50,9.99,430.00,250291.00,1
2026-04-07,596.10,642.90,596.10,642.90,9.99,510.00,326730.00,1
2026-04-08,655.70,707.10,655.70,707.10,9.99,830.00,585632.00,1
2026-04-09,721.20,777.80,721.20,777.80,10.00,1200.00,931406.00,1
2026-04-10,793.30,855.50,793.30,855.50,9.99,1290.00,1102068.00,1
2026-04-13,872.60,941.00,872.60,941.00,9.99,1960.00,1841999.00,1
2026-04-14,872.60,941.00,872.60,941.00,9.99,1960.00,1841999.00,1
2026-04-15,959.80,1035.10,959.80,1035.10,10.00,2500.00,2585900.00,1
2026-04-16,1055.00,1138.60,1055.00,1138.60,10.00,3660.00,4165214.00,1
2026-04-17,1116.10,1252.40,1116.10,1252.40,9.99,12230.00,15312116.00,1
2026-04-20,1315.00,1440.20,1207.00,1390.00,10.99,140360.00,185875315.80,1
2026-04-21,1455.00,1592.30,1310.00,1400.00,0.72,62780.00,91310426.50,1
2026-04-22,1428.00,1430.00,1265.00,1352.00,-3.43,71250.00,93203007.00,-1
2026-04-23,1352.00,1431.70,1260.20,1279.90,-5.33,88355.00,115359676.30,-1
2026-04-24,1279.90,1340.00,1242.00,1321.10,3.22,46369.00,60479679.30,1
2026-04-27,1321.10,1354.00,1275.00,1276.00,-3.41,43856.00,57379996.60,-1
2026-04-28,1270.00,1290.00,1145.00,1145.00,-10.27,54167.00,66392969.10,-1
2026-04-29,1145.00,1202.20,1100.00,1131.00,-1.22,51593.00,59629831.00,-1
2026-04-30,1131.00,1175.00,1080.10,1150.00,1.68,34662.00,38873294.90,1
2026-05-01,1131.00,1175.00,1080.10,1150.00,1.68,34662.00,38873294.90,1
2026-05-04,1150.00,1180.00,1118.00,1131.00,-1.65,35656.00,40706168.00,-1
2026-05-05,1140.00,1160.00,1110.60,1145.00,1.24,44625.00,50862101.60,1
2026-05-06,1150.00,1214.60,1125.00,1175.00,2.62,31627.00,36918138.30,1
2026-05-07,1175.00,1175.00,1130.10,1160.00,-1.28,20584.00,23714134.70,-1
2026-05-08,1118.00,1199.90,1118.00,1170.00,0.86,34019.00,40169731.40,1
2026-05-11,1228.50,1228.50,1168.00,1168.00,-0.17,17610.00,20800160.50,-1
2026-05-12,1198.00,1198.00,1105.00,1108.00,-5.14,22120.00,24949871.40,-1
2026-05-13,1095.00,1095.00,1045.00,1054.00,-4.87,24683.00,26545867.60,-1
2026-05-14,1070.00,1070.00,975.00,1004.00,-4.74,24421.00,24551774.20,-1
2026-05-15,1004.00,1030.00,985.00,997.00,-0.70,15358.00,15382192.00,-1
2026-05-18,978.00,1026.90,978.00,1000.00,0.30,12055.00,12112652.80,1
2026-05-19,1000.00,1030.00,985.10,986.50,-1.35,11571.00,11503999.40,-1
2026-05-20,975.00,1017.00,975.00,1010.00,2.38,10983.00,10984990.00,1
2026-05-21,1000.10,1025.00,979.40,999.00,-1.09,20255.00,20228265.80,-1
2026-05-22,985.00,1027.00,975.00,1026.90,2.79,12636.00,12777060.40,1
2026-05-25,1026.00,1098.00,1026.00,1080.20,5.19,28764.00,31092342.80,1
2026-05-27,1027.10,1085.00,1027.10,1075.00,-0.46,12266.00,13113942.00,-1
2026-05-28,1027.10,1085.00,1027.10,1075.00,-0.46,12266.00,13113942.00,-1
2026-05-29,1027.10,1085.00,1027.10,1075.00,-0.46,12266.00,13113942.00,-1
2026-06-01,1075.00,1099.00,1007.00,1025.00,-4.65,18907.00,19594313.00,-1
2026-06-02,1020.00,1029.00,974.10,1010.00,-1.46,21448.00,21586353.30,-1
2026-06-03,1000.00,1015.00,980.00,990.00,-1.98,18986.00,18925811.90,-1
2026-06-04,982.20,1003.60,951.60,965.00,-2.53,15794.00,15475069.50,-1
2026-06-05,965.00,970.00,919.60,928.00,-3.83,25466.00,23836033.80,-1
2026-06-08,970.00,970.00,890.30,899.00,-3.13,14681.00,13217728.60,-1
2026-06-09,882.30,910.00,875.10,910.00,1.22,16963.00,15110058.40,1
2026-06-10,910.00,955.00,910.00,947.90,4.16,10719.00,10052781.40,1
2026-06-11,995.20,995.20,900.30,925.00,-2.42,9729.00,9019405.70,-1
2026-06-12,901.00,922.00,900.10,922.00,-0.32,6556.00,5965006.50,-1
