published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-30,322.00,322.00,322.00,322.00,0.00,563.00,181286.00,0
2021-12-09,316.00,316.00,316.00,316.00,-1.86,17864.00,5645024.00,-1
2021-12-10,316.00,316.00,316.00,316.00,-1.86,17864.00,5645024.00,-1
2022-01-03,316.00,316.00,316.00,316.00,0.00,12300.00,3886800.00,0
2022-05-12,177.00,177.00,177.00,177.00,0.00,17961.00,3179097.00,0
2022-05-13,177.00,177.00,177.00,177.00,0.00,17961.00,3179097.00,0
2022-05-16,177.00,177.00,177.00,177.00,0.00,17961.00,3179097.00,0
2022-10-13,164.00,164.00,164.00,164.00,0.00,2695.00,441980.00,0
2022-11-16,164.00,164.00,164.00,164.00,0.00,8162.00,1338568.00,0
2023-01-02,164.00,164.00,164.00,164.00,0.00,10000.00,1640000.00,0
2023-01-09,164.00,164.00,164.00,164.00,0.00,20655.00,3387420.00,0
2023-03-09,164.00,164.00,164.00,164.00,0.00,14244.00,2336016.00,0
2023-03-27,164.00,164.00,164.00,164.00,0.00,12387.00,2031468.00,0
2023-07-13,215.00,215.00,215.00,215.00,0.00,20656.00,4441040.00,0
2024-03-18,204.00,204.00,204.00,204.00,-5.12,7455.00,1520820.00,-1
2024-04-15,204.00,204.00,204.00,204.00,0.00,22633.00,4617132.00,0
2025-02-16,303.00,303.00,303.00,303.00,0.00,15170.00,4596510.00,0
2025-07-16,274.00,274.00,274.00,274.00,1.11,30342.00,8313708.00,1
2025-08-26,274.00,274.00,274.00,274.00,0.00,10998.00,3013452.00,0
2026-02-25,274.00,274.00,274.00,274.00,0.00,3000.00,822000.00,0
2026-04-08,268.60,268.60,268.60,268.60,-1.97,11000.00,2954600.00,-1
