published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1717.00,1751.30,1635.00,1648.00,-2.13,32292.00,53544092.60,-1
2021-11-05,1717.00,1751.30,1635.00,1648.00,-2.13,32292.00,53544092.60,-1
2021-11-08,1650.10,1660.00,1585.00,1600.00,-2.91,34036.00,54857626.60,-1
2021-11-09,1632.00,1632.00,1515.00,1515.00,-5.31,45243.00,69829184.40,-1
2021-11-10,1632.00,1632.00,1515.00,1515.00,-5.31,45243.00,69829184.40,-1
2021-11-11,1486.00,1525.00,1460.00,1476.00,-2.57,26762.00,39867676.30,-1
2021-11-12,1486.00,1525.00,1460.00,1476.00,-2.57,26762.00,39867676.30,-1
2021-11-15,1505.00,1520.00,1461.00,1489.80,0.66,28688.00,42496498.30,1
2021-11-16,1499.00,1509.00,1471.20,1490.00,0.01,38138.00,56955582.20,1
2021-11-17,1515.00,1565.00,1500.00,1516.00,1.74,27604.00,42336977.70,1
2021-11-18,1516.00,1545.00,1500.00,1517.00,0.07,18214.00,27641971.00,1
2021-11-19,1516.00,1545.00,1500.00,1517.00,0.07,18214.00,27641971.00,1
2021-11-22,1535.00,1535.00,1485.00,1496.00,-0.73,18093.00,27153124.60,-1
2021-11-23,1490.00,1509.00,1465.00,1468.20,-1.86,14914.00,22062308.60,-1
2021-11-24,1453.00,1486.00,1453.00,1463.00,-0.35,10701.00,15661487.60,-1
2021-11-25,1492.20,1492.20,1445.00,1449.00,-0.96,14001.00,20398026.40,-1
2021-11-26,1492.20,1492.20,1445.00,1449.00,-0.96,14001.00,20398026.40,-1
2021-11-29,1413.00,1440.00,1390.00,1399.00,-1.05,18368.00,25779042.80,-1
2021-11-30,1423.90,1447.90,1390.00,1403.00,0.29,10677.00,15025679.40,1
2021-12-01,1430.00,1458.00,1408.00,1424.00,1.50,17516.00,25090863.60,1
2021-12-02,1440.00,1451.00,1388.20,1398.00,-1.83,18037.00,25354206.90,-1
2021-12-03,1440.00,1451.00,1388.20,1398.00,-1.83,18037.00,25354206.90,-1
2021-12-06,1335.00,1380.00,1315.00,1378.00,1.77,12862.00,17222471.60,1
2021-12-07,1390.00,1398.90,1340.00,1342.00,-2.61,5427.00,7404794.30,-1
2021-12-08,1330.00,1356.00,1291.00,1299.00,-3.20,10032.00,13122087.40,-1
2021-12-09,1285.00,1300.00,1275.00,1280.00,-1.46,11817.00,15151148.20,-1
2021-12-10,1285.00,1300.00,1275.00,1280.00,-1.46,11817.00,15151148.20,-1
2021-12-13,1189.00,1208.00,1160.00,1166.00,-3.83,23799.00,28020321.20,-1
2021-12-14,1189.00,1224.00,1189.00,1224.00,4.97,5315.00,6417513.30,1
2021-12-15,1248.00,1272.00,1200.00,1203.00,-1.72,17094.00,20927470.80,-1
2021-12-16,1203.00,1203.00,1180.00,1190.00,-1.08,4881.00,5816001.00,-1
2021-12-17,1203.00,1203.00,1180.00,1190.00,-1.08,4881.00,5816001.00,-1
2021-12-20,1190.00,1224.00,1166.20,1204.00,1.18,10365.00,12267199.00,1
2021-12-21,1227.00,1238.90,1216.00,1228.00,1.99,5430.00,6664734.50,1
2021-12-22,1252.00,1300.50,1240.00,1300.50,5.90,21672.00,27696682.00,1
2021-12-23,1325.00,1331.00,1295.00,1310.00,0.73,17292.00,22723654.50,1
2021-12-24,1325.00,1331.00,1295.00,1310.00,0.73,17292.00,22723654.50,1
2021-12-27,1380.00,1390.00,1304.00,1334.00,-2.98,21492.00,28836405.30,-1
2021-12-28,1334.00,1350.00,1300.00,1300.00,-2.55,12004.00,15856102.50,-1
2021-12-29,1320.00,1373.00,1305.00,1372.00,5.54,21810.00,29080697.90,1
2021-12-30,1320.00,1373.00,1305.00,1372.00,5.54,21810.00,29080697.90,1
2021-12-31,1320.00,1373.00,1305.00,1372.00,5.54,21810.00,29080697.90,1
