published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-30,10.00,10.00,9.85,9.85,0.00,200.00,1985.00,0
2023-07-31,9.66,9.66,9.66,9.66,-1.93,200.00,1932.00,-1
2023-08-02,9.85,9.85,9.85,9.85,1.97,100.00,985.00,1
2023-08-03,10.04,10.04,10.04,10.04,1.93,100.00,1004.00,1
2023-08-06,10.24,10.24,10.24,10.24,1.99,100.00,1024.00,1
2023-08-07,10.44,10.44,10.44,10.44,1.95,100.00,1044.00,1
2023-08-09,10.64,10.64,10.64,10.64,1.92,100.00,1064.00,1
2023-08-13,10.43,10.43,10.43,10.43,-1.97,100.00,1043.00,-1
2023-08-24,10.23,10.23,10.23,10.23,-1.92,100.00,1023.00,-1
2023-09-03,10.03,10.03,10.03,10.03,-1.96,100.00,1003.00,-1
2023-09-04,9.83,9.83,9.45,9.45,-5.78,300.00,2892.00,-1
2023-09-05,9.27,9.27,8.50,8.50,-10.05,1000.00,8708.00,-1
2023-09-06,9.27,9.27,8.50,8.50,-10.05,1000.00,8708.00,-1
2023-09-07,8.35,8.35,7.75,7.80,-8.24,2225.00,17563.25,-1
2023-09-10,7.80,7.95,7.53,7.95,1.92,6025.00,46785.50,1
2023-09-11,7.80,7.80,7.67,7.70,-3.14,600.00,4657.00,-1
2023-09-12,7.57,7.70,7.56,7.61,-1.17,1900.00,14478.00,-1
2023-09-13,7.46,7.61,7.33,7.61,0.00,750.00,5596.75,0
2023-09-14,7.46,7.61,7.33,7.61,0.00,750.00,5596.75,0
2023-09-17,7.49,7.61,7.49,7.56,-0.66,1000.00,7560.00,-1
2023-09-18,7.71,8.16,7.71,8.16,7.94,825.00,6504.50,1
2023-09-19,8.00,8.00,7.54,7.70,-5.64,700.00,5386.00,-1
2023-09-20,8.00,8.00,7.54,7.70,-5.64,700.00,5386.00,-1
2023-09-21,7.58,7.70,7.58,7.66,-0.52,1100.00,8372.00,-1
2023-09-24,7.58,7.70,7.58,7.70,0.52,1100.00,8380.00,1
2023-09-25,7.58,7.59,7.58,7.59,-1.43,400.00,3035.00,-1
2023-09-26,7.59,7.75,7.57,7.60,0.13,1200.00,9131.00,1
2023-09-27,7.58,7.61,7.58,7.61,0.13,1200.00,9102.00,1
2023-09-28,7.58,7.61,7.58,7.61,0.13,1200.00,9102.00,1
2023-10-01,7.57,7.61,7.57,7.61,0.00,1700.00,12929.00,0
2023-10-02,7.57,7.75,7.57,7.63,0.26,1100.00,8427.00,1
2023-10-03,7.59,7.60,7.59,7.60,-0.39,1125.00,8545.75,-1
2023-10-04,7.58,7.62,7.58,7.62,0.26,200.00,1520.00,1
2023-10-05,7.50,7.75,7.50,7.75,1.71,825.00,6324.50,1
2023-10-08,7.61,7.63,7.61,7.63,-1.55,600.00,4576.00,-1
2023-10-09,7.70,7.85,7.70,7.85,2.88,1700.00,13229.00,1
2023-10-10,7.70,7.70,7.56,7.61,-3.06,400.00,3043.00,-1
2023-10-11,7.66,7.71,7.66,7.71,1.31,680.00,5234.00,1
2023-10-12,7.70,7.85,7.70,7.85,1.82,1000.00,7780.00,1
2023-10-15,7.70,7.85,7.70,7.85,1.82,1000.00,7780.00,1
