published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-17,486.60,535.20,486.60,495.00,1.73,487186.00,245293976.20,1
2023-09-18,500.00,500.00,485.20,489.00,-1.21,192130.00,93880860.00,-1
2023-09-19,489.00,489.00,478.40,485.50,-0.72,220056.00,106442691.70,-1
2023-09-20,489.00,489.00,478.40,485.50,-0.72,220056.00,106442691.70,-1
2023-09-21,487.00,496.00,483.20,484.20,-0.27,286708.00,139658690.50,-1
2023-09-24,479.00,491.00,462.20,463.10,-4.36,159725.00,75416964.50,-1
2023-09-25,460.00,470.00,456.10,460.00,-0.67,142761.00,65861503.70,-1
2023-09-26,460.00,480.10,460.00,477.70,3.85,151068.00,71348296.50,1
2023-09-27,475.00,486.50,471.00,479.00,0.27,122887.00,58436676.90,1
2023-09-28,475.00,486.50,471.00,479.00,0.27,122887.00,58436676.90,1
2023-10-01,475.00,475.00,461.00,462.50,-3.44,116239.00,54062577.90,-1
2023-10-02,456.00,466.60,456.00,466.00,0.76,102400.00,47253637.00,1
2023-10-03,460.00,467.00,460.00,460.30,-1.22,80679.00,37262140.20,-1
2023-10-04,457.00,469.90,455.00,463.00,0.59,92751.00,43091944.10,1
2023-10-05,458.10,465.00,458.10,458.20,-1.04,64915.00,29885210.00,-1
2023-10-08,450.00,457.00,442.10,445.00,-2.88,124649.00,55760572.50,-1
2023-10-09,440.00,449.00,437.40,441.80,-0.72,76160.00,33632504.50,-1
2023-10-10,436.00,441.80,433.30,433.60,-1.86,57185.00,25000799.50,-1
2023-10-11,430.00,445.00,429.30,433.50,-0.02,64213.00,27888363.00,-1
2023-10-12,430.10,435.00,424.00,424.60,-2.05,64409.00,27613460.80,-1
2023-10-15,430.10,435.00,424.00,424.60,-2.05,64409.00,27613460.80,-1
2023-10-16,416.20,420.50,402.00,408.10,-3.89,87805.00,35829584.90,-1
2023-10-17,400.00,422.90,400.00,411.50,0.83,52689.00,21688520.00,1
2023-10-18,411.00,421.00,404.20,417.00,1.34,41100.00,17113924.00,1
2023-10-19,411.00,421.00,411.00,415.80,-0.29,28922.00,12054440.30,-1
2023-10-22,411.00,421.00,411.00,415.80,-0.29,28922.00,12054440.30,-1
2023-10-23,411.00,421.00,411.00,415.80,-0.29,28922.00,12054440.30,-1
2023-10-24,411.00,421.00,411.00,415.80,-0.29,28922.00,12054440.30,-1
2023-10-25,411.00,421.00,411.00,415.80,-0.29,28922.00,12054440.30,-1
2023-10-26,411.00,421.00,411.00,415.80,-0.29,28922.00,12054440.30,-1
2023-10-29,409.00,410.00,403.20,405.50,-2.48,34681.00,14032765.20,-1
2023-10-30,405.00,406.00,400.00,406.00,0.12,28848.00,11615704.60,1
2023-10-31,406.00,406.00,400.20,402.40,-0.89,25757.00,10373242.00,-1
2023-11-01,400.00,407.00,398.20,400.00,-0.60,32091.00,12884200.00,-1
2023-11-02,395.10,408.00,395.10,400.00,0.00,32962.00,13161711.40,0
2023-11-05,392.00,401.00,390.00,393.00,-1.75,25038.00,9805480.80,-1
2023-11-06,390.00,400.00,390.00,397.60,1.17,23181.00,9181625.00,1
2023-11-07,397.00,418.00,396.00,414.00,4.12,64744.00,26513995.70,1
2023-11-08,420.00,426.00,407.00,417.00,0.72,56829.00,23840277.50,1
2023-11-09,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-12,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-13,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-14,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-15,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-16,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-19,409.00,425.30,409.00,415.00,-0.48,37056.00,15481664.30,-1
2023-11-20,410.00,428.00,410.00,420.00,1.20,54125.00,22847977.10,1
2023-11-21,415.00,420.00,411.00,411.90,-1.93,43777.00,18197144.30,-1
2023-11-22,405.10,426.30,405.10,420.00,1.97,55426.00,23157685.60,1
2023-11-23,412.10,453.90,412.10,440.00,4.76,119970.00,52127714.30,1
2023-11-26,436.00,470.10,436.00,470.00,6.82,165042.00,75694512.30,1
2023-11-27,465.00,479.00,455.10,466.10,-0.83,162875.00,76065789.00,-1
2023-11-28,465.00,475.30,461.10,469.90,0.82,96760.00,45440819.00,1
2023-11-29,466.00,476.00,456.00,457.00,-2.75,68544.00,31995488.30,-1
2023-11-30,447.90,473.00,447.90,460.00,0.66,71157.00,32639394.90,1
2023-12-03,452.20,462.00,452.20,457.00,-0.65,58396.00,26629402.70,-1
2023-12-04,452.10,472.00,452.10,467.00,2.19,92194.00,42979916.50,1
2023-12-05,475.00,482.00,470.00,474.50,1.61,108588.00,51635317.70,1
2023-12-06,474.50,491.00,472.00,488.10,2.87,151676.00,73449017.50,1
2023-12-07,480.10,491.00,475.20,486.30,-0.37,163473.00,79121523.90,-1
2023-12-10,490.00,515.00,490.00,514.00,5.70,39065.00,19842653.60,1
2023-12-11,520.00,520.00,494.00,519.60,1.09,325267.00,165766860.70,1
2023-12-12,519.50,547.00,517.00,542.00,4.31,267573.00,143578143.70,1
2023-12-13,550.00,553.00,536.00,543.00,0.18,202768.00,110503832.10,1
2023-12-14,553.80,553.80,530.00,547.00,0.74,213185.00,114988791.70,1
2023-12-17,536.10,557.90,527.10,552.00,0.91,297715.00,161539726.30,1
2023-12-18,545.00,566.90,545.00,555.00,0.54,222876.00,124801851.10,1
