published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,886.00,924.00,885.00,899.80,1.10,7062.00,6296323.50,1
2021-11-05,886.00,924.00,885.00,899.80,1.10,7062.00,6296323.50,1
2021-11-08,917.70,917.70,886.00,900.00,0.02,6226.00,5587656.80,1
2021-11-09,918.00,918.00,850.00,880.00,-2.22,12623.00,10972636.10,-1
2021-11-10,918.00,918.00,850.00,880.00,-2.22,12623.00,10972636.10,-1
2021-11-11,879.00,879.00,850.00,860.00,-2.27,4852.00,4153997.10,-1
2021-11-12,879.00,879.00,850.00,860.00,-2.27,4852.00,4153997.10,-1
2021-11-15,885.00,885.00,841.00,872.00,0.46,20777.00,17859873.70,1
2021-11-16,808.50,819.00,798.70,814.90,2.80,13492.00,10952839.70,1
2021-11-17,831.10,831.10,806.00,820.00,0.63,8758.00,7167272.20,1
2021-11-18,836.40,836.40,800.00,805.00,-1.83,6545.00,5277669.50,-1
2021-11-19,836.40,836.40,800.00,805.00,-1.83,6545.00,5277669.50,-1
2021-11-22,801.00,815.00,791.00,796.00,-0.50,2950.00,2353637.00,-1
2021-11-23,799.90,799.90,780.00,786.00,-1.26,3222.00,2530900.00,-1
2021-11-24,801.70,801.70,763.00,773.00,-1.65,3955.00,3060211.20,-1
2021-11-25,788.40,788.40,765.00,775.00,0.26,6506.00,5001776.40,1
2021-11-26,788.40,788.40,765.00,775.00,0.26,6506.00,5001776.40,1
2021-11-29,750.00,755.50,740.00,753.00,-0.13,6122.00,4569971.10,-1
2021-11-30,768.00,768.00,731.00,759.00,0.80,3471.00,2572706.50,1
2021-12-01,774.10,789.40,744.80,759.00,0.00,4233.00,3191709.50,0
2021-12-02,771.00,771.00,728.00,737.00,-2.90,5299.00,3912079.00,-1
2021-12-03,771.00,771.00,728.00,737.00,-2.90,5299.00,3912079.00,-1
2021-12-06,708.90,723.00,658.00,720.00,3.60,6592.00,4528078.70,1
2021-12-07,734.40,749.00,695.00,695.00,-3.47,4842.00,3475128.60,-1
2021-12-08,705.00,705.00,654.00,682.00,-1.87,4454.00,3005313.50,-1
2021-12-09,690.00,690.00,660.00,669.00,-1.91,4699.00,3129978.10,-1
2021-12-10,690.00,690.00,660.00,669.00,-1.91,4699.00,3129978.10,-1
2021-12-13,612.50,612.50,584.00,604.00,-3.36,9930.00,5947015.70,-1
2021-12-14,616.00,647.00,604.00,647.00,7.12,4105.00,2577576.00,1
2021-12-15,659.90,685.00,646.00,646.00,-0.15,8347.00,5607614.00,-1
2021-12-16,650.00,650.00,625.00,625.00,-3.25,2214.00,1389044.00,-1
2021-12-17,650.00,650.00,625.00,625.00,-3.25,2214.00,1389044.00,-1
2021-12-20,613.50,649.70,606.00,637.00,1.92,4308.00,2658634.00,1
2021-12-21,635.00,647.00,623.00,647.00,1.57,4214.00,2666578.00,1
2021-12-22,659.90,711.70,659.90,710.00,9.74,7427.00,5004978.00,1
2021-12-23,724.20,724.20,695.00,696.00,-1.97,8391.00,5879311.40,-1
2021-12-24,724.20,724.20,695.00,696.00,-1.97,8391.00,5879311.40,-1
2021-12-27,750.00,765.00,697.00,700.00,-4.89,9036.00,6430146.00,-1
2021-12-28,714.00,714.00,680.00,694.00,-0.86,3459.00,2393538.70,-1
2021-12-29,695.00,707.00,687.00,689.00,-0.72,4225.00,2923338.80,-1
2021-12-30,695.00,707.00,687.00,689.00,-0.72,4225.00,2923338.80,-1
2021-12-31,695.00,707.00,687.00,689.00,-0.72,4225.00,2923338.80,-1
2022-01-03,744.70,780.30,729.90,770.00,5.47,21344.00,16337992.00,1
2022-01-04,785.40,847.00,775.00,829.00,7.66,33341.00,27123037.60,1
2022-01-05,845.50,845.50,788.00,800.00,-3.50,16914.00,13548142.50,-1
2022-01-06,816.00,816.00,780.00,810.00,1.25,11270.00,8965488.40,1
2022-01-07,816.00,816.00,780.00,810.00,1.25,11270.00,8965488.40,1
2022-01-10,835.00,835.00,797.00,801.00,-2.20,14578.00,11736013.50,-1
2022-01-11,817.00,856.00,800.00,853.00,6.49,48892.00,40891410.90,1
2022-01-12,870.00,870.00,820.00,822.00,-3.63,22122.00,18803784.70,-1
2022-01-13,838.40,846.60,815.00,845.00,2.80,16116.00,13498411.70,1
2022-01-14,838.40,846.60,815.00,845.00,2.80,16116.00,13498411.70,1
2022-01-17,872.10,872.10,835.00,855.00,0.00,18589.00,15751472.90,0
2022-01-18,845.10,855.00,826.00,830.00,-2.92,12325.00,10342535.00,-1
2022-01-19,846.60,846.60,807.00,807.00,-2.77,18482.00,15045960.20,-1
2022-01-20,823.10,826.00,795.00,826.00,2.35,19046.00,15390636.50,1
2022-01-21,823.10,826.00,795.00,826.00,2.35,19046.00,15390636.50,1
2022-01-24,814.00,814.00,778.10,796.00,-2.45,20824.00,16379974.80,-1
2022-01-25,783.00,801.00,778.00,780.00,-2.01,10577.00,8331320.00,-1
