published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-02-16,300.00,330.00,300.00,330.00,10.00,130.00,40150.00,1
2026-02-17,328.00,361.80,328.00,361.80,9.64,60.00,20681.00,1
2026-02-18,328.00,361.80,328.00,361.80,9.64,60.00,20681.00,1
2026-02-19,328.00,361.80,328.00,361.80,9.64,60.00,20681.00,1
2026-02-22,358.20,395.30,358.20,395.30,9.26,60.00,22590.00,1
2026-02-23,391.50,432.00,391.50,432.00,9.28,60.00,24689.00,1
2026-02-24,427.90,472.20,427.90,472.20,9.31,60.00,26986.00,1
2026-02-25,467.50,519.40,467.50,519.40,10.00,60.00,29717.00,1
2026-02-26,514.30,567.50,514.30,567.50,9.26,60.00,32431.00,1
2026-03-01,514.30,567.50,514.30,567.50,9.26,60.00,32431.00,1
2026-03-02,561.90,624.20,561.90,624.20,9.99,110.00,66647.00,1
2026-03-03,621.10,685.50,621.10,685.50,9.82,60.00,39173.00,1
2026-03-04,621.10,685.50,621.10,685.50,9.82,60.00,39173.00,1
2026-03-05,621.10,685.50,621.10,685.50,9.82,60.00,39173.00,1
2026-03-08,621.10,685.50,621.10,685.50,9.82,60.00,39173.00,1
2026-03-09,675.30,675.30,675.30,675.30,-1.49,10.00,6753.00,-1
2026-03-10,688.80,742.80,688.80,742.80,10.00,80.00,56478.00,1
2026-03-11,735.60,812.10,735.60,812.10,9.33,60.00,46401.00,1
2026-03-12,802.10,893.30,802.10,893.30,10.00,160.00,136911.00,1
2026-03-15,885.20,939.30,885.20,939.30,5.15,80.00,72599.00,1
2026-03-16,921.20,1033.20,921.20,1033.20,10.00,170.00,168970.00,1
2026-03-17,1017.80,1136.50,1017.80,1136.50,10.00,250.00,270821.00,1
2026-03-18,1017.80,1136.50,1017.80,1136.50,10.00,250.00,270821.00,1
2026-03-19,1120.50,1250.10,1120.50,1250.10,10.00,770.00,946644.00,1
2026-03-22,1235.00,1375.10,1235.00,1375.10,10.00,375.00,504898.50,1
2026-03-23,1361.40,1512.60,1361.40,1512.60,10.00,480.00,714243.00,1
2026-03-24,1494.40,1663.80,1494.40,1663.80,10.00,543.00,883098.40,1
2026-03-25,1697.00,1830.10,1697.00,1830.10,10.00,1020.00,1853629.00,1
2026-03-26,1821.00,2013.10,1821.00,2013.10,10.00,3368.00,6759994.80,1
2026-03-29,2009.70,2214.40,2009.70,2214.40,10.00,2225.00,4914314.00,1
2026-03-30,2203.90,2435.80,2203.90,2435.80,10.00,2297.00,5574623.60,1
2026-03-31,2430.10,2679.30,2430.10,2679.30,10.00,2107.00,5624220.10,1
