published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-03-14,512.00,532.60,512.00,532.60,6.10,62.00,32082.30,1
2022-03-15,536.30,557.90,536.30,557.90,4.75,40.00,21915.00,1
2022-03-16,569.00,569.00,569.00,569.00,1.99,21.00,11774.60,1
2022-03-17,569.00,569.00,569.00,569.00,1.99,21.00,11774.60,1
2022-03-18,569.00,569.00,569.00,569.00,1.99,21.00,11774.60,1
2022-03-21,638.40,638.40,638.40,638.40,2.00,30.00,18942.80,1
2022-03-22,651.10,677.30,651.10,677.30,6.09,31.00,20576.10,1
2022-03-23,690.80,745.00,690.80,745.00,10.00,101.00,73912.30,1
2022-03-24,759.90,819.50,759.90,819.50,10.00,62.00,49126.10,1
2022-03-25,759.90,819.50,759.90,819.50,10.00,62.00,49126.10,1
2022-03-28,919.00,991.50,919.00,991.50,10.00,139.00,133920.60,1
2022-03-29,1011.30,1090.60,1011.30,1090.60,9.99,131.00,140406.00,1
2022-03-30,1112.40,1199.60,1112.40,1199.60,9.99,90.00,105825.00,1
2022-03-31,1223.50,1319.50,1223.50,1319.50,9.99,130.00,169016.80,1
2022-04-01,1223.50,1319.50,1223.50,1319.50,9.99,130.00,169016.80,1
2022-04-04,1480.40,1596.50,1480.40,1596.50,10.00,220.00,347833.60,1
2022-04-05,1565.40,1756.10,1565.40,1756.10,10.00,3833.00,6724481.30,1
2022-04-06,1791.00,1931.70,1653.00,1660.00,-5.47,49627.00,90489817.20,-1
2022-04-07,1660.00,1660.00,1525.00,1532.00,-7.71,23889.00,37059229.80,-1
2022-04-08,1660.00,1660.00,1525.00,1532.00,-7.71,23889.00,37059229.80,-1
2022-04-11,1501.40,1506.00,1380.00,1380.10,-9.92,17849.00,25382156.30,-1
2022-04-12,1352.50,1352.50,1290.00,1306.10,-5.36,11796.00,15470277.90,-1
2022-04-13,1280.00,1435.00,1262.00,1400.00,7.19,6139.00,8263651.50,1
2022-04-14,1280.00,1435.00,1262.00,1400.00,7.19,6139.00,8263651.50,1
2022-04-15,1280.00,1435.00,1262.00,1400.00,7.19,6139.00,8263651.50,1
2022-04-18,1295.00,1310.00,1264.20,1266.00,-3.73,5785.00,7419925.20,-1
2022-04-19,1251.00,1304.00,1251.00,1270.00,0.32,4994.00,6403195.00,1
2022-04-20,1251.00,1285.00,1196.10,1196.20,-5.81,5135.00,6348446.90,-1
2022-04-21,1185.00,1194.90,1130.00,1175.00,-1.77,5842.00,6752612.00,-1
2022-04-22,1185.00,1194.90,1130.00,1175.00,-1.77,5842.00,6752612.00,-1
2022-04-25,1266.80,1266.80,1191.00,1204.00,-3.06,5221.00,6348289.00,-1
2022-04-26,1200.00,1234.00,1186.00,1193.00,-0.91,2811.00,3377525.00,-1
2022-04-27,1171.00,1214.00,1171.00,1185.00,-0.67,2021.00,2409142.00,-1
2022-04-28,1195.00,1205.90,1165.10,1165.10,-1.68,2440.00,2872594.20,-1
2022-04-29,1195.00,1205.90,1165.10,1165.10,-1.68,2440.00,2872594.20,-1
2022-05-02,1147.30,1165.10,1119.00,1120.10,-3.86,3015.00,3411761.50,-1
2022-05-03,1147.30,1165.10,1119.00,1120.10,-3.86,3015.00,3411761.50,-1
2022-05-04,1119.00,1132.20,1100.10,1106.00,-1.26,1710.00,1900660.00,-1
2022-05-05,1083.90,1104.00,1056.00,1060.00,-4.16,2949.00,3154447.00,-1
2022-05-06,1083.90,1104.00,1056.00,1060.00,-4.16,2949.00,3154447.00,-1
2022-05-09,1045.00,1082.00,1029.60,1046.00,0.10,3133.00,3302539.30,1
2022-05-10,1040.00,1095.00,1026.00,1037.00,-0.86,3547.00,3769900.00,-1
2022-05-11,1050.00,1106.70,1050.00,1090.00,5.11,3808.00,4138413.00,1
2022-05-12,1111.80,1130.00,1090.00,1100.00,0.92,4633.00,5122645.90,1
