published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,2160.00,2173.00,2140.00,2145.00,-2.05,2963.00,6378857.20,-1
2021-11-05,2160.00,2173.00,2140.00,2145.00,-2.05,2963.00,6378857.20,-1
2021-11-08,2187.00,2229.90,2100.00,2135.00,-0.47,3968.00,8560964.00,-1
2021-11-09,2110.00,2110.00,2030.00,2065.00,-3.28,5274.00,10867637.20,-1
2021-11-10,2110.00,2110.00,2030.00,2065.00,-3.28,5274.00,10867637.20,-1
2021-11-11,2050.00,2080.00,2001.00,2038.00,-1.31,3478.00,7085017.00,-1
2021-11-12,2050.00,2080.00,2001.00,2038.00,-1.31,3478.00,7085017.00,-1
2021-11-15,2040.00,2090.00,2000.00,2035.00,1.09,3197.00,6519375.90,1
2021-11-16,2035.00,2174.00,2026.00,2130.00,4.67,3501.00,7268953.20,1
2021-11-17,2169.00,2169.00,2060.00,2079.00,-2.39,6211.00,13051391.80,-1
2021-11-18,2065.00,2080.00,2031.10,2033.00,-2.21,2210.00,4518084.50,-1
2021-11-19,2065.00,2080.00,2031.10,2033.00,-2.21,2210.00,4518084.50,-1
2021-11-22,2040.00,2045.00,1995.00,2020.00,-0.20,5658.00,11353343.20,-1
2021-11-23,2000.00,2039.00,1988.00,2020.00,0.00,3801.00,7629028.50,0
2021-11-24,2020.00,2036.00,2010.00,2030.00,0.50,2529.00,5111303.20,1
2021-11-25,2068.00,2068.00,2031.30,2044.00,0.69,3145.00,6436427.40,1
2021-11-26,2068.00,2068.00,2031.30,2044.00,0.69,3145.00,6436427.40,1
2021-11-29,2005.00,2010.00,1960.00,1991.00,0.56,4651.00,9254052.70,1
2021-11-30,1961.00,2015.00,1961.00,1994.00,0.15,3448.00,6876520.30,1
2021-12-01,2025.00,2030.00,1940.00,1940.00,-2.71,5717.00,11244102.00,-1
2021-12-02,1978.00,1982.00,1950.00,1971.00,1.60,13409.00,26337258.20,1
2021-12-03,1978.00,1982.00,1950.00,1971.00,1.60,13409.00,26337258.20,1
2021-12-06,1355.00,1374.00,1270.00,1355.00,-1.89,5982.00,7872401.00,-1
2021-12-07,1382.00,1382.10,1323.00,1349.00,-0.44,2207.00,2978639.10,-1
2021-12-08,1350.00,1360.00,1271.00,1271.00,-5.78,1800.00,2334808.20,-1
2021-12-09,1246.10,1260.00,1210.00,1221.00,-3.93,2233.00,2735198.40,-1
2021-12-10,1246.10,1260.00,1210.00,1221.00,-3.93,2233.00,2735198.40,-1
2021-12-13,1117.20,1117.20,1041.00,1080.00,-5.26,3798.00,4114337.00,-1
2021-12-14,1095.00,1188.00,1081.00,1188.00,10.00,2294.00,2617799.50,1
2021-12-15,1211.00,1252.00,1170.00,1199.00,0.93,3559.00,4358142.50,1
2021-12-16,1176.00,1220.00,1130.00,1130.00,-5.75,2500.00,2894649.30,-1
2021-12-17,1176.00,1220.00,1130.00,1130.00,-5.75,2500.00,2894649.30,-1
2021-12-20,1152.00,1152.00,1120.00,1127.00,-0.27,1916.00,2166695.80,-1
2021-12-21,1145.00,1184.00,1135.00,1162.00,3.11,2320.00,2692122.00,1
2021-12-22,1185.00,1278.20,1185.00,1263.00,8.69,4840.00,6077945.90,1
2021-12-23,1265.00,1334.00,1260.00,1272.00,0.71,3289.00,4229766.90,1
2021-12-24,1265.00,1334.00,1260.00,1272.00,0.71,3289.00,4229766.90,1
2021-12-27,1350.00,1350.00,1265.00,1271.00,-4.87,3482.00,4500212.50,-1
2021-12-28,1255.00,1289.00,1240.10,1240.10,-2.43,2630.00,3312101.20,-1
2021-12-29,1235.00,1273.00,1235.00,1260.00,1.60,1191.00,1490828.00,1
2021-12-30,1235.00,1273.00,1235.00,1260.00,1.60,1191.00,1490828.00,1
2021-12-31,1235.00,1273.00,1235.00,1260.00,1.60,1191.00,1490828.00,1
2022-01-03,1336.00,1389.00,1336.00,1364.00,4.12,5364.00,7352372.00,1
2022-01-04,1380.00,1439.00,1380.00,1439.00,5.50,2828.00,3984772.10,1
2022-01-05,1415.00,1460.00,1385.00,1410.00,-2.02,2700.00,3806115.00,-1
2022-01-06,1382.00,1415.00,1382.00,1400.00,-0.71,820.00,1149059.80,-1
2022-01-07,1382.00,1415.00,1382.00,1400.00,-0.71,820.00,1149059.80,-1
2022-01-10,1410.00,1485.00,1400.00,1455.30,2.13,2918.00,4218092.90,1
2022-01-11,1483.00,1584.00,1460.00,1568.00,7.74,3484.00,5243780.50,1
2022-01-12,1550.00,1591.00,1511.00,1564.00,-0.26,4338.00,6683922.30,-1
2022-01-13,1563.00,1580.00,1533.10,1580.00,1.02,1720.00,2689472.30,1
2022-01-14,1563.00,1580.00,1533.10,1580.00,1.02,1720.00,2689472.30,1
2022-01-17,1610.00,1610.00,1548.40,1570.00,-1.88,3147.00,4938571.20,-1
