published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-18,232.00,232.00,232.00,232.00,-1.69,19825.00,4599400.00,-1
2021-11-19,232.00,232.00,232.00,232.00,-1.69,19825.00,4599400.00,-1
2021-12-21,226.00,226.00,226.00,226.00,-1.74,27000.00,6102000.00,-1
2022-01-17,226.00,226.00,226.00,226.00,0.00,21810.00,4929060.00,0
2022-02-08,226.00,226.00,226.00,226.00,0.00,12592.00,2845792.00,0
2022-03-22,222.00,222.00,222.00,222.00,-1.77,10500.00,2331000.00,-1
2022-03-30,222.00,222.00,222.00,222.00,0.00,4709.00,1045398.00,0
2022-04-06,222.00,222.00,222.00,222.00,0.00,2500.00,555000.00,0
2022-05-20,222.00,222.00,222.00,222.00,0.00,124410.00,27619020.00,0
2022-06-23,218.00,218.00,218.00,218.00,-1.80,25000.00,5450000.00,-1
2022-07-12,214.00,214.00,214.00,214.00,0.00,4035.00,863490.00,0
2022-11-16,157.00,157.00,157.00,157.00,0.00,4007.00,629099.00,0
2022-11-23,157.00,157.00,157.00,157.00,0.00,50000.00,7850000.00,0
2022-12-07,157.00,157.00,157.00,157.00,0.00,19710.00,3094470.00,0
2022-12-08,157.00,157.00,157.00,157.00,0.00,19710.00,3094470.00,0
2023-01-26,157.00,157.00,157.00,157.00,0.00,6000.00,942000.00,0
2023-03-09,157.00,157.00,157.00,157.00,0.00,4383.00,688131.00,0
2023-04-17,157.00,157.00,157.00,157.00,0.00,9926.00,1558382.00,0
2023-06-04,157.00,157.00,157.00,157.00,0.00,9000.00,1413000.00,0
2023-06-27,157.00,157.00,157.00,157.00,0.00,10773.00,1691361.00,0
2023-10-16,163.00,163.00,163.00,163.00,3.82,5970.00,973110.00,1
2023-10-18,160.00,160.00,160.00,160.00,-1.84,28000.00,4480000.00,-1
2024-02-20,173.00,173.00,173.00,173.00,0.00,187915.00,32509295.00,0
2024-02-22,173.00,173.00,173.00,173.00,0.00,12200.00,2110600.00,0
2024-04-10,173.00,173.00,173.00,173.00,0.00,171010.00,29584730.00,0
2024-04-11,173.00,173.00,173.00,173.00,0.00,171010.00,29584730.00,0
2024-05-21,173.00,173.00,173.00,173.00,0.00,35000.00,6055000.00,0
2024-06-02,173.00,173.00,173.00,173.00,0.00,28982.00,5013886.00,0
2024-06-05,173.00,173.00,173.00,173.00,0.00,2600.00,449800.00,0
2024-06-10,173.00,173.00,173.00,173.00,0.00,340.00,58820.00,0
2024-06-13,173.00,173.00,173.00,173.00,0.00,14000.00,2422000.00,0
2024-06-24,173.00,173.00,173.00,173.00,0.00,25000.00,4325000.00,0
2024-06-26,173.00,173.00,173.00,173.00,0.00,12140.00,2100220.00,0
2024-07-11,170.00,170.00,170.00,170.00,-1.73,1709.00,290530.00,-1
2024-08-18,167.00,167.00,167.00,167.00,-1.76,7642.00,1276214.00,-1
2024-08-19,167.00,167.00,167.00,167.00,-1.76,7642.00,1276214.00,-1
2024-08-20,167.00,167.00,167.00,167.00,-1.76,7642.00,1276214.00,-1
2024-09-18,167.00,167.00,167.00,167.00,0.00,12000.00,2004000.00,0
2024-09-19,167.00,167.00,167.00,167.00,0.00,12000.00,2004000.00,0
2024-10-27,164.00,164.00,164.00,164.00,-1.80,18590.00,3048760.00,-1
2025-01-02,209.00,209.00,209.00,209.00,0.00,33396.00,6979764.00,0
2025-03-26,205.00,205.00,205.00,205.00,-1.91,26500.00,5432500.00,-1
2025-04-27,205.00,205.00,205.00,205.00,0.00,5722.00,1173010.00,0
2025-05-22,205.00,205.00,205.00,205.00,0.00,12216.00,2504280.00,0
2025-06-09,201.00,201.00,201.00,201.00,-1.95,16688.00,3354288.00,-1
2025-06-23,197.00,197.00,197.00,197.00,-1.99,142513.00,28075061.00,-1
2025-06-30,197.00,197.00,197.00,197.00,0.00,8755.00,1374535.00,0
2025-09-03,234.00,234.00,234.00,234.00,0.00,25759.00,6027606.00,0
2025-09-07,232.00,232.00,232.00,232.00,0.00,31227.00,7244664.00,0
2026-04-21,233.00,233.00,233.00,233.00,0.00,33132.00,7719756.00,0
2026-04-28,233.00,233.00,233.00,233.00,0.00,16635.00,3875955.00,0
