published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-09,319.50,351.40,319.50,351.40,9.98,100.00,33553.00,1
2025-11-10,345.80,386.50,345.80,386.50,9.99,90.00,33401.00,1
2025-11-11,386.50,425.10,386.50,425.10,9.99,200.00,83874.00,1
2025-11-12,430.10,467.60,430.10,467.60,10.00,210.00,97195.00,1
2025-11-13,476.90,514.30,476.90,514.30,9.99,270.00,137943.00,1
2025-11-16,524.50,565.70,524.50,565.70,9.99,570.00,320610.00,1
2025-11-17,577.00,622.20,577.00,622.20,9.99,710.00,440201.00,1
2025-11-18,634.60,684.40,634.60,684.40,10.00,450.00,306756.00,1
2025-11-19,684.00,752.80,684.00,752.80,9.99,480.00,359294.00,1
2025-11-20,767.80,828.00,767.80,828.00,9.99,950.00,785122.00,1
2025-11-23,828.00,910.80,828.00,910.80,10.00,1270.00,1154259.00,1
2025-11-24,929.00,1001.80,929.00,1001.80,9.99,1600.00,1601094.00,1
2025-11-25,1000.90,1101.90,1000.90,1101.90,9.99,1980.00,2178752.00,1
2025-11-26,1101.90,1212.00,1101.90,1212.00,9.99,1810.00,2189357.00,1
2025-11-27,1236.20,1333.20,1236.20,1333.20,10.00,2870.00,3816146.00,1
2025-11-30,1359.80,1466.50,1359.80,1466.50,10.00,2590.00,3793482.00,1
2025-12-01,1495.80,1613.10,1495.80,1613.10,10.00,3280.00,5288094.00,1
2025-12-02,1645.30,1774.40,1645.30,1774.40,10.00,3010.00,5337779.00,1
2025-12-03,1800.00,1951.80,1800.00,1951.80,10.00,4420.00,8621519.00,1
2025-12-04,1800.00,1951.80,1800.00,1951.80,10.00,4420.00,8621519.00,1
2025-12-07,1990.80,2146.90,1790.10,1817.10,-6.90,231979.00,436955089.90,-1
2025-12-08,1800.00,1892.00,1733.00,1830.00,0.71,134790.00,239760971.00,1
2025-12-09,1830.00,1836.00,1794.10,1801.00,-1.58,32590.00,58915567.00,-1
2025-12-10,1801.00,1810.40,1752.00,1754.10,-2.60,60435.00,106903538.50,-1
2025-12-11,1741.00,1805.00,1735.00,1796.00,2.39,54615.00,96570613.50,1
2025-12-14,1796.00,1808.00,1756.10,1765.00,-1.73,39348.00,69845436.00,-1
2025-12-15,1756.00,1805.00,1751.00,1772.00,0.40,35750.00,63588966.80,1
2025-12-16,1772.00,1785.00,1766.50,1770.00,-0.11,21380.00,37946262.00,-1
2025-12-17,1805.40,1805.40,1740.20,1773.00,0.17,21614.00,38320564.10,1
2025-12-18,1740.00,1777.00,1740.00,1740.30,-1.84,37422.00,65620505.20,-1
2025-12-21,1720.30,1740.00,1670.00,1680.20,-3.45,48656.00,82956336.70,-1
