published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-17,72.10,72.10,72.10,72.10,0.00,21.00,1525.10,0
2023-07-24,73.50,73.50,73.50,73.50,1.94,10.00,735.00,1
2023-07-27,73.50,73.50,73.50,73.50,0.00,6.00,436.30,0
2023-07-30,73.50,73.50,73.50,73.50,0.00,4.00,289.60,0
2023-08-03,74.90,74.90,74.90,74.90,1.90,10.00,749.00,1
2023-08-07,65.56,65.56,65.56,65.56,0.00,10.00,653.00,0
2023-08-10,66.00,66.00,66.00,66.00,1.85,10.00,660.00,1
2023-08-13,67.30,67.30,67.30,67.30,1.97,10.00,673.00,1
2023-08-15,750.00,750.00,750.00,750.00,0.00,392.00,293318.60,0
2023-08-20,67.30,68.60,67.30,68.60,1.93,20.00,1359.00,1
2023-08-24,69.90,69.90,69.90,69.90,1.90,10.00,699.00,1
2023-08-30,71.20,71.20,71.20,71.20,1.86,10.00,712.00,1
2023-08-31,71.20,71.20,71.20,71.20,1.86,10.00,712.00,1
2023-09-04,72.60,72.60,72.60,72.60,1.97,10.00,726.00,1
2023-09-05,74.00,74.00,74.00,74.00,1.93,10.00,740.00,1
2023-09-06,74.00,74.00,74.00,74.00,1.93,10.00,740.00,1
2023-09-21,75.40,75.40,75.40,75.40,1.89,156.00,11762.40,1
2023-09-25,76.90,76.90,76.90,76.90,1.99,10.00,769.00,1
2023-09-26,78.40,78.40,78.40,78.40,1.95,10.00,784.00,1
2023-10-01,79.90,79.90,79.90,79.90,1.91,20.00,1598.00,1
2023-10-03,81.40,81.40,81.40,81.40,1.88,15.00,1213.60,1
2023-10-05,83.00,83.00,83.00,83.00,1.97,10.00,830.00,1
2023-10-08,83.00,83.00,83.00,83.00,0.00,10.00,819.00,0
2023-10-09,84.60,84.60,84.60,84.60,1.93,10.00,846.00,1
2023-10-11,86.20,86.20,86.20,86.20,1.89,10.00,862.00,1
2023-10-12,86.20,86.20,86.20,86.20,0.00,10.00,857.00,0
2023-10-15,86.20,86.20,86.20,86.20,0.00,10.00,857.00,0
2023-10-30,87.90,87.90,87.90,87.90,1.97,10.00,879.00,1
2023-11-01,87.90,87.90,87.90,87.90,0.00,3.00,261.30,0
2023-11-02,89.60,89.60,89.60,89.60,1.93,10.00,896.00,1
2023-11-07,91.30,91.30,91.30,91.30,1.90,10.00,913.00,1
2023-11-08,93.10,93.10,93.10,93.10,1.97,20.00,1880.00,1
2023-11-09,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-12,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-13,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-14,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-15,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-16,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-19,94.90,96.70,94.90,96.70,3.87,195.00,18523.50,1
2023-11-20,98.60,104.50,98.60,104.50,8.07,40.00,4061.00,1
