published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,1021.00,1021.00,1005.10,1005.10,-1.46,50.00,50652.50,-1
2021-11-09,1005.00,1006.00,1000.10,1006.00,0.09,200.00,201027.50,1
2021-11-10,1005.00,1006.00,1000.10,1006.00,0.09,200.00,201027.50,1
2021-11-11,1006.00,1006.00,1006.00,1006.00,0.00,25.00,25150.00,0
2021-11-12,1006.00,1006.00,1006.00,1006.00,0.00,25.00,25150.00,0
2021-11-15,1001.00,1001.00,1001.00,1001.00,-0.40,25.00,25025.00,-1
2021-11-16,999.60,999.60,999.60,999.60,-0.14,25.00,24990.00,-1
2021-11-17,1019.50,1019.50,1019.50,1019.50,1.99,175.00,178412.50,1
2021-11-25,1019.50,1019.50,1019.50,1019.50,0.00,25.00,25487.50,0
2021-11-26,1019.50,1019.50,1019.50,1019.50,0.00,25.00,25487.50,0
2021-12-07,1019.50,1019.50,1019.50,1019.50,0.00,200.00,203900.00,0
2021-12-08,1019.00,1019.00,1019.00,1019.00,-0.05,100.00,101900.00,-1
2021-12-20,1019.00,1019.00,1019.00,1019.00,0.00,25.00,25475.00,0
2021-12-23,1019.00,1019.00,1019.00,1019.00,0.00,75.00,76425.00,0
2021-12-24,1019.00,1019.00,1019.00,1019.00,0.00,75.00,76425.00,0
2021-12-27,1020.00,1020.00,1019.00,1019.00,0.00,250.00,254800.00,0
2022-01-05,1005.00,1005.00,1005.00,1005.00,-1.37,25.00,25125.00,-1
2022-01-12,1025.10,1025.10,1025.10,1025.10,2.00,50.00,51255.00,1
2022-04-25,1004.60,1004.60,1004.60,1004.60,-2.00,150.00,150690.00,-1
2022-04-27,985.00,985.00,985.00,985.00,-1.95,50.00,49250.00,-1
2022-05-25,965.30,965.30,965.30,965.30,-2.00,25.00,24132.50,-1
2022-05-27,946.00,946.00,946.00,946.00,-2.00,25.00,23650.00,-1
2022-06-01,930.10,930.10,930.10,930.10,-1.68,25.00,23252.50,-1
2022-06-06,930.10,948.70,930.10,948.70,2.00,50.00,46970.00,1
2022-06-07,950.00,950.00,950.00,950.00,0.14,25.00,23750.00,1
2022-06-13,950.00,950.00,950.00,950.00,0.00,50.00,47500.00,0
2022-06-19,945.00,950.00,945.00,950.00,0.00,75.00,71125.00,0
2022-07-07,931.00,931.00,931.00,931.00,-2.00,165.00,153615.00,-1
2022-07-11,932.00,932.00,932.00,932.00,0.11,30.00,27960.00,1
2022-07-15,950.60,1025.00,950.60,1025.00,9.98,110.00,110360.00,1
2022-07-27,1004.50,1004.50,1004.50,1004.50,-2.00,25.00,25112.50,-1
2023-03-22,984.50,984.50,984.50,984.50,-1.99,155.00,152597.50,-1
2023-06-12,966.90,986.20,966.90,986.20,4.03,35.00,34034.50,1
2023-06-13,988.00,988.00,988.00,988.00,0.18,40.00,39520.00,1
2023-06-18,1003.00,1027.10,1003.00,1027.10,3.96,127.00,128091.00,1
2023-06-26,1007.00,1007.00,1007.00,1007.00,-1.96,25.00,25175.00,-1
2023-06-28,987.00,987.00,967.30,967.30,-3.94,50.00,48857.50,-1
2023-06-29,987.00,987.00,967.30,967.30,-3.94,50.00,48857.50,-1
2023-07-05,967.00,967.00,967.00,967.00,-0.03,50.00,48350.00,-1
2023-07-09,986.30,1006.00,986.30,1006.00,4.03,20.00,19923.00,1
2023-07-10,986.00,1025.80,986.00,1025.80,1.97,70.00,69615.00,1
2023-07-11,1045.30,1045.30,1045.30,1045.30,1.90,10.00,10453.00,1
2023-07-12,1066.20,1108.70,1066.00,1108.70,6.07,110.00,118544.00,1
2023-07-16,1130.80,1130.80,1130.80,1130.80,1.99,10.00,11308.00,1
2023-07-27,1129.00,1150.00,1129.00,1150.00,1.70,100.00,113150.00,1
2023-08-15,1065.00,1065.00,1065.00,1065.00,-7.39,155.00,165075.00,-1
2023-12-19,990.00,990.00,990.00,990.00,0.00,33126.00,32794740.00,0
2024-03-17,1127.00,1127.00,1127.00,1127.00,-2.00,50.00,56350.00,-1
2024-03-19,1104.50,1104.50,1104.50,1104.50,-2.00,100.00,110450.00,-1
2024-05-29,1082.50,1082.50,1035.00,1035.00,-6.29,130.00,136963.50,-1
2024-05-30,1030.10,1050.00,1030.10,1050.00,1.45,468.00,488183.50,1
2024-06-02,1040.00,1060.00,1040.00,1060.00,0.95,300.00,316110.00,1
2024-06-03,1040.00,1040.00,1040.00,1040.00,-1.89,25.00,26000.00,-1
2024-06-04,1040.00,1040.00,1040.00,1040.00,0.00,50.00,52000.00,0
2024-06-05,1040.00,1045.00,1040.00,1045.00,0.48,115.00,120100.00,1
2024-06-06,1045.00,1045.50,1045.00,1045.50,0.05,550.00,574762.50,1
2024-06-12,1040.00,1065.00,1040.00,1065.00,4.73,60.00,63431.00,1
2024-06-18,1095.00,1095.00,1095.00,1095.00,0.00,5.00,5525.00,0
2024-06-25,1090.00,1110.00,1090.00,1110.00,1.37,110.00,120100.00,1
2024-07-02,1090.00,1100.00,1090.00,1100.00,-0.90,230.00,251050.00,-1
2024-07-07,1110.00,1121.00,1110.00,1121.00,1.91,30.00,33490.00,1
2024-07-08,1138.00,1161.70,1138.00,1161.70,5.70,45.00,51931.00,1
2024-07-10,1161.30,1256.60,1161.30,1256.60,6.05,135.00,161800.50,1
2024-08-07,1256.60,1256.60,1256.60,1256.60,-10.00,15.00,17481.90,-1
2024-08-08,1086.30,1086.30,1044.00,1044.00,-7.69,261.00,275514.40,-1
2024-08-11,1044.00,1050.00,1044.00,1050.00,0.57,50.00,52350.00,1
2024-08-12,1035.00,1035.00,1035.00,1035.00,-1.43,25.00,25875.00,-1
2024-08-13,1040.00,1055.00,1034.00,1034.00,-0.10,175.00,181650.00,-1
2024-08-14,1034.00,1040.00,1033.60,1040.00,0.58,265.00,275267.50,1
2024-08-21,1040.00,1040.00,1040.00,1040.00,0.00,85.00,88400.00,0
2024-08-22,1060.00,1060.00,1039.00,1039.00,-0.10,153.00,160350.00,-1
2024-08-28,1036.10,1036.10,1036.10,1036.10,-0.28,25.00,25902.50,-1
2024-08-29,1040.50,1040.50,1040.50,1040.50,0.42,25.00,26012.50,1
2024-09-01,1035.10,1060.00,1028.00,1060.00,1.87,231.00,241108.50,1
2024-09-03,1060.00,1060.00,1060.00,1060.00,0.00,2.00,2120.00,0
2024-09-05,1039.20,1050.00,1039.20,1050.00,-0.94,50.00,52230.00,-1
2024-09-08,1040.50,1060.00,1040.50,1060.00,0.95,47.00,49332.50,1
2024-09-09,1076.50,1076.50,1076.50,1076.50,1.56,10000.00,10765000.00,1
2024-09-10,1075.00,1077.00,1062.00,1075.00,-0.14,275.00,295472.00,-1
2024-09-11,1075.00,1075.00,1075.00,1075.00,0.00,75.00,80625.00,0
2024-09-12,1096.00,1100.00,1090.00,1100.00,2.33,209.00,229600.00,1
2024-09-16,1085.00,1085.00,1085.00,1085.00,-1.36,50.00,54250.00,-1
2024-09-17,1085.00,1085.00,1085.00,1085.00,-1.36,50.00,54250.00,-1
2024-09-22,1085.00,1085.00,1085.00,1085.00,0.00,50.00,54250.00,0
2024-09-23,1075.00,1075.00,1075.00,1075.00,-0.92,50.00,53750.00,-1
2024-09-25,1054.00,1054.00,1054.00,1054.00,-1.95,15.00,15810.00,-1
2024-09-26,1052.10,1052.10,1052.10,1052.10,-0.18,10.00,10521.00,-1
2024-09-30,1059.00,1059.00,1059.00,1059.00,0.66,25.00,26475.00,1
2024-10-09,1059.50,1060.00,1059.50,1060.00,0.09,50.00,52987.50,1
2024-10-10,1059.50,1060.00,1059.50,1060.00,0.09,50.00,52987.50,1
2024-10-13,1059.50,1060.00,1059.50,1060.00,0.09,50.00,52987.50,1
2024-10-14,1059.50,1060.00,1059.50,1060.00,0.09,50.00,52987.50,1
2024-10-16,1060.20,1060.20,1060.20,1060.20,0.02,290.00,307458.00,1
2024-10-21,1065.00,1065.00,1065.00,1065.00,0.45,25.00,26625.00,1
2024-10-24,1070.00,1070.00,1070.00,1070.00,0.47,195.00,208650.00,1
2024-10-27,1064.00,1064.00,1064.00,1064.00,-0.56,100.00,106400.00,-1
2024-10-28,1070.00,1070.00,1070.00,1070.00,0.56,45.00,48150.00,1
2024-10-29,1075.00,1075.00,1075.00,1075.00,0.47,25.00,26875.00,1
2024-11-06,1090.00,1090.00,1090.00,1090.00,1.40,25.00,27250.00,1
2024-11-07,1090.00,1090.00,1090.00,1090.00,1.40,25.00,27250.00,1
2024-11-12,1090.00,1090.00,1090.00,1090.00,0.00,25.00,27250.00,0
2024-11-17,1088.00,1088.00,1088.00,1088.00,-0.18,45.00,48960.00,-1
2024-11-18,1088.00,1088.00,1088.00,1088.00,-0.18,45.00,48960.00,-1
2024-11-21,1088.00,1088.00,1071.00,1071.00,-1.56,250.00,270032.50,-1
2024-11-24,1077.50,1077.50,1076.10,1076.10,0.48,100.00,107670.00,1
2024-12-01,1097.60,1097.60,1097.60,1097.60,2.00,100.00,109760.00,1
2024-12-03,1119.50,1119.50,1119.50,1119.50,2.00,35.00,39182.50,1
2024-12-09,1119.00,1150.00,1119.00,1150.00,2.72,145.00,164595.00,1
2025-01-13,1127.00,1127.00,1127.00,1127.00,-2.00,20035.00,22579445.00,-1
2025-01-14,1127.00,1127.00,1127.00,1127.00,-2.00,20035.00,22579445.00,-1
2025-01-26,1104.50,1104.50,1104.50,1104.50,-2.00,10.00,11045.00,-1
2025-01-28,1082.50,1090.00,1069.20,1090.00,-1.31,200.00,216115.50,-1
2025-01-29,1082.50,1090.00,1069.20,1090.00,-1.31,200.00,216115.50,-1
2025-01-30,1082.50,1090.00,1069.20,1090.00,-1.31,200.00,216115.50,-1
2025-02-02,1080.00,1080.00,1076.40,1076.40,-1.25,75.00,80910.00,-1
2025-02-04,1080.00,1080.00,1080.00,1080.00,0.33,67.00,72360.00,1
2025-02-06,1080.60,1101.60,1080.60,1101.60,2.00,209.00,229689.00,1
2025-02-17,1080.60,1080.60,1080.60,1080.60,-1.91,25.00,27015.00,-1
2025-03-09,1078.00,1078.00,1078.00,1078.00,-0.24,140.00,150920.00,-1
2025-03-10,1078.00,1078.00,1075.50,1075.50,-0.23,25.00,26937.50,-1
2025-03-18,1076.00,1076.00,1075.00,1075.00,-0.05,25.00,26890.00,-1
2025-04-02,1096.50,1096.50,1096.50,1096.50,2.00,10.00,10965.00,1
2025-04-07,1085.00,1085.00,1085.00,1085.00,-1.05,100.00,108500.00,-1
2025-04-15,1091.00,1094.00,1091.00,1094.00,0.83,50.00,54625.00,1
2025-04-16,1115.50,1115.80,1115.50,1115.55,1.97,128.00,142790.60,1
2025-04-17,1120.00,1120.00,1120.00,1120.00,0.40,50.00,56000.00,1
2025-04-20,1106.00,1106.00,1106.00,1106.00,-1.25,25.00,27650.00,-1
2025-04-21,1127.00,1128.00,1127.00,1127.00,1.90,75.00,84550.00,1
2025-04-28,1107.68,1107.68,1102.00,1102.00,-2.22,150.00,165413.60,-1
2025-05-04,1101.00,1101.00,1101.00,1101.00,-0.09,50.00,55050.00,-1
2025-05-07,1110.00,1110.00,1101.50,1101.50,0.05,50.00,55287.50,1
2025-05-08,1099.50,1099.50,1099.50,1099.50,-0.18,25.00,27487.50,-1
2025-05-14,1105.10,1105.10,1105.00,1105.00,0.50,40.00,44202.50,1
2025-05-15,1102.20,1102.20,1102.20,1102.20,-0.25,25.00,27555.00,-1
2025-05-21,1102.30,1102.30,1102.20,1102.20,0.00,50.00,55112.50,0
2025-05-25,1103.70,1103.70,1103.70,1103.70,0.14,25.00,27592.50,1
2025-05-26,1101.50,1101.50,1101.50,1101.50,-0.20,15.00,16522.50,-1
2025-06-02,1102.50,1102.50,1102.40,1102.40,0.08,50.00,55122.50,1
2025-06-03,1106.10,1106.10,1106.10,1106.10,0.34,20.00,22122.00,1
2025-06-04,1102.20,1102.20,1102.20,1102.20,-0.35,25.00,27555.00,-1
2025-06-16,1104.20,1104.20,1104.00,1104.00,0.16,75.00,82807.50,1
2025-06-19,1104.20,1104.20,1104.20,1104.20,0.02,22.00,24292.40,1
2025-06-24,1103.20,1103.20,1103.20,1103.20,-0.09,25.00,27580.00,-1
2025-06-25,1125.00,1125.00,1125.00,1125.00,1.98,50.00,56250.00,1
2025-06-29,1139.00,1158.50,1139.00,1158.50,2.98,100.00,114407.50,1
2025-06-30,1164.00,1177.00,1164.00,1177.00,1.60,85.00,99495.00,1
2025-07-09,1176.00,1176.90,1176.00,1182.00,0.42,45.00,52963.50,1
2025-07-16,1177.50,1189.00,1177.50,1183.65,0.14,160.00,189385.50,1
2025-07-23,1160.00,1160.00,1160.00,1160.00,-2.00,10.00,11600.00,-1
2025-07-24,1136.80,1136.80,1136.80,1136.80,-2.00,10.00,11368.00,-1
2025-08-20,1115.00,1115.00,1100.00,1100.00,-3.24,180.00,199500.00,-1
2025-09-03,1081.70,1081.70,1081.70,1081.70,-1.66,25.00,27042.50,-1
2025-09-07,1100.00,1100.00,1100.00,1100.00,1.69,50.00,55000.00,1
2025-09-21,1100.00,1100.00,1100.00,1100.00,0.00,75.00,82500.00,0
2025-09-22,1100.00,1100.00,1100.00,1100.00,0.00,75.00,82500.00,0
2025-09-24,1086.50,1086.50,1086.50,1086.50,-1.23,50.00,54325.00,-1
2025-09-28,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-09-29,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-09-30,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-10-01,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-10-02,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-10-05,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-10-06,1089.90,1101.00,1089.90,1101.00,1.33,100.00,109939.00,1
2025-10-08,1120.00,1120.00,1120.00,1120.00,1.73,200.00,224000.00,1
2025-10-14,1142.00,1142.00,1142.00,1142.00,1.96,197.00,224974.00,1
2025-10-26,1120.00,1120.00,1120.00,1120.00,-1.93,25.00,28000.00,-1
2025-10-27,1120.00,1120.00,1120.00,1120.00,-1.93,25.00,28000.00,-1
2025-10-28,1120.90,1125.00,1120.00,1125.00,0.45,75.00,84148.40,1
2025-10-30,1120.00,1135.00,1120.00,1135.00,0.89,200.00,225025.00,1
2025-11-02,1135.00,1135.00,1135.00,1135.00,0.00,100.00,113500.00,0
2025-11-03,1142.00,1142.00,1142.00,1142.00,0.62,100.00,114200.00,1
2025-11-11,1131.00,1131.00,1131.00,1131.00,-0.96,20.00,22620.00,-1
2025-11-13,1131.00,1131.00,1131.00,1131.00,0.00,25.00,28275.00,0
2025-11-16,1153.60,1153.60,1153.60,1153.60,2.00,25.00,28840.00,1
2025-11-17,1150.00,1150.00,1150.00,1150.00,-0.31,100.00,115000.00,-1
2025-11-18,1170.00,1173.00,1160.00,1160.00,0.87,180.00,209690.00,1
2025-11-20,1145.20,1145.20,1145.20,1145.20,-1.28,25.00,28630.00,-1
2025-11-23,1145.00,1145.00,1145.00,1145.00,-0.02,100.00,114500.00,-1
2025-11-24,1136.90,1136.90,1136.90,1136.90,-0.71,50.00,56845.00,-1
2025-11-25,1150.00,1150.00,1150.00,1150.00,1.15,150.00,172500.00,1
2025-12-03,1150.00,1150.00,1150.00,1150.00,0.00,50.00,57500.00,0
2025-12-04,1150.00,1150.00,1150.00,1150.00,0.00,50.00,57500.00,0
2025-12-21,1152.00,1155.00,1152.00,1155.00,0.43,295.00,340190.00,1
2025-12-22,1157.40,1157.40,1157.40,1157.40,0.21,100.00,115740.00,1
2025-12-23,1180.00,1180.00,1180.00,1180.00,1.95,25.00,29500.00,1
2026-01-01,1157.00,1157.00,1157.00,1157.00,-1.95,25.00,28925.00,-1
2026-01-08,1147.10,1150.40,1147.10,1150.40,-0.57,75.00,86115.00,-1
2026-01-11,1147.10,1150.40,1147.10,1150.40,-0.57,75.00,86115.00,-1
2026-01-22,1130.00,1130.00,1130.00,1130.00,-1.77,25.00,28250.00,-1
2026-01-27,1111.00,1111.00,1111.00,1111.00,-1.68,25.00,27775.00,-1
2026-01-28,1133.00,1133.00,1133.00,1133.00,1.98,25.00,28325.00,1
2026-02-01,1133.00,1133.00,1133.00,1133.00,0.00,100.00,113300.00,0
2026-02-22,1151.00,1155.00,1151.00,1155.00,1.94,50.00,57667.50,1
2026-02-25,1132.00,1132.00,1132.00,1132.00,-1.99,25.00,28300.00,-1
2026-03-02,1113.10,1113.10,1113.10,1113.10,-1.67,25.00,27827.50,-1
2026-03-12,1123.00,1123.00,1123.00,1123.00,0.89,25.00,28075.00,1
2026-03-17,1112.60,1112.60,1112.60,1112.60,-0.93,100.00,111260.00,-1
2026-03-18,1112.60,1112.60,1112.60,1112.60,-0.93,100.00,111260.00,-1
2026-03-19,1122.00,1122.00,1122.00,1122.00,0.84,25.00,28050.00,1
2026-03-22,1144.40,1144.40,1144.40,1144.40,2.00,100.00,114440.00,1
2026-03-25,1130.00,1130.00,1130.00,1130.00,-1.26,25.00,28250.00,-1
2026-04-06,1116.00,1116.00,1116.00,1116.00,-1.24,25.00,27900.00,-1
2026-04-23,1125.00,1125.00,1125.00,1125.00,0.81,25.00,28125.00,1
2026-04-30,1125.00,1125.00,1125.00,1125.00,0.00,25.00,28125.00,0
2026-05-01,1125.00,1125.00,1125.00,1125.00,0.00,25.00,28125.00,0
2026-05-11,1121.00,1121.00,1120.90,1120.90,-0.36,25.00,28024.00,-1
2026-05-12,1123.00,1123.00,1123.00,1123.00,0.19,10.00,11230.00,1
2026-05-15,1124.90,1124.90,1124.90,1124.10,0.10,30.00,33743.00,1
2026-05-20,1125.00,1125.00,1125.00,1125.00,0.08,25.00,28125.00,1
2026-05-21,1150.00,1150.00,1150.00,1150.00,2.22,25.00,28750.00,1
2026-05-22,1124.00,1124.00,1124.00,1124.00,-2.26,25.00,28100.00,-1
2026-05-25,1124.00,1124.00,1124.00,1124.30,0.03,3.00,3372.90,1
2026-06-02,1155.00,1155.00,1155.00,1155.00,2.73,215.00,248325.00,1
2026-06-04,1158.30,1158.30,1158.30,1158.30,0.29,130.00,150579.00,1
2026-06-05,1152.00,1152.00,1152.00,1152.00,-0.54,25.00,28800.00,-1
2026-06-08,1117.50,1117.50,1090.00,1090.00,-5.38,45010.00,49061425.00,-1
2026-06-09,1122.70,1122.70,1095.00,1095.00,0.46,54990.00,60217634.90,1
2026-06-12,1127.00,1133.00,1127.00,1165.90,6.47,54802.00,62090704.70,1
