published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-07-20,359.00,394.90,359.00,394.90,10.00,350.00,136429.00,1
2025-07-21,388.70,434.30,388.70,434.30,9.98,450.00,193508.00,1
2025-07-22,442.90,477.70,442.90,477.70,9.99,500.00,237994.00,1
2025-07-23,487.20,525.40,487.20,525.40,9.99,710.00,372096.00,1
2025-07-24,535.90,577.90,535.90,577.90,9.99,690.00,397721.00,1
2025-07-27,589.40,635.60,589.40,635.60,9.98,1170.00,742517.00,1
2025-07-28,648.00,699.10,648.00,698.62,9.92,2644.00,1847131.80,1
2025-07-29,713.00,769.00,713.00,769.00,10.00,3416.00,2625469.80,1
2025-07-30,784.30,845.90,784.30,845.90,10.00,4200.00,3546923.50,1
2025-07-31,862.80,930.40,845.90,891.50,5.39,279583.00,249481931.40,1
2025-08-03,900.00,900.00,802.40,802.40,-9.99,216419.00,177676816.90,-1
2025-08-04,787.00,830.00,729.00,778.73,-2.95,185618.00,140552114.60,-1
2025-08-05,770.00,800.00,753.00,760.53,-2.34,47554.00,36465315.20,-1
2025-08-06,775.00,812.00,751.00,794.65,4.49,54477.00,42826017.80,1
2025-08-07,790.00,800.00,770.00,773.14,-2.71,54284.00,42338593.30,-1
2025-08-10,790.00,800.00,770.00,773.14,-2.71,54284.00,42338593.30,-1
2025-08-11,773.70,773.70,741.90,747.32,-3.34,56104.00,42323797.00,-1
2025-08-12,745.00,748.00,721.00,723.42,-3.20,48465.00,35418004.70,-1
2025-08-13,715.40,729.00,710.20,713.54,-1.37,28119.00,20194429.10,-1
2025-08-14,713.00,719.00,703.00,704.89,-1.21,33064.00,23387648.80,-1
2025-08-17,700.00,705.00,670.20,673.74,-4.42,52306.00,35738071.10,-1
2025-08-18,670.00,690.00,661.00,680.44,0.99,25769.00,17514847.80,1
2025-08-19,675.00,741.00,675.00,727.93,6.98,50197.00,36009988.50,1
2025-08-20,730.00,748.90,715.50,722.74,-0.71,35038.00,25713375.40,-1
2025-08-21,720.00,731.50,716.10,729.67,0.96,21206.00,15331724.40,1
2025-08-24,720.10,722.00,698.80,700.60,-3.98,30382.00,21503655.90,-1
2025-08-25,705.00,710.00,690.10,704.65,0.58,15757.00,11063441.00,1
2025-08-26,705.00,726.20,696.00,711.06,0.91,21854.00,15626912.00,1
2025-08-27,725.10,725.10,701.00,711.02,-0.01,18576.00,13214000.50,-1
