published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-06-25,1000.00,1050.50,1000.00,1050.00,5.00,150.00,156234.00,1
2024-06-26,1046.00,1046.00,1046.00,1046.00,-0.38,25.00,26150.00,-1
2024-07-01,1120.00,1120.00,1120.00,1120.00,7.07,85.00,94705.00,1
2024-07-04,1100.00,1100.00,1078.00,1078.00,-3.75,50.00,54450.00,-1
2024-07-07,1056.50,1056.50,1050.00,1050.00,-2.60,50.00,52662.50,-1
2024-07-08,1054.10,1054.10,1054.10,1054.10,0.39,25.00,26352.50,1
2024-07-11,1058.50,1058.50,1058.50,1058.50,0.42,25.00,26462.50,1
2024-07-22,1038.00,1038.00,1017.30,1017.30,-3.89,75.00,77332.50,-1
2024-07-29,1021.10,1041.50,1021.10,1035.00,1.74,100.00,103315.00,1
2024-08-05,1035.00,1035.00,1035.00,1035.00,0.00,50.00,51730.50,0
2024-08-07,1033.00,1033.00,1033.00,1033.00,0.18,25.00,25825.00,1
2024-08-11,1033.10,1033.10,1033.10,1033.10,0.01,25.00,25827.50,1
2024-08-14,1033.30,1040.00,1033.30,1040.00,0.67,50.00,51832.50,1
2024-08-15,1037.00,1040.10,1037.00,1040.10,0.01,50.00,51927.50,1
2024-08-21,1040.00,1040.00,1040.00,1040.00,-0.01,25.00,26000.00,-1
2024-08-27,1050.00,1050.00,1043.00,1043.00,0.29,125.00,130725.00,1
2024-09-08,1041.10,1041.10,1041.10,1041.10,-0.18,25.00,26027.50,-1
2024-09-10,1055.00,1055.00,1051.00,1051.10,0.96,175.00,184330.00,1
2024-09-15,1061.00,1082.00,1061.00,1082.00,2.94,150.00,160132.50,1
2024-09-22,1082.00,1082.00,1082.00,1082.00,0.00,25.00,27050.00,0
2024-09-24,1103.00,1103.60,1103.00,1103.60,2.00,278.00,306649.00,1
2024-09-25,1103.60,1125.00,1103.60,1125.00,1.94,250.00,279863.50,1
2024-09-26,1125.00,1125.00,1125.00,1125.00,0.00,25.00,28125.00,0
2024-09-29,1106.00,1106.00,1106.00,1106.00,-1.69,50.00,55300.00,-1
2024-09-30,1128.00,1161.00,1128.00,1137.80,2.88,305.00,353207.00,1
2024-10-02,1146.00,1150.00,1146.00,1150.00,1.07,100.00,114940.00,1
2024-10-03,1146.00,1150.00,1146.00,1150.00,1.07,100.00,114940.00,1
2024-10-16,1161.00,1161.00,1161.00,1161.00,0.96,65.00,75465.00,1
2024-10-29,1178.00,1184.00,1178.00,1184.00,1.98,40.00,47230.00,1
2024-11-26,1161.00,1161.00,1140.00,1140.00,-3.72,50.00,57420.00,-1
2024-12-16,1135.10,1135.10,1135.10,1135.10,-0.43,60.00,68106.00,-1
2024-12-18,1134.00,1134.00,1134.00,1134.00,-0.10,30.00,34020.00,-1
2024-12-23,1202.50,1202.60,1202.50,1202.60,6.05,65.00,77817.50,1
2025-01-05,1203.00,1203.00,1203.00,1203.00,0.03,5.00,6015.00,1
2025-01-19,1179.00,1179.00,1179.00,1179.00,-2.00,20.00,23580.00,-1
2025-02-04,1155.50,1155.50,1155.50,1155.50,-1.99,60.00,69330.00,-1
2025-02-06,1132.40,1132.40,1132.40,1132.40,-2.00,100.00,113240.00,-1
2025-02-18,1120.00,1120.00,1120.00,1120.00,-1.10,25.00,28000.00,-1
2025-02-19,1120.00,1120.00,1120.00,1120.00,-1.10,25.00,28000.00,-1
2025-02-23,1148.00,1148.00,1148.00,1148.00,2.50,25.00,28694.40,1
2025-03-12,1115.00,1148.00,1115.00,1115.00,-2.87,9.00,10115.80,-1
2025-03-13,1115.00,1148.00,1115.00,1115.00,-2.87,9.00,10115.80,-1
2025-03-17,1116.00,1116.00,1116.00,1116.00,0.09,18.00,20079.50,1
2025-03-18,1116.10,1116.10,1116.10,1116.10,0.01,9.00,1064.40,1
2025-03-19,1113.59,1113.59,1113.59,1113.59,-0.22,1.00,1113.60,-1
2025-03-20,1113.60,1113.60,1113.60,1113.90,0.03,2.00,2227.80,1
2025-03-24,1113.90,1113.90,1113.90,1112.60,-0.12,2.00,2225.20,-1
2025-03-26,1112.60,1120.00,1112.60,1120.00,0.67,24.00,26865.20,1
2025-03-30,1117.00,1117.00,1117.00,1138.50,1.65,26.00,29061.10,1
2025-03-31,1117.00,1117.00,1117.00,1138.50,1.65,26.00,29061.10,1
2025-04-01,1138.50,1138.50,1138.50,1161.20,1.99,3.00,3483.60,1
2025-04-03,1161.20,1161.20,1161.20,1184.40,2.00,12.00,14212.60,1
2025-04-06,1161.20,1161.20,1161.20,1184.40,2.00,12.00,14212.60,1
2025-04-07,1184.40,1184.40,1184.40,1184.40,0.00,299.00,354135.60,0
2025-04-30,1184.40,1184.40,1184.40,1184.40,0.00,10.00,11844.00,0
2025-05-01,1184.40,1184.40,1184.40,1184.40,0.00,10.00,11844.00,0
2025-05-18,1161.00,1161.00,1161.00,1161.00,-1.98,10.00,11610.00,-1
2025-06-08,1140.00,1140.00,1140.00,1140.00,-1.81,10.00,11400.00,-1
2025-06-23,1140.00,1140.00,1140.00,1155.00,1.32,8.00,9240.00,1
2025-06-29,1155.00,1205.00,1155.00,1205.00,4.33,28.00,33708.00,1
2025-07-30,1205.00,1205.00,1205.00,1205.00,0.00,20.00,24100.00,0
2025-08-07,1181.00,1181.00,1181.00,1181.00,-1.99,15.00,17715.00,-1
2025-08-10,1181.00,1181.00,1181.00,1181.00,-1.99,15.00,17715.00,-1
2025-09-07,1157.40,1157.40,1135.20,1135.20,-3.88,50.00,57315.00,-1
2025-09-08,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-09,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-10,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-11,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-14,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-15,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-16,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-17,1135.20,1135.20,1135.20,1135.10,-0.01,30.00,34055.50,-1
2025-09-23,1149.00,1150.00,1149.00,1150.00,1.31,100.00,114950.00,1
2025-09-24,1141.00,1141.00,1141.00,1141.00,-0.78,25.00,28525.00,-1
2025-11-06,1141.00,1163.50,1141.00,1163.50,1.97,350.00,401010.60,1
2025-11-16,1186.70,1210.40,1186.70,1210.40,4.03,100.00,119855.00,1
2025-11-18,1210.00,1210.00,1210.00,1210.00,-0.03,25.00,30250.00,-1
2025-11-19,1221.00,1221.00,1221.00,1221.00,0.91,25.00,30525.00,1
2025-11-25,1221.00,1221.00,1221.00,1245.40,2.00,8.00,9963.20,1
2025-12-16,1225.00,1225.00,1225.00,1225.00,-1.64,25.00,30625.00,-1
2025-12-21,1225.00,1225.00,1220.00,1220.00,-0.41,100.00,122250.00,-1
2025-12-24,1244.40,1244.40,1244.40,1244.40,2.00,50.00,62220.00,1
2025-12-25,1244.40,1244.40,1244.40,1244.40,2.00,50.00,62220.00,1
2025-12-29,1246.00,1246.00,1246.00,1246.00,0.13,50.00,62300.00,1
2025-12-30,1246.00,1246.00,1246.00,1246.00,0.13,50.00,62300.00,1
2025-12-31,1255.00,1255.00,1255.00,1255.00,0.72,20.00,25100.00,1
2026-01-01,1260.00,1260.00,1260.00,1260.00,0.40,25.00,31500.00,1
2026-01-13,1240.00,1240.00,1240.00,1240.00,-1.59,25.00,31000.00,-1
2026-01-14,1230.00,1230.00,1230.00,1230.00,-0.81,10.00,12300.00,-1
2026-01-15,1230.00,1230.00,1230.00,1230.00,-0.81,10.00,12300.00,-1
2026-01-28,1230.00,1230.00,1230.00,1230.00,0.00,10.00,12300.00,0
2026-01-29,1230.00,1230.00,1230.00,1230.00,0.00,10.00,12300.00,0
2026-02-03,1230.00,1230.00,1230.00,1230.00,0.00,20.00,24600.00,0
2026-03-22,1230.00,1230.00,1230.00,1230.00,0.00,100.00,123000.00,0
2026-04-08,1254.50,1279.50,1254.50,1279.50,4.02,71.00,90122.10,1
2026-04-28,1279.50,1320.00,1299.00,1320.00,3.17,153.00,199755.00,1
2026-05-14,1281.00,1281.00,1281.00,1281.00,-2.95,11.00,14091.00,-1
