published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-29,510.0,510.0,491.0,491.0,nan,311.0,156095.0,0
2011-03-30,491.0,510.0,500.0,505.0,2.85,532.0,267155.0,0
2011-03-31,505.0,530.0,505.0,530.0,4.95,318.0,164590.0,0
2011-04-04,530.0,539.0,529.0,530.0,0.0,872.0,463848.0,0
2011-04-05,530.0,534.0,530.0,530.0,0.0,207.0,109870.0,0
2011-04-06,530.0,531.0,520.0,520.0,-1.89,876.0,457163.0,0
2011-04-07,520.0,531.0,521.0,531.0,2.12,20.0,10520.0,0
2011-04-10,531.0,535.0,535.0,535.0,0.75,66.0,35310.0,0
2011-04-11,535.0,531.0,526.0,527.0,-1.50,500.0,263700.0,0
2011-04-13,527.0,525.0,525.0,525.0,-0.38,267.0,140175.0,0
2011-04-17,525.0,540.0,530.0,535.0,1.90,156.0,83178.0,0
2011-04-18,535.0,535.0,535.0,535.0,0.0,153.0,81855.0,0
2011-04-19,535.0,536.0,535.0,535.0,0.0,73.0,39078.0,0
2011-04-20,535.0,535.0,525.0,530.0,-0.93,766.0,405350.0,0
2011-04-21,530.0,525.0,505.0,509.0,-3.96,981.0,502236.0,0
2011-04-25,509.0,500.0,485.0,485.0,-4.72,581.0,285405.0,0
2011-04-27,485.0,499.0,490.0,499.0,2.89,255.0,125850.0,0
2011-04-28,499.0,501.0,482.0,485.0,-2.81,840.0,409796.0,0
2011-05-02,485.0,480.0,478.0,478.0,-1.44,134.0,64120.0,0
2011-05-03,478.0,495.0,475.0,486.0,1.67,613.0,297326.0,0
2011-05-04,486.0,495.0,486.0,495.0,1.85,211.0,104346.0,0
2011-05-05,495.0,502.0,488.0,488.0,-1.41,838.0,413144.0,0
2011-05-08,488.0,490.0,480.0,480.0,-1.64,1262.0,610884.0,0
2011-05-09,480.0,489.0,489.0,489.0,1.88,86.0,42054.0,0
2011-05-10,489.0,495.0,486.0,495.0,1.23,619.0,303203.0,0
2011-05-12,495.0,501.0,497.0,497.0,0.40,121.0,60365.0,0
2011-05-16,497.0,506.0,497.0,506.0,1.81,52.0,25934.0,0
2011-05-18,506.0,510.0,510.0,510.0,0.79,138.0,70380.0,0
2011-05-19,510.0,510.0,500.0,500.0,-1.96,1365.0,685260.0,0
2011-05-22,500.0,495.0,491.0,492.0,-1.60,117.0,57591.0,0
2011-05-23,492.0,501.0,491.0,491.0,-0.20,496.0,246555.0,0
2011-05-24,491.0,500.0,500.0,500.0,1.83,156.0,78000.0,0
2011-05-25,500.0,507.0,475.0,507.0,1.40,4677.0,2240123.0,0
2011-05-30,507.0,500.0,497.0,500.0,-1.38,252.0,125400.0,0
2011-05-31,500.0,500.0,475.0,475.0,-5.00,3319.0,1588194.0,0
2011-06-01,475.0,493.0,475.0,484.0,1.89,1360.0,649806.0,0
2011-06-02,484.0,490.0,481.0,481.0,-0.62,140.0,67971.0,0
2011-06-05,481.0,490.0,485.0,490.0,1.87,372.0,180920.0,0
2011-06-06,490.0,485.0,482.0,482.0,-1.63,208.0,100418.0,0
2011-06-07,482.0,474.0,463.0,470.0,-2.49,311.0,145918.0,0
2011-06-08,470.0,479.0,470.0,479.0,1.91,459.0,217755.0,0
2011-06-09,479.0,470.0,461.0,461.0,-3.76,68.0,31456.0,0
2011-06-13,461.0,454.0,454.0,454.0,-1.52,17.0,7718.0,0
2011-06-15,454.0,454.0,409.0,409.0,-9.91,616.0,267005.0,0
2011-06-16,409.0,401.0,400.0,400.0,-2.20,714.0,285655.0,0
2011-06-23,400.0,436.0,420.0,436.0,9.00,500.0,210240.0,0
2011-06-26,436.0,479.0,444.0,479.0,9.86,1755.0,825490.0,0
2011-06-27,479.0,471.0,453.0,455.0,-5.01,529.0,243797.0,0
2011-06-29,455.0,455.0,440.0,440.0,-3.30,673.0,300095.0,0
2011-06-30,440.0,456.0,448.0,456.0,3.64,204.0,91744.0,0
2011-07-03,456.0,490.0,465.0,490.0,7.46,1756.0,830611.0,0
2011-07-04,490.0,500.0,487.0,500.0,2.04,2397.0,1178911.0,0
2011-07-05,500.0,520.0,500.0,511.0,2.20,1960.0,989294.0,0
2011-07-06,511.0,540.0,510.0,522.0,2.15,3733.0,1928008.0,0
2011-07-10,522.0,525.0,515.0,516.0,-1.15,962.0,499561.0,0
2011-07-11,516.0,517.0,506.0,516.0,0.0,2446.0,1244066.0,0
2011-07-12,516.0,530.0,516.0,530.0,2.71,640.0,332140.0,0
2011-07-13,530.0,561.0,540.0,540.0,1.89,1400.0,758006.0,0
2011-07-14,540.0,579.0,550.0,565.0,4.63,1858.0,1060822.0,0
2011-07-17,565.0,587.0,576.0,587.0,3.89,717.0,413102.0,0
2011-07-18,587.0,645.0,598.0,609.0,3.75,2197.0,1348988.0,0
2011-07-19,609.0,630.0,612.0,615.0,0.99,4001.0,2473227.0,0
2011-07-20,615.0,620.0,615.0,620.0,0.81,1024.0,630640.0,0
2011-07-21,620.0,632.0,605.0,605.0,-2.42,3322.0,2044532.0,0
2011-07-24,605.0,610.0,572.0,572.0,-5.45,922.0,535632.0,0
2011-07-26,572.0,570.0,565.0,565.0,-1.22,690.0,391555.0,0
2011-07-27,565.0,595.0,557.0,595.0,5.31,3366.0,1927383.0,0
2011-07-28,595.0,602.0,588.0,588.0,-1.18,250.0,149430.0,0
2011-07-31,588.0,588.0,579.0,579.0,-1.53,401.0,232818.0,0
2011-08-01,579.0,568.0,568.0,568.0,-1.90,156.0,88608.0,0
2011-08-02,568.0,565.0,557.0,557.0,-1.94,461.0,257780.0,0
2011-08-03,557.0,553.0,548.0,548.0,-1.62,756.0,416018.0,0
2011-08-04,548.0,548.0,538.0,539.0,-1.64,1190.0,640760.0,0
2011-08-07,539.0,550.0,535.0,550.0,2.04,605.0,327320.0,0
2011-08-08,550.0,540.0,540.0,540.0,-1.82,1394.0,752760.0,0
2011-08-09,540.0,550.0,525.0,550.0,1.85,1239.0,658819.0,0
2011-08-10,550.0,551.0,541.0,551.0,0.18,1214.0,660044.0,0
2011-08-11,551.0,559.0,545.0,559.0,1.45,767.0,426725.0,0
2011-08-15,559.0,579.0,569.0,579.0,3.58,300.0,171286.0,0
2011-08-16,579.0,570.0,568.0,570.0,-1.55,411.0,234005.0,0
2011-08-17,570.0,570.0,570.0,570.0,0.0,76.0,43320.0,0
2011-08-18,570.0,580.0,565.0,580.0,1.75,316.0,181650.0,0
2011-08-22,580.0,569.0,558.0,558.0,-3.79,163.0,91197.0,0
2011-08-23,558.0,547.0,537.0,541.0,-3.05,588.0,319056.0,0
2011-08-25,541.0,531.0,512.0,530.0,-2.03,1975.0,1022645.0,0
2011-08-28,530.0,520.0,510.0,510.0,-3.77,362.0,185940.0,0
2011-08-29,510.0,501.0,481.0,500.0,-1.96,1285.0,628125.0,0
2011-08-30,500.0,528.0,508.0,509.0,1.80,697.0,356040.0,0
2011-09-04,509.0,520.0,502.0,502.0,-1.38,682.0,350578.0,0
2011-09-06,502.0,495.0,495.0,495.0,-1.39,97.0,48015.0,0
2011-09-07,495.0,505.0,503.0,505.0,2.02,370.0,186426.0,0
2011-09-08,505.0,505.0,500.0,505.0,0.0,192.0,96460.0,0
2011-09-12,505.0,505.0,495.0,495.0,-1.98,1153.0,577285.0,0
2011-09-13,495.0,495.0,471.0,471.0,-4.85,532.0,257404.0,0
2011-09-14,471.0,471.0,443.0,443.0,-5.94,1473.0,669578.0,0
2011-09-15,443.0,459.0,445.0,459.0,3.61,475.0,212100.0,0
2011-09-18,459.0,459.0,459.0,459.0,0.0,100.0,45900.0,0
2011-09-19,459.0,450.0,446.0,446.0,-2.83,688.0,307894.0,0
2011-09-20,446.0,460.0,445.0,460.0,3.14,818.0,368722.0,0
2011-09-21,460.0,455.0,450.0,451.0,-1.96,228.0,103180.0,0
2011-09-22,451.0,455.0,450.0,455.0,0.89,400.0,180500.0,0
2011-09-25,455.0,476.0,464.0,476.0,4.62,732.0,345314.0,0
2011-09-26,476.0,476.0,465.0,465.0,-2.31,319.0,149675.0,0
2011-09-27,465.0,475.0,465.0,475.0,2.15,915.0,429729.0,0
2011-09-29,475.0,480.0,480.0,480.0,1.05,100.0,48000.0,0
2011-10-02,480.0,498.0,489.0,498.0,3.75,110.0,53880.0,0
2011-10-16,498.0,494.0,485.0,494.0,-0.80,133.0,65085.0,0
2011-10-17,494.0,491.0,488.0,491.0,-0.61,494.0,241872.0,0
2011-10-18,491.0,500.0,491.0,491.0,0.0,347.0,171018.0,0
2011-10-19,491.0,500.0,490.0,490.0,-0.20,182.0,89530.0,0
2011-10-20,490.0,510.0,490.0,510.0,4.08,2440.0,1212100.0,0
2011-10-23,510.0,515.0,515.0,515.0,0.98,20.0,10300.0,0
2011-10-24,515.0,524.0,508.0,508.0,-1.36,2193.0,1118664.0,0
2011-10-25,508.0,509.0,500.0,500.0,-1.57,506.0,255487.0,0
2011-10-30,500.0,490.0,482.0,488.0,-2.40,551.0,269308.0,0
2011-10-31,488.0,499.0,480.0,499.0,2.25,1440.0,705722.0,0
2011-11-02,499.0,528.0,508.0,528.0,5.81,160.0,81980.0,0
2011-11-03,528.0,532.0,520.0,526.0,-0.38,4055.0,2121653.0,0
2011-11-08,526.0,477.0,477.0,477.0,-9.32,155.0,73935.0,0
2011-11-09,477.0,480.0,462.0,462.0,-3.14,2403.0,1139199.0,0
2011-11-10,462.0,465.0,465.0,465.0,0.65,23.0,10695.0,0
2011-11-13,465.0,466.0,460.0,463.0,-0.43,182.0,84035.0,0
2011-11-14,463.0,454.0,454.0,454.0,-1.94,52.0,23608.0,0
2011-11-15,454.0,450.0,450.0,450.0,-0.88,100.0,45000.0,0
2011-11-17,450.0,451.0,450.0,451.0,0.22,96.0,43217.0,0
2011-11-20,451.0,455.0,450.0,455.0,0.89,3456.0,1556890.0,0
2011-11-21,455.0,460.0,452.0,460.0,1.10,605.0,276128.0,0
2011-11-22,460.0,455.0,452.0,455.0,-1.09,1561.0,706853.0,0
2011-11-23,455.0,455.0,455.0,455.0,0.0,300.0,136500.0,0
2011-11-27,455.0,450.0,447.0,450.0,-1.10,530.0,238110.0,0
2011-12-01,449.0,449.0,449.0,449.0,-0.22,267.0,119883.0,0
2011-12-04,449.0,441.0,441.0,441.0,-1.78,78.0,34398.0,0
2011-12-05,441.0,445.0,438.0,440.0,-0.23,264.0,116795.0,0
2011-12-07,440.0,435.0,425.0,425.0,-3.41,1587.0,685015.0,0
2011-12-11,425.0,430.0,423.0,423.0,-0.47,262.0,111330.0,0
2011-12-12,423.0,423.0,423.0,423.0,0.0,459.0,194157.0,0
2011-12-13,423.0,431.0,431.0,431.0,1.89,577.0,248687.0,0
2011-12-15,431.0,423.0,418.0,420.0,-2.55,708.0,297276.0,0
2011-12-18,420.0,415.0,411.0,413.0,-1.67,1154.0,476454.0,0
2011-12-19,413.0,421.0,415.0,421.0,1.94,230.0,95552.0,0
2011-12-20,421.0,424.0,416.0,418.0,-0.71,819.0,343796.0,0
2011-12-21,418.0,420.0,412.0,413.0,-1.20,1730.0,714267.0,0
2011-12-22,413.0,415.0,410.0,415.0,0.48,1733.0,713440.0,0
2011-12-26,415.0,412.0,405.0,410.0,-1.20,2021.0,826743.0,0
2011-12-27,410.0,414.0,409.0,409.0,-0.24,479.0,196234.0,0
2011-12-28,409.0,409.0,401.0,409.0,0.0,665.0,267456.0,0
2011-12-29,409.0,411.0,406.0,406.0,-0.73,592.0,241024.0,0
2012-01-01,406.0,416.0,410.0,416.0,2.46,1032.0,426858.0,0
2012-01-02,416.0,430.0,422.0,430.0,3.37,592.0,250916.0,0
