published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-01-03,1000.00,1000.00,1000.00,1000.00,0.00,10.00,10000.00,0
2024-01-11,980.00,980.00,904.00,904.00,-9.60,285.00,275640.00,-1
2024-01-14,892.00,911.00,892.00,908.00,0.44,215.00,194780.00,1
2024-01-15,892.00,911.00,892.00,908.00,0.44,215.00,194780.00,1
2024-01-16,910.00,910.00,890.00,900.00,-0.88,39.00,35090.00,-1
2024-01-18,882.00,882.00,838.00,850.00,-5.56,160.00,135975.00,-1
2024-01-22,850.00,850.00,850.00,850.00,0.00,5.00,4508.10,0
2024-01-23,991.70,991.70,991.70,991.70,6.06,14.00,13847.40,1
2024-01-24,991.70,991.70,991.70,991.70,0.00,6.00,5830.90,0
2024-01-31,971.80,971.80,971.80,971.80,0.00,3.00,2894.70,0
2024-02-01,945.60,945.60,945.60,945.60,-2.70,15.00,14184.10,-1
2024-02-07,926.70,926.70,908.20,908.50,-3.92,1415.00,1308250.50,-1
2024-02-08,895.10,895.10,895.10,895.10,-1.47,25.00,22377.50,-1
2024-02-11,877.50,893.00,860.00,893.00,-0.23,155.00,136587.50,-1
2024-02-12,875.20,890.50,875.20,890.50,-0.28,115.00,102153.00,-1
2024-02-15,880.10,880.10,880.10,880.10,-1.17,25.00,22002.50,-1
2024-02-20,890.00,890.00,886.00,886.00,0.67,100.00,88700.00,1
2024-02-21,900.00,900.00,882.00,882.60,-0.38,75.00,66612.70,-1
2024-02-25,900.20,918.00,900.20,900.20,1.99,112.00,101770.00,1
2024-02-26,917.90,918.00,900.00,900.00,-0.02,65.00,59217.50,-1
2024-02-27,918.00,920.00,912.00,920.00,2.22,107.00,97860.00,1
2024-02-28,910.00,915.00,910.00,915.00,-0.54,125.00,114125.00,-1
2024-03-05,900.20,900.20,900.20,900.20,-1.62,40.00,36008.00,-1
2024-03-07,903.00,907.10,903.00,907.10,0.77,50.00,45252.50,1
2024-03-10,915.00,925.00,915.00,925.00,1.97,150.00,137750.00,1
2024-03-11,915.00,925.00,915.00,925.00,1.97,150.00,137750.00,1
2024-03-13,915.00,915.00,910.10,910.10,-1.61,50.00,45627.50,-1
2024-03-14,910.20,911.00,910.20,911.00,0.10,110.00,100149.50,1
2024-03-17,910.20,910.20,910.00,910.00,-0.11,50.00,45508.00,-1
2024-03-18,928.00,928.00,928.00,928.00,1.98,25.00,23200.00,1
2024-03-19,928.00,928.00,928.00,928.00,0.00,30.00,27840.00,0
2024-03-20,946.50,946.50,946.50,946.50,1.99,20.00,18930.00,1
2024-03-21,927.60,927.60,927.60,927.60,-2.00,25.00,23190.00,-1
2024-03-24,927.60,927.60,927.60,927.60,-2.00,25.00,23190.00,-1
2024-03-25,927.60,928.00,927.60,928.00,0.04,180.00,167000.00,1
2024-03-26,928.00,928.00,927.60,927.70,-0.03,100.00,92772.50,-1
2024-03-27,927.70,927.70,927.70,927.70,0.00,25.00,23192.50,0
2024-03-28,918.10,930.00,918.10,930.00,0.25,50.00,46202.50,1
2024-03-31,948.60,948.60,948.60,948.60,2.00,155.00,147033.00,1
2024-04-01,930.00,948.60,930.00,948.60,0.00,75.00,70587.00,0
2024-04-02,950.00,950.00,950.00,950.00,0.15,80.00,76000.00,1
2024-04-03,955.00,962.00,955.00,962.00,1.26,75.00,71800.00,1
2024-04-07,943.10,943.10,943.10,943.10,-1.96,25.00,23577.50,-1
2024-04-08,943.10,943.10,943.10,943.10,-1.96,25.00,23577.50,-1
2024-04-09,943.10,961.00,943.10,956.00,1.37,176.00,168111.00,1
2024-04-10,951.50,951.50,951.50,951.50,-0.47,75.00,71362.50,-1
2024-04-11,951.50,951.50,951.50,951.50,-0.47,75.00,71362.50,-1
2024-04-14,956.10,995.00,956.00,995.00,4.57,450.00,442613.50,1
2024-04-18,1005.00,1010.00,1000.00,1000.00,0.50,1075.00,1079025.00,1
2024-04-21,1010.00,1010.00,992.50,994.00,-0.60,90.00,89790.00,-1
2024-04-22,995.00,1000.00,994.00,1000.00,0.60,100.00,99725.00,1
2024-04-23,995.00,1000.00,994.00,1000.00,0.60,100.00,99725.00,1
2024-04-24,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2024-04-28,986.00,986.00,986.00,986.00,-1.40,25.00,24650.00,-1
2024-04-29,1000.00,1030.00,1000.00,1030.00,4.46,685.00,704700.00,1
2024-04-30,1010.00,1010.00,1010.00,1010.00,-1.94,200.00,202000.00,-1
2024-05-01,1010.00,1010.00,1010.00,1010.00,-1.94,200.00,202000.00,-1
2024-05-02,990.00,1000.00,989.80,991.00,-1.88,180.00,178720.00,-1
2024-05-06,983.00,988.50,983.00,988.10,-0.29,100.00,98702.50,-1
2024-05-07,982.00,982.00,982.00,982.00,-0.62,25.00,24550.00,-1
2024-05-09,984.00,984.00,984.00,984.00,0.20,25.00,24600.00,1
2024-05-12,981.30,987.00,981.30,987.00,0.30,50.00,49207.50,1
2024-05-13,1006.70,1006.70,1006.70,1006.70,2.00,25.00,25167.50,1
2024-05-14,1006.00,1007.20,1006.00,1007.10,0.04,75.00,75507.50,1
2024-05-15,1015.00,1015.00,1015.00,1015.00,0.78,125.00,126875.00,1
2024-05-16,1001.00,1001.00,1001.00,1001.00,-1.38,25.00,25025.00,-1
2024-05-20,1021.00,1021.00,1021.00,1021.00,2.00,25.00,25525.00,1
2024-05-22,1000.60,1000.60,1000.60,1000.60,-2.00,112.00,112067.20,-1
2024-05-23,1000.60,1000.60,1000.60,1000.60,-2.00,112.00,112067.20,-1
2024-05-26,982.00,985.00,982.00,985.00,-1.56,100.00,98425.00,-1
2024-05-27,1000.00,1000.00,1000.00,1000.00,1.52,25.00,25000.00,1
2024-05-28,1000.00,1000.00,1000.00,1000.00,1.52,25.00,25000.00,1
2024-05-29,987.00,987.00,987.00,987.00,-1.30,25.00,24675.00,-1
2024-06-02,987.00,990.00,984.00,990.00,0.30,2000.00,1973910.00,1
2024-06-11,1004.70,1009.80,1004.70,1009.80,2.00,100.00,100718.10,1
2024-06-12,996.00,996.00,996.00,996.00,-1.37,25.00,24900.00,-1
2024-06-16,1010.00,1010.00,995.00,995.00,-0.10,50.00,50125.00,-1
2024-06-17,1010.00,1010.00,995.00,995.00,-0.10,50.00,50125.00,-1
2024-06-19,1014.00,1014.90,1014.00,1014.90,2.00,50.00,50722.50,1
2024-06-20,996.10,996.10,996.10,996.10,-1.85,25.00,24902.50,-1
2024-06-24,999.00,999.00,999.00,999.00,0.29,30.00,29970.00,1
2024-06-26,999.00,999.00,995.00,996.00,-0.30,225.00,224377.50,-1
2024-06-27,997.00,1030.00,997.00,1030.00,3.41,805.00,827975.00,1
2024-07-01,1030.00,1030.00,1030.00,1030.00,0.00,200.00,206000.00,0
2024-07-02,1010.00,1010.00,1010.00,1010.00,-1.94,55.00,55550.00,-1
2024-07-03,1000.00,1000.00,1000.00,1000.00,-0.99,25.00,25000.00,-1
2024-07-04,1000.00,1000.00,998.00,998.00,-0.20,50.00,49950.00,-1
2024-07-07,1000.00,1000.00,1000.00,1000.00,0.20,100.00,100000.00,1
2024-07-08,986.00,986.00,986.00,986.00,-1.40,25.00,24650.00,-1
2024-07-09,1000.00,1000.00,1000.00,1000.00,1.42,40.00,40000.00,1
2024-07-10,1020.00,1020.00,1001.00,1001.00,0.10,55.00,55625.00,1
2024-07-11,995.00,995.00,991.50,991.50,-0.95,100.00,99412.50,-1
2024-07-16,975.00,975.00,975.00,975.00,-1.66,27.00,26325.00,-1
2024-07-17,966.00,966.00,966.00,966.00,-0.92,25.00,24150.00,-1
2024-07-18,966.00,966.00,966.00,966.00,0.00,25.00,24150.00,0
2024-07-21,965.00,965.00,965.00,965.00,-0.10,25.00,24125.00,-1
2024-07-22,984.30,1003.50,984.30,1003.50,3.99,58.00,57918.50,1
2024-07-23,986.00,986.00,986.00,986.00,-1.74,25.00,24650.00,-1
