published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-04-03,1000.00,1040.00,1000.00,1002.10,0.00,5018.00,5214133.00,0
2024-04-04,1002.80,1023.00,1002.80,1023.00,2.09,150.00,152925.00,1
2024-04-07,1010.00,1016.00,1010.00,1016.00,-0.68,225.00,227700.00,-1
2024-04-08,1010.00,1016.00,1010.00,1016.00,-0.68,225.00,227700.00,-1
2024-04-09,1026.10,1026.10,1026.10,1026.10,0.99,50.00,51305.00,1
2024-04-10,1046.60,1046.60,1046.60,1046.60,2.00,10.00,10466.00,1
2024-04-11,1046.60,1046.60,1046.60,1046.60,2.00,10.00,10466.00,1
2024-04-14,1036.60,1041.10,1036.50,1041.00,-0.54,75.00,77853.50,-1
2024-04-15,1061.00,1061.00,1047.00,1050.10,0.87,105.00,110378.00,1
2024-04-16,1071.00,1155.00,1071.00,1155.00,9.99,865.00,968318.00,1
2024-04-17,1071.00,1155.00,1071.00,1155.00,9.99,865.00,968318.00,1
2024-04-18,1132.00,1132.00,1087.50,1087.50,-5.84,75.00,83222.50,-1
2024-04-21,1067.00,1069.00,1067.00,1067.00,-1.89,125.00,133465.00,-1
2024-04-22,1071.00,1088.30,1071.00,1088.30,2.00,65.00,70307.00,1
2024-04-23,1071.00,1088.30,1071.00,1088.30,2.00,65.00,70307.00,1
2024-04-24,1068.00,1089.00,1068.00,1070.00,-1.68,125.00,135075.00,-1
2024-04-28,1075.00,1075.00,1075.00,1075.00,0.47,25.00,26875.00,1
2024-04-29,1062.00,1071.00,1062.00,1071.00,-0.37,50.00,53325.00,-1
2024-04-30,1080.00,1092.40,1080.00,1092.40,2.00,75.00,81620.00,1
2024-05-01,1080.00,1092.40,1080.00,1092.40,2.00,75.00,81620.00,1
2024-05-02,1071.00,1071.00,1071.00,1071.00,-1.96,25.00,26775.00,-1
2024-05-05,1082.10,1082.10,1082.10,1082.10,1.04,15.00,16231.50,1
2024-05-09,1092.70,1092.70,1092.70,1092.70,0.98,10.00,10927.00,1
2024-05-12,1075.70,1075.70,1074.00,1074.00,-1.71,50.00,53742.50,-1
2024-05-14,1095.00,1095.00,1077.00,1090.00,1.49,150.00,162325.00,1
2024-05-15,1071.00,1092.40,1071.00,1092.40,0.22,50.00,54085.00,1
2024-05-19,1080.00,1092.00,1080.00,1092.00,-0.04,120.00,130605.00,-1
2024-05-22,1092.00,1092.00,1092.00,1092.00,0.00,50.00,54600.00,0
2024-05-23,1092.00,1092.00,1092.00,1092.00,0.00,50.00,54600.00,0
2024-05-26,1113.00,1113.00,1113.00,1113.00,1.92,55.00,61215.00,1
2024-05-27,1095.00,1095.00,1095.00,1095.00,-1.62,75.00,82125.00,-1
2024-05-28,1095.00,1095.00,1095.00,1095.00,-1.62,75.00,82125.00,-1
2024-05-30,1110.00,1115.00,1110.00,1115.00,1.83,55.00,61200.00,1
2024-06-02,1100.00,1100.00,1100.00,1100.00,-1.35,25.00,27500.00,-1
2024-06-03,1079.00,1080.00,1079.00,1080.00,-1.82,100.00,107975.00,-1
2024-06-06,1081.00,1102.70,1081.00,1102.70,2.10,85.00,92647.00,1
2024-06-12,1085.00,1085.00,1085.00,1085.00,-1.61,25.00,27125.00,-1
2024-06-18,1104.00,1106.70,1104.00,1106.70,2.00,180.00,199123.00,1
2024-06-25,1084.60,1084.60,1084.60,1084.60,-2.00,25.00,27115.00,-1
2024-07-07,1095.00,1095.00,1095.00,1095.00,0.96,25.00,27375.00,1
2024-07-08,1085.70,1085.70,1085.60,1085.60,-0.86,50.00,54282.50,-1
2024-07-09,1091.00,1091.00,1091.00,1091.00,0.50,25.00,27275.00,1
2024-07-14,1100.00,1100.00,1100.00,1100.00,0.82,100.00,110000.00,1
2024-07-16,1100.00,1100.00,1056.50,1056.50,-3.95,110.00,117310.50,-1
2024-07-18,1075.00,1075.00,1075.00,1075.00,1.75,65.00,69875.00,1
2024-07-31,1096.50,1100.10,1091.00,1099.00,2.23,101.00,110785.00,1
2024-08-01,1119.60,1119.60,1119.60,1119.60,1.87,41.00,45926.40,1
2024-08-04,1119.60,1119.60,1119.60,1119.60,1.87,41.00,45926.40,1
2024-08-05,1100.00,1100.00,1100.00,1100.00,-1.75,52.00,57200.00,-1
2024-08-07,1111.80,1111.80,1111.80,1111.80,1.07,51.00,56680.00,1
2024-08-08,1111.80,1111.80,1111.80,1111.80,0.00,25.00,27795.00,0
2024-08-13,1100.00,1100.00,1100.00,1100.00,-1.06,50.00,55000.00,-1
2024-08-14,1095.00,1095.00,1095.00,1095.00,-0.45,25.00,27375.00,-1
2024-08-15,1100.00,1100.00,1100.00,1100.00,0.46,125.00,137500.00,1
2024-08-21,1100.00,1100.00,1100.00,1100.00,0.00,25.00,27500.00,0
2024-08-27,1100.00,1100.00,1100.00,1100.00,0.00,200.00,220000.00,0
2024-08-28,1121.90,1122.00,1121.90,1122.00,2.00,75.00,84149.00,1
2024-09-01,1101.00,1101.00,1101.00,1101.00,-1.87,25.00,27525.00,-1
2024-09-03,1105.00,1105.00,1105.00,1105.00,0.36,100.00,110500.00,1
2024-09-05,1115.00,1125.00,1115.00,1120.00,1.36,45.00,50400.00,1
2024-09-08,1107.10,1129.00,1107.10,1129.00,0.80,115.00,129287.50,1
2024-09-10,1109.00,1120.00,1109.00,1120.00,-0.80,125.00,138900.00,-1
2024-09-11,1130.00,1130.00,1130.00,1130.00,0.89,25.00,28250.00,1
2024-09-15,1131.00,1131.00,1108.40,1116.00,-1.24,125.00,140550.00,-1
2024-09-16,1138.30,1138.30,1138.30,1138.30,2.00,25.00,28457.50,1
2024-09-17,1138.30,1138.30,1138.30,1138.30,2.00,25.00,28457.50,1
2024-09-18,1138.30,1138.30,1138.30,1138.30,0.00,25.00,28457.50,0
2024-09-19,1138.30,1138.30,1138.30,1138.30,0.00,25.00,28457.50,0
2024-09-22,1161.10,1161.10,1161.10,1161.10,2.00,90.00,104385.50,1
2024-09-24,1137.90,1137.90,1137.90,1137.90,-2.00,25.00,28447.50,-1
2024-09-25,1138.10,1160.60,1138.10,1160.60,1.99,106.00,121898.60,1
2024-09-26,1182.00,1182.00,1182.00,1182.00,2.00,27.00,31917.60,1
2024-09-29,1184.00,1207.50,1184.00,1207.50,2.00,77.00,91450.00,1
2024-09-30,1208.00,1208.00,1208.00,1208.00,0.04,85.00,102680.00,1
2024-10-22,1183.90,1183.90,1183.90,1183.90,-2.00,25.00,29597.50,-1
2024-10-23,1207.00,1207.00,1200.00,1200.00,1.36,80.00,96385.00,1
2024-10-27,1200.00,1200.00,1200.00,1200.00,0.00,25.00,30000.00,0
2024-10-29,1205.00,1205.00,1205.00,1205.00,0.42,110.00,132550.00,1
2024-10-30,1210.00,1210.00,1210.00,1210.00,0.41,100.00,121000.00,1
2024-10-31,1210.00,1210.00,1210.00,1210.00,0.41,100.00,121000.00,1
2024-11-03,1210.00,1210.00,1210.00,1210.00,0.41,100.00,121000.00,1
2024-11-04,1210.00,1210.00,1210.00,1210.00,0.41,100.00,121000.00,1
2024-11-14,1200.00,1200.00,1200.00,1200.00,-0.83,2918.00,3501600.00,-1
2024-11-21,1200.00,1200.00,1200.00,1200.00,0.00,30.00,36000.00,0
2024-11-27,1176.00,1176.00,1176.00,1176.00,-2.00,100.00,117600.00,-1
2024-12-02,1153.00,1153.00,1153.00,1153.00,-1.96,25.00,28825.00,-1
