published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,970.00,970.00,966.00,967.00,0.61,80.00,77405.00,1
2021-11-09,967.00,967.00,967.00,967.00,0.00,25.00,24175.00,0
2021-11-10,967.00,967.00,967.00,967.00,0.00,25.00,24175.00,0
2021-11-11,960.00,960.00,960.00,960.00,-0.72,25.00,24000.00,-1
2021-11-12,960.00,960.00,960.00,960.00,-0.72,25.00,24000.00,-1
2021-11-15,960.10,960.10,960.10,960.10,0.01,50.00,48005.00,1
2021-11-16,960.00,960.00,960.00,960.00,-0.01,100.00,96000.00,-1
2021-11-17,960.00,960.00,960.00,960.00,0.00,50.00,48000.00,0
2021-11-18,960.00,960.00,960.00,960.00,0.00,25.00,24000.00,0
2021-11-19,960.00,960.00,960.00,960.00,0.00,25.00,24000.00,0
2021-11-25,960.00,960.00,960.00,960.00,0.24,25.00,24000.00,1
2021-11-26,960.00,960.00,960.00,960.00,0.24,25.00,24000.00,1
2021-11-29,960.00,960.00,955.60,955.60,-0.46,150.00,143780.00,-1
2021-12-01,955.20,955.20,955.20,955.20,-0.04,25.00,23880.00,-1
2021-12-02,954.50,954.50,954.50,954.50,-0.07,25.00,23862.50,-1
2021-12-03,954.50,954.50,954.50,954.50,-0.07,25.00,23862.50,-1
2021-12-07,951.30,955.20,951.30,955.20,0.17,75.00,71447.50,1
2021-12-08,951.10,951.10,951.10,951.10,-0.43,25.00,23777.50,-1
2021-12-13,950.00,950.00,950.00,950.00,-0.12,50.00,47500.00,-1
2021-12-14,950.20,951.20,950.00,951.20,0.13,110.00,104567.50,1
2021-12-15,950.20,950.20,950.10,950.10,-0.12,65.00,61759.00,-1
2021-12-16,955.00,969.00,955.00,969.00,1.99,75.00,72325.00,1
2021-12-17,955.00,969.00,955.00,969.00,1.99,75.00,72325.00,1
2021-12-20,969.50,969.50,969.50,969.50,0.05,25.00,24237.50,1
2021-12-22,950.40,969.00,950.40,969.00,-0.05,125.00,120660.00,-1
2022-01-03,955.00,955.00,955.00,955.00,0.49,25.00,23875.00,1
2022-01-04,974.10,974.10,974.10,974.10,2.00,10.00,9741.00,1
2022-01-05,955.00,955.00,955.00,955.00,-1.96,25.00,23875.00,-1
2022-01-06,974.10,980.00,970.00,980.00,2.62,100.00,97452.50,1
2022-01-07,974.10,980.00,970.00,980.00,2.62,100.00,97452.50,1
2022-01-10,999.90,1000.00,995.00,995.00,-0.46,125.00,124747.50,-1
2022-01-11,1000.10,1000.10,1000.10,1000.10,0.51,1000.00,1000100.00,1
2022-01-12,985.00,985.00,985.00,985.00,-1.51,25.00,24625.00,-1
2022-01-13,1000.00,1000.00,980.00,980.00,-0.51,125.00,123000.00,-1
2022-01-14,1000.00,1000.00,980.00,980.00,-0.51,125.00,123000.00,-1
2022-01-18,960.40,960.40,960.40,960.40,-2.00,100.00,96040.00,-1
2022-01-24,910.00,910.00,910.00,910.00,-1.41,75.00,68250.00,-1
2022-01-25,903.00,903.00,895.00,899.00,-1.21,175.00,157352.50,-1
2022-01-26,895.00,895.00,895.00,895.00,-0.44,25.00,22375.00,-1
2022-01-31,897.00,897.00,897.00,897.00,0.22,25.00,22425.00,1
2022-02-01,895.50,899.10,895.50,899.10,0.23,50.00,44865.00,1
2022-02-02,895.50,899.10,895.50,899.10,0.23,50.00,44865.00,1
2022-02-15,887.00,890.00,886.00,890.00,-1.01,125.00,111165.00,-1
2022-02-16,887.00,890.00,886.50,890.00,0.00,40.00,35520.00,0
2022-02-23,885.50,885.50,885.00,885.00,-0.56,35.00,30987.50,-1
2022-03-07,880.00,880.00,878.00,878.00,-0.79,125.00,109785.50,-1
2022-03-08,880.00,880.00,878.00,878.00,-0.79,125.00,109785.50,-1
2022-03-09,890.00,890.00,890.00,890.00,1.37,100.00,89000.00,1
2022-03-15,874.50,874.50,874.50,874.50,-1.74,25.00,21862.50,-1
2022-03-16,874.60,875.00,874.00,875.00,0.06,70.00,61221.50,1
2022-03-17,874.60,875.00,874.00,875.00,0.06,70.00,61221.50,1
2022-03-18,874.60,875.00,874.00,875.00,0.06,70.00,61221.50,1
2022-03-22,866.10,867.00,866.00,866.50,0.06,55.00,47651.50,1
2022-03-29,865.00,865.00,865.00,865.00,0.00,50.00,43250.00,0
2022-04-11,882.30,885.00,882.30,885.00,2.31,75.00,66240.00,1
2022-04-27,884.50,884.50,884.50,884.50,-1.99,50.00,44225.00,-1
2022-04-28,884.50,884.50,884.50,884.50,0.00,50.00,44225.00,0
2022-04-29,884.50,884.50,884.50,884.50,0.00,50.00,44225.00,0
2022-05-17,868.20,868.20,867.00,867.00,-1.98,100.00,86762.50,-1
2022-05-18,865.00,865.00,865.00,865.00,-0.23,100.00,86500.00,-1
2022-05-19,865.00,865.00,863.00,863.00,-0.23,100.00,86355.00,-1
2022-05-23,861.70,861.70,861.70,861.70,-0.15,25.00,21542.50,-1
2022-05-25,862.60,862.60,862.60,862.60,0.10,25.00,21565.00,1
2022-05-30,864.10,864.10,864.10,864.10,0.17,30.00,25923.00,1
2022-06-01,863.20,863.20,863.20,863.20,-0.10,25.00,21580.00,-1
2022-06-10,863.10,863.10,862.00,862.00,-0.14,100.00,86250.00,-1
2022-06-13,862.50,862.50,862.50,862.50,0.06,20.00,17250.00,1
2022-06-14,862.50,862.50,862.50,862.50,0.00,15.00,12937.50,0
2022-06-15,862.50,862.50,862.50,862.50,0.00,25.00,21562.50,0
2022-06-20,861.70,861.70,861.70,861.70,-0.09,25.00,21542.50,-1
2022-07-15,892.00,892.50,892.00,892.50,2.00,50.00,44612.50,1
2022-07-20,874.70,874.70,857.30,857.30,-3.94,107.00,92601.10,-1
2022-07-21,857.30,857.30,857.30,857.30,0.00,25.00,21432.50,0
2022-07-22,857.00,857.00,857.00,857.00,-0.03,10.00,8570.00,-1
2022-07-24,856.00,856.00,856.00,856.00,-0.12,25.00,21400.00,-1
2022-07-27,838.90,838.90,838.90,838.90,-2.00,100.00,83890.00,-1
2022-07-29,822.20,822.20,822.20,822.20,-1.99,60.00,49332.00,-1
2022-08-03,822.50,822.50,822.50,822.50,0.04,50.00,41125.00,1
2022-08-10,822.00,822.00,822.00,822.00,-0.06,25.00,20550.00,-1
2022-08-16,810.00,810.00,810.00,810.00,-1.46,25.00,20250.00,-1
2022-08-18,806.00,807.00,800.00,800.00,-1.23,225.00,180775.00,-1
2022-08-19,806.00,807.00,800.00,800.00,-1.23,225.00,180775.00,-1
2022-08-22,791.30,791.30,791.30,791.30,-1.09,25.00,19782.50,-1
2022-08-30,791.20,791.20,791.00,791.00,-0.04,50.00,39555.00,-1
2022-08-31,790.00,790.00,790.00,790.00,-0.13,25.00,19750.00,-1
2022-09-01,790.00,790.00,782.00,782.00,-1.01,1545.00,1209425.00,-1
2022-09-08,771.10,771.10,771.10,771.10,-1.39,25.00,19277.50,-1
2022-09-09,771.10,771.10,771.10,771.10,-1.39,25.00,19277.50,-1
2022-09-12,771.00,771.00,771.00,771.00,-0.01,25.00,19275.00,-1
2022-09-15,768.10,768.10,768.10,768.10,-0.38,25.00,19202.50,-1
2022-09-20,760.10,760.10,760.10,760.10,-1.04,25.00,19002.50,-1
2022-09-22,761.00,761.00,761.00,761.00,0.12,25.00,19025.00,1
2022-10-10,776.20,776.20,776.20,776.20,2.00,10.00,7762.00,1
2022-10-11,775.00,791.70,775.00,791.70,2.00,75.00,58892.50,1
2022-10-12,807.40,807.40,807.40,807.40,1.98,10.00,8074.00,1
2022-10-20,791.40,791.40,791.40,791.40,-1.98,25.00,19785.00,-1
2022-11-02,777.50,777.50,777.50,777.50,-1.76,100.00,77750.00,-1
2022-11-06,762.00,762.00,762.00,762.00,-1.99,25.00,19050.00,-1
2022-11-08,756.00,756.00,756.00,756.00,-0.79,25.00,18900.00,-1
2022-12-13,756.00,757.10,756.00,757.10,0.15,50.00,37827.50,1
2022-12-18,757.10,757.10,757.00,757.00,-0.01,100.00,75705.30,-1
2022-12-19,754.30,754.30,754.30,754.30,-0.36,25.00,18857.50,-1
2022-12-20,756.30,756.30,756.30,756.30,0.27,120.00,90756.00,1
2022-12-26,771.40,771.40,771.40,771.40,2.00,75.00,57855.00,1
2022-12-27,771.40,771.40,771.40,771.40,0.00,25.00,19285.00,0
2023-01-01,771.40,771.40,771.40,771.40,0.00,25.00,19285.00,0
2023-01-04,786.80,786.80,786.80,786.80,2.00,100.00,78680.00,1
2023-01-10,786.00,786.00,786.00,786.00,-0.10,30.00,23580.00,-1
2023-01-11,786.00,786.00,786.00,786.00,-0.10,30.00,23580.00,-1
2023-01-12,801.70,801.70,801.70,801.70,2.00,200.00,160340.00,1
2023-01-15,801.70,801.70,801.70,801.70,2.00,200.00,160340.00,1
2023-01-16,801.70,801.70,801.70,801.70,2.00,200.00,160340.00,1
2023-01-23,790.00,790.00,780.00,780.00,-2.71,300.00,236300.00,-1
2023-01-25,780.00,780.00,780.00,780.00,0.00,150.00,117000.00,0
2023-01-29,780.00,780.00,780.00,780.00,0.00,200.00,156000.00,0
2023-02-01,764.40,764.40,764.40,764.40,-2.00,25.00,19110.00,-1
2023-02-05,750.10,750.10,750.10,750.10,-1.87,25.00,18752.50,-1
2023-02-12,755.00,755.00,755.00,755.00,0.65,30.00,22650.00,1
2023-02-13,755.00,755.00,755.00,755.00,0.65,30.00,22650.00,1
2023-02-22,770.00,770.00,770.00,770.00,1.99,300.00,231000.00,1
2023-03-22,756.10,756.10,756.10,756.10,-1.81,25.00,18902.50,-1
2023-03-23,746.00,746.00,746.00,746.00,-1.34,25.00,18650.00,-1
2023-03-26,746.20,746.20,746.10,746.10,0.01,50.00,37307.60,1
2023-04-19,781.20,781.20,781.20,781.20,2.00,25.00,19530.00,1
2023-04-27,780.00,780.00,780.00,780.00,-0.15,25.00,19500.00,-1
2023-05-03,795.60,795.60,781.00,781.00,0.13,50.00,39415.00,1
2023-05-04,780.00,780.00,780.00,780.00,-0.13,25.00,19500.00,-1
2023-05-09,795.60,795.60,795.60,795.60,2.00,10.00,7956.00,1
