published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1411.00,1420.00,1408.00,1410.00,-0.51,1081.00,1529129.20,-1
2021-11-05,1411.00,1420.00,1408.00,1410.00,-0.51,1081.00,1529129.20,-1
2021-11-08,1410.00,1428.00,1400.00,1403.00,-0.50,1055.00,1491377.00,-1
2021-11-09,1390.00,1390.00,1340.00,1365.00,-2.71,3062.00,4163024.10,-1
2021-11-10,1390.00,1390.00,1340.00,1365.00,-2.71,3062.00,4163024.10,-1
2021-11-11,1370.00,1370.00,1310.00,1310.00,-4.03,3819.00,5087327.30,-1
2021-11-12,1370.00,1370.00,1310.00,1310.00,-4.03,3819.00,5087327.30,-1
2021-11-15,1349.90,1349.90,1306.00,1320.00,-0.38,2071.00,2728237.00,-1
2021-11-16,1340.00,1360.00,1315.00,1350.00,2.27,631.00,850588.00,1
2021-11-17,1377.00,1384.00,1350.00,1350.00,0.00,1578.00,2138961.30,0
2021-11-18,1335.00,1358.00,1300.00,1358.00,0.59,3826.00,5030206.50,1
2021-11-19,1335.00,1358.00,1300.00,1358.00,0.59,3826.00,5030206.50,1
2021-11-22,1318.00,1335.00,1305.00,1330.00,1.13,1933.00,2553550.60,1
2021-11-23,1309.00,1320.00,1309.00,1311.00,-1.43,1367.00,1797918.00,-1
2021-11-24,1311.00,1319.00,1297.00,1319.00,0.61,2078.00,2715713.20,1
2021-11-25,1345.00,1345.00,1293.00,1298.30,-1.57,666.00,866695.70,-1
2021-11-26,1345.00,1345.00,1293.00,1298.30,-1.57,666.00,866695.70,-1
2021-11-29,1285.00,1285.00,1225.00,1225.00,-3.85,1100.00,1378343.90,-1
2021-11-30,1239.00,1254.60,1221.00,1235.00,0.82,2096.00,2575051.70,1
2021-12-01,1221.00,1239.00,1221.00,1235.00,0.00,552.00,678485.00,0
2021-12-02,1235.00,1240.00,1216.00,1221.00,-1.13,599.00,732193.10,-1
2021-12-03,1235.00,1240.00,1216.00,1221.00,-1.13,599.00,732193.10,-1
2021-12-06,1170.00,1240.00,1124.80,1235.00,3.83,1699.00,1974756.30,1
2021-12-07,1259.70,1259.70,1221.00,1245.00,0.81,334.00,414746.80,1
2021-12-08,1245.00,1245.00,1176.00,1188.00,-4.58,1622.00,1942049.40,-1
2021-12-09,1170.00,1175.00,1160.00,1165.00,-1.94,884.00,1031997.90,-1
2021-12-10,1170.00,1175.00,1160.00,1165.00,-1.94,884.00,1031997.90,-1
2021-12-13,1100.00,1100.00,1026.00,1040.60,-5.40,2747.00,2876951.50,-1
2021-12-14,1050.00,1122.00,1050.00,1122.00,7.82,411.00,445330.60,1
2021-12-15,1144.00,1210.00,1144.00,1145.00,2.05,1504.00,1764409.90,1
2021-12-16,1125.00,1125.00,1092.00,1115.00,-2.62,727.00,804138.00,-1
2021-12-17,1125.00,1125.00,1092.00,1115.00,-2.62,727.00,804138.00,-1
2021-12-20,1092.70,1118.00,1092.00,1097.00,-1.61,791.00,869717.40,-1
2021-12-21,1100.00,1125.00,1098.00,1120.00,2.10,877.00,973796.00,1
