published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,650.00,678.00,650.00,674.50,2.51,4493.00,2995207.00,1
2021-11-05,650.00,678.00,650.00,674.50,2.51,4493.00,2995207.00,1
2021-11-08,662.00,669.00,656.00,661.00,-2.00,3074.00,2036934.00,-1
2021-11-09,648.00,657.00,615.00,629.00,-4.84,8032.00,5075036.30,-1
2021-11-10,648.00,657.00,615.00,629.00,-4.84,8032.00,5075036.30,-1
2021-11-11,618.00,625.00,601.00,603.00,-4.13,5944.00,3626631.00,-1
2021-11-12,618.00,625.00,601.00,603.00,-4.13,5944.00,3626631.00,-1
2021-11-15,601.00,625.00,601.00,607.00,2.71,3571.00,2164994.00,1
2021-11-16,615.00,660.00,608.00,657.00,8.24,5269.00,3282504.30,1
2021-11-17,643.90,654.90,640.00,640.00,-2.59,6080.00,3938341.00,-1
2021-11-18,631.00,637.60,607.00,620.00,-3.13,2613.00,1634556.00,-1
2021-11-19,631.00,637.60,607.00,620.00,-3.13,2613.00,1634556.00,-1
2021-11-22,602.00,636.00,601.10,620.00,1.31,3429.00,2127378.00,1
2021-11-23,620.00,620.00,595.00,598.50,-3.47,5370.00,3229117.20,-1
2021-11-24,587.00,602.00,572.50,595.00,-0.58,5938.00,3503207.00,-1
2021-11-25,586.00,595.00,586.00,591.00,-0.67,3959.00,2339328.80,-1
2021-11-26,586.00,595.00,586.00,591.00,-0.67,3959.00,2339328.80,-1
2021-11-29,588.00,600.00,582.00,582.00,-3.00,2623.00,1551142.00,-1
2021-11-30,576.00,600.00,575.00,586.00,0.69,3434.00,2009639.40,1
2021-12-01,575.00,604.50,575.00,582.00,-0.68,2152.00,1256971.50,-1
2021-12-02,580.00,580.00,563.00,565.00,-2.92,5280.00,3010761.30,-1
2021-12-03,580.00,580.00,563.00,565.00,-2.92,5280.00,3010761.30,-1
2021-12-06,541.10,561.00,535.00,559.00,1.27,5156.00,2829439.30,1
2021-12-07,550.00,569.00,546.00,546.00,-2.33,2615.00,1462139.00,-1
2021-12-08,541.00,542.50,528.00,528.00,-3.30,1770.00,948467.00,-1
2021-12-09,521.00,531.00,521.00,531.00,0.57,2462.00,1297223.00,1
2021-12-10,521.00,531.00,521.00,531.00,0.57,2462.00,1297223.00,1
2021-12-13,497.70,500.00,474.00,475.00,-6.46,7613.00,3670985.60,-1
2021-12-14,484.00,513.00,484.00,510.00,7.37,1450.00,725364.00,1
2021-12-15,520.20,541.20,493.00,516.00,1.18,7486.00,3931353.50,1
2021-12-16,506.00,510.00,500.00,500.10,-3.08,3621.00,1821097.30,-1
2021-12-17,506.00,510.00,500.00,500.10,-3.08,3621.00,1821097.30,-1
2021-12-20,490.10,492.00,480.30,489.00,-2.22,1152.00,560964.40,-1
2021-12-21,487.00,510.00,485.10,510.00,4.29,5760.00,2897070.20,1
2021-12-22,515.00,538.00,505.00,520.20,2.00,3671.00,1934368.00,1
2021-12-23,520.00,545.70,518.00,545.70,4.90,6316.00,3370564.50,1
2021-12-24,520.00,545.70,518.00,545.70,4.90,6316.00,3370564.50,1
2021-12-27,609.90,646.00,555.00,555.10,-7.17,19138.00,11445010.00,-1
2021-12-28,545.00,560.20,535.00,555.00,-0.02,4412.00,2434369.00,-1
2021-12-29,555.00,577.00,555.00,567.00,2.16,2466.00,1390821.00,1
2021-12-30,555.00,577.00,555.00,567.00,2.16,2466.00,1390821.00,1
2021-12-31,555.00,577.00,555.00,567.00,2.16,2466.00,1390821.00,1
2022-01-03,580.00,600.00,580.00,590.00,1.72,10922.00,6482299.00,1
2022-01-04,580.00,602.50,579.00,602.50,2.12,7887.00,4711025.00,1
2022-01-05,591.00,602.80,585.20,594.00,-1.41,7365.00,4348352.40,-1
2022-01-06,594.00,600.00,583.00,588.00,-1.01,3515.00,2074528.00,-1
2022-01-07,594.00,600.00,583.00,588.00,-1.01,3515.00,2074528.00,-1
2022-01-10,605.00,617.00,602.30,611.90,1.01,14559.00,8889945.40,1
2022-01-11,603.00,647.00,603.00,642.00,4.92,16192.00,10343711.50,1
2022-01-12,654.00,654.00,618.00,618.00,-3.74,7330.00,4640876.30,-1
2022-01-13,615.00,633.80,611.00,632.00,2.27,11278.00,7032014.00,1
2022-01-14,615.00,633.80,611.00,632.00,2.27,11278.00,7032014.00,1
2022-01-17,654.00,656.00,640.00,649.80,-0.64,9869.00,6381639.80,-1
2022-01-18,650.00,650.00,629.40,635.00,-2.28,8413.00,5368203.40,-1
2022-01-19,626.00,635.00,622.50,623.00,-1.89,5729.00,3592398.40,-1
2022-01-20,620.00,639.00,615.10,639.00,2.57,7331.00,4627171.50,1
2022-01-21,620.00,639.00,615.10,639.00,2.57,7331.00,4627171.50,1
2022-01-24,625.00,649.70,617.00,638.50,0.24,16237.00,10172423.60,1
2022-01-25,627.00,677.40,617.00,650.00,1.80,31093.00,20116818.10,1
2022-01-26,638.00,676.20,627.20,676.20,4.03,20495.00,13266705.60,1
2022-01-27,689.70,689.70,653.10,680.00,0.56,22106.00,14812947.70,1
2022-01-28,689.70,689.70,653.10,680.00,0.56,22106.00,14812947.70,1
2022-01-31,682.00,690.00,672.00,677.00,-2.59,5502.00,3743579.20,-1
2022-02-01,667.00,677.00,665.50,671.00,-0.89,9311.00,6251237.00,-1
2022-02-02,667.00,677.00,665.50,671.00,-0.89,9311.00,6251237.00,-1
2022-02-03,675.00,676.00,658.10,663.00,-1.19,10430.00,6932271.40,-1
2022-02-04,675.00,676.00,658.10,663.00,-1.19,10430.00,6932271.40,-1
2022-02-07,630.20,663.00,630.20,663.00,3.11,6029.00,3904510.30,1
2022-02-08,676.20,698.00,654.00,657.00,-0.90,11671.00,7811840.00,-1
2022-02-09,657.00,658.00,640.10,646.00,-1.67,3458.00,2234121.00,-1
2022-02-10,634.10,645.00,634.10,644.00,-0.31,2290.00,1463746.00,-1
2022-02-11,634.10,645.00,634.10,644.00,-0.31,2290.00,1463746.00,-1
2022-02-14,605.00,634.00,605.00,611.10,0.02,3740.00,2309678.00,1
2022-02-15,598.90,622.00,598.90,615.00,0.64,2255.00,1380460.00,1
2022-02-16,605.00,639.00,605.00,625.00,1.63,2375.00,1481532.50,1
2022-02-17,621.00,630.00,620.00,624.00,-0.16,4974.00,3118057.50,-1
2022-02-18,621.00,630.00,620.00,624.00,-0.16,4974.00,3118057.50,-1
2022-02-21,610.00,620.00,600.00,614.90,1.30,1545.00,937997.00,1
2022-02-22,614.00,616.00,603.20,611.00,-0.63,3286.00,2001325.50,-1
2022-02-23,611.00,611.00,602.00,608.00,-0.49,1527.00,920427.20,-1
2022-02-24,608.00,610.00,584.00,585.00,-3.78,3452.00,2041677.00,-1
2022-02-25,608.00,610.00,584.00,585.00,-3.78,3452.00,2041677.00,-1
2022-02-28,570.00,583.00,559.00,580.00,0.87,5280.00,2992182.50,1
2022-03-01,570.00,583.00,559.00,580.00,0.87,5280.00,2992182.50,1
2022-03-02,570.00,570.00,551.10,563.00,-2.93,2081.00,1161065.00,-1
2022-03-03,570.00,570.00,551.10,563.00,-2.93,2081.00,1161065.00,-1
2022-03-04,570.00,570.00,551.10,563.00,-2.93,2081.00,1161065.00,-1
2022-03-07,555.00,566.00,552.00,556.00,-1.40,4263.00,2369701.00,-1
2022-03-08,555.00,566.00,552.00,556.00,-1.40,4263.00,2369701.00,-1
2022-03-09,560.00,560.00,536.10,537.20,-3.38,1875.00,1014407.00,-1
2022-03-10,536.00,546.90,529.50,546.90,1.81,1695.00,914594.00,1
2022-03-11,536.00,546.90,529.50,546.90,1.81,1695.00,914594.00,1
2022-03-14,575.00,589.90,571.00,584.00,-0.17,3057.00,1779904.00,-1
2022-03-15,580.00,606.90,573.00,595.00,1.88,3800.00,2226472.60,1
2022-03-16,606.90,606.90,590.60,597.00,0.34,3215.00,1907597.50,1
2022-03-17,606.90,606.90,590.60,597.00,0.34,3215.00,1907597.50,1
2022-03-18,606.90,606.90,590.60,597.00,0.34,3215.00,1907597.50,1
2022-03-21,589.10,604.00,589.10,604.00,0.67,1872.00,1113072.00,1
2022-03-22,606.00,609.90,595.30,605.10,0.18,3483.00,2104974.00,1
2022-03-23,593.20,603.00,590.00,599.00,-1.01,3516.00,2089671.00,-1
2022-03-24,588.10,615.00,588.10,600.00,0.17,6035.00,3661434.50,1
2022-03-25,588.10,615.00,588.10,600.00,0.17,6035.00,3661434.50,1
2022-03-28,658.20,658.20,632.00,635.10,-3.48,14600.00,9334996.90,-1
2022-03-29,635.00,636.00,625.50,632.00,-0.49,5906.00,3734832.00,-1
2022-03-30,630.00,657.40,623.00,644.00,1.90,6531.00,4137966.00,1
2022-03-31,650.00,665.00,617.40,640.00,-0.62,7669.00,4866191.50,-1
2022-04-01,650.00,665.00,617.40,640.00,-0.62,7669.00,4866191.50,-1
2022-04-04,636.00,636.40,613.00,618.10,-0.95,3006.00,1859779.00,-1
2022-04-05,610.00,612.00,588.00,593.00,-4.06,5796.00,3464842.10,-1
2022-04-06,585.00,594.00,580.10,580.10,-2.18,2875.00,1685363.00,-1
2022-04-07,580.00,598.50,575.00,585.40,0.91,5316.00,3118962.00,1
2022-04-08,580.00,598.50,575.00,585.40,0.91,5316.00,3118962.00,1
2022-04-11,590.00,600.00,576.00,576.00,-1.61,5075.00,2946929.00,-1
2022-04-12,565.00,575.00,558.00,562.00,-2.43,2130.00,1206497.90,-1
2022-04-13,562.00,565.00,546.00,562.00,0.00,2307.00,1286003.20,0
2022-04-14,562.00,565.00,546.00,562.00,0.00,2307.00,1286003.20,0
2022-04-15,562.00,565.00,546.00,562.00,0.00,2307.00,1286003.20,0
2022-04-18,555.00,555.00,535.10,540.00,-3.91,1486.00,806099.40,-1
2022-04-19,550.00,550.00,521.00,540.00,0.00,1262.00,683137.00,0
2022-04-20,531.00,540.00,525.00,525.00,-2.78,2952.00,1560225.50,-1
2022-04-21,517.00,529.50,510.10,529.50,0.86,1750.00,904178.00,1
2022-04-22,517.00,529.50,510.10,529.50,0.86,1750.00,904178.00,1
2022-04-25,555.00,565.00,550.00,555.00,0.00,2979.00,1655864.50,0
2022-04-26,544.00,559.00,541.00,541.00,-2.52,2116.00,1162813.00,-1
2022-04-27,532.00,545.00,532.00,536.00,-0.92,1501.00,811139.60,-1
2022-04-28,525.70,545.00,525.70,540.00,0.75,1430.00,773518.00,1
2022-04-29,525.70,545.00,525.70,540.00,0.75,1430.00,773518.00,1
2022-05-02,531.00,534.00,511.10,520.00,-3.70,4392.00,2283454.50,-1
2022-05-03,531.00,534.00,511.10,520.00,-3.70,4392.00,2283454.50,-1
2022-05-04,510.10,515.00,505.00,507.00,-2.50,1455.00,741484.00,-1
2022-05-05,497.00,503.10,488.10,494.00,-2.56,3109.00,1529606.10,-1
2022-05-06,497.00,503.10,488.10,494.00,-2.56,3109.00,1529606.10,-1
2022-05-09,495.00,515.10,490.00,496.10,0.22,1370.00,686371.00,1
2022-05-10,489.20,515.80,488.10,510.00,2.80,2230.00,1113482.90,1
2022-05-11,520.20,530.00,510.00,522.00,2.35,2259.00,1162319.00,1
2022-05-12,532.00,533.00,514.50,516.00,-1.15,6312.00,3306575.50,-1
2022-05-13,532.00,533.00,514.50,516.00,-1.15,6312.00,3306575.50,-1
2022-05-16,532.00,533.00,514.50,516.00,-1.15,6312.00,3306575.50,-1
2022-05-17,510.00,510.00,480.00,480.00,-6.98,4568.00,2216195.50,-1
2022-05-18,476.00,488.00,458.00,479.00,-0.21,7089.00,3307431.20,-1
2022-05-19,470.00,479.40,465.00,471.10,-1.65,4154.00,1961920.00,-1
