published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-01-23,374.80,404.20,374.80,404.20,9.99,1330.00,536641.00,1
2023-01-24,412.20,444.60,412.20,444.60,10.00,1740.00,772175.00,1
2023-01-25,436.10,489.00,436.10,489.00,9.99,44755.00,21878498.00,1
2023-01-26,498.70,537.90,492.00,495.00,1.23,63167.00,31627247.00,1
2023-01-29,485.10,514.00,476.00,498.00,0.61,23218.00,11462529.50,1
2023-01-30,507.90,507.90,473.00,477.00,-4.22,14178.00,6871107.70,-1
2023-01-31,467.50,492.50,459.00,469.90,-1.49,16773.00,7931206.20,-1
2023-02-01,475.00,493.60,467.50,493.00,4.92,28218.00,13742595.70,1
2023-02-02,500.00,502.80,484.00,488.00,-1.01,32515.00,16141878.80,-1
2023-02-05,487.00,495.00,479.00,485.00,-0.61,11668.00,5661837.10,-1
2023-02-06,478.00,492.00,475.40,484.90,-0.02,12433.00,5991748.50,-1
2023-02-07,494.00,513.80,488.00,499.90,3.09,20657.00,10255740.90,1
2023-02-08,505.00,515.10,496.10,503.90,0.80,36464.00,18532203.20,1
2023-02-09,495.00,500.00,490.00,496.00,-1.57,5463.00,2706662.90,-1
2023-02-12,500.00,500.00,475.90,485.00,-2.22,14627.00,7103010.20,-1
2023-02-13,500.00,500.00,475.90,485.00,-2.22,14627.00,7103010.20,-1
2023-02-14,481.00,485.00,471.40,479.20,-1.20,9992.00,4780320.00,-1
2023-02-15,470.70,484.00,470.70,473.00,-1.29,6796.00,3233557.30,-1
2023-02-16,465.00,470.00,461.10,463.00,-2.11,9279.00,4327035.80,-1
2023-02-19,465.00,470.00,461.10,463.00,-2.11,9279.00,4327035.80,-1
2023-02-20,455.00,471.80,446.10,455.00,-1.73,19162.00,8675259.80,-1
2023-02-21,455.00,471.80,446.10,455.00,-1.73,19162.00,8675259.80,-1
2023-02-22,446.50,479.00,446.50,474.90,4.37,7523.00,3537106.50,1
2023-02-23,468.00,470.00,451.00,465.00,-2.08,10270.00,4756579.70,-1
2023-02-26,455.70,471.00,438.00,471.00,1.29,6881.00,3129676.70,1
2023-02-27,462.00,478.90,456.00,466.00,-1.06,9070.00,4218142.10,-1
2023-02-28,460.10,472.00,460.00,463.00,-0.64,2253.00,1048032.50,-1
2023-03-01,458.00,467.00,454.00,454.00,-1.94,5801.00,2664022.90,-1
2023-03-02,446.10,454.00,446.10,453.90,-0.02,4848.00,2181328.50,-1
2023-03-05,445.30,459.10,445.30,459.00,1.12,5120.00,2304151.50,1
2023-03-06,445.30,459.10,445.30,459.00,1.12,5120.00,2304151.50,1
2023-03-07,450.00,461.00,442.00,459.00,0.00,4195.00,1908109.00,0
2023-03-08,450.00,461.00,442.00,459.00,0.00,4195.00,1908109.00,0
2023-03-09,468.10,468.10,452.10,468.00,1.96,7278.00,3368778.50,1
2023-03-12,471.00,475.00,455.10,456.00,-2.56,6134.00,2836584.00,-1
2023-03-13,448.70,456.00,448.70,455.00,-0.22,3730.00,1687993.00,-1
2023-03-14,450.00,467.00,450.00,455.00,0.00,2543.00,1167952.00,0
2023-03-15,448.00,462.00,448.00,457.20,0.48,5079.00,2322596.50,1
2023-03-16,450.00,462.00,450.00,458.00,0.17,4615.00,2110671.90,1
2023-03-19,451.00,457.50,451.00,454.00,-0.87,2447.00,1111053.00,-1
2023-03-20,450.20,463.00,450.20,463.00,1.98,3560.00,1630337.60,1
2023-03-21,450.20,463.00,450.20,463.00,1.98,3560.00,1630337.60,1
2023-03-22,456.00,466.30,455.00,456.00,-1.51,5825.00,2670456.50,-1
2023-03-23,450.10,459.00,449.00,451.00,-1.10,6485.00,2924820.00,-1
2023-03-26,443.10,446.00,438.50,439.00,-2.66,5835.00,2580035.50,-1
2023-03-27,431.50,449.90,431.50,449.00,2.28,3229.00,1427957.70,1
2023-03-28,442.00,455.00,442.00,451.00,0.45,4466.00,2017218.10,1
2023-03-29,443.00,460.00,443.00,456.00,1.11,4094.00,1870042.10,1
2023-03-30,456.00,463.00,454.00,458.00,0.44,11056.00,5063194.80,1
2023-04-02,452.10,460.00,442.00,450.00,-1.75,24382.00,10965515.70,-1
2023-04-03,441.20,458.00,437.40,447.00,-0.67,3520.00,1553366.00,-1
2023-04-17,460.00,465.00,455.60,461.00,-0.82,21645.00,9989116.00,-1
2023-04-19,470.00,479.90,469.10,479.00,1.91,9136.00,4347720.60,1
